symbol,min_trade_date,max_trade_date,row_count,trade_days,last_fetched_at,sources
159001.SZ,2026-02-09,2026-07-07,23040,96,2026-07-08 00:17:19.373276,mootdx
159131.SZ,2026-02-25,2026-07-07,21600,90,2026-07-08 00:16:26.941841,mootdx
159201.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:17:39.061802,mootdx
159206.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:56.892241,mootdx
159217.SZ,2026-02-09,2026-07-07,23040,96,2026-07-08 00:17:01.946338,mootdx
159262.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:17:25.930823,mootdx
159316.SZ,2026-02-24,2026-07-07,21840,91,2026-07-08 00:16:51.832575,mootdx
159326.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:42.019681,mootdx
159338.SZ,2026-02-25,2026-07-07,21600,90,2026-07-08 00:14:42.480044,mootdx
159351.SZ,2026-02-25,2026-07-07,21600,90,2026-07-08 00:16:28.849146,mootdx
159352.SZ,2026-02-25,2026-07-07,21600,90,2026-07-08 00:14:46.906463,mootdx
159361.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:20.102888,mootdx
159363.SZ,2026-02-25,2026-07-07,21600,90,2026-07-08 00:16:18.665800,mootdx
159509.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:32.910318,mootdx
159516.SZ,2026-02-09,2026-07-07,23040,96,2026-07-08 00:15:17.921966,mootdx
159518.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:22.349894,mootdx
159530.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:30.925265,mootdx
159558.SZ,2026-02-24,2026-07-07,21840,91,2026-07-08 00:16:57.973167,mootdx
159566.SZ,2026-02-10,2026-07-07,22800,95,2026-07-08 00:17:47.936460,mootdx
159567.SZ,2026-02-12,2026-07-07,22320,93,2026-07-08 00:16:09.945372,mootdx
159570.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:13.579395,mootdx
159611.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:17:23.661761,mootdx
159633.SZ,2026-02-24,2026-07-07,21840,91,2026-07-08 00:18:20.281633,mootdx
159636.SZ,2026-02-24,2026-07-07,21840,91,2026-07-08 00:16:47.901239,mootdx
159687.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:18:33.146636,mootdx
159740.SZ,2026-02-10,2026-07-07,22800,95,2026-07-08 00:15:43.955254,mootdx
159755.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:41.067901,mootdx
159781.SZ,2026-02-24,2026-07-07,21840,91,2026-07-08 00:18:44.077721,mootdx
159792.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:24.511389,mootdx
159819.SZ,2026-02-25,2026-07-07,21600,90,2026-07-08 00:17:04.045995,mootdx
159845.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:29.031920,mootdx
159852.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:18:35.338198,mootdx
159869.SZ,2026-02-10,2026-07-07,22800,95,2026-07-08 00:17:52.109839,mootdx
159870.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:05.592773,mootdx
159892.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:35.042868,mootdx
159915.SZ,2026-02-09,2026-07-07,23040,96,2026-07-08 00:14:53.037480,mootdx
159919.SZ,2026-02-09,2026-07-07,23040,96,2026-07-08 00:15:46.205730,mootdx
159920.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:18:37.803734,mootdx
159922.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:45.791940,mootdx
159934.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:54.826066,mootdx
159937.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:03.467716,mootdx
159941.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:52.565475,mootdx
159949.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:33.226692,mootdx
159952.SZ,2026-02-10,2026-07-07,22800,95,2026-07-08 00:18:31.139122,mootdx
159967.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:17:06.189867,mootdx
159980.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:17:28.356396,mootdx
159981.SZ,2026-02-24,2026-07-07,21840,91,2026-07-08 00:15:35.259340,mootdx
159985.SZ,2026-02-06,2026-07-07,23280,97,2026-07-08 00:17:41.308880,mootdx
159992.SZ,2026-02-12,2026-07-07,22320,93,2026-07-08 00:17:00.010261,mootdx
159995.SZ,2026-02-13,2026-07-07,22080,92,2026-07-08 00:16:14.321849,mootdx
510050.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:09.301823,mootdx
510100.SH,2026-02-09,2026-07-07,23040,96,2026-07-08 00:18:24.381965,mootdx
510210.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:17:21.477423,mootdx
510300.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:14:57.123804,mootdx
510310.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:31.233283,mootdx
510330.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:12.085647,mootdx
510500.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:14:59.358240,mootdx
510880.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:17:36.874482,mootdx
511380.SH,2026-02-09,2026-07-07,23040,96,2026-07-08 00:14:29.640403,mootdx
511660.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:20.812470,mootdx
511880.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:14:27.637123,mootdx
511990.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:14:31.941756,mootdx
512000.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:07.784468,mootdx
512010.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:18:09.527679,mootdx
512050.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:14:44.852845,mootdx
512070.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:17:56.361035,mootdx
512100.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:05.851976,mootdx
512170.SH,2026-02-10,2026-07-07,22800,95,2026-07-08 00:17:32.401393,mootdx
512400.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:58.985408,mootdx
512480.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:39.794002,mootdx
512500.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:17:43.470156,mootdx
512660.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:18:39.793344,mootdx
512690.SH,2026-02-24,2026-07-07,21840,91,2026-07-08 00:16:49.863756,mootdx
512710.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:18:26.720324,mootdx
512760.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:18:18.169344,mootdx
512800.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:39.058674,mootdx
512880.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:26.836799,mootdx
512890.SH,2026-02-13,2026-07-07,22080,92,2026-07-08 00:16:36.922915,mootdx
513010.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:01.189632,mootdx
513040.SH,2026-02-11,2026-07-07,22560,94,2026-07-08 00:17:45.604112,mootdx
513050.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:15:15.788664,mootdx
513060.SH,2026-02-25,2026-07-07,21600,90,2026-07-08 00:17:10.410696,mootdx
513090.SH,2026-02-13,2026-07-07,22080,92,2026-07-08 00:14:38.278007,mootdx
513100.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:16:56.002838,mootdx
513120.SH,2026-02-06,2026-07-07,23280,97,2026-07-08 00:14:51.177879,mootdx
513130.SH,2026-02-13,2026-07-07,22080,92,2026-07-08 00:14:54.968719,mootdx
513160.SH,2026-02-25,2026-07-07,21600,90,2026-07-08 00:18:28.906052,mootdx
