symbol,status,source,start_date,end_date,rows,error
511880.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
511380.SH,ok,mootdx,2026-02-06,2026-07-07,23040,
511990.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
513310.SH,ok,mootdx,2026-02-06,2026-07-07,23040,
563360.SH,ok,mootdx,2026-02-06,2026-07-07,21600,
513090.SH,ok,mootdx,2026-02-06,2026-07-07,22080,
518880.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
159338.SZ,ok,mootdx,2026-02-06,2026-07-07,21600,
512050.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
159352.SZ,ok,mootdx,2026-02-06,2026-07-07,21600,
588000.SH,ok,mootdx,2026-02-06,2026-07-07,21840,
513120.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
159915.SZ,ok,mootdx,2026-02-06,2026-07-07,23040,
513130.SH,ok,mootdx,2026-02-06,2026-07-07,22080,
510300.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
510500.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
513180.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
588200.SH,ok,mootdx,2026-02-06,2026-07-07,22320,
512100.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
510050.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
513330.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
159570.SZ,ok,mootdx,2026-02-06,2026-07-07,23280,
513050.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
159516.SZ,ok,mootdx,2026-02-06,2026-07-07,23040,
159361.SZ,ok,mootdx,2026-02-06,2026-07-07,23280,
159518.SZ,ok,mootdx,2026-02-06,2026-07-07,23280,
159792.SZ,ok,mootdx,2026-02-06,2026-07-07,23280,
512880.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
159845.SZ,ok,mootdx,2026-02-06,2026-07-07,23280,
510310.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
159949.SZ,ok,mootdx,2026-02-06,2026-07-07,23280,
159981.SZ,ok,mootdx,2026-02-06,2026-07-07,21840,
513350.SH,ok,mootdx,2026-02-06,2026-07-07,21840,
512480.SH,ok,mootdx,2026-02-06,2026-07-07,23280,
159326.SZ,ok,mootdx,2026-02-06,2026-07-07,23280,
159740.SZ,ok,mootdx,2026-02-06,2026-07-07,22800,
159919.SZ,ok,mootdx,2026-02-06,2026-07-07,23040,
588080.SH,ok,mootdx,2026-02-06,2026-07-07,21840,
515880.SH,ok,mootdx,2026-02-06,2026-07-07,21840,
