symbol,min_trade_date,max_trade_date,row_count,trade_days,last_fetched_at,sources
159001.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:16.709580,mootdx
159131.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:33.899532,mootdx
159196.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:33.632139,mootdx
159206.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:48.085088,mootdx
159217.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:03.234520,mootdx
159259.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:36.075563,mootdx
159262.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:22.694407,mootdx
159316.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:55.359997,mootdx
159326.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:49.794304,mootdx
159338.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:17.575828,mootdx
159351.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:51.748868,mootdx
159352.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:25.147527,mootdx
159361.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:40.090758,mootdx
159363.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:42.640256,mootdx
159381.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:45.335340,mootdx
159506.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:50.068512,mootdx
159509.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:57.925109,mootdx
159516.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:16.610833,mootdx
159518.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:20.933147,mootdx
159530.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:44.507965,mootdx
159558.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:43.528686,mootdx
159567.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:46.292277,mootdx
159570.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:25.987145,mootdx
159583.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:24.410128,mootdx
159611.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:04.057960,mootdx
159632.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:38.382159,mootdx
159633.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:44.596631,mootdx
159636.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:00.564347,mootdx
159659.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:55.485140,mootdx
159687.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:50.728655,mootdx
159732.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:14.984073,mootdx
159740.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:48.975157,mootdx
159755.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:21.836599,mootdx
159781.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:12.472373,mootdx
159792.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:28.635357,mootdx
159813.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:39.148224,mootdx
159819.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:05.768439,mootdx
159842.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:47.708145,mootdx
159845.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:37.436190,mootdx
159869.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:53.328896,mootdx
159870.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:08.221332,mootdx
159892.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:07.395809,mootdx
159915.SZ,2026-05-29,2026-07-07,6400,27,2026-07-07 23:46:23.421941,mootdx
159919.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:29.519258,mootdx
159922.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:37.646448,mootdx
159934.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:09:59.695342,mootdx
159937.SZ,2026-05-29,2026-07-07,6400,27,2026-07-08 00:10:09.034005,mootdx
