symbol,status,rows,source,error,start_date,end_date
511880.SH,up_to_date,0,,,,
513310.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
511990.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
511380.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
513090.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
588000.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
588200.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
510300.SH,up_to_date,0,,,,
159915.SZ,up_to_date,0,,,,
513120.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
159516.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
159338.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
563360.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
513130.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
510310.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
518880.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
513180.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
512880.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
515880.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
159352.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
159570.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
510500.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
512100.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
159792.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
159949.SZ,up_to_date,0,,,,
159919.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
510050.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
159941.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
513330.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
513050.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
159131.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
510330.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
512480.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
512050.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
159845.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
588080.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
515050.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
159361.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
512000.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
159995.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
159363.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
159558.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
159530.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
512400.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
159567.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
588170.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
159206.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
159740.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
159326.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
159687.SZ,ok,6400,mootdx,,2026-05-29,2026-07-07
515220.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
513010.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
513350.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
562500.SH,ok,6400,mootdx,,2026-05-29,2026-07-07
159967.SZ,up_to_date,0,,,,
