date,value,action,line
2020-01-03,1013468.00384,close,2020-01-03 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395658 security=512400.XSHG mode=OrderTargetValue: _value=1013468.00384 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-01-03 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-01-13,1033650.8812900004,close,2020-01-13 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395669 security=512100.XSHG mode=OrderTargetValue: _value=1033650.8812900004 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-01-13 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-01-14,1037752.7812900003,close,2020-01-14 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395670 security=512100.XSHG mode=OrderTargetValue: _value=1037752.7812900003 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-01-14 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-01-17,1013588.2479000003,close,2020-01-17 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395675 security=512400.XSHG mode=OrderTargetValue: _value=1013588.2479000003 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-01-17 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-02-04,929894.0222900008,open,2020-02-04 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395686 security=518880.XSHG mode=OrderTargetValue: _value=929894.0222900008 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-02-04 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-02-05,919812.6222900008,open,2020-02-05 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395687 security=518880.XSHG mode=OrderTargetValue: _value=919812.6222900008 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-02-05 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-02-07,933307.9557800009,close,2020-02-07 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395690 security=513100.XSHG mode=OrderTargetValue: _value=933307.9557800009 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-02-07 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-02-10,923144.055780001,close,2020-02-10 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395691 security=513100.XSHG mode=OrderTargetValue: _value=923144.055780001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-02-10 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-02-11,949173.555780001,close,2020-02-11 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395692 security=513100.XSHG mode=OrderTargetValue: _value=949173.555780001 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-02-11 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-02-12,977682.0557800009,close,2020-02-12 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395693 security=513100.XSHG mode=OrderTargetValue: _value=977682.0557800009 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-02-12 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-02-14,1022499.496120001,open,2020-02-14 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395696 security=512170.XSHG mode=OrderTargetValue: _value=1022499.496120001 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-02-14 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-02-17,1047044.996120001,open,2020-02-17 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395697 security=512170.XSHG mode=OrderTargetValue: _value=1047044.996120001 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-02-17 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-02-18,1051252.7961200012,open,2020-02-18 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395698 security=512170.XSHG mode=OrderTargetValue: _value=1051252.7961200012 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-02-18 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-02-19,1042135.896120001,open,2020-02-19 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395699 security=512170.XSHG mode=OrderTargetValue: _value=1042135.896120001 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-02-19 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-02-25,1081592.878890001,open,2020-02-25 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395705 security=159915.XSHE mode=OrderTargetValue: _value=1081592.878890001 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-02-25 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-03-04,974579.0205300013,close,2020-03-04 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395716 security=159985.XSHE mode=OrderTargetValue: _value=974579.0205300013 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-04 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-03-05,968562.8205300012,close,2020-03-05 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395717 security=159985.XSHE mode=OrderTargetValue: _value=968562.8205300012 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-05 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-03-13,909758.0009000011,open,2020-03-13 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395728 security=511880.XSHG mode=OrderTargetValue: _value=909758.0009000011 style=MarketOrderStyle: _limit_price=0.0 side=long action=open margin=False entrust_time=2020-03-13 13:11:00 cancel_time=None finish_time=None comment= error=С 100)
2020-03-17,901306.3558000012,close,2020-03-17 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395731 security=159985.XSHE mode=OrderTargetValue: _value=901306.3558000012 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-17 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
2020-03-18,907871.6558000011,close,2020-03-18 13:11:00 - ERROR - ίʧܣStockOrder(entrust_id=1783395732 security=159985.XSHE mode=OrderTargetValue: _value=907871.6558000011 style=MarketOrderStyle: _limit_price=0.0 side=long action=close margin=False entrust_time=2020-03-18 13:11:00 cancel_time=None finish_time=None comment= error=ƽС 100)
