date,log_date,time,target,target_raw,top10_raw,top1
2020-01-02,2020-01-02,13:10:00,512400,512400.XSHG,"512400.XSHG:3.7378,512880.XSHG:3.6874,512980.XSHG:2.8606,159949.XSHE:1.6300,512480.XSHG:1.5811,512200.XSHG:1.4867,512100.XSHG:1.3937,510900.XSHG:1.3137,512070.XSHG:1.2236,510500.XSHG:1.0694",512400
2020-01-03,2020-01-03,13:10:00,512400,512400.XSHG,"512400.XSHG:4.5161,512880.XSHG:3.6553,512980.XSHG:3.1600,159949.XSHE:1.5646,512100.XSHG:1.4486,512200.XSHG:1.4399,510900.XSHG:1.4229,512070.XSHG:1.2680,512480.XSHG:1.1753,510500.XSHG:1.1334",512400
2020-01-06,2020-01-06,13:10:00,512880,512880.XSHG,"512880.XSHG:3.9295,512980.XSHG:3.8396,159949.XSHE:1.7197,512100.XSHG:1.6473,512200.XSHG:1.4247,512070.XSHG:1.4050,510900.XSHG:1.3821,510500.XSHG:1.3062,501018.XSHG:1.2484,512480.XSHG:1.1625",512880
2020-01-07,2020-01-07,13:10:00,512980,512980.XSHG,"512980.XSHG:4.3718,512880.XSHG:3.4307,512100.XSHG:1.7286,159949.XSHE:1.6369,510500.XSHG:1.3582,512070.XSHG:1.2573,512200.XSHG:1.2533,159915.XSHE:1.1941,510900.XSHG:1.1442,161226.XSHE:1.0867",512980
2020-01-08,2020-01-08,13:10:00,512880,512880.XSHG,"512880.XSHG:3.1470,512100.XSHG:1.8733,159949.XSHE:1.6333,510500.XSHG:1.4829,161226.XSHE:1.2970,159915.XSHE:1.2911,512070.XSHG:1.1696,512200.XSHG:1.1531,512710.XSHG:1.0666,510300.XSHG:0.9812",512880
2020-01-09,2020-01-09,13:10:00,512980,512980.XSHG,"512980.XSHG:4.9051,512100.XSHG:1.8458,159949.XSHE:1.6160,510500.XSHG:1.4693,159915.XSHE:1.3463,161226.XSHE:1.1935,512710.XSHG:1.1215,512200.XSHG:0.9380,510300.XSHG:0.9320,512070.XSHG:0.9306",512980
2020-01-10,2020-01-10,13:10:00,512100,512100.XSHG,"512100.XSHG:1.9056,159949.XSHE:1.6872,510500.XSHG:1.4652,159915.XSHE:1.4314,512710.XSHG:1.1326,513100.XSHG:1.0159,510300.XSHG:0.9127,512670.XSHG:0.9037,512660.XSHG:0.8635,512070.XSHG:0.8022",512100
2020-01-13,2020-01-13,13:10:00,512100,512100.XSHG,"512100.XSHG:1.9912,512880.XSHG:1.8006,159949.XSHE:1.7904,159915.XSHE:1.6129,510500.XSHG:1.5215,512710.XSHG:1.1745,513100.XSHG:1.1449,512670.XSHG:0.9868,512660.XSHG:0.9606,510300.XSHG:0.9156",512100
2020-01-14,2020-01-14,13:10:00,512100,512100.XSHG,"512100.XSHG:2.1147,159949.XSHE:2.0117,159915.XSHE:1.8197,512880.XSHG:1.7524,510500.XSHG:1.6614,513100.XSHG:1.2794,512710.XSHG:1.2121,512670.XSHG:1.0732,512660.XSHG:1.0693,512480.XSHG:1.0360",512100
2020-01-15,2020-01-15,13:10:00,512980,512980.XSHG,"512980.XSHG:4.8152,512100.XSHG:2.0317,159949.XSHE:1.9116,159915.XSHE:1.8153,510500.XSHG:1.5952,513100.XSHG:1.4409,512880.XSHG:1.2892,512480.XSHG:1.2878,512710.XSHG:1.0468,159928.XSHE:0.9838",512980
2020-01-16,2020-01-16,13:10:00,512400,512400.XSHG,"512400.XSHG:4.9848,512980.XSHG:4.3399,512480.XSHG:2.1257,512100.XSHG:2.0386,159949.XSHE:1.9907,159915.XSHE:1.9367,513100.XSHG:1.6151,510500.XSHG:1.5745,159928.XSHE:1.1275,512670.XSHG:1.0636",512400
2020-01-17,2020-01-17,13:10:00,512400,512400.XSHG,"512400.XSHG:3.7397,512980.XSHG:3.6166,512480.XSHG:2.5846,159949.XSHE:1.9184,159915.XSHE:1.9126,512100.XSHG:1.8709,513100.XSHG:1.8420,510500.XSHG:1.4313,159928.XSHE:1.1321,159967.XSHE:1.0485",512400
2020-01-20,2020-01-20,13:10:00,512480,512480.XSHG,"512480.XSHG:3.8960,512400.XSHG:3.0483,512980.XSHG:2.9811,159915.XSHE:2.0724,159949.XSHE:2.0545,513100.XSHG:1.9116,512100.XSHG:1.7267,515050.XSHG:1.3862,510500.XSHG:1.3520,159967.XSHE:1.3501",512480
2020-01-21,2020-01-21,13:10:00,159915,159915.XSHE,"159915.XSHE:2.2065,512980.XSHG:2.1913,159949.XSHE:2.1769,512400.XSHG:2.1048,515050.XSHG:1.7913,159967.XSHE:1.7828,513100.XSHG:1.7673,512100.XSHG:1.6528,515880.XSHG:1.4266,510500.XSHG:1.2515",159915
2020-01-22,2020-01-22,13:10:00,515050,515050.XSHG,"515050.XSHG:2.4529,159915.XSHE:2.3468,159949.XSHE:2.3332,159967.XSHE:2.2624,513100.XSHG:1.8093,515880.XSHG:1.6740,512980.XSHG:1.5388,512170.XSHG:1.5284,512100.XSHG:1.4794,512400.XSHG:1.3428",515050
2020-01-23,2020-01-23,13:10:00,159949,159949.XSHE,"159949.XSHE:2.4231,159915.XSHE:2.3445,513100.XSHG:1.7854,512170.XSHG:1.7156,512100.XSHG:1.1784,512980.XSHG:1.0382,512670.XSHG:1.0274,512010.XSHG:0.9902,510500.XSHG:0.9139,512660.XSHG:0.8314",159949
2020-02-03,2020-02-03,13:10:00,518880,518880.XSHG,518880.XSHG:0.1493,518880
2020-02-04,2020-02-04,13:10:00,518880,518880.XSHG,518880.XSHG:0.1639,518880
2020-02-05,2020-02-05,13:10:00,518880,518880.XSHG,"518880.XSHG:0.1338,513500.XSHG:0.0326",518880
2020-02-06,2020-02-06,13:10:00,513100,513100.XSHG,"513100.XSHG:1.7517,513500.XSHG:0.0603",513100
2020-02-07,2020-02-07,13:10:00,513100,513100.XSHG,"513100.XSHG:2.2835,518880.XSHG:0.0951,513500.XSHG:0.0946",513100
2020-02-10,2020-02-10,13:10:00,513100,513100.XSHG,"513100.XSHG:2.5917,513500.XSHG:0.1295,518880.XSHG:0.0924",513100
2020-02-11,2020-02-11,13:10:00,513100,513100.XSHG,"513100.XSHG:3.2884,512170.XSHG:2.9601,159949.XSHE:1.5366,159915.XSHE:0.8700,159967.XSHE:0.8395,513500.XSHG:0.2090",513100
2020-02-12,2020-02-12,13:10:00,513100,513100.XSHG,"513100.XSHG:4.5136,512170.XSHG:3.2367,159949.XSHE:1.8252,159915.XSHE:0.9951,159967.XSHE:0.9441,513500.XSHG:0.3178",513100
2020-02-13,2020-02-13,13:10:00,512170,512170.XSHG,"512170.XSHG:3.1378,159949.XSHE:1.9429,159915.XSHE:1.0504,159967.XSHE:0.9533,513500.XSHG:0.5250",512170
2020-02-14,2020-02-14,13:10:00,512170,512170.XSHG,"512170.XSHG:3.3260,159949.XSHE:2.2142,159915.XSHE:1.1883,159967.XSHE:1.0574,513500.XSHG:0.7377",512170
2020-02-17,2020-02-17,13:10:00,512170,512170.XSHG,"512170.XSHG:3.4897,159949.XSHE:2.5506,159915.XSHE:1.4093,159967.XSHE:1.2930",512170
2020-02-18,2020-02-18,13:10:00,512170,512170.XSHG,"512170.XSHG:3.6922,159949.XSHE:3.0510,159915.XSHE:1.7465,159967.XSHE:1.5390",512170
2020-02-19,2020-02-19,13:10:00,512170,512170.XSHG,"512170.XSHG:3.5404,159949.XSHE:3.5152,159915.XSHE:2.1603,159967.XSHE:1.8987,513500.XSHG:0.8143,518880.XSHG:0.1968",512170
2020-02-20,2020-02-20,13:10:00,159949,159949.XSHE,"159949.XSHE:3.7936,512170.XSHG:3.2554,159915.XSHE:2.5093,159967.XSHE:2.2125,515050.XSHG:1.1676,513500.XSHG:0.7727,518880.XSHG:0.3197",159949
2020-02-21,2020-02-21,13:10:00,159949,159949.XSHE,"159949.XSHE:4.5784,513100.XSHG:3.7469,512170.XSHG:3.2658,159915.XSHE:3.1229,159967.XSHE:2.7382,515050.XSHG:1.9102,513500.XSHG:0.6313,518880.XSHG:0.5784",159949
2020-02-24,2020-02-24,13:10:00,159915,159915.XSHE,"159915.XSHE:3.8938,512170.XSHG:3.5645,159967.XSHE:3.4408,515050.XSHG:3.3398,512670.XSHG:1.8017,518880.XSHG:0.7602,513500.XSHG:0.3760",159915
