date,value4,target4,weak4,pool4,top10_4,value5,target5,weak5,pool5,top10_5,target_match,value_ratio_5_to_4,ret4,ret5,ret_gap
2020-01-02,1012177.04,512400.SH,False,34,"512400.SH:4.1606,512880.SH:3.9357,512200.SH:1.6204,159949.SZ:1.5355,512100.SH:1.3904,510900.SH:1.3637,512070.SH:1.3435,510500.SH:1.0687,159915.SZ:0.9202,510300.SH:0.9202",997140.42,512400.SH,False,34,"512400.SH:4.2919,512880.SH:3.7769,159949.SZ:1.6338,512200.SH:1.5630,512100.SH:1.4705,510900.SH:1.4085,512070.SH:1.3087,512480.SH:1.2974,510500.SH:1.1469,159915.SZ:1.0119",True,0.9851442787123486,,,
2020-01-03,1028668.63,512400.SH,False,34,"512400.SH:4.8572,512880.SH:3.6715,159949.SZ:1.5672,512200.SH:1.5322,512100.SH:1.5247,510900.SH:1.5007,512070.SH:1.3571,510500.SH:1.1926,512480.SH:1.0868,510300.SH:1.0476",997640.92,512880.SH,False,34,"512880.SH:3.6715,159949.SZ:1.5532,512100.SH:1.5360,512200.SH:1.4852,510900.SH:1.4057,512070.SH:1.3470,510500.SH:1.1974,512480.SH:1.0715,510300.SH:1.0184,159915.SZ:1.0132",False,0.9698370212767158,0.016293187207645055,0.0005019353242143865,-0.015791251883430668
2020-01-06,1054582.86,512880.SH,False,34,"512880.SH:3.3147,512100.SH:1.5230,159949.SZ:1.4567,161226.SZ:1.2634,510500.SH:1.2457,512070.SH:1.2268,512200.SH:1.2102,510900.SH:1.1592,159915.SZ:0.9972,510300.SH:0.9685",1020141.58,512980.SH,False,34,"512980.SH:4.1106,512880.SH:3.5114,512100.SH:1.6562,159949.SZ:1.5984,510500.SH:1.3380,512070.SH:1.2795,512200.SH:1.2741,161226.SZ:1.2427,159915.SZ:1.1316,510900.SH:1.0898",False,0.9673413239430042,0.025192009597881926,0.02255386637508816,-0.002638143222793765
2020-01-07,1062655.66,512880.SH,False,34,"512880.SH:3.4606,512100.SH:1.7670,159949.SZ:1.6061,510500.SH:1.4583,512070.SH:1.2756,159915.SZ:1.2484,512200.SH:1.1855,161226.SZ:1.1443,512710.SH:1.0240,510300.SH:1.0022",1028097.68,512880.SH,False,34,"512880.SH:3.5079,512100.SH:1.8949,159949.SZ:1.6974,510500.SH:1.5336,159915.SZ:1.3469,512070.SH:1.3081,512200.SH:1.2570,161226.SZ:1.1538,512710.SH:1.0621,510300.SH:1.0258",True,0.9674796067053368,0.007654969852250115,0.007799015505279172,0.0001440456530290568
2020-01-08,1041807.57,512100.SH,False,34,"512100.SH:1.8576,159949.SZ:1.4866,510500.SH:1.4785,159915.SZ:1.2763,512710.SH:1.1845,512070.SH:0.9964,512670.SH:0.9272,510300.SH:0.9083,512200.SH:0.9011,518880.SH:0.8728",997119.75,512980.SH,False,34,"512980.SH:4.7964,512100.SH:1.7713,159949.SZ:1.4189,510500.SH:1.4077,159915.SZ:1.2074,512710.SH:1.1737,512670.SH:0.9134,510300.SH:0.8746,512660.SH:0.8741,512070.SH:0.8727",False,0.9571054950195841,-0.019618857532834322,-0.030131310091080055,-0.010512452558245733
2020-01-09,1055848.2,512100.SH,False,34,"512100.SH:1.8799,159949.SZ:1.5912,510500.SH:1.5128,159915.SZ:1.3913,512710.SH:1.2126,510300.SH:0.9127,512670.SH:0.9101,513100.SH:0.9073,512660.SH:0.8635,512200.SH:0.8489",1019007.05,512100.SH,False,34,"512100.SH:1.9305,159949.SZ:1.6982,510500.SH:1.5279,159915.SZ:1.4721,512710.SH:1.2396,512670.SH:0.9586,513100.SH:0.9498,512660.SH:0.9277,510300.SH:0.9264,512200.SH:0.8741",True,0.9651075315561461,0.013477181779356862,0.021950522993853028,0.008473341214496166
2020-01-10,1041881.48,512880.SH,False,34,"512880.SH:2.0869,512100.SH:1.9538,159949.SZ:1.7790,159915.SZ:1.5856,510500.SH:1.5270,512710.SH:1.2185,513100.SH:1.1001,512660.SH:0.9864,512670.SH:0.9744,510300.SH:0.9172",1017650.25,512100.SH,False,34,"512100.SH:1.9147,512880.SH:1.9112,159949.SZ:1.7313,159915.SZ:1.5356,510500.SH:1.4625,513100.SH:1.1728,512710.SH:1.1358,512660.SH:0.9336,512670.SH:0.9290,510300.SH:0.8919",False,0.9767428153152314,-0.013227962125616166,-0.0013314922600389245,0.011896469865577242
2020-01-13,1057443.98,512980.SH,False,34,"512980.SH:4.8529,512100.SH:1.9886,159949.SZ:1.8791,159915.SZ:1.7262,512880.SH:1.6131,510500.SH:1.5255,512710.SH:1.1690,512670.SH:1.0285,512660.SH:1.0079,510300.SH:0.9111",1031218.25,512100.SH,False,34,"512100.SH:2.1277,159949.SZ:2.0117,159915.SZ:1.8647,512880.SH:1.8418,510500.SH:1.6839,512710.SH:1.3161,512670.SH:1.1676,512660.SH:1.1167,512480.SH:1.1065,510300.SH:0.9890",False,0.9751989415079937,0.014936919696470596,0.013332674953895118,-0.001604244742575478
2020-01-14,1052709.87,512100.SH,False,34,"512100.SH:2.1317,159949.SZ:2.0628,159915.SZ:1.9502,510500.SH:1.7116,513100.SH:1.4764,512880.SH:1.4585,512480.SH:1.3929,512710.SH:1.2216,512670.SH:1.1617,512660.SH:1.1189",1028504.65,512100.SH,False,34,"512100.SH:2.0899,159949.SZ:1.9696,159915.SZ:1.8800,510500.SH:1.6501,513100.SH:1.4656,512880.SH:1.3300,512480.SH:1.2878,512710.SH:1.1418,512670.SH:1.0636,512660.SH:1.0396",True,0.9770067511573725,-0.004476936924828756,-0.0026314507137552567,0.0018454862110734993
2020-01-15,1050507.88,512980.SH,False,34,"512980.SH:4.5560,512100.SH:1.9793,159949.SZ:1.9462,159915.SZ:1.8864,510500.SH:1.5662,513100.SH:1.5414,159928.SZ:1.1251,512670.SH:0.9742,512710.SH:0.9573,512880.SH:0.9495",1014826.16,512400.SH,False,34,"512400.SH:4.9848,512980.SH:4.6033,512480.SH:2.1105,512100.SH:2.0093,159949.SZ:1.9462,159915.SZ:1.8921,513100.SH:1.5883,510500.SH:1.5646,159928.SZ:1.1227,515880.SH:0.9574",False,0.9660338387942412,-0.0020917349240776595,-0.013299395389218649,-0.01120766046514099
2020-01-16,1044902.14,512400.SH,False,34,"512400.SH:3.9388,512980.SH:3.8521,512480.SH:2.5640,512100.SH:1.9152,159949.SZ:1.8727,159915.SZ:1.8727,513100.SH:1.7113,510500.SH:1.4682,159928.SZ:1.1784,515050.SH:1.0363",1009478.16,512400.SH,False,34,"512400.SH:3.9105,512980.SH:3.6600,512480.SH:2.6391,159949.SZ:1.9184,159915.SZ:1.9014,512100.SH:1.9006,513100.SH:1.7625,510500.SH:1.4747,159928.SZ:1.1914,515050.SH:1.0363",True,0.9660982797872344,-0.0053362188963302915,-0.005269868092481977,6.635080384831404e-05
2020-01-17,1037943.2,512480.SH,False,34,"512480.SH:3.3635,512400.SH:3.0483,512980.SH:3.0367,513100.SH:2.0676,159915.SZ:1.8708,159949.SZ:1.8288,512100.SH:1.7131,510500.SH:1.3125,515050.SH:1.2072,159967.SZ:1.1450",1006006.97,512480.SH,False,34,"512480.SH:3.2340,512400.SH:2.9543,512980.SH:2.9438,513100.SH:2.0291,159915.SZ:1.8316,159949.SZ:1.7994,512100.SH:1.6284,510500.SH:1.2341,159967.SZ:1.1832,515050.SH:1.1731",True,0.969231235389374,-0.006659896399484944,-0.0034385984140559156,0.003221297985429028
2020-01-20,1046991.5,512980.SH,False,34,"512980.SH:2.3934,512400.SH:2.2465,513100.SH:2.0343,159915.SZ:2.0161,159949.SZ:1.9764,159967.SZ:1.6227,512100.SH:1.5658,515880.SH:1.2366,510500.SH:1.2108,512690.SH:1.1382",1010726.84,512980.SH,False,34,"512980.SH:2.4758,512400.SH:2.3866,159915.SZ:2.2601,159949.SZ:2.2446,513100.SH:1.8741,515050.SH:1.8339,159967.SZ:1.7994,512100.SH:1.7205,515880.SH:1.4743,510500.SH:1.3493",True,0.9653629852773399,0.008717529051686101,0.004691687175885084,-0.004025841875801017
