date,weak,pool,passed,target,target_raw,top10_raw,top10
2020-01-02,False,34,24,512400,512400.XSHG,512400.XSHG:3.7378:4.2412:0.8813:0.7380:0|512880.XSHG:3.6874:4.1318:0.8925:1.0550:0|512980.XSHG:2.8606:3.2424:0.8823:0.8800:0|159949.XSHE:1.6300:1.8928:0.8612:0.6750:0|512480.XSHG:1.5811:2.6063:0.6066:1.5010:0|512200.XSHG:1.4867:1.6865:0.8815:0.9300:0|512100.XSHG:1.3937:1.5939:0.8744:0.7270:0|510900.XSHG:1.3137:1.4961:0.8781:1.2810:0|512070.XSHG:1.2236:1.5134:0.8085:2.3710:0|510500.XSHG:1.0694:1.2719:0.8407:5.8080:0,"['512400', '512880', '512980', '159949', '512480', '512200', '512100', '510900', '512070', '510500']"
2020-01-03,False,34,24,512400,512400.XSHG,512400.XSHG:4.5161:5.0081:0.9018:0.7470:0|512880.XSHG:3.6553:4.0675:0.8987:1.0410:0|512980.XSHG:3.1600:3.5584:0.8880:0.8780:0|159949.XSHE:1.5646:1.8193:0.8600:0.6680:0|512100.XSHG:1.4486:1.6445:0.8809:0.7260:0|512200.XSHG:1.4399:1.6303:0.8832:0.9150:0|510900.XSHG:1.4229:1.5499:0.9181:1.2820:0|512070.XSHG:1.2680:1.5321:0.8276:2.3450:0|512480.XSHG:1.1753:2.0901:0.5623:1.4710:0|510500.XSHG:1.1334:1.3351:0.8490:5.8010:0,"['512400', '512880', '512980', '159949', '512100', '512200', '510900', '512070', '512480', '510500']"
2020-01-06,False,34,26,512880,512880.XSHG,512880.XSHG:3.9295:4.3389:0.9056:1.0620:0|512980.XSHG:3.8396:4.3781:0.8770:0.9120:0|159949.XSHE:1.7197:1.9785:0.8692:0.6840:0|512100.XSHG:1.6473:1.8670:0.8823:0.7420:0|512200.XSHG:1.4247:1.6131:0.8832:0.9170:0|512070.XSHG:1.4050:1.6688:0.8419:2.3730:0|510900.XSHG:1.3821:1.4917:0.9265:1.2750:0|510500.XSHG:1.3062:1.5431:0.8465:5.9300:0|501018.XSHG:1.2484:1.5288:0.8166:1.2590:0|512480.XSHG:1.1625:2.0208:0.5753:1.5120:0,"['512880', '512980', '159949', '512100', '512200', '512070', '510900', '510500', '501018', '512480']"
2020-01-07,False,34,23,512980,512980.XSHG,512980.XSHG:4.3718:4.9861:0.8768:0.9220:0|512880.XSHG:3.4307:3.8307:0.8956:1.0400:0|512100.XSHG:1.7286:1.9514:0.8858:0.7450:0|159949.XSHE:1.6369:1.8765:0.8723:0.6810:0|510500.XSHG:1.3582:1.5860:0.8564:5.9080:0|512070.XSHG:1.2573:1.5119:0.8316:2.3410:0|512200.XSHG:1.2533:1.4519:0.8632:0.9140:0|159915.XSHE:1.1941:1.4735:0.8104:1.8070:0|510900.XSHG:1.1442:1.2944:0.8840:1.2720:0|161226.XSHE:1.0867:1.4225:0.7640:0.8930:0,"['512980', '512880', '512100', '159949', '510500', '512070', '512200', '159915', '510900', '161226']"
2020-01-08,False,34,22,512880,512880.XSHG,512880.XSHG:3.1470:3.5709:0.8813:1.0310:0|512100.XSHG:1.8733:2.1202:0.8835:0.7480:0|159949.XSHE:1.6333:1.8679:0.8744:0.6810:0|510500.XSHG:1.4829:1.7343:0.8550:5.9240:0|161226.XSHE:1.2970:1.6121:0.8045:0.9140:0|159915.XSHE:1.2911:1.5977:0.8081:1.8060:0|512070.XSHG:1.1696:1.4332:0.8161:2.3260:0|512200.XSHG:1.1531:1.3620:0.8466:0.9110:0|512710.XSHG:1.0666:1.4752:0.7230:1.1050:0|510300.XSHG:0.9812:1.1095:0.8844:4.1300:0,"['512880', '512100', '159949', '510500', '161226', '159915', '512070', '512200', '512710', '510300']"
2020-01-09,False,34,24,512980,512980.XSHG,512980.XSHG:4.9051:5.5711:0.8804:0.9110:0|512100.XSHG:1.8458:2.0805:0.8872:0.7470:0|159949.XSHE:1.6160:1.8530:0.8721:0.6920:0|510500.XSHG:1.4693:1.7123:0.8581:5.9270:0|159915.XSHE:1.3463:1.6664:0.8079:1.8290:0|161226.XSHE:1.1935:1.5033:0.7939:0.8910:0|512710.XSHG:1.1215:1.5278:0.7340:1.0950:0|512200.XSHG:0.9380:1.1799:0.7949:0.9160:0|510300.XSHG:0.9320:1.0624:0.8773:4.1460:0|512070.XSHG:0.9306:1.2236:0.7605:2.3210:0,"['512980', '512100', '159949', '510500', '159915', '161226', '512710', '512200', '510300', '512070']"
2020-01-10,False,34,21,512100,512100.XSHG,512100.XSHG:1.9056:2.1428:0.8893:0.7490:0|159949.XSHE:1.6872:1.9295:0.8744:0.6950:0|510500.XSHG:1.4652:1.7082:0.8577:5.9130:0|159915.XSHE:1.4314:1.7708:0.8083:1.8280:0|512710.XSHG:1.1326:1.5331:0.7387:1.0850:0|513100.XSHG:1.0159:1.1108:0.9146:3.3350:0|510300.XSHG:0.9127:1.0413:0.8765:4.1500:0|512670.XSHG:0.9037:1.3025:0.6938:1.0990:0|512660.XSHG:0.8635:1.2784:0.6754:0.7900:0|512070.XSHG:0.8022:1.0967:0.7314:2.3240:0,"['512100', '159949', '510500', '159915', '512710', '513100', '510300', '512670', '512660', '512070']"
2020-01-13,False,34,23,512100,512100.XSHG,512100.XSHG:1.9912:2.2275:0.8939:0.7560:0|512880.XSHG:1.8006:2.3040:0.7815:1.0290:0|159949.XSHE:1.7904:2.0394:0.8779:0.7000:0|159915.XSHE:1.6129:1.9695:0.8189:1.8500:0|510500.XSHG:1.5215:1.7601:0.8644:5.9730:0|512710.XSHG:1.1745:1.5538:0.7559:1.0910:0|513100.XSHG:1.1449:1.2805:0.8941:3.3470:0|512670.XSHG:0.9868:1.3714:0.7195:1.1090:0|512660.XSHG:0.9606:1.3503:0.7114:0.7940:0|510300.XSHG:0.9156:1.0404:0.8801:4.1710:0,"['512100', '512880', '159949', '159915', '510500', '512710', '513100', '512670', '512660', '510300']"
2020-01-14,False,34,26,512100,512100.XSHG,512100.XSHG:2.1147:2.3509:0.8995:0.7590:0|159949.XSHE:2.0117:2.2835:0.8810:0.7060:0|159915.XSHE:1.8197:2.1848:0.8329:1.8520:0|512880.XSHG:1.7524:2.2273:0.7868:1.0420:0|510500.XSHG:1.6614:1.9038:0.8727:6.0150:0|513100.XSHG:1.2794:1.4408:0.8880:3.3800:0|512710.XSHG:1.2121:1.5778:0.7682:1.0880:0|512670.XSHG:1.0732:1.4498:0.7402:1.1060:0|512660.XSHG:1.0693:1.4382:0.7435:0.7950:0|512480.XSHG:1.0360:2.1295:0.4865:1.6250:0,"['512100', '159949', '159915', '512880', '510500', '513100', '512710', '512670', '512660', '512480']"
2020-01-15,False,34,27,512980,512980.XSHG,512980.XSHG:4.8152:5.4470:0.8840:0.9150:0|512100.XSHG:2.0317:2.2630:0.8978:0.7540:0|159949.XSHE:1.9116:2.1689:0.8814:0.6980:0|159915.XSHE:1.8153:2.1652:0.8384:1.8380:0|510500.XSHG:1.5952:1.8316:0.8710:5.9710:0|513100.XSHG:1.4409:1.6185:0.8903:3.3880:0|512880.XSHG:1.2892:1.7808:0.7240:1.0320:0|512480.XSHG:1.2878:2.4930:0.5166:1.6200:0|512710.XSHG:1.0468:1.4202:0.7370:1.0780:0|159928.XSHE:0.9838:1.2956:0.7593:3.1210:0,"['512980', '512100', '159949', '159915', '510500', '513100', '512880', '512480', '512710', '159928']"
