date,before,weak,below,above,weak_start,weak_days,detail
2020-01-02,False,False,0,4,None,0,000300.XSHG:2019-12-31:4096.5800:4025.4340:above|399101.XSHE:2019-12-31:9675.5500:9543.1660:above|399006.XSHE:2019-12-31:1798.1200:1779.5030:above|000510.XSHG:2019-12-31:4501.8913:4431.7532:above
2020-01-03,False,False,0,4,None,0,000300.XSHG:2020-01-02:4152.2400:4037.3800:above|399101.XSHE:2020-01-02:9890.1000:9574.2250:above|399006.XSHE:2020-01-02:1832.7400:1783.5350:above|000510.XSHG:2020-01-02:4571.4796:4444.6917:above
2020-01-06,False,False,0,4,None,0,000300.XSHG:2020-01-03:4144.9600:4049.1610:above|399101.XSHE:2020-01-03:9933.8800:9608.3930:above|399006.XSHE:2020-01-03:1836.0100:1788.0920:above|000510.XSHG:2020-01-03:4568.6153:4457.5622:above
2020-01-07,False,False,0,4,None,0,000300.XSHG:2020-01-06:4129.3000:4060.3660:above|399101.XSHE:2020-01-06:10016.6700:9657.9310:above|399006.XSHE:2020-01-06:1859.9200:1796.9130:above|000510.XSHG:2020-01-06:4564.1613:4472.5255:above
2020-01-08,False,False,0,4,None,0,000300.XSHG:2020-01-07:4160.2300:4079.6790:above|399101.XSHE:2020-01-07:10140.3300:9737.4490:above|399006.XSHE:2020-01-07:1893.2100:1812.5720:above|000510.XSHG:2020-01-07:4604.0366:4497.0235:above
2020-01-09,False,False,0,4,None,0,000300.XSHG:2020-01-08:4112.3200:4091.6150:above|399101.XSHE:2020-01-08:10004.0700:9789.5940:above|399006.XSHE:2020-01-08:1862.7000:1821.8550:above|000510.XSHG:2020-01-08:4554.8895:4512.4500:above
2020-01-10,False,False,0,4,None,0,000300.XSHG:2020-01-09:4164.3700:4108.9650:above|399101.XSHE:2020-01-09:10172.5400:9854.9380:above|399006.XSHE:2020-01-09:1913.1400:1834.7300:above|000510.XSHG:2020-01-09:4616.9288:4533.4605:above
2020-01-13,False,False,0,4,None,0,000300.XSHG:2020-01-10:4163.1800:4122.6840:above|399101.XSHE:2020-01-10:10153.3300:9912.2820:above|399006.XSHE:2020-01-10:1904.1900:1845.7850:above|000510.XSHG:2020-01-10:4614.1609:4551.0532:above
2020-01-14,False,False,0,4,None,0,000300.XSHG:2020-01-13:4203.9900:4140.8800:above|399101.XSHE:2020-01-13:10315.2500:9990.6480:above|399006.XSHE:2020-01-13:1935.0700:1862.5340:above|000510.XSHG:2020-01-13:4664.7732:4574.6347:above
2020-01-15,False,False,0,4,None,0,000300.XSHG:2020-01-14:4189.8900:4151.7060:above|399101.XSHE:2020-01-14:10306.2700:10060.7990:above|399006.XSHE:2020-01-14:1922.5600:1875.7660:above|000510.XSHG:2020-01-14:4650.2360:4591.1172:above
2020-01-16,False,False,0,4,None,0,000300.XSHG:2020-01-15:4166.7300:4158.7210:above|399101.XSHE:2020-01-15:10298.8100:10123.1250:above|399006.XSHE:2020-01-15:1924.2400:1888.3780:above|000510.XSHG:2020-01-15:4631.1226:4604.0404:above
2020-01-17,False,False,1,3,None,0,000300.XSHG:2020-01-16:4149.0400:4158.4010:below|399101.XSHE:2020-01-16:10276.5800:10161.7730:above|399006.XSHE:2020-01-16:1929.9600:1898.1000:above|000510.XSHG:2020-01-16:4617.9091:4608.6833:above
2020-01-20,False,False,1,3,None,0,000300.XSHG:2020-01-17:4154.8500:4159.3900:below|399101.XSHE:2020-01-17:10226.6600:10191.0510:above|399006.XSHE:2020-01-17:1932.5100:1907.7500:above|000510.XSHG:2020-01-17:4621.5308:4613.9749:above
2020-01-21,False,False,0,4,None,0,000300.XSHG:2020-01-20:4185.8300:4165.0430:above|399101.XSHE:2020-01-20:10376.3800:10227.0220:above|399006.XSHE:2020-01-20:1982.1800:1919.9760:above|000510.XSHG:2020-01-20:4668.4314:4624.4019:above
2020-01-22,False,False,2,2,None,0,000300.XSHG:2020-01-21:4114.3100:4160.4510:below|399101.XSHE:2020-01-21:10255.3200:10238.5210:above|399006.XSHE:2020-01-21:1967.0300:1927.3580:above|000510.XSHG:2020-01-21:4594.1687:4623.4151:below
2020-01-23,False,False,2,2,None,0,000300.XSHG:2020-01-22:4131.9300:4162.4120:below|399101.XSHE:2020-01-22:10347.1300:10272.8270:above|399006.XSHE:2020-01-22:1993.9000:1940.4780:above|000510.XSHG:2020-01-22:4623.6921:4630.2954:below
2020-02-03,False,True,4,0,2020-02-03,0,000300.XSHG:2020-01-23:4003.9000:4146.3650:below|399101.XSHE:2020-01-23:10006.1700:10256.1900:below|399006.XSHE:2020-01-23:1927.7400:1941.9380:below|000510.XSHG:2020-01-23:4478.9556:4616.4980:below
2020-02-04,True,True,4,0,2020-02-04,2,000300.XSHG:2020-02-03:3688.3600:4098.8830:below|399101.XSHE:2020-02-03:9161.7900:10157.0360:below|399006.XSHE:2020-02-03:1795.7700:1931.0960:below|000510.XSHG:2020-02-03:4132.4446:4568.3264:below
2020-02-05,True,True,4,0,2020-02-05,2,000300.XSHG:2020-02-04:3785.6400:4057.0480:below|399101.XSHE:2020-02-04:9331.4300:10058.6540:below|399006.XSHE:2020-02-04:1882.6900:1925.8580:below|000510.XSHG:2020-02-04:4251.5118:4527.0003:below
2020-02-06,True,True,3,1,2020-02-06,2,000300.XSHG:2020-02-05:3828.5300:4020.9120:below|399101.XSHE:2020-02-05:9574.6500:9985.4920:below|399006.XSHE:2020-02-05:1939.6200:1927.5640:above|000510.XSHG:2020-02-05:4316.9219:4493.6689:below
