date,requested,fetched,total_cached
2020-01-02,114,34,114
2020-01-03,114,34,114
2020-01-06,114,34,114
2020-01-07,114,34,114
2020-01-08,114,34,114
2020-01-09,114,34,114
2020-01-10,114,34,114
2020-01-13,114,34,114
2020-01-14,114,34,114
2020-01-15,114,34,114
2020-01-16,114,34,114
2020-01-17,114,34,114
2020-01-20,114,34,114
2020-01-21,114,34,114
2020-01-22,114,35,114
2020-01-23,114,35,114
2020-02-03,114,35,114
2020-02-04,114,35,114
2020-02-05,114,35,114
2020-02-06,114,35,114
2020-02-07,114,35,114
2020-02-10,114,35,114
2020-02-11,114,35,114
2020-02-12,114,35,114
2020-02-13,114,37,114
2020-02-14,114,37,114
2020-02-17,114,37,114
2020-02-18,114,37,114
2020-02-19,114,37,114
2020-02-20,114,37,114
2020-02-21,114,37,114
2020-02-24,114,37,114
2020-02-25,114,37,114
2020-02-26,114,37,114
2020-02-27,114,37,114
2020-02-28,114,37,114
2020-03-02,114,37,114
2020-03-03,114,37,114
2020-03-04,114,37,114
2020-03-05,114,39,114
2020-03-06,114,39,114
2020-03-09,114,40,114
2020-03-10,114,40,114
2020-03-11,114,40,114
2020-03-12,114,40,114
2020-03-13,114,40,114
2020-03-16,114,40,114
2020-03-17,114,40,114
2020-03-18,114,40,114
2020-03-19,114,40,114
2020-03-20,114,40,114
2020-03-23,114,40,114
2020-03-24,114,40,114
2020-03-25,114,40,114
2020-03-26,114,40,114
2020-03-27,114,40,114
2020-03-30,114,40,114
2020-03-31,114,41,114
2020-04-01,114,41,114
2020-04-02,114,41,114
2020-04-03,114,41,114
2020-04-07,114,41,114
2020-04-08,114,41,114
2020-04-09,114,41,114
2020-04-10,114,42,114
2020-04-13,114,42,114
2020-04-14,114,42,114
2020-04-15,114,43,114
2020-04-16,114,44,114
2020-04-17,114,44,114
2020-04-20,114,44,114
2020-04-21,114,44,114
2020-04-22,114,44,114
2020-04-23,114,44,114
2020-04-24,114,44,114
2020-04-27,114,44,114
2020-04-28,114,44,114
2020-04-29,114,44,114
2020-04-30,114,44,114
2020-05-06,114,44,114
2020-05-07,114,44,114
2020-05-08,114,44,114
2020-05-11,114,44,114
2020-05-12,114,44,114
2020-05-13,114,44,114
2020-05-14,114,44,114
2020-05-15,114,44,114
2020-05-18,114,44,114
2020-05-19,114,44,114
2020-05-20,114,44,114
2020-05-21,114,44,114
2020-05-22,114,44,114
2020-05-25,114,44,114
2020-05-26,114,44,114
2020-05-27,114,44,114
2020-05-28,114,44,114
2020-05-29,114,44,114
2020-06-01,114,44,114
2020-06-02,114,44,114
2020-06-03,114,44,114
2020-06-04,114,44,114
2020-06-05,114,44,114
2020-06-08,114,44,114
2020-06-09,114,44,114
2020-06-10,114,44,114
2020-06-11,114,44,114
2020-06-12,114,44,114
2020-06-15,114,44,114
2020-06-16,114,44,114
2020-06-17,114,44,114
2020-06-18,114,44,114
2020-06-19,114,44,114
2020-06-22,114,44,114
2020-06-23,114,44,114
2020-06-24,114,44,114
2020-06-29,114,44,114
2020-06-30,114,44,114
2020-07-01,114,44,114
2020-07-02,114,44,114
2020-07-03,114,44,114
2020-07-06,114,44,114
2020-07-07,114,44,114
2020-07-08,114,44,114
2020-07-09,114,44,114
2020-07-10,114,44,114
2020-07-13,114,44,114
2020-07-14,114,44,114
2020-07-15,114,44,114
2020-07-16,114,44,114
2020-07-17,114,44,114
2020-07-20,114,44,114
2020-07-21,114,44,114
2020-07-22,114,44,114
2020-07-23,114,44,114
2020-07-24,114,44,114
2020-07-27,114,44,114
2020-07-28,114,44,114
2020-07-29,114,44,114
2020-07-30,114,44,114
2020-07-31,114,44,114
2020-08-03,114,44,114
2020-08-04,114,44,114
2020-08-05,114,44,114
2020-08-06,114,44,114
2020-08-07,114,44,114
2020-08-10,114,44,114
2020-08-11,114,44,114
2020-08-12,114,44,114
2020-08-13,114,44,114
2020-08-14,114,44,114
2020-08-17,114,44,114
2020-08-18,114,44,114
2020-08-19,114,44,114
2020-08-20,114,44,114
2020-08-21,114,44,114
2020-08-24,114,44,114
2020-08-25,114,44,114
2020-08-26,114,44,114
2020-08-27,114,44,114
2020-08-28,114,44,114
2020-08-31,114,44,114
2020-09-01,114,44,114
2020-09-02,114,44,114
2020-09-03,114,44,114
2020-09-04,114,44,114
2020-09-07,114,44,114
2020-09-08,114,44,114
2020-09-09,114,44,114
2020-09-10,114,44,114
2020-09-11,114,44,114
2020-09-14,114,45,114
2020-09-15,114,45,114
2020-09-16,114,45,114
2020-09-17,114,45,114
2020-09-18,114,45,114
2020-09-21,114,45,114
2020-09-22,114,45,114
2020-09-23,114,45,114
2020-09-24,114,45,114
2020-09-25,114,45,114
2020-09-28,114,46,114
2020-09-29,114,46,114
2020-09-30,114,46,114
2020-10-09,114,46,114
2020-10-12,114,46,114
2020-10-13,114,46,114
2020-10-14,114,46,114
2020-10-15,114,46,114
2020-10-16,114,46,114
2020-10-19,114,46,114
2020-10-20,114,46,114
2020-10-21,114,46,114
2020-10-22,114,46,114
2020-10-23,114,46,114
2020-10-26,114,46,114
2020-10-27,114,46,114
2020-10-28,114,46,114
2020-10-29,114,46,114
2020-10-30,114,46,114
2020-11-02,114,46,114
2020-11-03,114,46,114
2020-11-04,114,46,114
2020-11-05,114,46,114
2020-11-06,114,46,114
2020-11-09,114,46,114
2020-11-10,114,46,114
2020-11-11,114,46,114
2020-11-12,114,46,114
2020-11-13,114,46,114
2020-11-16,114,46,114
2020-11-17,114,46,114
2020-11-18,114,46,114
2020-11-19,114,47,114
2020-11-20,114,47,114
2020-11-23,114,47,114
2020-11-24,114,47,114
2020-11-25,114,47,114
2020-11-26,114,47,114
2020-11-27,114,47,114
2020-11-30,114,47,114
2020-12-01,114,47,114
2020-12-02,114,47,114
2020-12-03,114,47,114
2020-12-04,114,47,114
2020-12-07,114,47,114
2020-12-08,114,47,114
2020-12-09,114,47,114
2020-12-10,114,47,114
2020-12-11,114,47,114
2020-12-14,114,47,114
2020-12-15,114,47,114
2020-12-16,114,47,114
2020-12-17,114,47,114
2020-12-18,114,47,114
2020-12-21,114,47,114
2020-12-22,114,47,114
2020-12-23,114,48,114
2020-12-24,114,48,114
2020-12-25,114,48,114
2020-12-28,114,48,114
2020-12-29,114,48,114
2020-12-30,114,48,114
2020-12-31,114,48,114
2021-01-04,114,49,114
2021-01-05,114,49,114
2021-01-06,114,49,114
2021-01-07,114,50,114
2021-01-08,114,50,114
2021-01-11,114,50,114
2021-01-12,114,50,114
2021-01-13,114,50,114
2021-01-14,114,50,114
2021-01-15,114,50,114
2021-01-18,114,51,114
2021-01-19,114,51,114
2021-01-20,114,51,114
2021-01-21,114,51,114
2021-01-22,114,51,114
2021-01-25,114,52,114
2021-01-26,114,52,114
2021-01-27,114,52,114
2021-01-28,114,52,114
2021-01-29,114,52,114
2021-02-01,114,52,114
2021-02-02,114,52,114
2021-02-03,114,52,114
2021-02-04,114,52,114
2021-02-05,114,52,114
2021-02-08,114,52,114
2021-02-09,114,52,114
2021-02-10,114,52,114
2021-02-18,114,53,114
2021-02-19,114,54,114
2021-02-22,114,54,114
2021-02-23,114,54,114
2021-02-24,114,54,114
2021-02-25,114,54,114
2021-02-26,114,54,114
2021-03-01,114,54,114
2021-03-02,114,54,114
2021-03-03,114,54,114
2021-03-04,114,55,114
2021-03-05,114,55,114
2021-03-08,114,56,114
2021-03-09,114,56,114
2021-03-10,114,57,114
2021-03-11,114,58,114
2021-03-12,114,58,114
2021-03-15,114,58,114
2021-03-16,114,58,114
2021-03-17,114,58,114
2021-03-18,114,58,114
2021-03-19,114,58,114
2021-03-22,114,58,114
2021-03-23,114,58,114
2021-03-24,114,59,114
2021-03-25,114,59,114
2021-03-26,114,59,114
2021-03-29,114,59,114
2021-03-30,114,59,114
2021-03-31,114,59,114
2021-04-01,114,59,114
2021-04-02,114,59,114
2021-04-06,114,59,114
2021-04-07,114,59,114
2021-04-08,114,59,114
2021-04-09,114,59,114
2021-04-12,114,60,114
2021-04-13,114,60,114
2021-04-14,114,60,114
2021-04-15,114,60,114
2021-04-16,114,60,114
2021-04-19,114,60,114
2021-04-20,114,60,114
2021-04-21,114,60,114
2021-04-22,114,60,114
2021-04-23,114,60,114
2021-04-26,114,60,114
2021-04-27,114,60,114
2021-04-28,114,60,114
2021-04-29,114,60,114
2021-04-30,114,60,114
2021-05-06,114,60,114
2021-05-07,114,60,114
2021-05-10,114,61,114
2021-05-11,114,61,114
2021-05-12,114,61,114
2021-05-13,114,61,114
2021-05-14,114,61,114
2021-05-17,114,61,114
2021-05-18,114,61,114
2021-05-19,114,61,114
2021-05-20,114,61,114
2021-05-21,114,61,114
2021-05-24,114,61,114
2021-05-25,114,61,114
2021-05-26,114,61,114
2021-05-27,114,61,114
2021-05-28,114,62,114
2021-05-31,114,62,114
2021-06-01,114,62,114
2021-06-02,114,62,114
2021-06-03,114,62,114
2021-06-04,114,62,114
2021-06-07,114,62,114
2021-06-08,114,62,114
2021-06-09,114,62,114
2021-06-10,114,62,114
