date,time,value,weak,pool,target,top10_raw
2020-01-02,15:30:00,998493.42,False,34,512400,"512400.SH:3.7378,512880.SH:3.6874,512980.SH:2.8606,159949.SZ:1.6300,512480.SH:1.5811,512200.SH:1.4867,512100.SH:1.3937,510900.SH:1.3137,512070.SH:1.2236,510500.SH:1.0694"
2020-01-03,15:30:00,1014772.62,False,34,512400,"512400.SH:4.5161,512880.SH:3.6553,512980.SH:3.1600,159949.SZ:1.5646,512100.SH:1.4486,512200.SH:1.4399,510900.SH:1.4229,512070.SH:1.2680,512480.SH:1.1753,510500.SH:1.1334"
2020-01-06,15:30:00,1030878.34,False,34,512880,"512880.SH:3.9295,512980.SH:3.8396,159949.SZ:1.7197,512100.SH:1.6473,512200.SH:1.4247,512070.SH:1.4050,510900.SH:1.3821,510500.SH:1.3062,501018.SH:1.2484,512480.SH:1.1625"
2020-01-07,15:30:00,1036755.25,False,34,512980,"512980.SH:4.3718,512880.SH:3.4307,512100.SH:1.7286,159949.SZ:1.6369,510500.SH:1.3582,512070.SH:1.2573,512200.SH:1.2533,159915.SZ:1.1941,510900.SH:1.1442,161226.SZ:1.0867"
2020-01-08,15:30:00,1010991.16,False,34,512880,"512880.SH:3.1470,512100.SH:1.8733,159949.SZ:1.6333,510500.SH:1.4829,161226.SZ:1.2970,159915.SZ:1.2911,512070.SH:1.1696,512200.SH:1.1531,512710.SH:1.0666,510300.SH:0.9826"
2020-01-09,15:30:00,1032801.75,False,34,512980,"512980.SH:4.9051,512100.SH:1.8458,159949.SZ:1.6160,510500.SH:1.4693,159915.SZ:1.3463,161226.SZ:1.1935,512710.SH:1.1215,512200.SH:0.9380,510300.SH:0.9327,512070.SH:0.9306"
2020-01-10,15:30:00,1026247.06,False,34,512100,"512100.SH:1.9056,159949.SZ:1.6872,510500.SH:1.4652,159915.SZ:1.4314,512710.SH:1.1326,513100.SH:1.0159,510300.SH:0.9127,512670.SH:0.9037,512660.SH:0.8635,512070.SH:0.8022"
2020-01-13,15:30:00,1039914.19,False,34,512100,"512100.SH:1.9912,512880.SH:1.8006,159949.SZ:1.7904,159915.SZ:1.6129,510500.SH:1.5215,512710.SH:1.1745,513100.SH:1.1449,512670.SH:0.9868,512660.SH:0.9606,510300.SH:0.9156"
2020-01-14,15:30:00,1037177.59,False,34,512100,"512100.SH:2.1147,159949.SZ:2.0117,159915.SZ:1.8197,512880.SH:1.7524,510500.SH:1.6614,513100.SH:1.2794,512710.SH:1.2121,512670.SH:1.0732,512660.SH:1.0693,512480.SH:1.0360"
2020-01-15,15:30:00,1039285.33,False,34,512980,"512980.SH:4.8152,512100.SH:2.0317,159949.SZ:1.9116,159915.SZ:1.8153,510500.SH:1.5952,513100.SH:1.4409,512880.SH:1.2892,512480.SH:1.2878,512710.SH:1.0468,159928.SZ:0.9838"
2020-01-16,15:30:00,1022520.82,False,34,512400,"512400.SH:4.9848,512980.SH:4.3399,512480.SH:2.1257,512100.SH:2.0386,159949.SZ:1.9907,159915.SZ:1.9367,513100.SH:1.6151,510500.SH:1.5745,159928.SZ:1.1275,512670.SH:1.0636"
2020-01-17,15:30:00,1019816.15,False,34,512400,"512400.SH:3.7397,512980.SH:3.6166,512480.SH:2.5846,159949.SZ:1.9184,159915.SZ:1.9126,512100.SH:1.8709,513100.SH:1.8420,510500.SH:1.4313,159928.SZ:1.1321,159967.SZ:1.0485"
2020-01-20,15:30:00,1033595.23,False,34,512480,"512480.SH:3.8960,512400.SH:3.0483,512980.SH:2.9811,159915.SZ:2.0724,159949.SZ:2.0545,513100.SH:1.9116,512100.SH:1.7267,515050.SH:1.3862,510500.SH:1.3520,159967.SZ:1.3501"
