date,log_date,time,weak,threshold,pool
2020-01-02,2020-01-02,09:40:00,False,475512.0,34
2020-01-03,2020-01-03,09:40:00,False,495519.0,34
2020-01-06,2020-01-06,09:40:00,False,479647.0,34
2020-01-07,2020-01-07,09:40:00,False,550912.0,34
2020-01-08,2020-01-08,09:40:00,False,519755.0,34
2020-01-09,2020-01-09,09:40:00,False,577827.0,34
2020-01-10,2020-01-10,09:40:00,False,550076.0,34
2020-01-13,2020-01-13,09:40:00,False,532116.0,34
2020-01-14,2020-01-14,09:40:00,False,478546.0,34
2020-01-15,2020-01-15,09:40:00,False,463909.0,34
2020-01-16,2020-01-16,09:40:00,False,468649.0,34
2020-01-17,2020-01-17,09:40:00,False,452205.0,34
2020-01-20,2020-01-20,09:40:00,False,432597.0,35
2020-01-21,2020-01-21,09:40:00,False,449043.0,35
2020-01-22,2020-01-22,09:40:00,False,518223.0,35
2020-01-23,2020-01-23,09:40:00,False,601812.0,35
2020-02-03,2020-02-03,09:40:00,True,688082.0,9
2020-02-04,2020-02-04,09:40:00,True,780234.0,9
2020-02-05,2020-02-05,09:40:00,True,816881.0,9
2020-02-06,2020-02-06,09:40:00,True,800546.0,9
2020-02-07,2020-02-07,09:40:00,True,709562.0,9
2020-02-10,2020-02-10,09:40:00,True,618103.0,9
2020-02-11,2020-02-11,09:40:00,False,589851.0,36
2020-02-12,2020-02-12,09:40:00,False,549894.0,37
2020-02-13,2020-02-13,09:40:00,False,565557.0,37
2020-02-14,2020-02-14,09:40:00,False,558489.0,37
2020-02-17,2020-02-17,09:40:00,False,582839.0,37
2020-02-18,2020-02-18,09:40:00,False,666506.0,36
2020-02-19,2020-02-19,09:40:00,False,753416.0,36
2020-02-20,2020-02-20,09:40:00,False,826493.0,36
2020-02-21,2020-02-21,09:40:00,False,848578.0,36
2020-02-24,2020-02-24,09:40:00,False,886677.0,36
2020-02-25,2020-02-25,09:40:00,False,970155.0,36
2020-02-26,2020-02-26,09:40:00,False,1198537.0,36
2020-02-27,2020-02-27,09:40:00,False,1350632.0,36
2020-02-28,2020-02-28,09:40:00,False,1377404.0,36
2020-03-02,2020-03-02,09:40:00,True,1308685.0,8
2020-03-03,2020-03-03,09:40:00,True,1218652.0,8
2020-03-04,2020-03-04,09:40:00,True,1229994.0,8
2020-03-05,2020-03-05,09:40:00,True,1123623.0,8
2020-03-06,2020-03-06,09:40:00,False,1119237.0,40
2020-03-09,2020-03-09,09:40:00,False,968551.0,40
2020-03-10,2020-03-10,09:40:00,True,970754.0,9
2020-03-11,2020-03-11,09:40:00,True,1005318.0,9
2020-03-12,2020-03-12,09:40:00,True,1118199.0,9
2020-03-13,2020-03-13,09:40:00,True,1062665.0,9
2020-03-16,2020-03-16,09:40:00,True,1088238.0,9
2020-03-17,2020-03-17,09:40:00,True,1133167.0,9
2020-03-18,2020-03-18,09:40:00,True,1242077.0,9
2020-03-19,2020-03-19,09:40:00,True,1177239.0,9
2020-03-20,2020-03-20,09:40:00,True,1216098.0,9
2020-03-23,2020-03-23,09:40:00,True,1133836.0,9
2020-03-24,2020-03-24,09:40:00,True,1136858.0,9
2020-03-25,2020-03-25,09:40:00,True,1062947.0,9
2020-03-26,2020-03-26,09:40:00,False,1155077.0,40
2020-03-27,2020-03-27,09:40:00,False,1032811.0,41
2020-03-30,2020-03-30,09:40:00,False,931736.0,41
2020-03-31,2020-03-31,09:40:00,True,797323.0,9
2020-04-01,2020-04-01,09:40:00,True,761569.0,9
2020-04-02,2020-04-02,09:40:00,True,722795.0,9
2020-04-03,2020-04-03,09:40:00,False,725583.0,41
2020-04-07,2020-04-07,09:40:00,False,704949.0,41
2020-04-08,2020-04-08,09:40:00,False,751055.0,42
2020-04-09,2020-04-09,09:40:00,False,664935.0,42
2020-04-10,2020-04-10,09:40:00,False,664763.0,42
