date,ths_weak,jq_weak,ths_target,jq_target,target_match,ths_pool,jq_pool,threshold_ratio,top10_overlap
2020-02-11,True,False,513100,513100,True,8,36,0.974034120481274,2
2020-03-31,False,True,159985,159985,True,41,9,0.997492860484396,1
2020-04-01,False,True,159985,511880,False,41,9,0.9972149601677588,0
2020-04-02,False,True,159985,511880,False,41,9,0.9977600841179034,0
2020-04-29,True,False,513100,513100,True,9,43,1.002190407514709,4
2020-04-30,True,False,513500,512690,False,9,44,1.0026020996031235,3
2020-05-19,False,True,512690,513100,False,44,9,0.995634255805706,2
2020-07-23,True,False,161226,513090,False,9,44,1.0039978692631828,1
2020-08-18,True,False,513500,513500,True,9,44,1.0038924710012962,4
2020-08-19,True,False,513500,512890,False,9,44,1.0042249417249418,3
2020-09-07,False,True,512690,159980,False,44,9,1.000138165402586,2
2020-09-23,False,True,159985,159985,True,44,9,1.0001437098573616,1
2020-11-23,True,False,513520,512690,False,9,47,1.0013186748652296,1
2020-12-10,False,True,512670,159980,False,46,9,0.9944553605121732,2
2020-12-11,False,True,159981,159980,False,46,9,0.9958210268753042,3
2020-12-18,True,False,159980,159981,False,9,46,1.0039141751945244,3
2020-12-21,True,False,159980,159981,False,9,47,0.9856690651905732,2
2021-02-09,True,False,501018,512800,False,9,54,0.9788873541434862,2
2021-02-24,False,True,501018,501018,True,54,9,0.9915696688390336,2
2021-05-07,False,True,159949,159980,False,59,9,0.9883492081636304,3
2021-06-04,False,True,512690,501018,False,61,9,0.9895971309936492,0
2021-06-08,False,True,512670,501018,False,61,9,0.9900384541457294,0
2021-06-09,False,True,512480,501018,False,62,9,0.9913209369829076,0
2021-06-10,False,True,159995,501018,False,62,9,0.9916556790356,0
2021-06-15,False,True,159995,501018,False,61,9,0.986764535034618,0
2021-06-16,False,True,159995,501018,False,61,9,0.9855170844963116,0
2021-06-24,True,False,501018,159851,False,9,65,0.9917612228814772,1
2021-07-19,False,True,159870,159985,False,64,9,0.984703431014834,1
2021-07-20,False,True,159870,159985,False,64,9,0.9858226987436444,1
2021-07-26,False,True,515210,159980,False,64,9,0.9879424015940492,1
2021-08-03,True,False,159980,512670,False,9,67,0.9904562102472806,2
2021-08-04,True,False,513100,512670,False,9,67,0.9849055432133365,2
2021-08-16,False,True,512660,513500,False,65,9,0.9826657158635776,2
2021-08-25,True,False,513500,515220,False,9,69,0.986693828556344,1
2021-08-27,False,True,515210,513500,False,67,9,0.9854025197522956,0
2021-08-30,False,True,515210,513500,False,67,9,0.983314602257652,0
2021-09-01,False,True,510880,513100,False,67,9,0.9872366122673056,1
2021-09-02,False,True,510880,513100,False,67,9,0.9870188198507972,1
2021-09-03,False,True,510880,513100,False,67,9,0.9885664296799364,1
2021-09-07,True,False,513100,510880,False,9,69,0.98714709701674,0
2021-09-16,False,True,159869,513520,False,67,9,0.9840615375904652,1
2021-10-11,True,False,501018,501018,True,9,71,0.989243630729706,1
2021-10-12,True,False,501018,501018,True,9,70,0.9885173768018238,1
2021-10-14,True,False,501018,501018,True,9,71,0.990224528745203,1
2021-10-15,True,False,501018,501018,True,9,71,0.990268652381742,2
2021-11-01,True,False,513500,515790,False,9,71,0.9847941350662792,0
2021-11-02,True,False,501018,515790,False,9,71,0.9860011813349084,1
2021-11-03,True,False,513500,516520,False,9,71,0.9865416169960374,0
2021-11-04,True,False,513100,516520,False,9,71,0.9844642571678912,0
2021-11-05,True,False,513100,516520,False,9,70,0.985209511295024,0
2021-11-08,True,False,513100,516520,False,9,72,0.9846221145035912,1
2021-11-09,True,False,513100,516520,False,9,72,0.9847703876409636,1
2021-11-10,True,False,513100,512670,False,9,71,0.9865723581902198,1
2021-11-11,True,False,513500,512670,False,9,71,0.9891067795808298,0
2021-11-19,False,True,512670,513100,False,69,9,0.9841766132762876,1
2021-12-06,True,False,159985,562800,False,9,72,0.9741094026131696,0
2021-12-09,True,False,159985,516150,False,9,72,0.9857825203643809,0
2021-12-29,True,False,159985,512980,False,9,72,0.986234933049526,1
2022-01-04,True,False,159985,512980,False,9,74,0.982534452984425,2
2022-02-17,True,False,159980,501018,False,9,74,0.9896443808652826,1
2022-02-23,False,True,515220,501018,False,72,9,0.9899947901727438,3
2022-03-03,False,True,159985,501018,False,72,9,0.9891278620232592,3
2022-03-31,True,False,513100,513100,True,9,73,0.9930502849036992,1
2022-05-09,False,True,501018,501018,True,72,9,0.994838251274764,2
2022-05-10,False,True,511880,511880,True,71,9,0.9847851683089136,0
2022-05-31,True,False,501018,159755,False,9,75,0.9886436477713632,0
2022-07-07,False,True,159840,511880,False,72,9,0.9868807741175964,0
2022-07-08,False,True,515120,511880,False,72,9,0.9859988138629028,0
2022-07-11,False,True,515120,511880,False,72,9,0.9823880767804924,0
2022-08-11,False,True,513100,513100,True,73,9,0.9827708244107608,6
2022-08-22,False,True,513500,513500,True,74,9,0.9837133710280492,2
2022-09-13,True,False,159985,515220,False,10,78,0.989263008150236,1
2022-09-14,True,False,159985,512890,False,10,78,0.988503739951624,1
2022-09-15,True,False,159985,512890,False,10,78,0.9896951419681542,1
2022-11-22,False,True,159605,513030,False,79,10,0.9922546387327952,1
2022-12-01,True,False,513030,513090,False,9,80,0.9972159653904482,2
2022-12-14,False,True,513330,161226,False,77,9,0.99223050113736,0
2022-12-15,False,True,512690,161226,False,78,9,0.9887247405153208,0
2022-12-16,False,True,515170,159985,False,78,9,0.989679098763734,0
2022-12-28,True,False,159985,512690,False,10,79,0.9930693587916314,2
2023-02-07,False,True,562500,513030,False,79,11,0.9926883246878698,0
2023-02-08,False,True,515400,513310,False,79,11,0.9940708685937962,0
2023-02-22,True,False,511880,159869,False,11,82,0.9912569259685684,0
2023-03-02,True,False,511880,515880,False,11,82,0.9947574414312936,0
2023-03-03,True,False,511880,515880,False,11,82,0.9934502059621212,0
2023-03-06,True,False,513030,515880,False,11,82,0.9935906200180792,0
2023-03-07,True,False,513030,512890,False,11,82,0.9883672788628312,0
2023-03-22,True,False,518880,588200,False,11,83,0.9915767885912888,1
2023-04-18,True,False,513030,513310,False,11,83,0.9864851595837184,0
