date,input,output,threshold,selected,selected_raw,rejected_sample
2020-07-17,17,9,1717903.0,"['159980', '159985', '161226', '501018', '513030', '513100', '513500', '513520', '518880']","159980.XSHE,159985.XSHE,161226.XSHE,501018.XSHG,513030.XSHG,513100.XSHG,513500.XSHG,513520.XSHG,518880.XSHG",520830.XSHG:0|513400.XSHG:0|513310.XSHG:0|513290.XSHG:0|159529.XSHE:0|159518.XSHE:0|159509.XSHE:0|159502.XSHE:0
2020-12-14,17,9,789122.0,"['159980', '159985', '161226', '501018', '513030', '513100', '513500', '513520', '518880']","159980.XSHE,159985.XSHE,161226.XSHE,501018.XSHG,513030.XSHG,513100.XSHG,513500.XSHG,513520.XSHG,518880.XSHG",520830.XSHG:0|513400.XSHG:0|513310.XSHG:0|513290.XSHG:0|159529.XSHE:0|159518.XSHE:0|159509.XSHE:0|159502.XSHE:0
2021-04-20,114,62,763220.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']","159819.XSHE,159825.XSHE,159851.XSHE,159852.XSHE,159865.XSHE,159869.XSHE,159870.XSHE,159915.XSHE,159928.XSHE,159949.XSHE,159967.XSHE,159980.XSHE,159981.XSHE,159985.XSHE,159992.XSHE,159995.XSHE,159998.XSHE,161226.XSHE,501018.XSHG,510300.XSHG,510500.XSHG,510760.XSHG,510880.XSHG,510900.XSHG,511380.XSHG,512010.XSHG,512070.XSHG,512100.XSHG,512170.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512670.XSHG,512690.XSHG,512710.XSHG,512800.XSHG,512880.XSHG,512890.XSHG,512980.XSHG,513030.XSHG,513090.XSHG,513100.XSHG,513330.XSHG,513500.XSHG,513520.XSHG,515030.XSHG,515050.XSHG,515120.XSHG,515170.XSHG,515210.XSHG,515220.XSHG,515400.XSHG,515790.XSHG,515880.XSHG,515980.XSHG,516150.XSHG,516160.XSHG,516510.XSHG,516520.XSHG,518880.XSHG,588080.XSHG",588790.XSHG:0|588220.XSHG:0|159892.XSHE:0|159883.XSHE:0|159840.XSHE:0|159766.XSHE:0|159755.XSHE:0|159732.XSHE:0|159667.XSHE:0|159638.XSHE:0|159611.XSHE:0|159605.XSHE:0|159583.XSHE:0|159566.XSHE:0|159529.XSHE:0|159518.XSHE:0|159516.XSHE:0|159509.XSHE:0|159502.XSHE:0|159363.XSHE:0
2021-05-26,114,63,956573.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512980', '513030', '513090', '513100', '513180', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']","159819.XSHE,159825.XSHE,159851.XSHE,159852.XSHE,159865.XSHE,159869.XSHE,159870.XSHE,159883.XSHE,159915.XSHE,159928.XSHE,159949.XSHE,159967.XSHE,159980.XSHE,159981.XSHE,159985.XSHE,159992.XSHE,159995.XSHE,159998.XSHE,161226.XSHE,501018.XSHG,510300.XSHG,510500.XSHG,510760.XSHG,510880.XSHG,510900.XSHG,511380.XSHG,512010.XSHG,512070.XSHG,512100.XSHG,512170.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512670.XSHG,512690.XSHG,512710.XSHG,512800.XSHG,512880.XSHG,512980.XSHG,513030.XSHG,513090.XSHG,513100.XSHG,513180.XSHG,513330.XSHG,513500.XSHG,513520.XSHG,515030.XSHG,515050.XSHG,515120.XSHG,515170.XSHG,515210.XSHG,515220.XSHG,515400.XSHG,515790.XSHG,515880.XSHG,515980.XSHG,516150.XSHG,516160.XSHG,516510.XSHG,516520.XSHG,518880.XSHG,588080.XSHG",512890.XSHG:608723|588790.XSHG:0|159566.XSHE:0|159892.XSHE:0|159840.XSHE:0|159766.XSHE:0|159755.XSHE:0|159732.XSHE:0|159667.XSHE:0|159638.XSHE:0|159611.XSHE:0|159605.XSHE:0|159583.XSHE:0|159529.XSHE:0|159518.XSHE:0|159516.XSHE:0|159509.XSHE:0|159502.XSHE:0|159363.XSHE:0|159326.XSHE:0
2021-05-27,114,64,1036801.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']","159819.XSHE,159825.XSHE,159851.XSHE,159852.XSHE,159865.XSHE,159869.XSHE,159870.XSHE,159883.XSHE,159915.XSHE,159928.XSHE,159949.XSHE,159967.XSHE,159980.XSHE,159981.XSHE,159985.XSHE,159992.XSHE,159995.XSHE,159998.XSHE,161226.XSHE,501018.XSHG,510300.XSHG,510500.XSHG,510760.XSHG,510880.XSHG,510900.XSHG,511380.XSHG,512010.XSHG,512070.XSHG,512100.XSHG,512170.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512670.XSHG,512690.XSHG,512710.XSHG,512800.XSHG,512880.XSHG,512890.XSHG,512980.XSHG,513030.XSHG,513090.XSHG,513100.XSHG,513180.XSHG,513330.XSHG,513500.XSHG,513520.XSHG,515030.XSHG,515050.XSHG,515120.XSHG,515170.XSHG,515210.XSHG,515220.XSHG,515400.XSHG,515790.XSHG,515880.XSHG,515980.XSHG,516150.XSHG,516160.XSHG,516510.XSHG,516520.XSHG,518880.XSHG,588080.XSHG",588790.XSHG:0|159566.XSHE:0|159892.XSHE:0|159840.XSHE:0|159766.XSHE:0|159755.XSHE:0|159732.XSHE:0|159667.XSHE:0|159638.XSHE:0|159611.XSHE:0|159605.XSHE:0|159583.XSHE:0|159529.XSHE:0|588220.XSHG:0|159518.XSHE:0|159516.XSHE:0|159509.XSHE:0|159502.XSHE:0|159363.XSHE:0|159326.XSHE:0
2021-05-28,114,64,1093641.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']","159819.XSHE,159825.XSHE,159851.XSHE,159852.XSHE,159865.XSHE,159869.XSHE,159870.XSHE,159883.XSHE,159915.XSHE,159928.XSHE,159949.XSHE,159967.XSHE,159980.XSHE,159981.XSHE,159985.XSHE,159992.XSHE,159995.XSHE,159998.XSHE,161226.XSHE,501018.XSHG,510300.XSHG,510500.XSHG,510760.XSHG,510880.XSHG,510900.XSHG,511380.XSHG,512010.XSHG,512070.XSHG,512100.XSHG,512170.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512670.XSHG,512690.XSHG,512710.XSHG,512800.XSHG,512880.XSHG,512890.XSHG,512980.XSHG,513030.XSHG,513090.XSHG,513100.XSHG,513180.XSHG,513330.XSHG,513500.XSHG,513520.XSHG,515030.XSHG,515050.XSHG,515120.XSHG,515170.XSHG,515210.XSHG,515220.XSHG,515400.XSHG,515790.XSHG,515880.XSHG,515980.XSHG,516150.XSHG,516160.XSHG,516510.XSHG,516520.XSHG,518880.XSHG,588080.XSHG",588790.XSHG:0|159566.XSHE:0|159892.XSHE:0|159840.XSHE:0|159766.XSHE:0|159755.XSHE:0|159732.XSHE:0|159667.XSHE:0|159638.XSHE:0|159611.XSHE:0|159605.XSHE:0|159583.XSHE:0|159529.XSHE:0|588220.XSHG:0|159518.XSHE:0|159516.XSHE:0|159509.XSHE:0|159502.XSHE:0|159363.XSHE:0|159326.XSHE:0
2021-05-31,114,64,960844.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']","159819.XSHE,159825.XSHE,159851.XSHE,159852.XSHE,159865.XSHE,159869.XSHE,159870.XSHE,159883.XSHE,159915.XSHE,159928.XSHE,159949.XSHE,159967.XSHE,159980.XSHE,159981.XSHE,159985.XSHE,159992.XSHE,159995.XSHE,159998.XSHE,161226.XSHE,501018.XSHG,510300.XSHG,510500.XSHG,510760.XSHG,510880.XSHG,510900.XSHG,511380.XSHG,512010.XSHG,512070.XSHG,512100.XSHG,512170.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512670.XSHG,512690.XSHG,512710.XSHG,512800.XSHG,512880.XSHG,512890.XSHG,512980.XSHG,513030.XSHG,513090.XSHG,513100.XSHG,513180.XSHG,513330.XSHG,513500.XSHG,513520.XSHG,515030.XSHG,515050.XSHG,515120.XSHG,515170.XSHG,515210.XSHG,515220.XSHG,515400.XSHG,515790.XSHG,515880.XSHG,515980.XSHG,516150.XSHG,516160.XSHG,516510.XSHG,516520.XSHG,518880.XSHG,588080.XSHG",588790.XSHG:0|159566.XSHE:0|159892.XSHE:0|159840.XSHE:0|159766.XSHE:0|159755.XSHE:0|159732.XSHE:0|159667.XSHE:0|159638.XSHE:0|159611.XSHE:0|159605.XSHE:0|159583.XSHE:0|159529.XSHE:0|588220.XSHG:0|159518.XSHE:0|159516.XSHE:0|159509.XSHE:0|159502.XSHE:0|159363.XSHE:0|159326.XSHE:0
2021-06-03,114,64,939950.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']","159819.XSHE,159825.XSHE,159851.XSHE,159852.XSHE,159865.XSHE,159869.XSHE,159870.XSHE,159883.XSHE,159915.XSHE,159928.XSHE,159949.XSHE,159967.XSHE,159980.XSHE,159981.XSHE,159985.XSHE,159992.XSHE,159995.XSHE,159998.XSHE,161226.XSHE,501018.XSHG,510300.XSHG,510500.XSHG,510760.XSHG,510880.XSHG,510900.XSHG,511380.XSHG,512010.XSHG,512070.XSHG,512100.XSHG,512170.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512670.XSHG,512690.XSHG,512710.XSHG,512800.XSHG,512880.XSHG,512890.XSHG,512980.XSHG,513030.XSHG,513090.XSHG,513100.XSHG,513180.XSHG,513330.XSHG,513500.XSHG,513520.XSHG,515030.XSHG,515050.XSHG,515120.XSHG,515170.XSHG,515210.XSHG,515220.XSHG,515400.XSHG,515790.XSHG,515880.XSHG,515980.XSHG,516150.XSHG,516160.XSHG,516510.XSHG,516520.XSHG,518880.XSHG,588080.XSHG",588790.XSHG:0|159566.XSHE:0|159892.XSHE:0|159840.XSHE:0|159766.XSHE:0|159755.XSHE:0|159732.XSHE:0|159667.XSHE:0|159638.XSHE:0|159611.XSHE:0|159605.XSHE:0|159583.XSHE:0|159529.XSHE:0|588220.XSHG:0|159518.XSHE:0|159516.XSHE:0|159509.XSHE:0|159502.XSHE:0|159363.XSHE:0|159326.XSHE:0
2021-07-01,114,66,846645.0,"['159755', '159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']","159755.XSHE,159819.XSHE,159825.XSHE,159851.XSHE,159852.XSHE,159865.XSHE,159869.XSHE,159870.XSHE,159883.XSHE,159915.XSHE,159928.XSHE,159949.XSHE,159967.XSHE,159980.XSHE,159981.XSHE,159985.XSHE,159992.XSHE,159995.XSHE,159998.XSHE,161226.XSHE,501018.XSHG,510300.XSHG,510500.XSHG,510760.XSHG,510880.XSHG,510900.XSHG,511380.XSHG,512010.XSHG,512070.XSHG,512100.XSHG,512170.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512670.XSHG,512690.XSHG,512710.XSHG,512800.XSHG,512880.XSHG,512890.XSHG,512980.XSHG,513030.XSHG,513090.XSHG,513100.XSHG,513180.XSHG,513330.XSHG,513360.XSHG,513500.XSHG,513520.XSHG,515030.XSHG,515050.XSHG,515120.XSHG,515170.XSHG,515210.XSHG,515220.XSHG,515400.XSHG,515790.XSHG,515880.XSHG,515980.XSHG,516150.XSHG,516160.XSHG,516510.XSHG,516520.XSHG,518880.XSHG,588080.XSHG",588790.XSHG:0|588220.XSHG:0|159892.XSHE:0|159840.XSHE:0|159766.XSHE:0|159732.XSHE:0|159667.XSHE:0|159638.XSHE:0|159611.XSHE:0|159605.XSHE:0|159583.XSHE:0|159566.XSHE:0|159529.XSHE:0|159518.XSHE:0|159516.XSHE:0|159509.XSHE:0|159502.XSHE:0|159363.XSHE:0|159326.XSHE:0|159323.XSHE:0
2021-07-02,114,66,866937.0,"['159755', '159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']","159755.XSHE,159819.XSHE,159825.XSHE,159851.XSHE,159852.XSHE,159865.XSHE,159869.XSHE,159870.XSHE,159883.XSHE,159915.XSHE,159928.XSHE,159949.XSHE,159967.XSHE,159980.XSHE,159981.XSHE,159985.XSHE,159992.XSHE,159995.XSHE,159998.XSHE,161226.XSHE,501018.XSHG,510300.XSHG,510500.XSHG,510760.XSHG,510880.XSHG,510900.XSHG,511380.XSHG,512010.XSHG,512070.XSHG,512100.XSHG,512170.XSHG,512200.XSHG,512400.XSHG,512480.XSHG,512660.XSHG,512670.XSHG,512690.XSHG,512710.XSHG,512800.XSHG,512880.XSHG,512890.XSHG,512980.XSHG,513030.XSHG,513090.XSHG,513100.XSHG,513180.XSHG,513330.XSHG,513360.XSHG,513500.XSHG,513520.XSHG,515030.XSHG,515050.XSHG,515120.XSHG,515170.XSHG,515210.XSHG,515220.XSHG,515400.XSHG,515790.XSHG,515880.XSHG,515980.XSHG,516150.XSHG,516160.XSHG,516510.XSHG,516520.XSHG,518880.XSHG,588080.XSHG",588790.XSHG:0|588220.XSHG:0|159892.XSHE:0|159840.XSHE:0|159766.XSHE:0|159732.XSHE:0|159667.XSHE:0|159638.XSHE:0|159611.XSHE:0|159605.XSHE:0|159583.XSHE:0|159566.XSHE:0|159529.XSHE:0|159518.XSHE:0|159516.XSHE:0|159509.XSHE:0|159502.XSHE:0|159363.XSHE:0|159326.XSHE:0|159323.XSHE:0
