date,value,positions,positions_raw
2020-01-02,998546.1,['512400'],512400.XSHG:1354100:996617.60
2020-01-03,1014790.1,['512400'],512400.XSHG:1353900:1012717.20
2020-01-06,1029981.85,['512880'],512880.XSHG:983700:1027966.50
2020-01-07,1035940.75,['512980'],512980.XSHG:1108200:1033950.60
2020-01-08,1012423.87,['512880'],512880.XSHG:989600:1010381.60
2020-01-09,1034326.23,['512980'],512980.XSHG:1122100:1032332.00
2020-01-10,1025387.41,['512100'],512100.XSHG:1364500:1023375.00
2020-01-13,1039027.01,['512100'],512100.XSHG:1364400:1036944.00
2020-01-14,1036298.21,['512100'],512100.XSHG:1364400:1034215.20
2020-01-15,1039638.07,['512980'],512980.XSHG:1125400:1037618.80
2020-01-16,1021651.65,['512400'],512400.XSHG:1350500:1019627.50
2020-01-17,1018945.25,['512400'],512400.XSHG:1350400:1016851.20
2020-01-20,1033563.2,['512480'],512480.XSHG:588800:1031577.60
2020-01-21,1024083.44,['159915'],159915.XSHE:540200:1022058.40
2020-01-22,1047620.97,['515050'],515050.XSHG:899100:1045653.30
2020-01-23,1000443.93,['159949'],159949.XSHE:1404400:998528.40
2020-02-03,933985.84,['518880'],518880.XSHG:264800:932096.00
2020-02-04,926571.44,['518880'],518880.XSHG:264800:924681.60
2020-02-05,920481.04,['518880'],518880.XSHG:264800:918591.20
2020-02-06,912884.47,['513100'],513100.XSHG:247300:910558.60
2020-02-07,919550.97,['513100'],513100.XSHG:247400:917606.60
2020-02-10,925241.17,['513100'],513100.XSHG:247400:923296.80
2020-02-11,959629.77,['513100'],513100.XSHG:247400:957685.40
2020-02-12,984362.07,['513100'],513100.XSHG:247300:982028.30
2020-02-13,1019598.46,['512170'],512170.XSHG:699900:1017654.60
2020-02-14,1015395.06,['512170'],512170.XSHG:699800:1013310.40
2020-02-17,1048980.16,['512170'],512170.XSHG:699700:1046751.20
2020-02-18,1053878.06,['512170'],512170.XSHG:699700:1051649.10
2020-02-19,1030787.96,['512170'],512170.XSHG:699700:1028559.00
2020-02-20,1051024.95,['159949'],159949.XSHE:1290300:1049013.90
2020-02-21,1070375.85,['159949'],159949.XSHE:1290100:1068202.80
2020-02-24,1089842.81,['159915'],159915.XSHE:499300:1087475.40
2020-02-25,1098330.91,['159915'],159915.XSHE:499300:1095963.50
2020-02-26,1049724.51,['159967'],159967.XSHE:716500:1047523.00
2020-02-27,1056555.31,['512670'],512670.XSHG:846300:1054489.80
2020-02-28,994794.07,['518880'],518880.XSHG:274000:992702.00
2020-03-02,970858.65,['511880'],511880.XSHG:9600:965424.00
2020-03-03,970569.25,['159985'],159985.XSHE:1000700:968677.60
2020-03-04,970564.65,['159985'],159985.XSHE:1000600:968580.80
2020-03-05,971565.25,['159985'],159985.XSHE:1000600:969581.40
2020-03-06,963808.75,['515050'],515050.XSHG:780100:961863.30
2020-03-09,920728.63,['512170'],512170.XSHG:584500:918834.00
2020-03-10,919339.93,['511880'],511880.XSHG:9100:915332.60
2020-03-11,921318.25,['518880'],518880.XSHG:252000:919296.00
2020-03-12,909949.86,['511880'],511880.XSHG:9000:905589.00
2020-03-13,909985.86,['511880'],511880.XSHG:9000:905625.00
2020-03-16,899569.28,['159985'],159985.XSHE:936200:897815.80
2020-03-17,900500.58,['159985'],159985.XSHE:936100:898656.00
2020-03-18,898628.38,['159985'],159985.XSHE:936100:896783.80
2020-03-19,890026.07,['511880'],511880.XSHG:8800:885808.00
2020-03-20,890846.66,['159985'],159985.XSHE:910000:889070.00
2020-03-23,938160.26,['159985'],159985.XSHE:909900:936287.10
2020-03-24,925421.66,['159985'],159985.XSHE:909900:923548.50
2020-03-25,940885.36,['159985'],159985.XSHE:909800:938913.60
2020-03-26,916314.66,['159985'],159985.XSHE:909900:914449.50
2020-03-27,927233.46,['159985'],159985.XSHE:909900:925368.30
2020-03-30,935418.66,['159985'],159985.XSHE:909800:933454.80
2020-03-31,932689.26,['159985'],159985.XSHE:909800:930725.40
2020-04-01,914275.36,['511880'],511880.XSHG:9000:906462.00
2020-04-02,914284.36,['511880'],511880.XSHG:9000:906471.00
2020-04-03,910513.05,['159985'],159985.XSHE:931100:908753.60
2020-04-07,912175.52,['511880'],511880.XSHG:9000:906714.00
2020-04-08,912247.52,['511880'],511880.XSHG:9000:906786.00
2020-04-09,912310.52,['511880'],511880.XSHG:9000:906849.00
