date,weak,pool,passed,target,top,top_raw
2020-07-17,True,9,4,159980,"[{'code': '159980', 'score': 1.3497, 'annualized': 1.5514, 'r2': 0.87, 'price': 1.013, 'today_volume': 0.0}, {'code': '161226', 'score': 0.8788, 'annualized': 1.1323, 'r2': 0.7761, 'price': 0.863, 'today_volume': 0.0}, {'code': '513030', 'score': 0.2601, 'annualized': 0.6358, 'r2': 0.4091, 'price': 1.081, 'today_volume': 0.0}, {'code': '513500', 'score': 0.0286, 'annualized': 0.2528, 'r2': 0.1132, 'price': 2.103, 'today_volume': 0.0}]",159980.XSHE:1.3497:1.5514:0.8700:1.0130:0|161226.XSHE:0.8788:1.1323:0.7761:0.8630:0|513030.XSHG:0.2601:0.6358:0.4091:1.0810:0|513500.XSHG:0.0286:0.2528:0.1132:2.1030:0
2020-12-14,True,9,3,159980,"[{'code': '159980', 'score': 1.0651, 'annualized': 1.2373, 'r2': 0.8608, 'price': 1.175, 'today_volume': 0.0}, {'code': '501018', 'score': 0.9149, 'annualized': 1.2818, 'r2': 0.7137, 'price': 0.562, 'today_volume': 0.0}, {'code': '513500', 'score': 0.2968, 'annualized': 0.3824, 'r2': 0.7761, 'price': 2.275, 'today_volume': 0.0}]",159980.XSHE:1.0651:1.2373:0.8608:1.1750:0|501018.XSHG:0.9149:1.2818:0.7137:0.5620:0|513500.XSHG:0.2968:0.3824:0.7761:2.2750:0
2021-04-20,False,62,31,512690,"[{'code': '512690', 'score': 1.7775, 'annualized': 2.4134, 'r2': 0.7365, 'price': 2.604, 'today_volume': 0.0}, {'code': '513100', 'score': 1.4911, 'annualized': 1.8392, 'r2': 0.8108, 'price': 4.637, 'today_volume': 0.0}, {'code': '512480', 'score': 1.213, 'annualized': 1.8824, 'r2': 0.6444, 'price': 0.958, 'today_volume': 0.0}, {'code': '513500', 'score': 1.1555, 'annualized': 1.327, 'r2': 0.8708, 'price': 2.565, 'today_volume': 0.0}, {'code': '513030', 'score': 1.0913, 'annualized': 1.2382, 'r2': 0.8814, 'price': 1.249, 'today_volume': 0.0}, {'code': '159995', 'score': 1.0393, 'annualized': 1.6752, 'r2': 0.6204, 'price': 1.186, 'today_volume': 0.0}, {'code': '515210', 'score': 0.9658, 'annualized': 2.1159, 'r2': 0.4565, 'price': 1.582, 'today_volume': 0.0}, {'code': '159967', 'score': 0.8639, 'annualized': 1.3883, 'r2': 0.6223, 'price': 0.649, 'today_volume': 0.0}, {'code': '515170', 'score': 0.8636, 'annualized': 1.3145, 'r2': 0.657, 'price': 0.904, 'today_volume': 0.0}, {'code': '159981', 'score': 0.7817, 'annualized': 1.1434, 'r2': 0.6836, 'price': 1.152, 'today_volume': 0.0}]",512690.XSHG:1.7775:2.4134:0.7365:2.6040:0|513100.XSHG:1.4911:1.8392:0.8108:4.6370:0|512480.XSHG:1.2130:1.8824:0.6444:0.9580:0|513500.XSHG:1.1555:1.3270:0.8708:2.5650:0|513030.XSHG:1.0913:1.2382:0.8814:1.2490:0|159995.XSHE:1.0393:1.6752:0.6204:1.1860:0|515210.XSHG:0.9658:2.1159:0.4565:1.5820:0|159967.XSHE:0.8639:1.3883:0.6223:0.6490:0|515170.XSHG:0.8636:1.3145:0.6570:0.9040:0|159981.XSHE:0.7817:1.1434:0.6836:1.1520:0
2021-05-26,False,63,22,512010,"[{'code': '512010', 'score': 1.7689, 'annualized': 2.332, 'r2': 0.7585, 'price': 3.286, 'today_volume': 0.0}, {'code': '512170', 'score': 1.7209, 'annualized': 2.3105, 'r2': 0.7448, 'price': 0.891, 'today_volume': 0.0}, {'code': '159967', 'score': 1.6939, 'annualized': 2.4718, 'r2': 0.6853, 'price': 0.733, 'today_volume': 0.0}, {'code': '159949', 'score': 1.6612, 'annualized': 2.313, 'r2': 0.7182, 'price': 1.385, 'today_volume': 0.0}, {'code': '515120', 'score': 1.5569, 'annualized': 2.172, 'r2': 0.7168, 'price': 1.152, 'today_volume': 0.0}, {'code': '159992', 'score': 1.4438, 'annualized': 2.0788, 'r2': 0.6945, 'price': 1.553, 'today_volume': 0.0}, {'code': '512690', 'score': 1.2869, 'annualized': 2.0805, 'r2': 0.6186, 'price': 1.46, 'today_volume': 0.0}, {'code': '515170', 'score': 1.2482, 'annualized': 2.0377, 'r2': 0.6126, 'price': 0.992, 'today_volume': 0.0}, {'code': '515030', 'score': 1.1926, 'annualized': 2.0665, 'r2': 0.5771, 'price': 1.719, 'today_volume': 0.0}, {'code': '159915', 'score': 1.1902, 'annualized': 1.7622, 'r2': 0.6754, 'price': 3.09, 'today_volume': 0.0}]",512010.XSHG:1.7689:2.3320:0.7585:3.2860:0|512170.XSHG:1.7209:2.3105:0.7448:0.8910:0|159967.XSHE:1.6939:2.4718:0.6853:0.7330:0|159949.XSHE:1.6612:2.3130:0.7182:1.3850:0|515120.XSHG:1.5569:2.1720:0.7168:1.1520:0|159992.XSHE:1.4438:2.0788:0.6945:1.5530:0|512690.XSHG:1.2869:2.0805:0.6186:1.4600:0|515170.XSHG:1.2482:2.0377:0.6126:0.9920:0|515030.XSHG:1.1926:2.0665:0.5771:1.7190:0|159915.XSHE:1.1902:1.7622:0.6754:3.0900:0
2021-05-27,False,64,24,512170,"[{'code': '512170', 'score': 1.6789, 'annualized': 2.2321, 'r2': 0.7522, 'price': 0.899, 'today_volume': 0.0}, {'code': '159967', 'score': 1.6527, 'annualized': 2.3901, 'r2': 0.6915, 'price': 0.739, 'today_volume': 0.0}, {'code': '159949', 'score': 1.6205, 'annualized': 2.2404, 'r2': 0.7233, 'price': 1.391, 'today_volume': 0.0}, {'code': '512010', 'score': 1.5317, 'annualized': 2.0405, 'r2': 0.7507, 'price': 3.289, 'today_volume': 0.0}, {'code': '515170', 'score': 1.5287, 'annualized': 2.3915, 'r2': 0.6392, 'price': 0.998, 'today_volume': 0.0}, {'code': '512690', 'score': 1.5062, 'annualized': 2.3652, 'r2': 0.6368, 'price': 1.469, 'today_volume': 0.0}, {'code': '515120', 'score': 1.2212, 'annualized': 1.779, 'r2': 0.6865, 'price': 1.149, 'today_volume': 0.0}, {'code': '159915', 'score': 1.2065, 'annualized': 1.7714, 'r2': 0.6811, 'price': 3.108, 'today_volume': 0.0}, {'code': '515030', 'score': 1.1875, 'annualized': 2.056, 'r2': 0.5776, 'price': 1.722, 'today_volume': 0.0}, {'code': '159992', 'score': 1.1397, 'annualized': 1.7108, 'r2': 0.6662, 'price': 1.55, 'today_volume': 0.0}]",512170.XSHG:1.6789:2.2321:0.7522:0.8990:0|159967.XSHE:1.6527:2.3901:0.6915:0.7390:0|159949.XSHE:1.6205:2.2404:0.7233:1.3910:0|512010.XSHG:1.5317:2.0405:0.7507:3.2890:0|515170.XSHG:1.5287:2.3915:0.6392:0.9980:0|512690.XSHG:1.5062:2.3652:0.6368:1.4690:0|515120.XSHG:1.2212:1.7790:0.6865:1.1490:0|159915.XSHE:1.2065:1.7714:0.6811:3.1080:0|515030.XSHG:1.1875:2.0560:0.5776:1.7220:0|159992.XSHE:1.1397:1.7108:0.6662:1.5500:0
2021-05-28,False,64,30,159949,"[{'code': '159949', 'score': 1.9221, 'annualized': 2.599, 'r2': 0.7396, 'price': 1.427, 'today_volume': 0.0}, {'code': '515030', 'score': 1.8749, 'annualized': 2.9181, 'r2': 0.6425, 'price': 1.825, 'today_volume': 0.0}, {'code': '515170', 'score': 1.8635, 'annualized': 2.7609, 'r2': 0.675, 'price': 1.001, 'today_volume': 0.0}, {'code': '159967', 'score': 1.8631, 'annualized': 2.6438, 'r2': 0.7047, 'price': 0.754, 'today_volume': 0.0}, {'code': '512690', 'score': 1.8008, 'annualized': 2.7258, 'r2': 0.6606, 'price': 1.483, 'today_volume': 0.0}, {'code': '512170', 'score': 1.7767, 'annualized': 2.3414, 'r2': 0.7588, 'price': 0.905, 'today_volume': 0.0}, {'code': '512880', 'score': 1.4575, 'annualized': 2.4296, 'r2': 0.5999, 'price': 1.153, 'today_volume': 0.0}, {'code': '159915', 'score': 1.4451, 'annualized': 2.0546, 'r2': 0.7033, 'price': 3.169, 'today_volume': 0.0}, {'code': '512010', 'score': 1.4284, 'annualized': 1.9154, 'r2': 0.7458, 'price': 3.299, 'today_volume': 0.0}, {'code': '516160', 'score': 1.1358, 'annualized': 1.6262, 'r2': 0.6984, 'price': 0.968, 'today_volume': 0.0}]",159949.XSHE:1.9221:2.5990:0.7396:1.4270:0|515030.XSHG:1.8749:2.9181:0.6425:1.8250:0|515170.XSHG:1.8635:2.7609:0.6750:1.0010:0|159967.XSHE:1.8631:2.6438:0.7047:0.7540:0|512690.XSHG:1.8008:2.7258:0.6606:1.4830:0|512170.XSHG:1.7767:2.3414:0.7588:0.9050:0|512880.XSHG:1.4575:2.4296:0.5999:1.1530:0|159915.XSHE:1.4451:2.0546:0.7033:3.1690:0|512010.XSHG:1.4284:1.9154:0.7458:3.2990:0|516160.XSHG:1.1358:1.6262:0.6984:0.9680:0
2021-05-31,False,64,34,515030,"[{'code': '515030', 'score': 2.6894, 'annualized': 3.9681, 'r2': 0.6778, 'price': 1.878, 'today_volume': 0.0}, {'code': '159949', 'score': 2.0081, 'annualized': 2.6839, 'r2': 0.7482, 'price': 1.434, 'today_volume': 0.0}, {'code': '515170', 'score': 1.983, 'annualized': 2.8254, 'r2': 0.7019, 'price': 0.99, 'today_volume': 0.0}, {'code': '512690', 'score': 1.9502, 'annualized': 2.8592, 'r2': 0.6821, 'price': 1.472, 'today_volume': 0.0}, {'code': '512880', 'score': 1.8598, 'annualized': 2.7473, 'r2': 0.6769, 'price': 1.136, 'today_volume': 0.0}, {'code': '159967', 'score': 1.8244, 'annualized': 2.5764, 'r2': 0.7081, 'price': 0.752, 'today_volume': 0.0}, {'code': '512670', 'score': 1.7512, 'annualized': 2.9254, 'r2': 0.5986, 'price': 1.798, 'today_volume': 0.0}, {'code': '159915', 'score': 1.5224, 'annualized': 2.1259, 'r2': 0.7161, 'price': 3.179, 'today_volume': 0.0}, {'code': '512170', 'score': 1.4759, 'annualized': 2.0049, 'r2': 0.7362, 'price': 0.893, 'today_volume': 0.0}, {'code': '516160', 'score': 1.4339, 'annualized': 2.0304, 'r2': 0.7062, 'price': 0.99, 'today_volume': 0.0}]",515030.XSHG:2.6894:3.9681:0.6778:1.8780:0|159949.XSHE:2.0081:2.6839:0.7482:1.4340:0|515170.XSHG:1.9830:2.8254:0.7019:0.9900:0|512690.XSHG:1.9502:2.8592:0.6821:1.4720:0|512880.XSHG:1.8598:2.7473:0.6769:1.1360:0|159967.XSHE:1.8244:2.5764:0.7081:0.7520:0|512670.XSHG:1.7512:2.9254:0.5986:1.7980:0|159915.XSHE:1.5224:2.1259:0.7161:3.1790:0|512170.XSHG:1.4759:2.0049:0.7362:0.8930:0|516160.XSHG:1.4339:2.0304:0.7062:0.9900:0
2021-06-03,False,64,43,512670,"[{'code': '512670', 'score': 3.2271, 'annualized': 4.2021, 'r2': 0.768, 'price': 1.763, 'today_volume': 0.0}, {'code': '512690', 'score': 2.9866, 'annualized': 3.7467, 'r2': 0.7971, 'price': 1.51, 'today_volume': 0.0}, {'code': '515170', 'score': 2.6549, 'annualized': 3.3117, 'r2': 0.8017, 'price': 1.005, 'today_volume': 0.0}, {'code': '516160', 'score': 2.4878, 'annualized': 3.1823, 'r2': 0.7818, 'price': 0.98, 'today_volume': 0.0}, {'code': '512710', 'score': 2.2823, 'annualized': 3.0388, 'r2': 0.751, 'price': 0.798, 'today_volume': 0.0}, {'code': '512660', 'score': 2.271, 'annualized': 2.9678, 'r2': 0.7652, 'price': 1.106, 'today_volume': 0.0}, {'code': '512880', 'score': 2.265, 'annualized': 2.9039, 'r2': 0.78, 'price': 1.112, 'today_volume': 0.0}, {'code': '159949', 'score': 2.2041, 'annualized': 2.8553, 'r2': 0.7719, 'price': 1.408, 'today_volume': 0.0}, {'code': '588080', 'score': 1.7893, 'annualized': 2.7186, 'r2': 0.6582, 'price': 1.461, 'today_volume': 0.0}, {'code': '159915', 'score': 1.7698, 'annualized': 2.3265, 'r2': 0.7607, 'price': 3.136, 'today_volume': 0.0}]",512670.XSHG:3.2271:4.2021:0.7680:1.7630:0|512690.XSHG:2.9866:3.7467:0.7971:1.5100:0|515170.XSHG:2.6549:3.3117:0.8017:1.0050:0|516160.XSHG:2.4878:3.1823:0.7818:0.9800:0|512710.XSHG:2.2823:3.0388:0.7510:0.7980:0|512660.XSHG:2.2710:2.9678:0.7652:1.1060:0|512880.XSHG:2.2650:2.9039:0.7800:1.1120:0|159949.XSHE:2.2041:2.8553:0.7719:1.4080:0|588080.XSHG:1.7893:2.7186:0.6582:1.4610:0|159915.XSHE:1.7698:2.3265:0.7607:3.1360:0
2021-07-01,False,66,20,516160,"[{'code': '516160', 'score': 3.9691, 'annualized': 4.9575, 'r2': 0.8006, 'price': 1.109, 'today_volume': 0.0}, {'code': '515030', 'score': 3.071, 'annualized': 3.9967, 'r2': 0.7684, 'price': 2.097, 'today_volume': 0.0}, {'code': '588080', 'score': 2.7978, 'annualized': 3.2442, 'r2': 0.8624, 'price': 1.62, 'today_volume': 0.0}, {'code': '515050', 'score': 2.3563, 'annualized': 2.7007, 'r2': 0.8725, 'price': 1.205, 'today_volume': 0.0}, {'code': '516520', 'score': 2.3291, 'annualized': 2.671, 'r2': 0.872, 'price': 1.094, 'today_volume': 0.0}, {'code': '501018', 'score': 1.8201, 'annualized': 1.9456, 'r2': 0.9355, 'price': 0.835, 'today_volume': 0.0}, {'code': '159967', 'score': 1.5898, 'annualized': 2.5334, 'r2': 0.6275, 'price': 0.832, 'today_volume': 0.0}, {'code': '513100', 'score': 1.4113, 'annualized': 1.5572, 'r2': 0.9063, 'price': 4.829, 'today_volume': 0.0}, {'code': '159851', 'score': 1.2879, 'annualized': 1.797, 'r2': 0.7167, 'price': 1.208, 'today_volume': 0.0}, {'code': '515880', 'score': 1.0622, 'annualized': 1.2628, 'r2': 0.8411, 'price': 1.018, 'today_volume': 0.0}]",516160.XSHG:3.9691:4.9575:0.8006:1.1090:0|515030.XSHG:3.0710:3.9967:0.7684:2.0970:0|588080.XSHG:2.7978:3.2442:0.8624:1.6200:0|515050.XSHG:2.3563:2.7007:0.8725:1.2050:0|516520.XSHG:2.3291:2.6710:0.8720:1.0940:0|501018.XSHG:1.8201:1.9456:0.9355:0.8350:0|159967.XSHE:1.5898:2.5334:0.6275:0.8320:0|513100.XSHG:1.4113:1.5572:0.9063:4.8290:0|159851.XSHE:1.2879:1.7970:0.7167:1.2080:0|515880.XSHG:1.0622:1.2628:0.8411:1.0180:0
2021-07-02,False,66,16,516160,"[{'code': '516160', 'score': 3.8479, 'annualized': 4.7951, 'r2': 0.8025, 'price': 1.103, 'today_volume': 0.0}, {'code': '515030', 'score': 3.0622, 'annualized': 3.9663, 'r2': 0.7721, 'price': 2.1, 'today_volume': 0.0}, {'code': '588080', 'score': 2.426, 'annualized': 2.8718, 'r2': 0.8448, 'price': 1.581, 'today_volume': 0.0}, {'code': '516520', 'score': 2.0813, 'annualized': 2.4104, 'r2': 0.8635, 'price': 1.066, 'today_volume': 0.0}, {'code': '501018', 'score': 1.8692, 'annualized': 1.9862, 'r2': 0.9411, 'price': 0.849, 'today_volume': 0.0}, {'code': '515050', 'score': 1.8631, 'annualized': 2.2281, 'r2': 0.8362, 'price': 1.166, 'today_volume': 0.0}, {'code': '159967', 'score': 1.6588, 'annualized': 2.536, 'r2': 0.6541, 'price': 0.807, 'today_volume': 0.0}, {'code': '513100', 'score': 1.5181, 'annualized': 1.6232, 'r2': 0.9353, 'price': 4.824, 'today_volume': 0.0}, {'code': '159949', 'score': 0.8476, 'annualized': 1.5341, 'r2': 0.5525, 'price': 1.491, 'today_volume': 0.0}, {'code': '515980', 'score': 0.7789, 'annualized': 1.0379, 'r2': 0.7505, 'price': 1.171, 'today_volume': 0.0}]",516160.XSHG:3.8479:4.7951:0.8025:1.1030:0|515030.XSHG:3.0622:3.9663:0.7721:2.1000:0|588080.XSHG:2.4260:2.8718:0.8448:1.5810:0|516520.XSHG:2.0813:2.4104:0.8635:1.0660:0|501018.XSHG:1.8692:1.9862:0.9411:0.8490:0|515050.XSHG:1.8631:2.2281:0.8362:1.1660:0|159967.XSHE:1.6588:2.5360:0.6541:0.8070:0|513100.XSHG:1.5181:1.6232:0.9353:4.8240:0|159949.XSHE:0.8476:1.5341:0.5525:1.4910:0|515980.XSHG:0.7789:1.0379:0.7505:1.1710:0
