date,ths_input,jq_input,ths_output,jq_output,threshold_ratio,only_ths,only_jq,selected_overlap
2020-07-17,17,17,9,9,0.9869102038939335,,,9
2020-12-14,17,17,9,9,0.9957357670930477,,,9
2021-04-20,114,114,60,62,0.9978407274442493,,"516150,516160",60
2021-05-26,114,114,60,63,0.9871896865163453,,"513180,516150,516160",60
2021-05-27,114,114,61,64,0.9809326958596684,,"513180,516150,516160",61
2021-05-28,114,114,62,64,0.9981054111906924,,"516150,516160",62
2021-05-31,114,114,62,64,0.9910120685563941,,"516150,516160",62
2021-06-03,114,114,62,64,0.9911654875259323,,"516150,516160",62
2021-07-01,114,114,64,66,0.9893603576469476,,"516150,516160",64
2021-07-02,114,114,64,66,0.9865272793755486,,"516150,516160",64
2021-07-21,17,17,9,9,0.9856256925371855,,,9
2021-08-31,114,114,67,69,0.9827782220678057,,"516150,516160",67
2021-09-10,114,114,67,69,0.9903169634812313,,"516150,516160",67
2021-11-30,114,114,70,72,0.9780033043387878,,"516150,516160",70
2021-12-01,114,114,70,72,0.9809323620094698,,"516150,516160",70
2021-12-09,114,114,70,72,0.9857825203643807,,"516150,516160",70
2021-12-10,114,114,70,72,0.9909122058493298,,"516150,516160",70
2022-03-29,17,17,9,9,0.984447425285915,,,9
2024-11-25,17,17,17,17,0.9919559158134243,,,17
2025-07-22,114,114,109,111,0.9980382376755643,,"516150,516160",109
2025-09-04,114,114,111,113,0.9914110295261837,,"516150,516160",111
2025-09-09,114,114,111,113,0.9949357482999389,,"516150,516160",111
2025-11-14,114,114,112,114,0.9954651292158047,,"516150,516160",112
2026-07-02,114,114,112,114,1.0025230356594008,,"516150,516160",112
