date,value_ths,positions_ths,positions_raw_ths,value_jq,positions_jq,positions_raw_jq,same_position_symbol
2020-01-02,998496.53,['512400'],512400.SH:1353800:996396.80,998546.1,['512400'],512400.XSHG:1354100:996617.60,True
2020-01-03,1014742.13,['512400'],512400.SH:1353800:1012642.40,1014790.1,['512400'],512400.XSHG:1353900:1012717.20,True
2020-01-06,1030815.6,['512880'],512880.SH:983400:1027653.00,1029981.85,['512880'],512880.XSHG:983700:1027966.50,True
2020-01-07,1036679.68,['512980'],512980.SH:1108800:1034510.40,1035940.75,['512980'],512980.XSHG:1108200:1033950.60,True
2020-01-08,1010960.68,['512880'],512880.SH:989000:1009769.00,1012423.87,['512880'],512880.XSHG:989600:1010381.60,True
2020-01-09,1032735.68,['512980'],512980.SH:1120200:1030584.00,1034326.23,['512980'],512980.XSHG:1122100:1032332.00,True
2020-01-10,1026195.04,['512100'],512100.SH:1363600:1022700.00,1025387.41,['512100'],512100.XSHG:1364500:1023375.00,True
2020-01-13,1039832.78,['512100'],512100.SH:1365300:1037628.00,1039027.01,['512100'],512100.XSHG:1364400:1036944.00,True
2020-01-14,1037102.18,['512100'],512100.SH:1365300:1034897.40,1036298.21,['512100'],512100.XSHG:1364400:1034215.20,True
2020-01-15,1039214.02,['512980'],512980.SH:1126000:1038172.00,1039638.07,['512980'],512980.XSHG:1125400:1037618.80,True
2020-01-16,1022471.9,['512400'],512400.SH:1349600:1018948.00,1021651.65,['512400'],512400.XSHG:1350500:1019627.50,True
2020-01-17,1019773.03,['512400'],512400.SH:1351400:1017604.20,1018945.25,['512400'],512400.XSHG:1350400:1016851.20,True
2020-01-20,1033521.98,['512480'],512480.SH:588300:1030701.60,1033563.2,['512480'],512480.XSHG:588800:1031577.60,True
2020-01-21,1023947.13,['159915'],159915.SZ:540000:1021680.00,1024083.44,['159915'],159915.XSHE:540200:1022058.40,True
2020-01-22,1047022.9,['515050'],515050.SH:899200:1045769.60,1047620.97,['515050'],515050.XSHG:899100:1045653.30,True
2020-01-23,998342.84,['159949'],159949.SZ:1403100:997604.10,1000443.93,['159949'],159949.XSHE:1404400:998528.40,True
2020-02-03,931853.81,['518880'],518880.SH:264100:929632.00,933985.84,['518880'],518880.XSHG:264800:932096.00,True
2020-02-04,924459.01,['518880'],518880.SH:264100:922237.20,926571.44,['518880'],518880.XSHG:264800:924681.60,True
2020-02-05,918384.71,['518880'],518880.SH:264100:916162.90,920481.04,['518880'],518880.XSHG:264800:918591.20,True
2020-02-06,910470.6,['513100'],513100.SH:246700:908349.40,912884.47,['513100'],513100.XSHG:247300:910558.60,True
2020-02-07,917131.5,['513100'],513100.SH:246700:915010.30,919550.97,['513100'],513100.XSHG:247400:917606.60,True
2020-02-10,922805.6,['513100'],513100.SH:246700:920684.40,925241.17,['513100'],513100.XSHG:247400:923296.80,True
2020-02-11,957096.9,['513100'],513100.SH:246700:954975.70,959629.77,['513100'],513100.XSHG:247400:957685.40,True
2020-02-12,981766.9,['513100'],513100.SH:246700:979645.70,984362.07,['513100'],513100.XSHG:247300:982028.30,True
2020-02-13,1016363.57,['512170'],512170.SH:698000:1014892.00,1019598.46,['512170'],512170.XSHG:699900:1017654.60,True
2020-02-14,1012173.55,['512170'],512170.SH:697700:1010269.60,1015395.06,['512170'],512170.XSHG:699800:1013310.40,True
2020-02-17,1045657.84,['512170'],512170.SH:697600:1043609.60,1048980.16,['512170'],512170.XSHG:699700:1046751.20,True
2020-02-18,1050541.04,['512170'],512170.SH:697600:1048492.80,1053878.06,['512170'],512170.XSHG:699700:1051649.10,True
2020-02-19,1027520.24,['512170'],512170.SH:697600:1025472.00,1030787.96,['512170'],512170.XSHG:699700:1028559.00,True
2020-02-20,1047589.98,['159949'],159949.SZ:1285900:1045436.70,1051024.95,['159949'],159949.XSHE:1290300:1049013.90,True
2020-02-21,1066878.48,['159949'],159949.SZ:1285900:1064725.20,1070375.85,['159949'],159949.XSHE:1290100:1068202.80,True
2020-02-24,1086173.4,['159915'],159915.SZ:497600:1083772.80,1089842.81,['159915'],159915.XSHE:499300:1087475.40,True
2020-02-25,1094632.6,['159915'],159915.SZ:497600:1092232.00,1098330.91,['159915'],159915.XSHE:499300:1095963.50,True
