date,ths_pool,ths_passed,ths_target,ths_top10,jq_pool,jq_passed,jq_target,jq_top10,target_match,passed_diff,top10_overlap
2020-07-17,9,3,161226,"['161226', '513030', '513500']",9,4,159980,"['159980', '161226', '513030', '513500']",False,-1,3
2020-12-14,9,2,501018,"['501018', '513500']",9,3,159980,"['159980', '501018', '513500']",False,-1,2
2021-04-20,60,30,512480,"['512480', '512690', '513100', '513500', '513030', '159995', '515210', '159967', '515170', '159981']",62,31,512690,"['512690', '513100', '512480', '513500', '513030', '159995', '515210', '159967', '515170', '159981']",False,-1,10
2021-05-26,60,21,512690,"['512690', '512010', '512170', '159967', '159949', '515120', '159992', '515170', '515030', '159915']",63,22,512010,"['512010', '512170', '159967', '159949', '515120', '159992', '512690', '515170', '515030', '159915']",False,-1,10
2021-05-27,61,22,512690,"['512690', '512170', '159967', '159949', '512010', '515170', '515120', '159915', '515030', '159992']",64,24,512170,"['512170', '159967', '159949', '512010', '515170', '512690', '515120', '159915', '515030', '159992']",False,-2,10
2021-05-28,62,29,512690,"['512690', '159949', '515030', '515170', '159967', '512170', '512880', '159915', '512010', '512670']",64,30,159949,"['159949', '515030', '515170', '159967', '512690', '512170', '512880', '159915', '512010', '516160']",False,-1,9
2021-05-31,62,33,512690,"['512690', '515030', '159949', '515170', '512880', '159967', '512670', '159915', '512170', '512710']",64,34,515030,"['515030', '159949', '515170', '512690', '512880', '159967', '512670', '159915', '512170', '516160']",False,-1,9
2021-06-03,62,42,512690,"['512690', '512670', '515170', '512710', '512660', '512880', '159949', '588080', '159915', '159967']",64,43,512670,"['512670', '512690', '515170', '516160', '512710', '512660', '512880', '159949', '588080', '159915']",False,-1,9
2021-07-01,64,18,515030,"['515030', '588080', '515050', '516520', '501018', '159967', '513100', '159851', '515880', '515980']",66,20,516160,"['516160', '515030', '588080', '515050', '516520', '501018', '159967', '513100', '159851', '515880']",False,-2,9
2021-07-02,64,15,515030,"['515030', '588080', '516520', '501018', '515050', '159967', '513100', '159949', '515980', '159819']",66,16,516160,"['516160', '515030', '588080', '516520', '501018', '515050', '159967', '513100', '159949', '515980']",False,-1,9
2021-08-31,67,17,512400,"['512400', '515790', '510880', '512670', '512660', '512890', '159766', '512880', '512710', '512100']",69,19,516150,"['516150', '512400', '515790', '510880', '512670', '512660', '512890', '159766', '512880', '512710']",False,-2,9
2021-09-10,67,18,512890,"['512890', '159766', '512880', '512400', '513090', '510500', '159981', '513520', '512070', '512980']",69,18,516150,"['516150', '512890', '159766', '512880', '512400', '513090', '510500', '159981', '513520', '512980']",False,0,9
2021-11-30,70,27,516520,"['516520', '515880', '512670', '562800', '512660', '512100', '159732', '515050', '159851', '512480']",72,29,516150,"['516150', '516520', '515880', '512670', '562800', '512660', '512100', '159732', '515050', '159851']",False,-2,9
2021-12-01,70,29,562800,"['562800', '516520', '515880', '512670', '512100', '159851', '512660', '159732', '515050', '512480']",72,30,516150,"['516150', '562800', '516520', '515880', '512670', '512100', '159851', '512660', '159732', '515050']",False,-1,9
2021-12-09,70,22,562800,"['562800', '515210', '512690', '159851', '512400', '515220', '516520', '159732', '512200', '515170']",72,23,516150,"['516150', '562800', '515210', '512690', '159851', '512400', '515220', '516520', '159732', '512200']",False,-1,9
2021-12-10,70,23,512690,"['512690', '562800', '515210', '159851', '515220', '515170', '159732', '512400', '516520', '512890']",72,24,516150,"['516150', '512690', '562800', '515210', '159851', '515220', '515170', '159732', '512400', '516520']",False,-1,9
2022-03-29,9,4,513500,"['513500', '513100', '159980', '513030']",9,3,513100,"['513100', '159980', '513030']",False,1,3
2024-11-25,17,4,159529,"['159529', '513500', '513400', '513100']",17,5,159518,"['159518', '159529', '513500', '513400', '513100']",False,-1,4
2025-07-22,109,84,515210,"['515210', '562800', '515790', '159949', '159509', '516510', '560860', '515120', '159992', '159915']",111,86,516150,"['516150', '515210', '562800', '515790', '159949', '159509', '516510', '560860', '515120', '159992']",False,-2,9
2025-09-04,111,37,515790,"['515790', '515030', '516520', '512980', '512050', '159870', '510500', '510300', '562500', '159869']",113,38,516160,"['516160', '515790', '515030', '516520', '512980', '512050', '159870', '510500', '510300', '562500']",False,-1,9
2025-09-09,111,45,562800,"['562800', '512480', '159732', '159967', '516510', '159870', '588220', '516520', '159667', '513310']",113,46,516150,"['516150', '562800', '512480', '159732', '159967', '516510', '159870', '588220', '516520', '159667']",False,-1,9
2025-11-14,112,31,159766,"['159766', '159326', '513310', '513290', '159566', '159870', '513190', '561360', '513920', '513630']",114,32,516160,"['516160', '159766', '159326', '513310', '513290', '159566', '159870', '513190', '561360', '513920']",False,-1,9
2026-07-02,112,9,513290,"['513290', '512880', '513520', '510500', '562800', '159870', '512070', '512100', '513400']",114,10,159667,"['159667', '513290', '512880', '513520', '510500', '562800', '159870', '512070', '512100', '513400']",False,-1,9
