date,ths_target,jq_target,target_match,ths_passed,jq_passed,top_overlap,ths_top1,jq_top1,score_delta_json
2020-07-17,161226,159980,False,3.0,4,3,161226,159980,"[{""code"": ""161226"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 23100.0}, {""code"": ""513030"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 3000.0}, {""code"": ""513500"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 5900.0}]"
2020-12-14,501018,159980,False,2.0,3,2,501018,159980,"[{""code"": ""501018"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 351300.0}, {""code"": ""513500"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 480900.0}]"
2021-04-20,512480,512690,False,30.0,31,10,512480,512690,"[{""code"": ""159967"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2414715.0}, {""code"": ""159981"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1000.0}, {""code"": ""159995"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 239400.0}, {""code"": ""512480"", ""score_diff"": 0.601, ""price_diff"": 0.0, ""volume_diff"": 410300.0}, {""code"": ""512690"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 514400.0}, {""code"": ""513030"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": NaN}, {""code"": ""513100"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 3800.0}, {""code"": ""513500"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 32300.0}, {""code"": ""515170"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 338800.0}, {""code"": ""515210"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 5200.0}]"
2021-05-26,512690,512010,False,21.0,22,10,512690,512010,"[{""code"": ""159915"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 219400.0}, {""code"": ""159949"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 682600.0}, {""code"": ""159967"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 180200.0}, {""code"": ""159992"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 6300.0}, {""code"": ""512010"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 15500.0}, {""code"": ""512170"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 72400.0}, {""code"": ""512690"", ""score_diff"": 0.7876000000000001, ""price_diff"": 0.0, ""volume_diff"": 343900.0}, {""code"": ""515030"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 216200.0}, {""code"": ""515120"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 5500.0}, {""code"": ""515170"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 287600.0}]"
2021-05-27,512690,512170,False,22.0,24,10,512690,512170,"[{""code"": ""159915"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 189000.0}, {""code"": ""159949"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 525600.0}, {""code"": ""159967"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 225800.0}, {""code"": ""159992"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 59200.0}, {""code"": ""512010"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 57100.0}, {""code"": ""512170"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 541900.0}, {""code"": ""512690"", ""score_diff"": 0.9051000000000002, ""price_diff"": 0.0, ""volume_diff"": 480400.0}, {""code"": ""515030"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 445000.0}, {""code"": ""515120"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1000.0}, {""code"": ""515170"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 461000.0}]"
2021-05-28,512690,159949,False,29.0,30,9,512690,159949,"[{""code"": ""159915"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 614900.0}, {""code"": ""159949"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2327100.0}, {""code"": ""159967"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 377800.0}, {""code"": ""512010"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 149600.0}, {""code"": ""512170"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 576300.0}, {""code"": ""512690"", ""score_diff"": 1.0464, ""price_diff"": 0.0, ""volume_diff"": 2250700.0}, {""code"": ""512880"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 12503800.0}, {""code"": ""515030"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1762300.0}, {""code"": ""515170"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1831400.0}]"
2021-05-31,512690,515030,False,33.0,34,9,512690,515030,"[{""code"": ""159915"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 105100.0}, {""code"": ""159949"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 704200.0}, {""code"": ""159967"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 101900.0}, {""code"": ""512170"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1615900.0}, {""code"": ""512670"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 25900.0}, {""code"": ""512690"", ""score_diff"": 1.1005, ""price_diff"": 0.0, ""volume_diff"": 389300.0}, {""code"": ""512880"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2035000.0}, {""code"": ""515030"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 150600.0}, {""code"": ""515170"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 366500.0}]"
2021-06-03,512690,512670,False,42.0,43,9,512690,512670,"[{""code"": ""159915"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 214500.0}, {""code"": ""159949"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2044500.0}, {""code"": ""512660"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1127000.0}, {""code"": ""512670"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1045200.0}, {""code"": ""512690"", ""score_diff"": 1.3136, ""price_diff"": 0.0, ""volume_diff"": 723700.0}, {""code"": ""512710"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 240100.0}, {""code"": ""512880"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 916100.0}, {""code"": ""515170"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 157900.0}, {""code"": ""588080"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 203177.0}]"
2021-07-01,515030,516160,False,18.0,20,9,515030,516160,"[{""code"": ""159851"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": NaN}, {""code"": ""159967"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1054642.0}, {""code"": ""501018"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 22600.0}, {""code"": ""513100"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 151000.0}, {""code"": ""515030"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 44000.0}, {""code"": ""515050"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2417200.0}, {""code"": ""515880"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 15500.0}, {""code"": ""516520"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": NaN}, {""code"": ""588080"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 431628.0}]"
2021-07-02,515030,516160,False,15.0,16,9,515030,516160,"[{""code"": ""159949"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 2507800.0}, {""code"": ""159967"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 301375.0}, {""code"": ""501018"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 19500.0}, {""code"": ""513100"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 8400.0}, {""code"": ""515030"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 1744500.0}, {""code"": ""515050"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 711400.0}, {""code"": ""515980"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": NaN}, {""code"": ""516520"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 52000.0}, {""code"": ""588080"", ""score_diff"": 0.0, ""price_diff"": 0.0, ""volume_diff"": 189924.0}]"
