date,weak,pool,passed,target,target_raw,top10_raw,top10
2020-07-17,True,9,3,161226,161226.SZ,161226.SZ:0.8788:1.1323:0.7761:0.8630:23100|513030.SH:0.2601:0.6358:0.4091:1.0810:3000|513500.SH:0.0286:0.2528:0.1132:2.1030:5900,"['161226', '513030', '513500']"
2020-12-14,True,9,2,501018,501018.SH,501018.SH:0.9149:1.2818:0.7137:0.5620:351300|513500.SH:0.2968:0.3824:0.7761:2.2750:480900,"['501018', '513500']"
2021-04-20,False,60,30,512480,512480.SH,512480.SH:1.8140:2.5844:0.7019:0.9580:410300|512690.SH:1.7775:2.4134:0.7365:2.6040:514400|513100.SH:1.4911:1.8392:0.8108:4.6370:3800|513500.SH:1.1555:1.3270:0.8708:2.5650:32300|513030.SH:1.0913:1.2382:0.8814:1.2490:nan|159995.SZ:1.0393:1.6752:0.6204:1.1860:239400|515210.SH:0.9658:2.1159:0.4565:1.5820:5200|159967.SZ:0.8639:1.3883:0.6223:0.6490:2414715|515170.SH:0.8636:1.3145:0.6570:0.9040:338800|159981.SZ:0.7817:1.1434:0.6836:1.1520:1000,"['512480', '512690', '513100', '513500', '513030', '159995', '515210', '159967', '515170', '159981']"
2021-05-26,False,60,21,512690,512690.SH,512690.SH:2.0745:3.0803:0.6735:1.4600:343900|512010.SH:1.7689:2.3320:0.7585:3.2860:15500|512170.SH:1.7209:2.3105:0.7448:0.8910:72400|159967.SZ:1.6939:2.4718:0.6853:0.7330:180200|159949.SZ:1.6612:2.3130:0.7182:1.3850:682600|515120.SH:1.5569:2.1720:0.7168:1.1520:5500|159992.SZ:1.4438:2.0788:0.6945:1.5530:6300|515170.SH:1.2482:2.0377:0.6126:0.9920:287600|515030.SH:1.1926:2.0665:0.5771:1.7190:216200|159915.SZ:1.1902:1.7622:0.6754:3.0900:219400,"['512690', '512010', '512170', '159967', '159949', '515120', '159992', '515170', '515030', '159915']"
2021-05-27,False,61,22,512690,512690.SH,512690.SH:2.4113:3.4865:0.6916:1.4690:480400|512170.SH:1.6789:2.2321:0.7522:0.8990:541900|159967.SZ:1.6527:2.3901:0.6915:0.7390:225800|159949.SZ:1.6205:2.2404:0.7233:1.3910:525600|512010.SH:1.5317:2.0405:0.7507:3.2890:57100|515170.SH:1.5287:2.3915:0.6392:0.9980:461000|515120.SH:1.2212:1.7790:0.6865:1.1490:1000|159915.SZ:1.2065:1.7714:0.6811:3.1080:189000|515030.SH:1.1875:2.0560:0.5776:1.7220:445000|159992.SZ:1.1397:1.7108:0.6662:1.5500:59200,"['512690', '512170', '159967', '159949', '512010', '515170', '515120', '159915', '515030', '159992']"
2021-05-28,False,62,29,512690,512690.SH,512690.SH:2.8472:3.9832:0.7148:1.4830:2250700|159949.SZ:1.9221:2.5990:0.7396:1.4270:2327100|515030.SH:1.8749:2.9181:0.6425:1.8250:1762300|515170.SH:1.8635:2.7609:0.6750:1.0010:1831400|159967.SZ:1.8631:2.6438:0.7047:0.7540:377800|512170.SH:1.7767:2.3414:0.7588:0.9050:576300|512880.SH:1.4575:2.4296:0.5999:1.1530:12503800|159915.SZ:1.4451:2.0546:0.7033:3.1690:614900|512010.SH:1.4284:1.9154:0.7458:3.2990:149600|512670.SH:1.0870:2.1903:0.4963:1.7620:129500,"['512690', '159949', '515030', '515170', '159967', '512170', '512880', '159915', '512010', '512670']"
2021-05-31,False,62,33,512690,512690.SH,512690.SH:3.0507:4.1522:0.7347:1.4720:389300|515030.SH:2.6894:3.9681:0.6778:1.8780:150600|159949.SZ:2.0081:2.6839:0.7482:1.4340:704200|515170.SH:1.9830:2.8254:0.7019:0.9900:366500|512880.SH:1.8598:2.7473:0.6769:1.1360:2035000|159967.SZ:1.8244:2.5764:0.7081:0.7520:101900|512670.SH:1.7512:2.9254:0.5986:1.7980:25900|159915.SZ:1.5224:2.1259:0.7161:3.1790:105100|512170.SH:1.4759:2.0049:0.7362:0.8930:1615900|512710.SH:1.3193:2.3001:0.5736:0.8150:285500,"['512690', '515030', '159949', '515170', '512880', '159967', '512670', '159915', '512170', '512710']"
2021-06-03,False,62,42,512690,512690.SH,512690.SH:4.3002:5.1766:0.8307:1.5100:723700|512670.SH:3.2271:4.2021:0.7680:1.7630:1045200|515170.SH:2.6549:3.3117:0.8017:1.0050:157900|512710.SH:2.2823:3.0388:0.7510:0.7980:240100|512660.SH:2.2710:2.9678:0.7652:1.1060:1127000|512880.SH:2.2650:2.9039:0.7800:1.1120:916100|159949.SZ:2.2041:2.8553:0.7719:1.4080:2044500|588080.SH:1.7893:2.7186:0.6582:1.4610:203177|159915.SZ:1.7698:2.3265:0.7607:3.1360:214500|159967.SZ:1.7509:2.4883:0.7036:0.7410:38100,"['512690', '512670', '515170', '512710', '512660', '512880', '159949', '588080', '159915', '159967']"
2021-07-01,False,64,18,515030,515030.SH,515030.SH:3.0710:3.9967:0.7684:2.0970:44000|588080.SH:2.7978:3.2442:0.8624:1.6200:431628|515050.SH:2.3563:2.7007:0.8725:1.2050:2417200|516520.SH:2.3291:2.6710:0.8720:1.0940:nan|501018.SH:1.8201:1.9456:0.9355:0.8350:22600|159967.SZ:1.5898:2.5334:0.6275:0.8320:1054642|513100.SH:1.4113:1.5572:0.9063:4.8290:151000|159851.SZ:1.2879:1.7970:0.7167:1.2080:nan|515880.SH:1.0622:1.2628:0.8411:1.0180:15500|515980.SH:0.9277:1.1966:0.7753:1.2010:17500,"['515030', '588080', '515050', '516520', '501018', '159967', '513100', '159851', '515880', '515980']"
2021-07-02,False,64,15,515030,515030.SH,515030.SH:3.0622:3.9663:0.7721:2.1000:1744500|588080.SH:2.4260:2.8718:0.8448:1.5810:189924|516520.SH:2.0813:2.4104:0.8635:1.0660:52000|501018.SH:1.8692:1.9862:0.9411:0.8490:19500|515050.SH:1.8631:2.2281:0.8362:1.1660:711400|159967.SZ:1.6588:2.5360:0.6541:0.8070:301375|513100.SH:1.5181:1.6232:0.9353:4.8240:8400|159949.SZ:0.8476:1.5341:0.5525:1.4910:2507800|515980.SH:0.7789:1.0379:0.7505:1.1710:nan|159819.SZ:0.5731:0.8029:0.7137:0.9770:10000,"['515030', '588080', '516520', '501018', '515050', '159967', '513100', '159949', '515980', '159819']"
