date,code,account_value,buffered_value,price,shares,order_value
2020-01-02,512400,1000000.0,998000.0,0.737,1354100,997971.7
2020-01-03,512400,1013441.2,1011414.32,0.747,1353900,1011363.3
2020-01-06,512880,1045825.42,1043733.77,1.061,983700,1043705.7
2020-01-07,512980,1024961.04,1022911.12,0.923,1108200,1022868.6
2020-01-08,512880,1021432.2,1019389.34,1.03,989600,1019288.0
2020-01-09,512980,1023207.34,1021160.93,0.91,1122100,1021111.0
2020-01-10,512100,1024125.11,1022076.86,0.749,1364500,1022010.5
2020-01-13,512100,1033574.41,1031507.26,0.756,1364400,1031486.4
2020-01-14,512100,1037662.61,1035587.28,0.759,1364400,1035579.6
2020-01-15,512980,1030737.73,1028676.26,0.914,1125400,1028615.6
2020-01-16,512400,1027156.15,1025101.84,0.759,1350500,1025029.5
2020-01-17,512400,1013548.65,1011521.55,0.749,1350400,1011449.6
2020-01-20,512480,1024244.62,1022196.13,1.736,588800,1022156.8
2020-01-21,159915,1025806.41,1023754.8,1.895,540200,1023679.0
2020-01-22,515050,1028842.55,1026784.87,1.142,899100,1026772.2
2020-01-23,159949,1006161.95,1004149.62,0.715,1404400,1004146.0
2020-02-03,518880,934343.88,932475.19,3.521,264800,932360.8
2020-02-04,518880,930013.84,928153.81,3.505,264800,928124.0
2020-02-05,518880,919951.44,918111.54,3.467,264800,918061.6
2020-02-06,513100,912975.52,911149.57,3.682,247400,910926.8
2020-02-07,513100,933410.37,931543.55,3.765,247400,931461.0
2020-02-10,513100,923261.97,921415.45,3.724,247400,921317.6
2020-02-11,513100,949238.97,947340.49,3.829,247400,947294.6
2020-02-12,513100,977689.97,975734.59,3.944,247300,975351.2
2020-02-13,512170,1012700.52,1010675.12,1.444,699900,1010655.6
2020-02-14,512170,1022398.06,1020353.26,1.458,699800,1020308.4
2020-02-17,512170,1046886.06,1044792.28,1.493,699700,1044652.1
2020-02-18,512170,1051079.26,1048977.1,1.499,699700,1048850.3
2020-02-19,512170,1041983.16,1039899.19,1.486,699700,1039754.2
2020-02-20,159949,1044677.7,1042588.35,0.808,1290300,1042562.4
2020-02-21,159949,1079411.55,1077252.72,0.835,1290100,1077233.5
2020-02-24,159915,1084458.71,1082289.79,2.167,499400,1082199.8
2020-02-25,159915,1081354.71,1079192.0,2.161,499300,1078987.3
2020-02-26,159967,1072759.56,1070614.04,1.494,716600,1070600.4
2020-02-27,512670,1076127.61,1073975.35,1.269,846300,1073954.7
2020-02-28,518880,1002292.08,1000287.5,3.65,274000,1000100.0
2020-03-02,511880,970859.18,968917.47,100.55,9600,965280.0
2020-03-03,159985,970666.12,968724.79,0.968,1000700,968677.6
2020-03-04,159985,974572.05,972622.91,0.972,1000600,972583.2
2020-03-05,159985,968563.45,966626.32,0.966,1000600,966579.6
2020-03-06,515050,965465.29,963534.36,1.235,780100,963423.5
2020-03-09,512170,932511.69,930646.66,1.592,584500,930524.0
2020-03-10,511880,919467.87,917628.93,100.585,9100,915323.5
2020-03-11,518880,919393.98,917555.19,3.64,252000,917280.0
2020-03-12,511880,910139.43,908319.15,100.627,9000,905643.0
2020-03-13,511880,909877.86,908058.11,100.613,9000,905517.0
2020-03-16,159985,909958.3,908138.38,0.97,936200,908114.0
2020-03-17,159985,901441.68,899638.8,0.961,936100,899592.1
2020-03-18,159985,907989.38,906173.4,0.968,936100,906144.8
2020-03-19,511880,890114.65,888334.42,100.655,8800,885764.0
2020-03-20,159985,890025.48,888245.43,0.976,910000,888160.0
2020-03-23,159985,925426.66,923575.81,1.015,909900,923548.5
2020-03-24,159985,927241.46,925386.98,1.017,909900,925368.3
2020-03-25,159985,944529.56,942640.5,1.036,909800,942552.8
2020-03-26,159985,926328.56,924475.9,1.016,909900,924458.4
2020-03-27,159985,924503.76,922654.75,1.014,909900,922638.6
2020-03-30,159985,945431.46,943540.6,1.037,909800,943462.6
2020-03-31,159985,936328.46,934455.8,1.027,909800,934364.6
