date,universe,valid,threshold,source
2020-07-17,114,44,1717903.0,joinquant_fixed_pool_formula
2020-12-14,114,47,789122.0,joinquant_fixed_pool_formula
2021-04-20,114,62,763220.0,joinquant_fixed_pool_formula
2021-05-26,114,64,956573.0,joinquant_fixed_pool_formula
2021-05-27,114,64,1036801.0,joinquant_fixed_pool_formula
2021-05-28,114,64,1093641.0,joinquant_fixed_pool_formula
2021-05-31,114,64,960844.0,joinquant_fixed_pool_formula
2021-06-03,114,64,939950.0,joinquant_fixed_pool_formula
2021-07-01,114,66,846645.0,joinquant_fixed_pool_formula
2021-07-02,114,66,866937.0,joinquant_fixed_pool_formula
2021-07-21,114,66,886234.0,joinquant_fixed_pool_formula
2021-08-31,114,69,972838.0,joinquant_fixed_pool_formula
2021-09-10,114,69,1021064.0,joinquant_fixed_pool_formula
2021-11-30,114,72,827397.0,joinquant_fixed_pool_formula
2021-12-01,114,72,881546.0,joinquant_fixed_pool_formula
2021-12-09,114,73,1037596.0,joinquant_fixed_pool_formula
2021-12-10,114,73,1033144.0,joinquant_fixed_pool_formula
2022-03-29,114,75,1132417.0,joinquant_fixed_pool_formula
2024-11-25,114,106,3516000.0,joinquant_fixed_pool_formula
2025-07-22,114,113,4194188.0,joinquant_fixed_pool_formula
2025-09-04,114,114,7589501.0,joinquant_fixed_pool_formula
2025-09-09,114,114,7361206.0,joinquant_fixed_pool_formula
2025-11-14,114,114,5033440.0,joinquant_fixed_pool_formula
2026-07-02,114,114,7649119.0,joinquant_fixed_pool_formula
