date,code,account_value,buffered_value,price,shares,order_value
2020-01-02,512400,1000000.0,998000.0,0.737,1354100,997971.7
2020-01-03,512400,1013388.33,1011361.56,0.747,1353800,1011288.6
2020-01-06,512880,1045722.97,1043631.52,1.061,983600,1043599.6
2020-01-07,512980,1025745.2,1023693.71,0.923,1109000,1023607.0
2020-01-08,512880,1021003.64,1018961.63,1.03,989200,1018876.0
2020-01-09,512980,1021686.59,1019643.22,0.91,1120400,1019564.0
2020-01-10,512100,1023620.84,1021573.6,0.749,1363900,1021561.1
2020-01-13,512100,1034376.64,1032307.89,0.756,1365400,1032242.4
2020-01-14,512100,1038467.48,1036390.54,0.759,1365400,1036338.6
2020-01-15,512980,1031486.57,1029423.59,0.914,1126200,1029346.8
2020-01-16,512400,1026674.15,1024620.81,0.759,1349900,1024574.1
2020-01-17,512400,1014374.3,1012345.55,0.749,1351500,1012273.5
2020-01-20,512480,1023673.99,1021626.64,1.736,588400,1021462.4
2020-01-21,159915,1025720.63,1023669.18,1.895,540100,1023489.5
2020-01-22,515050,1029193.07,1027134.68,1.142,899400,1027114.8
2020-01-23,159949,1005509.04,1003498.02,0.715,1403400,1003431.0
2020-02-03,518880,932257.4,930392.88,3.521,264200,930248.2
2020-02-04,518880,927892.31,926036.52,3.505,264200,926021.0
2020-02-05,518880,917856.51,916020.8,3.467,264200,915981.4
2020-02-06,513100,910853.6,909031.89,3.682,246800,908717.6
2020-02-07,513100,930946.7,929084.81,3.765,246700,928825.5
2020-02-10,513100,920832.0,918990.34,3.724,246700,918710.8
2020-02-11,513100,946735.5,944842.03,3.829,246700,944614.3
2020-02-12,513100,975106.0,973155.79,3.944,246700,972984.8
2020-02-13,512170,1010232.87,1008212.4,1.444,698200,1008200.8
2020-02-14,512170,1019155.57,1017117.26,1.458,697600,1017100.8
2020-02-17,512170,1043570.05,1041482.91,1.493,697500,1041367.5
2020-02-18,512170,1047750.64,1045655.14,1.499,697500,1045552.5
2020-02-19,512170,1038681.84,1036604.48,1.486,697500,1036485.0
2020-02-20,159949,1041316.34,1039233.7,0.808,1286100,1039168.8
2020-02-21,159949,1075879.78,1073728.02,0.835,1285900,1073726.5
2020-02-24,159915,1080861.55,1078699.83,2.167,497700,1078515.9
2020-02-25,159915,1077714.2,1075558.78,2.161,497700,1075529.7
2020-02-26,159967,1069094.98,1066956.79,1.494,714100,1066865.4
2020-02-27,512670,1073057.98,1070911.87,1.269,843900,1070909.1
2020-02-28,518880,999345.64,997346.95,3.65,273200,997180.0
2020-03-02,511880,968191.01,966254.63,100.55,9600,965280.0
2020-03-03,159985,967989.93,966053.95,0.968,997900,965967.2
2020-03-04,159985,970838.01,968896.33,0.972,996800,968889.6
2020-03-05,159985,964851.57,962921.86,0.966,996800,962908.8
