date,code,account_value,buffered_value,price,shares,order_value
2020-01-02,512400,1000000.0,998000.0,0.737,1353800,997750.6
2020-01-03,512400,1013438.22,1011411.35,0.747,1353600,1011139.2
2020-01-06,512880,1045815.26,1043723.63,1.061,983500,1043493.5
2020-01-07,512980,1024955.13,1022905.22,0.923,1108000,1022684.0
2020-01-08,512880,1021426.92,1019384.07,1.03,989400,1019082.0
2020-01-09,512980,1023201.71,1021155.31,0.91,1121900,1020929.0
2020-01-10,512100,1024119.31,1022071.07,0.749,1364300,1021860.7
2020-01-13,512100,1033567.23,1031500.09,0.756,1364100,1031259.6
2020-01-14,512100,1037654.53,1035579.22,0.759,1364100,1035351.9
2020-01-15,512980,1030731.17,1028669.71,0.914,1125200,1028432.8
2020-01-16,512400,1027150.22,1025095.92,0.759,1350300,1024877.7
2020-01-17,512400,1013544.74,1011517.65,0.749,1350200,1011299.8
2020-01-20,512480,1024239.13,1022190.65,1.736,588600,1021809.6
2020-01-21,159915,1025800.39,1023748.79,1.895,540100,1023489.5
2020-01-22,515050,1028835.97,1026778.29,1.142,898900,1026543.8
2020-01-23,159949,1006160.4,1004148.08,0.715,1404100,1003931.5
2020-02-03,518880,934357.68,932488.96,3.521,264700,932008.7
2020-02-04,518880,930029.28,928169.22,3.505,264700,927773.5
2020-02-05,518880,919970.68,918130.74,3.467,264700,917714.9
2020-02-06,513100,912997.39,911171.4,3.682,247400,910926.8
2020-02-07,513100,933432.24,931565.37,3.765,247300,931084.5
2020-02-10,513100,923292.94,921446.35,3.724,247300,920945.2
2020-02-11,513100,949259.44,947360.92,3.829,247300,946911.7
2020-02-12,513100,977698.94,975743.54,3.944,247300,975351.2
2020-02-13,512170,1012714.49,1010689.06,1.444,699700,1010366.8
2020-02-14,512170,1022409.26,1020364.44,1.458,699600,1020016.8
2020-02-17,512170,1046890.26,1044796.47,1.493,699600,1044502.8
2020-02-18,512170,1051087.86,1048985.68,1.499,699600,1048700.4
2020-02-19,512170,1041993.06,1039909.07,1.486,699600,1039605.6
2020-02-20,159949,1044687.22,1042597.84,0.808,1290000,1042320.0
2020-02-21,159949,1079412.98,1077254.16,0.835,1289800,1076983.0
2020-02-24,159915,1084458.97,1082290.05,2.167,499300,1081983.1
2020-02-25,159915,1081354.97,1079192.26,2.161,499200,1078771.2
2020-02-26,159967,1072756.54,1070611.03,1.494,716400,1070301.6
2020-02-27,512670,1076124.12,1073971.88,1.269,846100,1073700.9
2020-02-28,518880,1002306.04,1000301.43,3.65,273900,999735.0
2020-03-02,511880,970884.62,968942.85,100.55,9600,965280.0
2020-03-03,159985,970691.55,968750.17,0.968,1000500,968484.0
2020-03-04,159985,974596.71,972647.51,0.972,1000400,972388.8
2020-03-05,159985,968589.31,966652.13,0.966,1000400,966386.4
2020-03-06,515050,965491.77,963560.78,1.235,780000,963300.0
2020-03-09,512170,932542.38,930677.3,1.592,584400,930364.8
2020-03-10,511880,919500.8,917661.79,100.585,9100,915323.5
2020-03-11,518880,919426.91,917588.06,3.64,252000,917280.0
2020-03-12,511880,910172.36,908352.02,100.627,9000,905643.0
2020-03-13,511880,909910.79,908090.97,100.613,9000,905517.0
2020-03-16,159985,909991.22,908171.24,0.97,936000,907920.0
2020-03-17,159985,901476.43,899673.48,0.961,935900,899399.9
2020-03-18,159985,908022.73,906206.69,0.968,935900,905951.2
2020-03-19,511880,890151.82,888371.51,100.655,8800,885764.0
2020-03-20,159985,890062.65,888282.52,0.976,909900,888062.4
2020-03-23,159985,925459.94,923609.02,1.015,909700,923345.5
2020-03-24,159985,927274.34,925419.79,1.017,909700,925164.9
2020-03-25,159985,944558.64,942669.52,1.036,909700,942449.2
2020-03-26,159985,926364.64,924511.91,1.016,909700,924255.2
2020-03-27,159985,924545.24,922696.15,1.014,909700,922435.8
2020-03-30,159985,945468.34,943577.4,1.037,909700,943358.9
2020-03-31,159985,936371.34,934498.6,1.027,909700,934261.9
2020-04-01,511880,914447.3,912618.4,100.717,9000,906453.0
