date,ths_code,ths_account_value,ths_buffered_value,ths_price,ths_shares,ths_order_value,jq_code,jq_account_value,jq_buffered_value,jq_price,jq_shares,jq_order_value,code_match,price_diff,shares_diff,order_value_diff,account_value_ratio
2020-01-02,512400,1000000.0,998000.0,0.737,1353800,997750.6,512400,1000000.0,998000.0,0.737,1353800,997750.6,True,0.0,0,0.0,1.0
2020-01-03,512400,1013385.37,1011358.59,0.747,1353600,1011139.2,512400,1013438.22,1011411.35,0.747,1353600,1011139.2,True,0.0,0,0.0,0.9999478507925229
2020-01-06,512880,1045712.84,1043621.41,1.061,983400,1043387.4,512880,1045815.26,1043723.63,1.061,983500,1043493.5,True,0.0,-100,-106.09999999997672,0.9999020668334864
2020-01-07,512980,1025739.13,1023687.65,0.923,1108800,1023422.4,512980,1024955.13,1022905.22,0.923,1108000,1022684.0,True,0.0,800,738.4000000000233,1.0007649115332493
2020-01-08,512880,1020998.42,1018956.43,1.03,989000,1018670.0,512880,1021426.92,1019384.07,1.03,989400,1019082.0,True,0.0,-400,-412.0,0.9995804888322309
2020-01-09,512980,1021681.24,1019637.88,0.91,1120200,1019382.0,512980,1023201.71,1021155.31,0.91,1121900,1020929.0,True,0.0,-1700,-1547.0,0.9985140075655269
2020-01-10,512100,1023615.14,1021567.91,0.749,1363600,1021336.4,512100,1024119.31,1022071.07,0.749,1364300,1021860.7,True,0.0,-700,-524.2999999999302,0.9995077038436078
2020-01-13,512100,1034368.58,1032299.84,0.756,1365100,1032015.6,512100,1033567.23,1031500.09,0.756,1364100,1031259.6,True,0.0,1000,756.0,1.000775324504048
2020-01-14,512100,1038458.51,1036381.6,0.759,1365100,1036110.9,512100,1037654.53,1035579.22,0.759,1364100,1035351.9,True,0.0,1000,759.0,1.000774805078912
2020-01-15,512980,1031479.14,1029416.18,0.914,1126000,1029164.0,512980,1030731.17,1028669.71,0.914,1125200,1028432.8,True,0.0,800,731.1999999999534,1.0007256693323827
2020-01-16,512400,1026667.58,1024614.24,0.759,1349600,1024346.4,512400,1027150.22,1025095.92,0.759,1350300,1024877.7,True,0.0,-700,-531.2999999999302,0.9995301174155422
2020-01-17,512400,1014370.46,1012341.72,0.749,1351300,1012123.7,512400,1013544.74,1011517.65,0.749,1350200,1011299.8,True,0.0,1100,823.8999999999069,1.0008146852994373
2020-01-20,512480,1023668.67,1021621.33,1.736,588300,1021288.8,512480,1024239.13,1022190.65,1.736,588600,1021809.6,True,0.0,-300,-520.7999999999302,0.9994430402205001
2020-01-21,159915,1025714.96,1023663.53,1.895,540000,1023300.0,159915,1025800.39,1023748.79,1.895,540100,1023489.5,True,0.0,-100,-189.5,0.9999167186902707
2020-01-22,515050,1029186.76,1027128.38,1.142,899200,1026886.4,515050,1028835.97,1026778.29,1.142,898900,1026543.8,True,0.0,300,342.5999999999767,1.0003409581412672
2020-01-23,159949,1005507.99,1003496.98,0.715,1403200,1003288.0,159949,1006160.4,1004148.08,0.715,1404100,1003931.5,True,0.0,-900,-643.5,0.9993515844988532
2020-02-03,518880,932266.79,930402.26,3.521,264100,929896.1,518880,934357.68,932488.96,3.521,264700,932008.7,True,0.0,-600,-2112.5999999999767,0.997762216713411
2020-02-04,518880,927903.36,926047.55,3.505,264100,925670.5,518880,930029.28,928169.22,3.505,264700,927773.5,True,0.0,-600,-2103.0,0.997714136483961
2020-02-05,518880,917871.36,916035.61,3.467,264100,915634.7,518880,919970.68,918130.74,3.467,264700,917714.9,True,0.0,-600,-2080.20000000007,0.9977180577102739
2020-02-06,513100,910871.1,909049.36,3.682,246800,908717.6,513100,912997.39,911171.4,3.682,247400,910926.8,True,0.0,-600,-2209.20000000007,0.9976710886325754
2020-02-07,513100,930964.2,929102.28,3.765,246700,928825.5,513100,933432.24,931565.37,3.765,247300,931084.5,True,0.0,-600,-2259.0,0.9973559516221552
2020-02-10,513100,920849.5,919007.81,3.724,246700,918710.8,513100,923292.94,921446.35,3.724,247300,920945.2,True,0.0,-600,-2234.399999999907,0.9973535593156383
2020-02-11,513100,946753.0,944859.5,3.829,246700,944614.3,513100,949259.44,947360.92,3.829,247300,946911.7,True,0.0,-600,-2297.399999999907,0.9973595838035596
2020-02-12,513100,975123.5,973173.26,3.944,246600,972590.4,513100,977698.94,975743.54,3.944,247300,975351.2,True,0.0,-700,-2760.79999999993,0.9973658148795784
2020-02-13,512170,1010250.37,1008229.87,1.444,698000,1007912.0,512170,1012714.49,1010689.06,1.444,699700,1010366.8,True,0.0,-1700,-2454.8000000000466,0.9975668166849276
2020-02-14,512170,1019170.52,1017132.18,1.458,697400,1016809.2,512170,1022409.26,1020364.44,1.458,699600,1020016.8,True,0.0,-2200,-3207.600000000093,0.9968322470005798
2020-02-17,512170,1043578.0,1041490.84,1.493,697400,1041218.2,512170,1046890.26,1044796.47,1.493,699600,1044502.8,True,0.0,-2200,-3284.600000000093,0.9968360962685812
2020-02-18,512170,1047763.0,1045667.47,1.499,697400,1045402.6,512170,1051087.86,1048985.68,1.499,699600,1048700.4,True,0.0,-2200,-3297.79999999993,0.9968367439806601
2020-02-19,512170,1038695.5,1036618.1,1.486,697400,1036336.4,512170,1041993.06,1039909.07,1.486,699600,1039605.6,True,0.0,-2200,-3269.1999999999534,0.9968353340088464
2020-02-20,159949,1041329.61,1039246.95,0.808,1285900,1039007.2,159949,1044687.22,1042597.84,0.808,1290000,1042320.0,True,0.0,-4100,-3312.8000000000466,0.9967860140952045
2020-02-21,159949,1075887.68,1073735.9,0.835,1285600,1073476.0,159949,1079412.98,1077254.16,0.835,1289800,1076983.0,True,0.0,-4200,-3507.0,0.9967340581729895
2020-02-24,159915,1080868.68,1078706.94,2.167,497600,1078299.2,159915,1084458.97,1082290.05,2.167,499300,1081983.1,True,0.0,-1700,-3683.9000000001397,0.996689326107008
2020-02-25,159915,1077721.96,1075566.52,2.161,497600,1075313.6,159915,1081354.97,1079192.26,2.161,499200,1078771.2,True,0.0,-1600,-3457.5999999998603,0.99664031691647
2020-02-26,159967,1069104.47,1066966.26,1.494,714000,1066716.0,159967,1072756.54,1070611.03,1.494,716400,1070301.6,True,0.0,-2400,-3585.600000000093,0.9965956208479512
2020-02-27,512670,1073066.92,1070920.78,1.269,843700,1070655.3,512670,1076124.12,1073971.88,1.269,846100,1073700.9,True,0.0,-2400,-3045.5999999998603,0.9971590637704504
2020-02-28,518880,999372.05,997373.31,3.65,273100,996815.0,518880,1002306.04,1000301.43,3.65,273900,999735.0,True,0.0,-800,-2920.0,0.9970727603317645
2020-03-02,511880,968228.82,966292.37,100.55,9600,965280.0,511880,970884.62,968942.85,100.55,9600,965280.0,True,0.0,0,0.0,0.9972645565237195
2020-03-03,159985,968027.74,966091.68,0.968,997800,965870.4,159985,970691.55,968750.17,0.968,1000500,968484.0,True,0.0,-2700,-2613.5999999999767,0.9972557605966591
2020-03-04,159985,970875.53,968933.78,0.972,996600,968695.2,159985,974596.71,972647.51,0.972,1000400,972388.8,True,0.0,-3800,-3693.600000000093,0.9961818258138795
2020-03-05,159985,964890.29,962960.51,0.966,996600,962715.6,159985,968589.31,966652.13,0.966,1000400,966386.4,True,0.0,-3800,-3670.8000000000466,0.9961810233069782
2020-03-06,515050,961756.22,959832.71,1.235,777000,959595.0,515050,965491.77,963560.78,1.235,780000,963300.0,True,0.0,-3000,-3705.0,0.9961309354299311
2020-03-09,512170,928847.71,926990.02,1.592,582100,926703.2,512170,932542.38,930677.3,1.592,584400,930364.8,True,0.0,-2300,-3661.600000000093,0.9960380674602691
2020-03-10,511880,913439.49,911612.61,100.585,9000,905265.0,511880,919500.8,917661.79,100.585,9100,915323.5,True,0.0,-100,-10058.5,0.9934080427118714
2020-03-11,518880,913366.7,911539.97,3.64,250300,911092.0,518880,919426.91,917588.06,3.64,252000,917280.0,True,0.0,-1700,-6188.0,0.9934087093448243
2020-03-12,511880,904087.64,902279.46,100.627,8900,895580.3,511880,910172.36,908352.02,100.627,9000,905643.0,True,0.0,-100,-10062.699999999953,0.99331476073389
2020-03-13,511880,903831.6,902023.94,100.613,8900,895455.7,511880,909910.79,908090.97,100.613,9000,905517.0,True,0.0,-100,-10061.300000000047,0.9933189164621291
2020-03-16,159985,903909.97,902102.15,0.97,929800,901906.0,159985,909991.22,908171.24,0.97,936000,907920.0,True,0.0,-6200,-6014.0,0.9933172432147203
2020-03-17,159985,894478.57,892689.61,0.961,928700,892480.7,159985,901476.43,899673.48,0.961,935900,899399.9,True,0.0,-7200,-6919.20000000007,0.9922373344802813
2020-03-18,159985,900975.13,899173.18,0.968,928700,898981.6,159985,908022.73,906206.69,0.968,935900,905951.2,True,0.0,-7200,-6969.599999999977,0.9922385202846189
2020-03-19,511880,883195.72,881429.33,100.655,8700,875698.5,511880,890151.82,888371.51,100.655,8800,885764.0,True,0.0,-100,-10065.5,0.9921854903357946
2020-03-20,159985,883108.0,881341.79,0.976,902800,881132.8,159985,890062.65,888282.52,0.976,909900,888062.4,True,0.0,-7100,-6929.599999999977,0.9921863365460847
2020-03-23,159985,918177.26,916340.9,1.015,902600,916139.0,159985,925459.94,923609.02,1.015,909700,923345.5,True,0.0,-7100,-7206.5,0.9921307452810978
2020-03-24,159985,919982.46,918142.49,1.017,902600,917944.2,159985,927274.34,925419.79,1.017,909700,925164.9,True,0.0,-7100,-7220.70000000007,0.9921362215199442
2020-03-25,159985,937131.86,935257.59,1.036,902500,934990.0,159985,944558.64,942669.52,1.036,909700,942449.2,True,0.0,-7200,-7459.199999999953,0.9921373012902619
2020-03-26,159985,919079.86,917241.7,1.016,902600,917041.6,159985,926364.64,924511.91,1.016,909700,924255.2,True,0.0,-7100,-7213.599999999977,0.9921361635737737
2020-03-27,159985,917274.66,915440.11,1.014,902600,915236.4,159985,924545.24,922696.15,1.014,909700,922435.8,True,0.0,-7100,-7199.400000000023,0.9921360473393385
2020-03-30,159985,938034.46,936158.39,1.037,902500,935892.5,159985,945468.34,943577.4,1.037,909700,943358.9,True,0.0,-7200,-7466.400000000023,0.9921373570266774
2020-03-31,159985,929008.46,927150.44,1.027,902500,926867.5,159985,936371.34,934498.6,1.027,909700,934261.9,True,0.0,-7200,-7394.400000000023,0.9921367947891271
2020-04-01,159985,907346.06,905531.36,1.003,902600,905307.8,511880,914447.3,912618.4,100.717,9000,906453.0,False,-99.714,893600,-1145.1999999999534,0.9922343912000178
2020-04-02,159985,896514.86,894721.83,0.991,902600,894476.6,511880,914374.65,912545.9,100.724,9000,906516.0,False,-99.733,893600,-12039.400000000023,0.9804677546561467
2020-04-03,159985,886586.26,884813.08,0.98,902600,884548.0,159985,914373.99,912545.24,0.98,930900,912282.0,True,0.0,-28300,-27734.0,0.9696101045043943
2020-04-07,511880,884648.65,882879.35,100.743,8700,876464.1,511880,912329.92,910505.26,100.743,9000,906687.0,True,0.0,-300,-30222.900000000023,0.9696587063592083
2020-04-08,511880,884604.69,882835.48,100.752,8700,876542.4,511880,912275.24,910450.69,100.752,9000,906768.0,True,0.0,-300,-30225.599999999977,0.9696686386007801
2020-04-09,511880,884639.09,882869.81,100.756,8700,876577.2,511880,912311.24,910486.62,100.756,9000,906804.0,True,0.0,-300,-30226.800000000047,0.9696680816954529
2020-04-10,511880,884811.09,883041.47,100.776,8700,876751.2,511880,912491.24,910666.26,100.776,9000,906984.0,True,0.0,-300,-30232.800000000047,0.969665297827955
2020-04-13,511880,884888.49,883118.71,100.785,8700,876829.5,511880,912572.24,910747.1,100.785,9000,907065.0,True,0.0,-300,-30235.5,0.9696640454458707
2020-04-14,512010,884810.07,883040.45,2.078,424800,882734.4,512010,912490.54,910665.55,2.078,438100,910371.8,True,0.0,-13300,-27637.400000000023,0.9696649238686901
2020-04-15,512010,885527.02,883755.97,2.081,424500,883384.5,512010,913713.8,911886.37,2.081,438100,911686.1,True,0.0,-13600,-28301.599999999977,0.9691514126195752
2020-04-16,512010,887645.31,885870.02,2.086,424500,885507.0,512010,915904.3,914072.49,2.086,438100,913876.6,True,0.0,-13600,-28369.599999999977,0.9691463507704899
2020-04-17,512010,888494.51,886717.53,2.088,424500,886356.0,512010,916780.5,914946.94,2.088,438100,914752.8,True,0.0,-13600,-28396.800000000047,0.9691463878212943
2020-04-20,512010,890192.91,888412.53,2.092,424500,888054.0,512010,918532.9,916695.83,2.092,438100,916505.2,True,0.0,-13600,-28451.199999999953,0.9691464617108435
2020-04-21,512170,874351.84,872603.13,1.587,549700,872373.9,512170,901795.11,899991.52,1.587,566900,899670.3,True,0.0,-17200,-27296.400000000023,0.9695681760793757
2020-04-22,512170,881365.8,879603.07,1.6,549600,879360.0,512170,909074.85,907256.7,1.6,566900,907040.0,True,0.0,-17300,-27680.0,0.9695195065620835
2020-04-23,512170,896754.6,894961.09,1.628,549600,894748.8,512170,924948.05,923098.15,1.628,566800,922750.4,True,0.0,-17200,-28001.599999999977,0.9695188827091423
2020-04-24,512170,875869.8,874118.06,1.59,549600,873864.0,512170,903404.65,901597.84,1.59,566900,901371.0,True,0.0,-17300,-27507.0,0.9695210225008251
