date,ths_weak,ths_pool,ths_passed,ths_target,ths_top10,ths_items,jq_weak,jq_pool,jq_passed,jq_target,jq_top10,jq_items,target_match,top10_overlap,passed_diff,top1_match
2020-07-17,True,9,3,161226,"['161226', '513030', '513500']","[{'code': '161226', 'score': 0.8788, 'annualized': 1.1323, 'r2': 0.7761, 'price': 0.863, 'today_volume': 23100.0}, {'code': '513030', 'score': 0.2601, 'annualized': 0.6358, 'r2': 0.4091, 'price': 1.081, 'today_volume': 3000.0}, {'code': '513500', 'score': 0.0286, 'annualized': 0.2528, 'r2': 0.1132, 'price': 2.103, 'today_volume': 5900.0}]",True,9,4,159980,"['159980', '161226', '513030', '513500']","[{'code': '159980', 'score': 1.3497, 'annualized': 1.5514, 'r2': 0.87, 'price': 1.013, 'today_volume': 0.0}, {'code': '161226', 'score': 0.8788, 'annualized': 1.1323, 'r2': 0.7761, 'price': 0.863, 'today_volume': 0.0}, {'code': '513030', 'score': 0.2601, 'annualized': 0.6358, 'r2': 0.4091, 'price': 1.081, 'today_volume': 0.0}, {'code': '513500', 'score': 0.0286, 'annualized': 0.2528, 'r2': 0.1132, 'price': 2.103, 'today_volume': 0.0}]",False,3,-1,False
2020-12-14,True,9,2,501018,"['501018', '513500']","[{'code': '501018', 'score': 0.9149, 'annualized': 1.2818, 'r2': 0.7137, 'price': 0.562, 'today_volume': 351300.0}, {'code': '513500', 'score': 0.2968, 'annualized': 0.3824, 'r2': 0.7761, 'price': 2.275, 'today_volume': 480900.0}]",True,9,3,159980,"['159980', '501018', '513500']","[{'code': '159980', 'score': 1.0651, 'annualized': 1.2373, 'r2': 0.8608, 'price': 1.175, 'today_volume': 0.0}, {'code': '501018', 'score': 0.9149, 'annualized': 1.2818, 'r2': 0.7137, 'price': 0.562, 'today_volume': 0.0}, {'code': '513500', 'score': 0.2968, 'annualized': 0.3824, 'r2': 0.7761, 'price': 2.275, 'today_volume': 0.0}]",False,2,-1,False
2021-04-20,False,60,30,512480,"['512480', '512690', '513100', '513500', '513030', '159995', '515210', '159967', '515170', '159981']","[{'code': '512480', 'score': 1.814, 'annualized': 2.5844, 'r2': 0.7019, 'price': 0.958, 'today_volume': 410300.0}, {'code': '512690', 'score': 1.7775, 'annualized': 2.4134, 'r2': 0.7365, 'price': 2.604, 'today_volume': 514400.0}, {'code': '513100', 'score': 1.4911, 'annualized': 1.8392, 'r2': 0.8108, 'price': 4.637, 'today_volume': 3800.0}, {'code': '513500', 'score': 1.1555, 'annualized': 1.327, 'r2': 0.8708, 'price': 2.565, 'today_volume': 32300.0}, {'code': '513030', 'score': 1.0913, 'annualized': 1.2382, 'r2': 0.8814, 'price': 1.249, 'today_volume': nan}, {'code': '159995', 'score': 1.0393, 'annualized': 1.6752, 'r2': 0.6204, 'price': 1.186, 'today_volume': 239400.0}, {'code': '515210', 'score': 0.9658, 'annualized': 2.1159, 'r2': 0.4565, 'price': 1.582, 'today_volume': 5200.0}, {'code': '159967', 'score': 0.8639, 'annualized': 1.3883, 'r2': 0.6223, 'price': 0.649, 'today_volume': 2414715.0}, {'code': '515170', 'score': 0.8636, 'annualized': 1.3145, 'r2': 0.657, 'price': 0.904, 'today_volume': 338800.0}, {'code': '159981', 'score': 0.7817, 'annualized': 1.1434, 'r2': 0.6836, 'price': 1.152, 'today_volume': 1000.0}]",False,62,31,512690,"['512690', '513100', '512480', '513500', '513030', '159995', '515210', '159967', '515170', '159981']","[{'code': '512690', 'score': 1.7775, 'annualized': 2.4134, 'r2': 0.7365, 'price': 2.604, 'today_volume': 0.0}, {'code': '513100', 'score': 1.4911, 'annualized': 1.8392, 'r2': 0.8108, 'price': 4.637, 'today_volume': 0.0}, {'code': '512480', 'score': 1.213, 'annualized': 1.8824, 'r2': 0.6444, 'price': 0.958, 'today_volume': 0.0}, {'code': '513500', 'score': 1.1555, 'annualized': 1.327, 'r2': 0.8708, 'price': 2.565, 'today_volume': 0.0}, {'code': '513030', 'score': 1.0913, 'annualized': 1.2382, 'r2': 0.8814, 'price': 1.249, 'today_volume': 0.0}, {'code': '159995', 'score': 1.0393, 'annualized': 1.6752, 'r2': 0.6204, 'price': 1.186, 'today_volume': 0.0}, {'code': '515210', 'score': 0.9658, 'annualized': 2.1159, 'r2': 0.4565, 'price': 1.582, 'today_volume': 0.0}, {'code': '159967', 'score': 0.8639, 'annualized': 1.3883, 'r2': 0.6223, 'price': 0.649, 'today_volume': 0.0}, {'code': '515170', 'score': 0.8636, 'annualized': 1.3145, 'r2': 0.657, 'price': 0.904, 'today_volume': 0.0}, {'code': '159981', 'score': 0.7817, 'annualized': 1.1434, 'r2': 0.6836, 'price': 1.152, 'today_volume': 0.0}]",False,10,-1,False
2021-05-26,False,60,21,512690,"['512690', '512010', '512170', '159967', '159949', '515120', '159992', '515170', '515030', '159915']","[{'code': '512690', 'score': 2.0745, 'annualized': 3.0803, 'r2': 0.6735, 'price': 1.46, 'today_volume': 343900.0}, {'code': '512010', 'score': 1.7689, 'annualized': 2.332, 'r2': 0.7585, 'price': 3.286, 'today_volume': 15500.0}, {'code': '512170', 'score': 1.7209, 'annualized': 2.3105, 'r2': 0.7448, 'price': 0.891, 'today_volume': 72400.0}, {'code': '159967', 'score': 1.6939, 'annualized': 2.4718, 'r2': 0.6853, 'price': 0.733, 'today_volume': 180200.0}, {'code': '159949', 'score': 1.6612, 'annualized': 2.313, 'r2': 0.7182, 'price': 1.385, 'today_volume': 682600.0}, {'code': '515120', 'score': 1.5569, 'annualized': 2.172, 'r2': 0.7168, 'price': 1.152, 'today_volume': 5500.0}, {'code': '159992', 'score': 1.4438, 'annualized': 2.0788, 'r2': 0.6945, 'price': 1.553, 'today_volume': 6300.0}, {'code': '515170', 'score': 1.2482, 'annualized': 2.0377, 'r2': 0.6126, 'price': 0.992, 'today_volume': 287600.0}, {'code': '515030', 'score': 1.1926, 'annualized': 2.0665, 'r2': 0.5771, 'price': 1.719, 'today_volume': 216200.0}, {'code': '159915', 'score': 1.1902, 'annualized': 1.7622, 'r2': 0.6754, 'price': 3.09, 'today_volume': 219400.0}]",False,63,22,512010,"['512010', '512170', '159967', '159949', '515120', '159992', '512690', '515170', '515030', '159915']","[{'code': '512010', 'score': 1.7689, 'annualized': 2.332, 'r2': 0.7585, 'price': 3.286, 'today_volume': 0.0}, {'code': '512170', 'score': 1.7209, 'annualized': 2.3105, 'r2': 0.7448, 'price': 0.891, 'today_volume': 0.0}, {'code': '159967', 'score': 1.6939, 'annualized': 2.4718, 'r2': 0.6853, 'price': 0.733, 'today_volume': 0.0}, {'code': '159949', 'score': 1.6612, 'annualized': 2.313, 'r2': 0.7182, 'price': 1.385, 'today_volume': 0.0}, {'code': '515120', 'score': 1.5569, 'annualized': 2.172, 'r2': 0.7168, 'price': 1.152, 'today_volume': 0.0}, {'code': '159992', 'score': 1.4438, 'annualized': 2.0788, 'r2': 0.6945, 'price': 1.553, 'today_volume': 0.0}, {'code': '512690', 'score': 1.2869, 'annualized': 2.0805, 'r2': 0.6186, 'price': 1.46, 'today_volume': 0.0}, {'code': '515170', 'score': 1.2482, 'annualized': 2.0377, 'r2': 0.6126, 'price': 0.992, 'today_volume': 0.0}, {'code': '515030', 'score': 1.1926, 'annualized': 2.0665, 'r2': 0.5771, 'price': 1.719, 'today_volume': 0.0}, {'code': '159915', 'score': 1.1902, 'annualized': 1.7622, 'r2': 0.6754, 'price': 3.09, 'today_volume': 0.0}]",False,10,-1,False
2021-05-27,False,61,22,512690,"['512690', '512170', '159967', '159949', '512010', '515170', '515120', '159915', '515030', '159992']","[{'code': '512690', 'score': 2.4113, 'annualized': 3.4865, 'r2': 0.6916, 'price': 1.469, 'today_volume': 480400.0}, {'code': '512170', 'score': 1.6789, 'annualized': 2.2321, 'r2': 0.7522, 'price': 0.899, 'today_volume': 541900.0}, {'code': '159967', 'score': 1.6527, 'annualized': 2.3901, 'r2': 0.6915, 'price': 0.739, 'today_volume': 225800.0}, {'code': '159949', 'score': 1.6205, 'annualized': 2.2404, 'r2': 0.7233, 'price': 1.391, 'today_volume': 525600.0}, {'code': '512010', 'score': 1.5317, 'annualized': 2.0405, 'r2': 0.7507, 'price': 3.289, 'today_volume': 57100.0}, {'code': '515170', 'score': 1.5287, 'annualized': 2.3915, 'r2': 0.6392, 'price': 0.998, 'today_volume': 461000.0}, {'code': '515120', 'score': 1.2212, 'annualized': 1.779, 'r2': 0.6865, 'price': 1.149, 'today_volume': 1000.0}, {'code': '159915', 'score': 1.2065, 'annualized': 1.7714, 'r2': 0.6811, 'price': 3.108, 'today_volume': 189000.0}, {'code': '515030', 'score': 1.1875, 'annualized': 2.056, 'r2': 0.5776, 'price': 1.722, 'today_volume': 445000.0}, {'code': '159992', 'score': 1.1397, 'annualized': 1.7108, 'r2': 0.6662, 'price': 1.55, 'today_volume': 59200.0}]",False,64,24,512170,"['512170', '159967', '159949', '512010', '515170', '512690', '515120', '159915', '515030', '159992']","[{'code': '512170', 'score': 1.6789, 'annualized': 2.2321, 'r2': 0.7522, 'price': 0.899, 'today_volume': 0.0}, {'code': '159967', 'score': 1.6527, 'annualized': 2.3901, 'r2': 0.6915, 'price': 0.739, 'today_volume': 0.0}, {'code': '159949', 'score': 1.6205, 'annualized': 2.2404, 'r2': 0.7233, 'price': 1.391, 'today_volume': 0.0}, {'code': '512010', 'score': 1.5317, 'annualized': 2.0405, 'r2': 0.7507, 'price': 3.289, 'today_volume': 0.0}, {'code': '515170', 'score': 1.5287, 'annualized': 2.3915, 'r2': 0.6392, 'price': 0.998, 'today_volume': 0.0}, {'code': '512690', 'score': 1.5062, 'annualized': 2.3652, 'r2': 0.6368, 'price': 1.469, 'today_volume': 0.0}, {'code': '515120', 'score': 1.2212, 'annualized': 1.779, 'r2': 0.6865, 'price': 1.149, 'today_volume': 0.0}, {'code': '159915', 'score': 1.2065, 'annualized': 1.7714, 'r2': 0.6811, 'price': 3.108, 'today_volume': 0.0}, {'code': '515030', 'score': 1.1875, 'annualized': 2.056, 'r2': 0.5776, 'price': 1.722, 'today_volume': 0.0}, {'code': '159992', 'score': 1.1397, 'annualized': 1.7108, 'r2': 0.6662, 'price': 1.55, 'today_volume': 0.0}]",False,10,-2,False
2021-05-28,False,62,29,512690,"['512690', '159949', '515030', '515170', '159967', '512170', '512880', '159915', '512010', '512670']","[{'code': '512690', 'score': 2.8472, 'annualized': 3.9832, 'r2': 0.7148, 'price': 1.483, 'today_volume': 2250700.0}, {'code': '159949', 'score': 1.9221, 'annualized': 2.599, 'r2': 0.7396, 'price': 1.427, 'today_volume': 2327100.0}, {'code': '515030', 'score': 1.8749, 'annualized': 2.9181, 'r2': 0.6425, 'price': 1.825, 'today_volume': 1762300.0}, {'code': '515170', 'score': 1.8635, 'annualized': 2.7609, 'r2': 0.675, 'price': 1.001, 'today_volume': 1831400.0}, {'code': '159967', 'score': 1.8631, 'annualized': 2.6438, 'r2': 0.7047, 'price': 0.754, 'today_volume': 377800.0}, {'code': '512170', 'score': 1.7767, 'annualized': 2.3414, 'r2': 0.7588, 'price': 0.905, 'today_volume': 576300.0}, {'code': '512880', 'score': 1.4575, 'annualized': 2.4296, 'r2': 0.5999, 'price': 1.153, 'today_volume': 12503800.0}, {'code': '159915', 'score': 1.4451, 'annualized': 2.0546, 'r2': 0.7033, 'price': 3.169, 'today_volume': 614900.0}, {'code': '512010', 'score': 1.4284, 'annualized': 1.9154, 'r2': 0.7458, 'price': 3.299, 'today_volume': 149600.0}, {'code': '512670', 'score': 1.087, 'annualized': 2.1903, 'r2': 0.4963, 'price': 1.762, 'today_volume': 129500.0}]",False,64,30,159949,"['159949', '515030', '515170', '159967', '512690', '512170', '512880', '159915', '512010', '516160']","[{'code': '159949', 'score': 1.9221, 'annualized': 2.599, 'r2': 0.7396, 'price': 1.427, 'today_volume': 0.0}, {'code': '515030', 'score': 1.8749, 'annualized': 2.9181, 'r2': 0.6425, 'price': 1.825, 'today_volume': 0.0}, {'code': '515170', 'score': 1.8635, 'annualized': 2.7609, 'r2': 0.675, 'price': 1.001, 'today_volume': 0.0}, {'code': '159967', 'score': 1.8631, 'annualized': 2.6438, 'r2': 0.7047, 'price': 0.754, 'today_volume': 0.0}, {'code': '512690', 'score': 1.8008, 'annualized': 2.7258, 'r2': 0.6606, 'price': 1.483, 'today_volume': 0.0}, {'code': '512170', 'score': 1.7767, 'annualized': 2.3414, 'r2': 0.7588, 'price': 0.905, 'today_volume': 0.0}, {'code': '512880', 'score': 1.4575, 'annualized': 2.4296, 'r2': 0.5999, 'price': 1.153, 'today_volume': 0.0}, {'code': '159915', 'score': 1.4451, 'annualized': 2.0546, 'r2': 0.7033, 'price': 3.169, 'today_volume': 0.0}, {'code': '512010', 'score': 1.4284, 'annualized': 1.9154, 'r2': 0.7458, 'price': 3.299, 'today_volume': 0.0}, {'code': '516160', 'score': 1.1358, 'annualized': 1.6262, 'r2': 0.6984, 'price': 0.968, 'today_volume': 0.0}]",False,9,-1,False
2021-05-31,False,62,33,512690,"['512690', '515030', '159949', '515170', '512880', '159967', '512670', '159915', '512170', '512710']","[{'code': '512690', 'score': 3.0507, 'annualized': 4.1522, 'r2': 0.7347, 'price': 1.472, 'today_volume': 389300.0}, {'code': '515030', 'score': 2.6894, 'annualized': 3.9681, 'r2': 0.6778, 'price': 1.878, 'today_volume': 150600.0}, {'code': '159949', 'score': 2.0081, 'annualized': 2.6839, 'r2': 0.7482, 'price': 1.434, 'today_volume': 704200.0}, {'code': '515170', 'score': 1.983, 'annualized': 2.8254, 'r2': 0.7019, 'price': 0.99, 'today_volume': 366500.0}, {'code': '512880', 'score': 1.8598, 'annualized': 2.7473, 'r2': 0.6769, 'price': 1.136, 'today_volume': 2035000.0}, {'code': '159967', 'score': 1.8244, 'annualized': 2.5764, 'r2': 0.7081, 'price': 0.752, 'today_volume': 101900.0}, {'code': '512670', 'score': 1.7512, 'annualized': 2.9254, 'r2': 0.5986, 'price': 1.798, 'today_volume': 25900.0}, {'code': '159915', 'score': 1.5224, 'annualized': 2.1259, 'r2': 0.7161, 'price': 3.179, 'today_volume': 105100.0}, {'code': '512170', 'score': 1.4759, 'annualized': 2.0049, 'r2': 0.7362, 'price': 0.893, 'today_volume': 1615900.0}, {'code': '512710', 'score': 1.3193, 'annualized': 2.3001, 'r2': 0.5736, 'price': 0.815, 'today_volume': 285500.0}]",False,64,34,515030,"['515030', '159949', '515170', '512690', '512880', '159967', '512670', '159915', '512170', '516160']","[{'code': '515030', 'score': 2.6894, 'annualized': 3.9681, 'r2': 0.6778, 'price': 1.878, 'today_volume': 0.0}, {'code': '159949', 'score': 2.0081, 'annualized': 2.6839, 'r2': 0.7482, 'price': 1.434, 'today_volume': 0.0}, {'code': '515170', 'score': 1.983, 'annualized': 2.8254, 'r2': 0.7019, 'price': 0.99, 'today_volume': 0.0}, {'code': '512690', 'score': 1.9502, 'annualized': 2.8592, 'r2': 0.6821, 'price': 1.472, 'today_volume': 0.0}, {'code': '512880', 'score': 1.8598, 'annualized': 2.7473, 'r2': 0.6769, 'price': 1.136, 'today_volume': 0.0}, {'code': '159967', 'score': 1.8244, 'annualized': 2.5764, 'r2': 0.7081, 'price': 0.752, 'today_volume': 0.0}, {'code': '512670', 'score': 1.7512, 'annualized': 2.9254, 'r2': 0.5986, 'price': 1.798, 'today_volume': 0.0}, {'code': '159915', 'score': 1.5224, 'annualized': 2.1259, 'r2': 0.7161, 'price': 3.179, 'today_volume': 0.0}, {'code': '512170', 'score': 1.4759, 'annualized': 2.0049, 'r2': 0.7362, 'price': 0.893, 'today_volume': 0.0}, {'code': '516160', 'score': 1.4339, 'annualized': 2.0304, 'r2': 0.7062, 'price': 0.99, 'today_volume': 0.0}]",False,9,-1,False
2021-06-03,False,62,42,512690,"['512690', '512670', '515170', '512710', '512660', '512880', '159949', '588080', '159915', '159967']","[{'code': '512690', 'score': 4.3002, 'annualized': 5.1766, 'r2': 0.8307, 'price': 1.51, 'today_volume': 723700.0}, {'code': '512670', 'score': 3.2271, 'annualized': 4.2021, 'r2': 0.768, 'price': 1.763, 'today_volume': 1045200.0}, {'code': '515170', 'score': 2.6549, 'annualized': 3.3117, 'r2': 0.8017, 'price': 1.005, 'today_volume': 157900.0}, {'code': '512710', 'score': 2.2823, 'annualized': 3.0388, 'r2': 0.751, 'price': 0.798, 'today_volume': 240100.0}, {'code': '512660', 'score': 2.271, 'annualized': 2.9678, 'r2': 0.7652, 'price': 1.106, 'today_volume': 1127000.0}, {'code': '512880', 'score': 2.265, 'annualized': 2.9039, 'r2': 0.78, 'price': 1.112, 'today_volume': 916100.0}, {'code': '159949', 'score': 2.2041, 'annualized': 2.8553, 'r2': 0.7719, 'price': 1.408, 'today_volume': 2044500.0}, {'code': '588080', 'score': 1.7893, 'annualized': 2.7186, 'r2': 0.6582, 'price': 1.461, 'today_volume': 203177.0}, {'code': '159915', 'score': 1.7698, 'annualized': 2.3265, 'r2': 0.7607, 'price': 3.136, 'today_volume': 214500.0}, {'code': '159967', 'score': 1.7509, 'annualized': 2.4883, 'r2': 0.7036, 'price': 0.741, 'today_volume': 38100.0}]",False,64,43,512670,"['512670', '512690', '515170', '516160', '512710', '512660', '512880', '159949', '588080', '159915']","[{'code': '512670', 'score': 3.2271, 'annualized': 4.2021, 'r2': 0.768, 'price': 1.763, 'today_volume': 0.0}, {'code': '512690', 'score': 2.9866, 'annualized': 3.7467, 'r2': 0.7971, 'price': 1.51, 'today_volume': 0.0}, {'code': '515170', 'score': 2.6549, 'annualized': 3.3117, 'r2': 0.8017, 'price': 1.005, 'today_volume': 0.0}, {'code': '516160', 'score': 2.4878, 'annualized': 3.1823, 'r2': 0.7818, 'price': 0.98, 'today_volume': 0.0}, {'code': '512710', 'score': 2.2823, 'annualized': 3.0388, 'r2': 0.751, 'price': 0.798, 'today_volume': 0.0}, {'code': '512660', 'score': 2.271, 'annualized': 2.9678, 'r2': 0.7652, 'price': 1.106, 'today_volume': 0.0}, {'code': '512880', 'score': 2.265, 'annualized': 2.9039, 'r2': 0.78, 'price': 1.112, 'today_volume': 0.0}, {'code': '159949', 'score': 2.2041, 'annualized': 2.8553, 'r2': 0.7719, 'price': 1.408, 'today_volume': 0.0}, {'code': '588080', 'score': 1.7893, 'annualized': 2.7186, 'r2': 0.6582, 'price': 1.461, 'today_volume': 0.0}, {'code': '159915', 'score': 1.7698, 'annualized': 2.3265, 'r2': 0.7607, 'price': 3.136, 'today_volume': 0.0}]",False,9,-1,False
2021-07-01,False,64,18,515030,"['515030', '588080', '515050', '516520', '501018', '159967', '513100', '159851', '515880', '515980']","[{'code': '515030', 'score': 3.071, 'annualized': 3.9967, 'r2': 0.7684, 'price': 2.097, 'today_volume': 44000.0}, {'code': '588080', 'score': 2.7978, 'annualized': 3.2442, 'r2': 0.8624, 'price': 1.62, 'today_volume': 431628.0}, {'code': '515050', 'score': 2.3563, 'annualized': 2.7007, 'r2': 0.8725, 'price': 1.205, 'today_volume': 2417200.0}, {'code': '516520', 'score': 2.3291, 'annualized': 2.671, 'r2': 0.872, 'price': 1.094, 'today_volume': nan}, {'code': '501018', 'score': 1.8201, 'annualized': 1.9456, 'r2': 0.9355, 'price': 0.835, 'today_volume': 22600.0}, {'code': '159967', 'score': 1.5898, 'annualized': 2.5334, 'r2': 0.6275, 'price': 0.832, 'today_volume': 1054642.0}, {'code': '513100', 'score': 1.4113, 'annualized': 1.5572, 'r2': 0.9063, 'price': 4.829, 'today_volume': 151000.0}, {'code': '159851', 'score': 1.2879, 'annualized': 1.797, 'r2': 0.7167, 'price': 1.208, 'today_volume': nan}, {'code': '515880', 'score': 1.0622, 'annualized': 1.2628, 'r2': 0.8411, 'price': 1.018, 'today_volume': 15500.0}, {'code': '515980', 'score': 0.9277, 'annualized': 1.1966, 'r2': 0.7753, 'price': 1.201, 'today_volume': 17500.0}]",False,66,20,516160,"['516160', '515030', '588080', '515050', '516520', '501018', '159967', '513100', '159851', '515880']","[{'code': '516160', 'score': 3.9691, 'annualized': 4.9575, 'r2': 0.8006, 'price': 1.109, 'today_volume': 0.0}, {'code': '515030', 'score': 3.071, 'annualized': 3.9967, 'r2': 0.7684, 'price': 2.097, 'today_volume': 0.0}, {'code': '588080', 'score': 2.7978, 'annualized': 3.2442, 'r2': 0.8624, 'price': 1.62, 'today_volume': 0.0}, {'code': '515050', 'score': 2.3563, 'annualized': 2.7007, 'r2': 0.8725, 'price': 1.205, 'today_volume': 0.0}, {'code': '516520', 'score': 2.3291, 'annualized': 2.671, 'r2': 0.872, 'price': 1.094, 'today_volume': 0.0}, {'code': '501018', 'score': 1.8201, 'annualized': 1.9456, 'r2': 0.9355, 'price': 0.835, 'today_volume': 0.0}, {'code': '159967', 'score': 1.5898, 'annualized': 2.5334, 'r2': 0.6275, 'price': 0.832, 'today_volume': 0.0}, {'code': '513100', 'score': 1.4113, 'annualized': 1.5572, 'r2': 0.9063, 'price': 4.829, 'today_volume': 0.0}, {'code': '159851', 'score': 1.2879, 'annualized': 1.797, 'r2': 0.7167, 'price': 1.208, 'today_volume': 0.0}, {'code': '515880', 'score': 1.0622, 'annualized': 1.2628, 'r2': 0.8411, 'price': 1.018, 'today_volume': 0.0}]",False,9,-2,False
2021-07-02,False,64,15,515030,"['515030', '588080', '516520', '501018', '515050', '159967', '513100', '159949', '515980', '159819']","[{'code': '515030', 'score': 3.0622, 'annualized': 3.9663, 'r2': 0.7721, 'price': 2.1, 'today_volume': 1744500.0}, {'code': '588080', 'score': 2.426, 'annualized': 2.8718, 'r2': 0.8448, 'price': 1.581, 'today_volume': 189924.0}, {'code': '516520', 'score': 2.0813, 'annualized': 2.4104, 'r2': 0.8635, 'price': 1.066, 'today_volume': 52000.0}, {'code': '501018', 'score': 1.8692, 'annualized': 1.9862, 'r2': 0.9411, 'price': 0.849, 'today_volume': 19500.0}, {'code': '515050', 'score': 1.8631, 'annualized': 2.2281, 'r2': 0.8362, 'price': 1.166, 'today_volume': 711400.0}, {'code': '159967', 'score': 1.6588, 'annualized': 2.536, 'r2': 0.6541, 'price': 0.807, 'today_volume': 301375.0}, {'code': '513100', 'score': 1.5181, 'annualized': 1.6232, 'r2': 0.9353, 'price': 4.824, 'today_volume': 8400.0}, {'code': '159949', 'score': 0.8476, 'annualized': 1.5341, 'r2': 0.5525, 'price': 1.491, 'today_volume': 2507800.0}, {'code': '515980', 'score': 0.7789, 'annualized': 1.0379, 'r2': 0.7505, 'price': 1.171, 'today_volume': nan}, {'code': '159819', 'score': 0.5731, 'annualized': 0.8029, 'r2': 0.7137, 'price': 0.977, 'today_volume': 10000.0}]",False,66,16,516160,"['516160', '515030', '588080', '516520', '501018', '515050', '159967', '513100', '159949', '515980']","[{'code': '516160', 'score': 3.8479, 'annualized': 4.7951, 'r2': 0.8025, 'price': 1.103, 'today_volume': 0.0}, {'code': '515030', 'score': 3.0622, 'annualized': 3.9663, 'r2': 0.7721, 'price': 2.1, 'today_volume': 0.0}, {'code': '588080', 'score': 2.426, 'annualized': 2.8718, 'r2': 0.8448, 'price': 1.581, 'today_volume': 0.0}, {'code': '516520', 'score': 2.0813, 'annualized': 2.4104, 'r2': 0.8635, 'price': 1.066, 'today_volume': 0.0}, {'code': '501018', 'score': 1.8692, 'annualized': 1.9862, 'r2': 0.9411, 'price': 0.849, 'today_volume': 0.0}, {'code': '515050', 'score': 1.8631, 'annualized': 2.2281, 'r2': 0.8362, 'price': 1.166, 'today_volume': 0.0}, {'code': '159967', 'score': 1.6588, 'annualized': 2.536, 'r2': 0.6541, 'price': 0.807, 'today_volume': 0.0}, {'code': '513100', 'score': 1.5181, 'annualized': 1.6232, 'r2': 0.9353, 'price': 4.824, 'today_volume': 0.0}, {'code': '159949', 'score': 0.8476, 'annualized': 1.5341, 'r2': 0.5525, 'price': 1.491, 'today_volume': 0.0}, {'code': '515980', 'score': 0.7789, 'annualized': 1.0379, 'r2': 0.7505, 'price': 1.171, 'today_volume': 0.0}]",False,9,-1,False
