date,code,account_value,buffered_value,price,shares,order_value
2020-01-02,512400,1000000.0,998000.0,0.737,1353800,997750.6
2020-01-03,512400,1013385.37,1011358.59,0.747,1353600,1011139.2
2020-01-06,512880,1045712.84,1043621.41,1.061,983400,1043387.4
2020-01-07,512980,1025739.13,1023687.65,0.923,1108800,1023422.4
2020-01-08,512880,1020998.42,1018956.43,1.03,989000,1018670.0
2020-01-09,512980,1021681.24,1019637.88,0.91,1120200,1019382.0
2020-01-10,512100,1023615.14,1021567.91,0.749,1363600,1021336.4
2020-01-13,512100,1034368.58,1032299.84,0.756,1365100,1032015.6
2020-01-14,512100,1038458.51,1036381.6,0.759,1365100,1036110.9
2020-01-15,512980,1031479.14,1029416.18,0.914,1126000,1029164.0
2020-01-16,512400,1026667.58,1024614.24,0.759,1349600,1024346.4
2020-01-17,512400,1014370.46,1012341.72,0.749,1351300,1012123.7
2020-01-20,512480,1023668.67,1021621.33,1.736,588300,1021288.8
2020-01-21,159915,1025714.96,1023663.53,1.895,540000,1023300.0
2020-01-22,515050,1029186.76,1027128.38,1.142,899200,1026886.4
2020-01-23,159949,1005507.99,1003496.98,0.715,1403200,1003288.0
2020-02-03,518880,932266.79,930402.26,3.521,264100,929896.1
2020-02-04,518880,927903.36,926047.55,3.505,264100,925670.5
2020-02-05,518880,917871.36,916035.61,3.467,264100,915634.7
2020-02-06,513100,910871.1,909049.36,3.682,246800,908717.6
2020-02-07,513100,930964.2,929102.28,3.765,246700,928825.5
2020-02-10,513100,920849.5,919007.81,3.724,246700,918710.8
2020-02-11,513100,946753.0,944859.5,3.829,246700,944614.3
2020-02-12,513100,975123.5,973173.26,3.944,246600,972590.4
2020-02-13,512170,1010250.37,1008229.87,1.444,698000,1007912.0
2020-02-14,512170,1019170.52,1017132.18,1.458,697400,1016809.2
2020-02-17,512170,1043578.0,1041490.84,1.493,697400,1041218.2
2020-02-18,512170,1047763.0,1045667.47,1.499,697400,1045402.6
2020-02-19,512170,1038695.5,1036618.1,1.486,697400,1036336.4
2020-02-20,159949,1041329.61,1039246.95,0.808,1285900,1039007.2
2020-02-21,159949,1075887.68,1073735.9,0.835,1285600,1073476.0
2020-02-24,159915,1080868.68,1078706.94,2.167,497600,1078299.2
