date,weak,pool,passed,target,top10,items,top10_raw
2020-07-17,True,9,3,161226,"['161226', '513030', '513500']","[{'code': '161226', 'score': 0.8788, 'annualized': 1.1323, 'r2': 0.7761, 'price': 0.863, 'today_volume': 23100.0}, {'code': '513030', 'score': 0.2601, 'annualized': 0.6358, 'r2': 0.4091, 'price': 1.081, 'today_volume': 3000.0}, {'code': '513500', 'score': 0.0286, 'annualized': 0.2528, 'r2': 0.1132, 'price': 2.103, 'today_volume': 5900.0}]",161226.SZ:0.8788:1.1323:0.7761:0.8630:23100|513030.SH:0.2601:0.6358:0.4091:1.0810:3000|513500.SH:0.0286:0.2528:0.1132:2.1030:5900
2020-12-14,True,9,2,501018,"['501018', '513500']","[{'code': '501018', 'score': 0.9149, 'annualized': 1.2818, 'r2': 0.7137, 'price': 0.562, 'today_volume': 351300.0}, {'code': '513500', 'score': 0.2968, 'annualized': 0.3824, 'r2': 0.7761, 'price': 2.275, 'today_volume': 480900.0}]",501018.SH:0.9149:1.2818:0.7137:0.5620:351300|513500.SH:0.2968:0.3824:0.7761:2.2750:480900
2021-04-20,False,60,30,512480,"['512480', '512690', '513100', '513500', '513030', '159995', '515210', '159967', '515170', '159981']","[{'code': '512480', 'score': 1.814, 'annualized': 2.5844, 'r2': 0.7019, 'price': 0.958, 'today_volume': 410300.0}, {'code': '512690', 'score': 1.7775, 'annualized': 2.4134, 'r2': 0.7365, 'price': 2.604, 'today_volume': 514400.0}, {'code': '513100', 'score': 1.4911, 'annualized': 1.8392, 'r2': 0.8108, 'price': 4.637, 'today_volume': 3800.0}, {'code': '513500', 'score': 1.1555, 'annualized': 1.327, 'r2': 0.8708, 'price': 2.565, 'today_volume': 32300.0}, {'code': '513030', 'score': 1.0913, 'annualized': 1.2382, 'r2': 0.8814, 'price': 1.249, 'today_volume': nan}, {'code': '159995', 'score': 1.0393, 'annualized': 1.6752, 'r2': 0.6204, 'price': 1.186, 'today_volume': 239400.0}, {'code': '515210', 'score': 0.9658, 'annualized': 2.1159, 'r2': 0.4565, 'price': 1.582, 'today_volume': 5200.0}, {'code': '159967', 'score': 0.8639, 'annualized': 1.3883, 'r2': 0.6223, 'price': 0.649, 'today_volume': 2414715.0}, {'code': '515170', 'score': 0.8636, 'annualized': 1.3145, 'r2': 0.657, 'price': 0.904, 'today_volume': 338800.0}, {'code': '159981', 'score': 0.7817, 'annualized': 1.1434, 'r2': 0.6836, 'price': 1.152, 'today_volume': 1000.0}]",512480.SH:1.8140:2.5844:0.7019:0.9580:410300|512690.SH:1.7775:2.4134:0.7365:2.6040:514400|513100.SH:1.4911:1.8392:0.8108:4.6370:3800|513500.SH:1.1555:1.3270:0.8708:2.5650:32300|513030.SH:1.0913:1.2382:0.8814:1.2490:nan|159995.SZ:1.0393:1.6752:0.6204:1.1860:239400|515210.SH:0.9658:2.1159:0.4565:1.5820:5200|159967.SZ:0.8639:1.3883:0.6223:0.6490:2414715|515170.SH:0.8636:1.3145:0.6570:0.9040:338800|159981.SZ:0.7817:1.1434:0.6836:1.1520:1000
2021-05-26,False,60,21,512690,"['512690', '512010', '512170', '159967', '159949', '515120', '159992', '515170', '515030', '159915']","[{'code': '512690', 'score': 2.0745, 'annualized': 3.0803, 'r2': 0.6735, 'price': 1.46, 'today_volume': 343900.0}, {'code': '512010', 'score': 1.7689, 'annualized': 2.332, 'r2': 0.7585, 'price': 3.286, 'today_volume': 15500.0}, {'code': '512170', 'score': 1.7209, 'annualized': 2.3105, 'r2': 0.7448, 'price': 0.891, 'today_volume': 72400.0}, {'code': '159967', 'score': 1.6939, 'annualized': 2.4718, 'r2': 0.6853, 'price': 0.733, 'today_volume': 180200.0}, {'code': '159949', 'score': 1.6612, 'annualized': 2.313, 'r2': 0.7182, 'price': 1.385, 'today_volume': 682600.0}, {'code': '515120', 'score': 1.5569, 'annualized': 2.172, 'r2': 0.7168, 'price': 1.152, 'today_volume': 5500.0}, {'code': '159992', 'score': 1.4438, 'annualized': 2.0788, 'r2': 0.6945, 'price': 1.553, 'today_volume': 6300.0}, {'code': '515170', 'score': 1.2482, 'annualized': 2.0377, 'r2': 0.6126, 'price': 0.992, 'today_volume': 287600.0}, {'code': '515030', 'score': 1.1926, 'annualized': 2.0665, 'r2': 0.5771, 'price': 1.719, 'today_volume': 216200.0}, {'code': '159915', 'score': 1.1902, 'annualized': 1.7622, 'r2': 0.6754, 'price': 3.09, 'today_volume': 219400.0}]",512690.SH:2.0745:3.0803:0.6735:1.4600:343900|512010.SH:1.7689:2.3320:0.7585:3.2860:15500|512170.SH:1.7209:2.3105:0.7448:0.8910:72400|159967.SZ:1.6939:2.4718:0.6853:0.7330:180200|159949.SZ:1.6612:2.3130:0.7182:1.3850:682600|515120.SH:1.5569:2.1720:0.7168:1.1520:5500|159992.SZ:1.4438:2.0788:0.6945:1.5530:6300|515170.SH:1.2482:2.0377:0.6126:0.9920:287600|515030.SH:1.1926:2.0665:0.5771:1.7190:216200|159915.SZ:1.1902:1.7622:0.6754:3.0900:219400
2021-05-27,False,61,22,512690,"['512690', '512170', '159967', '159949', '512010', '515170', '515120', '159915', '515030', '159992']","[{'code': '512690', 'score': 2.4113, 'annualized': 3.4865, 'r2': 0.6916, 'price': 1.469, 'today_volume': 480400.0}, {'code': '512170', 'score': 1.6789, 'annualized': 2.2321, 'r2': 0.7522, 'price': 0.899, 'today_volume': 541900.0}, {'code': '159967', 'score': 1.6527, 'annualized': 2.3901, 'r2': 0.6915, 'price': 0.739, 'today_volume': 225800.0}, {'code': '159949', 'score': 1.6205, 'annualized': 2.2404, 'r2': 0.7233, 'price': 1.391, 'today_volume': 525600.0}, {'code': '512010', 'score': 1.5317, 'annualized': 2.0405, 'r2': 0.7507, 'price': 3.289, 'today_volume': 57100.0}, {'code': '515170', 'score': 1.5287, 'annualized': 2.3915, 'r2': 0.6392, 'price': 0.998, 'today_volume': 461000.0}, {'code': '515120', 'score': 1.2212, 'annualized': 1.779, 'r2': 0.6865, 'price': 1.149, 'today_volume': 1000.0}, {'code': '159915', 'score': 1.2065, 'annualized': 1.7714, 'r2': 0.6811, 'price': 3.108, 'today_volume': 189000.0}, {'code': '515030', 'score': 1.1875, 'annualized': 2.056, 'r2': 0.5776, 'price': 1.722, 'today_volume': 445000.0}, {'code': '159992', 'score': 1.1397, 'annualized': 1.7108, 'r2': 0.6662, 'price': 1.55, 'today_volume': 59200.0}]",512690.SH:2.4113:3.4865:0.6916:1.4690:480400|512170.SH:1.6789:2.2321:0.7522:0.8990:541900|159967.SZ:1.6527:2.3901:0.6915:0.7390:225800|159949.SZ:1.6205:2.2404:0.7233:1.3910:525600|512010.SH:1.5317:2.0405:0.7507:3.2890:57100|515170.SH:1.5287:2.3915:0.6392:0.9980:461000|515120.SH:1.2212:1.7790:0.6865:1.1490:1000|159915.SZ:1.2065:1.7714:0.6811:3.1080:189000|515030.SH:1.1875:2.0560:0.5776:1.7220:445000|159992.SZ:1.1397:1.7108:0.6662:1.5500:59200
2021-05-28,False,62,29,512690,"['512690', '159949', '515030', '515170', '159967', '512170', '512880', '159915', '512010', '512670']","[{'code': '512690', 'score': 2.8472, 'annualized': 3.9832, 'r2': 0.7148, 'price': 1.483, 'today_volume': 2250700.0}, {'code': '159949', 'score': 1.9221, 'annualized': 2.599, 'r2': 0.7396, 'price': 1.427, 'today_volume': 2327100.0}, {'code': '515030', 'score': 1.8749, 'annualized': 2.9181, 'r2': 0.6425, 'price': 1.825, 'today_volume': 1762300.0}, {'code': '515170', 'score': 1.8635, 'annualized': 2.7609, 'r2': 0.675, 'price': 1.001, 'today_volume': 1831400.0}, {'code': '159967', 'score': 1.8631, 'annualized': 2.6438, 'r2': 0.7047, 'price': 0.754, 'today_volume': 377800.0}, {'code': '512170', 'score': 1.7767, 'annualized': 2.3414, 'r2': 0.7588, 'price': 0.905, 'today_volume': 576300.0}, {'code': '512880', 'score': 1.4575, 'annualized': 2.4296, 'r2': 0.5999, 'price': 1.153, 'today_volume': 12503800.0}, {'code': '159915', 'score': 1.4451, 'annualized': 2.0546, 'r2': 0.7033, 'price': 3.169, 'today_volume': 614900.0}, {'code': '512010', 'score': 1.4284, 'annualized': 1.9154, 'r2': 0.7458, 'price': 3.299, 'today_volume': 149600.0}, {'code': '512670', 'score': 1.087, 'annualized': 2.1903, 'r2': 0.4963, 'price': 1.762, 'today_volume': 129500.0}]",512690.SH:2.8472:3.9832:0.7148:1.4830:2250700|159949.SZ:1.9221:2.5990:0.7396:1.4270:2327100|515030.SH:1.8749:2.9181:0.6425:1.8250:1762300|515170.SH:1.8635:2.7609:0.6750:1.0010:1831400|159967.SZ:1.8631:2.6438:0.7047:0.7540:377800|512170.SH:1.7767:2.3414:0.7588:0.9050:576300|512880.SH:1.4575:2.4296:0.5999:1.1530:12503800|159915.SZ:1.4451:2.0546:0.7033:3.1690:614900|512010.SH:1.4284:1.9154:0.7458:3.2990:149600|512670.SH:1.0870:2.1903:0.4963:1.7620:129500
2021-05-31,False,62,33,512690,"['512690', '515030', '159949', '515170', '512880', '159967', '512670', '159915', '512170', '512710']","[{'code': '512690', 'score': 3.0507, 'annualized': 4.1522, 'r2': 0.7347, 'price': 1.472, 'today_volume': 389300.0}, {'code': '515030', 'score': 2.6894, 'annualized': 3.9681, 'r2': 0.6778, 'price': 1.878, 'today_volume': 150600.0}, {'code': '159949', 'score': 2.0081, 'annualized': 2.6839, 'r2': 0.7482, 'price': 1.434, 'today_volume': 704200.0}, {'code': '515170', 'score': 1.983, 'annualized': 2.8254, 'r2': 0.7019, 'price': 0.99, 'today_volume': 366500.0}, {'code': '512880', 'score': 1.8598, 'annualized': 2.7473, 'r2': 0.6769, 'price': 1.136, 'today_volume': 2035000.0}, {'code': '159967', 'score': 1.8244, 'annualized': 2.5764, 'r2': 0.7081, 'price': 0.752, 'today_volume': 101900.0}, {'code': '512670', 'score': 1.7512, 'annualized': 2.9254, 'r2': 0.5986, 'price': 1.798, 'today_volume': 25900.0}, {'code': '159915', 'score': 1.5224, 'annualized': 2.1259, 'r2': 0.7161, 'price': 3.179, 'today_volume': 105100.0}, {'code': '512170', 'score': 1.4759, 'annualized': 2.0049, 'r2': 0.7362, 'price': 0.893, 'today_volume': 1615900.0}, {'code': '512710', 'score': 1.3193, 'annualized': 2.3001, 'r2': 0.5736, 'price': 0.815, 'today_volume': 285500.0}]",512690.SH:3.0507:4.1522:0.7347:1.4720:389300|515030.SH:2.6894:3.9681:0.6778:1.8780:150600|159949.SZ:2.0081:2.6839:0.7482:1.4340:704200|515170.SH:1.9830:2.8254:0.7019:0.9900:366500|512880.SH:1.8598:2.7473:0.6769:1.1360:2035000|159967.SZ:1.8244:2.5764:0.7081:0.7520:101900|512670.SH:1.7512:2.9254:0.5986:1.7980:25900|159915.SZ:1.5224:2.1259:0.7161:3.1790:105100|512170.SH:1.4759:2.0049:0.7362:0.8930:1615900|512710.SH:1.3193:2.3001:0.5736:0.8150:285500
2021-06-03,False,62,42,512690,"['512690', '512670', '515170', '512710', '512660', '512880', '159949', '588080', '159915', '159967']","[{'code': '512690', 'score': 4.3002, 'annualized': 5.1766, 'r2': 0.8307, 'price': 1.51, 'today_volume': 723700.0}, {'code': '512670', 'score': 3.2271, 'annualized': 4.2021, 'r2': 0.768, 'price': 1.763, 'today_volume': 1045200.0}, {'code': '515170', 'score': 2.6549, 'annualized': 3.3117, 'r2': 0.8017, 'price': 1.005, 'today_volume': 157900.0}, {'code': '512710', 'score': 2.2823, 'annualized': 3.0388, 'r2': 0.751, 'price': 0.798, 'today_volume': 240100.0}, {'code': '512660', 'score': 2.271, 'annualized': 2.9678, 'r2': 0.7652, 'price': 1.106, 'today_volume': 1127000.0}, {'code': '512880', 'score': 2.265, 'annualized': 2.9039, 'r2': 0.78, 'price': 1.112, 'today_volume': 916100.0}, {'code': '159949', 'score': 2.2041, 'annualized': 2.8553, 'r2': 0.7719, 'price': 1.408, 'today_volume': 2044500.0}, {'code': '588080', 'score': 1.7893, 'annualized': 2.7186, 'r2': 0.6582, 'price': 1.461, 'today_volume': 203177.0}, {'code': '159915', 'score': 1.7698, 'annualized': 2.3265, 'r2': 0.7607, 'price': 3.136, 'today_volume': 214500.0}, {'code': '159967', 'score': 1.7509, 'annualized': 2.4883, 'r2': 0.7036, 'price': 0.741, 'today_volume': 38100.0}]",512690.SH:4.3002:5.1766:0.8307:1.5100:723700|512670.SH:3.2271:4.2021:0.7680:1.7630:1045200|515170.SH:2.6549:3.3117:0.8017:1.0050:157900|512710.SH:2.2823:3.0388:0.7510:0.7980:240100|512660.SH:2.2710:2.9678:0.7652:1.1060:1127000|512880.SH:2.2650:2.9039:0.7800:1.1120:916100|159949.SZ:2.2041:2.8553:0.7719:1.4080:2044500|588080.SH:1.7893:2.7186:0.6582:1.4610:203177|159915.SZ:1.7698:2.3265:0.7607:3.1360:214500|159967.SZ:1.7509:2.4883:0.7036:0.7410:38100
2021-07-01,False,64,18,515030,"['515030', '588080', '515050', '516520', '501018', '159967', '513100', '159851', '515880', '515980']","[{'code': '515030', 'score': 3.071, 'annualized': 3.9967, 'r2': 0.7684, 'price': 2.097, 'today_volume': 44000.0}, {'code': '588080', 'score': 2.7978, 'annualized': 3.2442, 'r2': 0.8624, 'price': 1.62, 'today_volume': 431628.0}, {'code': '515050', 'score': 2.3563, 'annualized': 2.7007, 'r2': 0.8725, 'price': 1.205, 'today_volume': 2417200.0}, {'code': '516520', 'score': 2.3291, 'annualized': 2.671, 'r2': 0.872, 'price': 1.094, 'today_volume': nan}, {'code': '501018', 'score': 1.8201, 'annualized': 1.9456, 'r2': 0.9355, 'price': 0.835, 'today_volume': 22600.0}, {'code': '159967', 'score': 1.5898, 'annualized': 2.5334, 'r2': 0.6275, 'price': 0.832, 'today_volume': 1054642.0}, {'code': '513100', 'score': 1.4113, 'annualized': 1.5572, 'r2': 0.9063, 'price': 4.829, 'today_volume': 151000.0}, {'code': '159851', 'score': 1.2879, 'annualized': 1.797, 'r2': 0.7167, 'price': 1.208, 'today_volume': nan}, {'code': '515880', 'score': 1.0622, 'annualized': 1.2628, 'r2': 0.8411, 'price': 1.018, 'today_volume': 15500.0}, {'code': '515980', 'score': 0.9277, 'annualized': 1.1966, 'r2': 0.7753, 'price': 1.201, 'today_volume': 17500.0}]",515030.SH:3.0710:3.9967:0.7684:2.0970:44000|588080.SH:2.7978:3.2442:0.8624:1.6200:431628|515050.SH:2.3563:2.7007:0.8725:1.2050:2417200|516520.SH:2.3291:2.6710:0.8720:1.0940:nan|501018.SH:1.8201:1.9456:0.9355:0.8350:22600|159967.SZ:1.5898:2.5334:0.6275:0.8320:1054642|513100.SH:1.4113:1.5572:0.9063:4.8290:151000|159851.SZ:1.2879:1.7970:0.7167:1.2080:nan|515880.SH:1.0622:1.2628:0.8411:1.0180:15500|515980.SH:0.9277:1.1966:0.7753:1.2010:17500
2021-07-02,False,64,15,515030,"['515030', '588080', '516520', '501018', '515050', '159967', '513100', '159949', '515980', '159819']","[{'code': '515030', 'score': 3.0622, 'annualized': 3.9663, 'r2': 0.7721, 'price': 2.1, 'today_volume': 1744500.0}, {'code': '588080', 'score': 2.426, 'annualized': 2.8718, 'r2': 0.8448, 'price': 1.581, 'today_volume': 189924.0}, {'code': '516520', 'score': 2.0813, 'annualized': 2.4104, 'r2': 0.8635, 'price': 1.066, 'today_volume': 52000.0}, {'code': '501018', 'score': 1.8692, 'annualized': 1.9862, 'r2': 0.9411, 'price': 0.849, 'today_volume': 19500.0}, {'code': '515050', 'score': 1.8631, 'annualized': 2.2281, 'r2': 0.8362, 'price': 1.166, 'today_volume': 711400.0}, {'code': '159967', 'score': 1.6588, 'annualized': 2.536, 'r2': 0.6541, 'price': 0.807, 'today_volume': 301375.0}, {'code': '513100', 'score': 1.5181, 'annualized': 1.6232, 'r2': 0.9353, 'price': 4.824, 'today_volume': 8400.0}, {'code': '159949', 'score': 0.8476, 'annualized': 1.5341, 'r2': 0.5525, 'price': 1.491, 'today_volume': 2507800.0}, {'code': '515980', 'score': 0.7789, 'annualized': 1.0379, 'r2': 0.7505, 'price': 1.171, 'today_volume': nan}, {'code': '159819', 'score': 0.5731, 'annualized': 0.8029, 'r2': 0.7137, 'price': 0.977, 'today_volume': 10000.0}]",515030.SH:3.0622:3.9663:0.7721:2.1000:1744500|588080.SH:2.4260:2.8718:0.8448:1.5810:189924|516520.SH:2.0813:2.4104:0.8635:1.0660:52000|501018.SH:1.8692:1.9862:0.9411:0.8490:19500|515050.SH:1.8631:2.2281:0.8362:1.1660:711400|159967.SZ:1.6588:2.5360:0.6541:0.8070:301375|513100.SH:1.5181:1.6232:0.9353:4.8240:8400|159949.SZ:0.8476:1.5341:0.5525:1.4910:2507800|515980.SH:0.7789:1.0379:0.7505:1.1710:nan|159819.SZ:0.5731:0.8029:0.7137:0.9770:10000
