date,time,target,top10,top10_raw
2020-01-02,13:10:00,512400,"['512400', '512880', '512980', '159949', '512480', '512200', '512100', '510900', '512070', '510500']","512400.SH:3.7378,512880.SH:3.6874,512980.SH:2.8606,159949.SZ:1.6300,512480.SH:1.5811,512200.SH:1.4867,512100.SH:1.3937,510900.SH:1.3137,512070.SH:1.2236,510500.SH:1.0694"
2020-01-03,13:10:00,512400,"['512400', '512880', '512980', '159949', '512100', '512200', '510900', '512070', '512480', '510500']","512400.SH:4.5161,512880.SH:3.6553,512980.SH:3.1600,159949.SZ:1.5646,512100.SH:1.4486,512200.SH:1.4399,510900.SH:1.4229,512070.SH:1.2680,512480.SH:1.1753,510500.SH:1.1334"
2020-01-06,13:10:00,512880,"['512880', '512980', '159949', '512100', '512200', '512070', '510900', '510500', '501018', '512480']","512880.SH:3.9295,512980.SH:3.8396,159949.SZ:1.7197,512100.SH:1.6473,512200.SH:1.4247,512070.SH:1.4050,510900.SH:1.3821,510500.SH:1.3062,501018.SH:1.2484,512480.SH:1.1625"
2020-01-07,13:10:00,512980,"['512980', '512880', '512100', '159949', '510500', '512070', '512200', '159915', '510900', '161226']","512980.SH:4.3718,512880.SH:3.4307,512100.SH:1.7286,159949.SZ:1.6369,510500.SH:1.3582,512070.SH:1.2573,512200.SH:1.2533,159915.SZ:1.1941,510900.SH:1.1442,161226.SZ:1.0867"
2020-01-08,13:10:00,512880,"['512880', '512100', '159949', '510500', '161226', '159915', '512070', '512200', '512710', '510300']","512880.SH:3.1470,512100.SH:1.8733,159949.SZ:1.6333,510500.SH:1.4829,161226.SZ:1.2970,159915.SZ:1.2911,512070.SH:1.1696,512200.SH:1.1531,512710.SH:1.0666,510300.SH:0.9826"
2020-01-09,13:10:00,512980,"['512980', '512100', '159949', '510500', '159915', '161226', '512710', '512200', '510300', '512070']","512980.SH:4.9051,512100.SH:1.8458,159949.SZ:1.6160,510500.SH:1.4693,159915.SZ:1.3463,161226.SZ:1.1935,512710.SH:1.1215,512200.SH:0.9380,510300.SH:0.9327,512070.SH:0.9306"
2020-01-10,13:10:00,512100,"['512100', '159949', '510500', '159915', '512710', '513100', '510300', '512670', '512660', '512070']","512100.SH:1.9056,159949.SZ:1.6872,510500.SH:1.4652,159915.SZ:1.4314,512710.SH:1.1326,513100.SH:1.0159,510300.SH:0.9127,512670.SH:0.9037,512660.SH:0.8635,512070.SH:0.8022"
2020-01-13,13:10:00,512100,"['512100', '512880', '159949', '159915', '510500', '512710', '513100', '512670', '512660', '510300']","512100.SH:1.9912,512880.SH:1.8006,159949.SZ:1.7904,159915.SZ:1.6129,510500.SH:1.5215,512710.SH:1.1745,513100.SH:1.1449,512670.SH:0.9868,512660.SH:0.9606,510300.SH:0.9156"
2020-01-14,13:10:00,512100,"['512100', '159949', '159915', '512880', '510500', '513100', '512710', '512670', '512660', '512480']","512100.SH:2.1147,159949.SZ:2.0117,159915.SZ:1.8197,512880.SH:1.7524,510500.SH:1.6614,513100.SH:1.2794,512710.SH:1.2121,512670.SH:1.0732,512660.SH:1.0693,512480.SH:1.0360"
2020-01-15,13:10:00,512980,"['512980', '512100', '159949', '159915', '510500', '513100', '512880', '512480', '512710', '159928']","512980.SH:4.8152,512100.SH:2.0317,159949.SZ:1.9116,159915.SZ:1.8153,510500.SH:1.5952,513100.SH:1.4409,512880.SH:1.2892,512480.SH:1.2878,512710.SH:1.0468,159928.SZ:0.9838"
2020-01-16,13:10:00,512400,"['512400', '512980', '512480', '512100', '159949', '159915', '513100', '510500', '159928', '512670']","512400.SH:4.9848,512980.SH:4.3399,512480.SH:2.1257,512100.SH:2.0386,159949.SZ:1.9907,159915.SZ:1.9367,513100.SH:1.6151,510500.SH:1.5745,159928.SZ:1.1275,512670.SH:1.0636"
2020-01-17,13:10:00,512400,"['512400', '512980', '512480', '159949', '159915', '512100', '513100', '510500', '159928', '159967']","512400.SH:3.7397,512980.SH:3.6166,512480.SH:2.5846,159949.SZ:1.9184,159915.SZ:1.9126,512100.SH:1.8709,513100.SH:1.8420,510500.SH:1.4313,159928.SZ:1.1321,159967.SZ:1.0485"
2020-01-20,13:10:00,512480,"['512480', '512400', '512980', '159915', '159949', '513100', '512100', '515050', '510500', '159967']","512480.SH:3.8960,512400.SH:3.0483,512980.SH:2.9811,159915.SZ:2.0724,159949.SZ:2.0545,513100.SH:1.9116,512100.SH:1.7267,515050.SH:1.3862,510500.SH:1.3520,159967.SZ:1.3501"
2020-01-21,13:10:00,159915,"['159915', '512980', '159949', '512400', '515050', '159967', '513100', '512100', '515880', '510500']","159915.SZ:2.2065,512980.SH:2.1913,159949.SZ:2.1769,512400.SH:2.1048,515050.SH:1.7913,159967.SZ:1.7828,513100.SH:1.7673,512100.SH:1.6528,515880.SH:1.4266,510500.SH:1.2515"
2020-01-22,13:10:00,515050,"['515050', '159915', '159949', '159967', '513100', '515880', '512980', '512170', '512100', '512400']","515050.SH:2.4529,159915.SZ:2.3468,159949.SZ:2.3332,159967.SZ:2.2624,513100.SH:1.8093,515880.SH:1.6740,512980.SH:1.5388,512170.SH:1.5284,512100.SH:1.4794,512400.SH:1.3428"
