date,input,output,threshold,selected
2020-07-17,17,9,1717903.0,"['159980', '159985', '161226', '501018', '513030', '513100', '513500', '513520', '518880']"
2020-12-14,17,9,789122.0,"['159980', '159985', '161226', '501018', '513030', '513100', '513500', '513520', '518880']"
2021-04-20,114,62,763220.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']"
2021-05-26,114,63,956573.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512980', '513030', '513090', '513100', '513180', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']"
2021-05-27,114,64,1036801.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']"
2021-05-28,114,64,1093641.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']"
2021-05-31,114,64,960844.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']"
2021-06-03,114,64,939950.0,"['159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']"
2021-07-01,114,66,846645.0,"['159755', '159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']"
2021-07-02,114,66,866937.0,"['159755', '159819', '159825', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']"
2021-07-21,17,9,886234.0,"['159980', '159985', '161226', '501018', '513030', '513100', '513500', '513520', '518880']"
2021-08-31,114,69,972838.0,"['159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']"
2021-09-10,114,69,1021064.0,"['159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516510', '516520', '518880', '588080']"
2021-11-30,114,72,827397.0,"['159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516190', '516510', '516520', '518880', '562800', '588080']"
2021-12-01,114,72,881546.0,"['159732', '159755', '159766', '159819', '159825', '159840', '159851', '159852', '159865', '159869', '159870', '159883', '159892', '159915', '159928', '159949', '159967', '159980', '159981', '159985', '159992', '159995', '159998', '161226', '501018', '510300', '510500', '510760', '510880', '510900', '511380', '512010', '512070', '512100', '512170', '512200', '512400', '512480', '512660', '512670', '512690', '512710', '512800', '512880', '512890', '512980', '513030', '513090', '513100', '513180', '513330', '513360', '513500', '513520', '515030', '515050', '515120', '515170', '515210', '515220', '515400', '515790', '515880', '515980', '516150', '516160', '516190', '516510', '516520', '518880', '562800', '588080']"
