date,time,value,positions,symbol
2020-01-02,15:10:00,998546.42,512400.XSHG:1353800:996396.80,512400
2020-01-03,15:10:00,1014786.82,512400.XSHG:1353600:1012492.80,512400
2020-01-06,15:10:00,1029974.91,512880.XSHG:983500:1027757.50,512880
2020-01-07,15:10:00,1035932.86,512980.XSHG:1108000:1033764.00,512980
2020-01-08,15:10:00,1012420.42,512880.XSHG:989400:1010177.40,512880
2020-01-09,15:10:00,1034318.62,512980.XSHG:1121900:1032148.00,512980
2020-01-10,15:10:00,1025381.43,512100.XSHG:1364300:1023225.00,512100
2020-01-13,15:10:00,1039018.63,512100.XSHG:1364100:1036716.00,512100
2020-01-14,15:10:00,1036290.43,512100.XSHG:1364100:1033987.80,512100
2020-01-15,15:10:00,1039629.93,512980.XSHG:1125200:1037434.40,512980
2020-01-16,15:10:00,1021646.54,512400.XSHG:1350300:1019476.50,512400
2020-01-17,15:10:00,1018940.54,512400.XSHG:1350200:1016700.60,512400
2020-01-20,15:10:00,1033554.55,512480.XSHG:588600:1031227.20,512480
2020-01-21,15:10:00,1024077.74,159915.XSHE:540100:1021869.20,159915
2020-01-22,15:10:00,1047610.21,515050.XSHG:898900:1045420.70,515050
2020-01-23,15:10:00,1000443.61,159949.XSHE:1404100:998315.10,159949
2020-02-03,15:10:00,933999.78,518880.XSHG:264700:931744.00,518880
2020-02-04,15:10:00,926588.18,518880.XSHG:264700:924332.40,518880
2020-02-05,15:10:00,920500.08,518880.XSHG:264700:918244.30,518880
2020-02-06,15:10:00,912906.34,513100.XSHG:247300:910558.60,513100
2020-02-07,15:10:00,919583.44,513100.XSHG:247300:917235.70,513100
2020-02-10,15:10:00,925271.34,513100.XSHG:247300:922923.60,513100
2020-02-11,15:10:00,959646.04,513100.XSHG:247300:957298.30,513100
2020-02-12,15:10:00,984376.04,513100.XSHG:247300:982028.30,513100
2020-02-13,15:10:00,1019610.46,512170.XSHG:699700:1017363.80,512170
2020-02-14,15:10:00,1015408.26,512170.XSHG:699600:1013020.80,512170
2020-02-17,15:10:00,1048989.06,512170.XSHG:699600:1046601.60,512170
2020-02-18,15:10:00,1053886.26,512170.XSHG:699600:1051498.80,512170
2020-02-19,15:10:00,1030799.46,512170.XSHG:699600:1028412.00,512170
2020-02-20,15:10:00,1051032.98,159949.XSHE:1290000:1048770.00,159949
2020-02-21,15:10:00,1070379.38,159949.XSHE:1289800:1067954.40,159949
2020-02-24,15:10:00,1089843.07,159915.XSHE:499300:1087475.40,159915
2020-02-25,15:10:00,1098322.77,159915.XSHE:499200:1095744.00,159915
2020-02-26,15:10:00,1049724.71,159967.XSHE:716400:1047376.80,159967
2020-02-27,15:10:00,1056556.45,512670.XSHG:846100:1054240.60,512670
2020-02-28,15:10:00,994810.77,518880.XSHG:273900:992339.70,518880
2020-03-02,15:10:00,970884.09,511880.XSHG:9600:965424.00,511880
2020-03-03,15:10:00,970594.71,159985.XSHE:1000500:968484.00,159985
2020-03-04,15:10:00,970590.11,159985.XSHE:1000400:968387.20,159985
2020-03-05,15:10:00,971590.51,159985.XSHE:1000400:969387.60,159985
2020-03-06,15:10:00,963835.44,515050.XSHG:780000:961740.00,515050
2020-03-09,15:10:00,920761.35,512170.XSHG:584400:918676.80,512170
2020-03-10,15:10:00,919372.86,511880.XSHG:9100:915332.60,511880
2020-03-11,15:10:00,921351.18,518880.XSHG:252000:919296.00,518880
2020-03-12,15:10:00,909982.79,511880.XSHG:9000:905589.00,511880
2020-03-13,15:10:00,910018.79,511880.XSHG:9000:905625.00,511880
2020-03-16,15:10:00,899604.43,159985.XSHE:936000:897624.00,159985
2020-03-17,15:10:00,900535.53,159985.XSHE:935900:898464.00,159985
2020-03-18,15:10:00,898663.73,159985.XSHE:935900:896592.20,159985
2020-03-19,15:10:00,890063.24,511880.XSHG:8800:885808.00,511880
2020-03-20,15:10:00,890883.74,159985.XSHE:909900:888972.30,159985
2020-03-23,15:10:00,938190.74,159985.XSHE:909700:936081.30,159985
2020-03-24,15:10:00,925454.94,159985.XSHE:909700:923345.50,159985
2020-03-25,15:10:00,940919.84,159985.XSHE:909700:938810.40,159985
2020-03-26,15:10:00,916357.94,159985.XSHE:909700:914248.50,159985
2020-03-27,15:10:00,927274.34,159985.XSHE:909700:925164.90,159985
2020-03-30,15:10:00,935461.64,159985.XSHE:909700:933352.20,159985
