date,time,value,weak,pool,target
2020-01-02,15:30:00,998496.87,False,34,512400
2020-01-03,15:30:00,1014738.87,False,34,512400
2020-01-06,15:30:00,1030808.5,False,34,512880
2020-01-07,15:30:00,1036671.64,False,34,512980
2020-01-08,15:30:00,1010957.5,False,34,512880
2020-01-09,15:30:00,1032728.35,False,34,512980
2020-01-10,15:30:00,1026188.78,False,34,512100
2020-01-13,15:30:00,1039823.51,False,34,512100
2020-01-14,15:30:00,1037093.51,False,34,512100
2020-01-15,15:30:00,1039205.21,False,34,512980
2020-01-16,15:30:00,1022466.26,False,34,512400
2020-01-17,15:30:00,1019768.29,False,34,512400
2020-01-20,15:30:00,1033514.98,False,34,512480
2020-01-21,15:30:00,1023941.78,False,34,159915
2020-01-22,15:30:00,1047012.62,False,35,515050
2020-01-23,15:30:00,998342.82,False,35,159949
2020-02-03,15:30:00,931863.36,True,9,518880
2020-02-04,15:30:00,924471.36,True,9,518880
2020-02-05,15:30:00,918399.36,True,9,518880
2020-02-06,15:30:00,910488.1,True,9,513100
2020-02-07,15:30:00,917149.0,True,9,513100
2020-02-10,15:30:00,922823.1,True,9,513100
2020-02-11,15:30:00,957114.4,False,34,513100
2020-02-12,15:30:00,981784.4,False,35,513100
2020-02-13,15:30:00,1016379.32,False,37,512170
2020-02-14,15:30:00,1012190.5,False,37,512170
2020-02-17,15:30:00,1045670.5,False,37,512170
2020-02-18,15:30:00,1050553.0,False,36,512170
2020-02-19,15:30:00,1027535.5,False,36,512170
2020-02-20,15:30:00,1047602.28,False,36,159949
2020-02-21,15:30:00,1066887.78,False,36,159949
2020-02-24,15:30:00,1086179.46,False,36,159915
2020-02-25,15:30:00,1094636.96,False,36,159915
2020-02-26,15:30:00,1046816.81,False,36,159967
2020-02-27,15:30:00,1052662.22,False,36,512670
2020-02-28,15:30:00,992124.62,False,36,518880
2020-03-02,15:30:00,968218.53,True,8,511880
2020-03-03,15:30:00,966885.13,True,8,159985
2020-03-04,15:30:00,966883.69,True,8,159985
2020-03-05,15:30:00,967880.39,True,8,159985
2020-03-06,15:30:00,960058.71,False,39,515050
2020-03-09,15:30:00,915322.46,False,40,512170
2020-03-10,15:30:00,913314.11,True,9,511880
2020-03-11,15:30:00,915231.69,True,9,518880
2020-03-12,15:30:00,903902.0,True,9,511880
2020-03-13,15:30:00,903937.2,True,9,511880
2020-03-16,15:30:00,892619.37,True,9,159985
2020-03-17,15:30:00,893544.73,True,9,159985
2020-03-18,15:30:00,891687.13,True,9,159985
2020-03-19,15:30:00,883108.87,True,9,511880
2020-03-20,15:30:00,883878.46,True,9,159985
2020-03-23,15:30:00,930813.66,True,9,159985
2020-03-24,15:30:00,918177.26,True,9,159985
2020-03-25,15:30:00,933521.46,True,9,159985
2020-03-26,15:30:00,909151.26,False,40,159985
2020-03-27,15:30:00,919982.46,False,40,159985
2020-03-30,15:30:00,928105.86,False,40,159985
2020-03-31,15:30:00,925398.06,True,9,159985
2020-04-01,15:30:00,907077.31,True,9,511880
2020-04-02,15:30:00,907086.11,True,9,511880
2020-04-03,15:30:00,903299.8,False,41,159985
2020-04-07,15:30:00,904913.36,False,41,511880
2020-04-08,15:30:00,904983.76,False,41,511880
2020-04-09,15:30:00,905045.36,False,41,511880
2020-04-10,15:30:00,905221.36,False,42,511880
2020-04-13,15:30:00,905265.36,False,42,511880
2020-04-14,15:30:00,910689.31,False,42,512010
2020-04-15,15:30:00,905905.1,False,42,512010
2020-04-16,15:30:00,907642.7,False,44,512010
2020-04-17,15:30:00,901561.1,False,44,512010
2020-04-20,15:30:00,906773.9,False,44,512010
2020-04-21,15:30:00,905586.97,False,44,512170
2020-04-22,15:30:00,912333.37,False,44,512170
2020-04-23,15:30:00,914019.97,False,44,512170
2020-04-24,15:30:00,893218.57,False,44,512170
2020-04-27,15:30:00,909185.14,True,9,513100
2020-04-28,15:30:00,931826.74,True,9,513100
2020-04-29,15:30:00,948617.14,False,43,513100
2020-04-30,15:30:00,984092.17,False,44,512690
2020-05-06,15:30:00,996530.17,False,44,512690
2020-05-07,15:30:00,1006480.57,False,44,512690
2020-05-08,15:30:00,1016430.97,False,44,512690
2020-05-11,15:30:00,1018918.57,False,44,512690
2020-05-12,15:30:00,1026381.37,False,44,512690
2020-05-13,15:30:00,1057890.97,False,44,512690
2020-05-14,15:30:00,1056232.57,False,44,512690
2020-05-15,15:30:00,1031825.22,False,44,159995
2020-05-18,15:30:00,990492.7,False,44,512480
2020-05-19,15:30:00,1023088.6,True,9,513100
2020-05-20,15:30:00,1012874.16,False,44,512690
2020-05-21,15:30:00,1019267.84,True,9,513100
2020-05-22,15:30:00,999972.39,True,9,161226
2020-05-25,15:30:00,1008713.29,True,9,161226
2020-05-26,15:30:00,1033687.29,True,9,161226
2020-05-27,15:30:00,1023697.69,True,9,161226
2020-05-28,15:30:00,1038682.09,True,9,161226
2020-05-29,15:30:00,1041179.49,True,9,161226
2020-06-01,15:30:00,1087375.98,True,9,161226
2020-06-02,15:30:00,1083228.92,False,44,512690
2020-06-03,15:30:00,1075086.5,False,44,513030
2020-06-04,15:30:00,1095194.45,False,44,161226
2020-06-05,15:30:00,1100474.59,False,44,161226
2020-06-08,15:30:00,1095191.18,False,44,513520
2020-06-09,15:30:00,1109135.53,False,44,513520
2020-06-10,15:30:00,1118107.63,False,44,513520
2020-06-11,15:30:00,1086206.83,False,44,513520
2020-06-12,15:30:00,1071253.33,False,44,513520
2020-06-15,15:30:00,1052127.76,False,44,512690
2020-06-16,15:30:00,1062860.91,False,44,513030
2020-06-17,15:30:00,1071088.86,False,44,513030
2020-06-18,15:30:00,1070059.36,False,44,513030
2020-06-19,15:30:00,1060248.6,False,44,515030
2020-06-22,15:30:00,1070027.45,False,44,515030
2020-06-23,15:30:00,1075452.19,False,44,159949
2020-06-24,15:30:00,1074277.24,False,44,159949
2020-06-29,15:30:00,1065713.02,False,44,512010
2020-06-30,15:30:00,1079623.54,False,44,159967
2020-07-01,15:30:00,1059506.74,False,44,159967
2020-07-02,15:30:00,1053997.74,False,44,159915
2020-07-03,15:30:00,1075406.12,False,44,515050
2020-07-06,15:30:00,1154980.41,False,44,512690
2020-07-07,15:30:00,1185625.37,False,44,159928
2020-07-08,15:30:00,1192281.52,False,44,515030
2020-07-09,15:30:00,1212351.01,False,44,512710
2020-07-10,15:30:00,1182007.16,False,44,512890
2020-07-13,15:30:00,1212241.22,False,44,512890
2020-07-14,15:30:00,1202536.84,False,44,510880
2020-07-15,15:30:00,1185080.84,False,44,510880
2020-07-16,15:30:00,1153660.04,False,44,510880
2020-07-17,15:30:00,1156853.08,True,9,161226
2020-07-20,15:30:00,1170182.08,True,9,161226
2020-07-21,15:30:00,1230156.58,True,9,161226
2020-07-22,15:30:00,1350101.37,True,9,161226
