date,log_date_ths,time_ths,weak_ths,threshold_ths,pool_ths,log_date_jq,time_jq,weak_jq,threshold_jq,pool_jq,weak_match,pool_diff,threshold_ratio_ths_jq
2020-01-02,2020-01-02,09:40:00,False,475797.0,34,2020-01-02,09:40:00,False,1342690.0,34,True,0,0.35436102153140336
2020-01-03,2020-01-03,09:40:00,False,497303.0,34,2020-01-03,09:40:00,False,1256121.0,34,True,0,0.39590373857295597
2020-01-06,2020-01-06,09:40:00,False,479843.0,34,2020-01-06,09:40:00,False,1043416.0,34,True,0,0.45987698099319924
2020-01-07,2020-01-07,09:40:00,False,550535.0,34,2020-01-07,09:40:00,False,1135180.0,34,True,0,0.48497595095051005
2020-01-08,2020-01-08,09:40:00,False,519826.0,34,2020-01-08,09:40:00,False,1049508.0,34,True,0,0.4953044664738144
2020-01-09,2020-01-09,09:40:00,False,577093.0,34,2020-01-09,09:40:00,False,1165857.0,34,True,0,0.4949946691575382
2020-01-10,2020-01-10,09:40:00,False,549996.0,34,2020-01-10,09:40:00,False,1088227.0,34,True,0,0.5054055817398392
2020-01-13,2020-01-13,09:40:00,False,531474.0,34,2020-01-13,09:40:00,False,1070173.0,34,True,0,0.49662437755390954
2020-01-14,2020-01-14,09:40:00,False,480227.0,34,2020-01-14,09:40:00,False,988971.0,34,True,0,0.4855824892742052
2020-01-15,2020-01-15,09:40:00,False,464678.0,34,2020-01-15,09:40:00,False,972961.0,34,True,0,0.4775915992521797
2020-01-16,2020-01-16,09:40:00,False,469444.0,34,2020-01-16,09:40:00,False,989292.0,34,True,0,0.4745252160130679
2020-01-17,2020-01-17,09:40:00,False,451242.0,34,2020-01-17,09:40:00,False,959823.0,34,True,0,0.4701304302980862
2020-01-20,2020-01-20,09:40:00,False,431315.0,34,2020-01-20,09:40:00,False,955318.0,34,True,0,0.4514884049081039
2020-01-21,2020-01-21,09:40:00,False,447764.0,34,2020-01-21,09:40:00,False,1023466.0,34,True,0,0.437497679453934
2020-01-22,2020-01-22,09:40:00,False,517832.0,35,2020-01-22,09:40:00,False,1152486.0,35,True,0,0.4493173886710988
2020-01-23,2020-01-23,09:40:00,False,604149.0,35,2020-01-23,09:40:00,False,1279238.0,35,True,0,0.4722725560059973
2020-02-03,2020-02-03,09:40:00,True,687426.0,9,2020-02-03,09:40:00,True,1408694.0,9,True,0,0.48798816492439095
2020-02-04,2020-02-04,09:40:00,True,778632.0,9,2020-02-04,09:40:00,True,1556390.0,9,True,0,0.5002807779541117
