date,log_date_ths,time_ths,target_ths,target_raw_ths,top10_raw_ths,top1_ths,log_date_jq,time_jq,target_jq,target_raw_jq,top10_raw_jq,top1_jq,target_match,top1_match,top10_overlap
2020-01-02,2020-01-02,13:10:00,512400,512400.SH,"512400.SH:4.3342,512880.SH:3.8647,159949.SZ:1.6601,512200.SH:1.5801,512100.SH:1.4596,510900.SH:1.4158,512480.SH:1.3490,512070.SH:1.3463,510500.SH:1.1413,159915.SZ:1.0155",512400,2020-01-02,13:10:00,512400,512400.XSHG,"512400.XSHG:3.7378,512880.XSHG:3.6874,512980.XSHG:2.8606,159949.XSHE:1.6300,512480.XSHG:1.5811,512200.XSHG:1.4867,512100.XSHG:1.3937,510900.XSHG:1.3137,512070.XSHG:1.2236,510500.XSHG:1.0694",512400,True,True,9
2020-01-03,2020-01-03,13:10:00,512880,512880.SH,"512880.SH:3.6075,159949.SZ:1.5099,512100.SH:1.4775,510900.SH:1.4363,512200.SH:1.4035,512070.SH:1.3123,510500.SH:1.1692,510300.SH:1.0107,159915.SZ:0.9639,161226.SZ:0.9597",512880,2020-01-03,13:10:00,512400,512400.XSHG,"512400.XSHG:4.5161,512880.XSHG:3.6553,512980.XSHG:3.1600,159949.XSHE:1.5646,512100.XSHG:1.4486,512200.XSHG:1.4399,510900.XSHG:1.4229,512070.XSHG:1.2680,512480.XSHG:1.1753,510500.XSHG:1.1334",512400,False,False,7
2020-01-06,2020-01-06,13:10:00,512980,512980.SH,"512980.SH:4.2216,512880.SH:3.7720,512100.SH:1.6987,159949.SZ:1.6734,510500.SH:1.3815,512070.SH:1.3681,512200.SH:1.2843,161226.SZ:1.2427,159915.SZ:1.1723,510900.SH:1.1666",512980,2020-01-06,13:10:00,512880,512880.XSHG,"512880.XSHG:3.9295,512980.XSHG:3.8396,159949.XSHE:1.7197,512100.XSHG:1.6473,512200.XSHG:1.4247,512070.XSHG:1.4050,510900.XSHG:1.3821,510500.XSHG:1.3062,501018.XSHG:1.2484,512480.XSHG:1.1625",512880,False,False,8
2020-01-07,2020-01-07,13:10:00,512880,512880.SH,"512880.SH:3.2986,512100.SH:1.8396,159949.SZ:1.6333,510500.SH:1.4622,159915.SZ:1.2948,512070.SH:1.2300,512200.SH:1.1855,161226.SZ:1.1150,512710.SH:1.0576,510900.SH:0.9925",512880,2020-01-07,13:10:00,512980,512980.XSHG,"512980.XSHG:4.3718,512880.XSHG:3.4307,512100.XSHG:1.7286,159949.XSHE:1.6369,510500.XSHG:1.3582,512070.XSHG:1.2573,512200.XSHG:1.2533,159915.XSHE:1.1941,510900.XSHG:1.1442,161226.XSHE:1.0867",512980,False,False,9
2020-01-08,2020-01-08,13:10:00,512100,512100.SH,"512100.SH:1.8576,159949.SZ:1.4866,510500.SH:1.4653,159915.SZ:1.2648,512710.SH:1.1792,512070.SH:0.9493,512670.SH:0.9181,510300.SH:0.9046,512200.SH:0.8917,512660.SH:0.8627",512100,2020-01-08,13:10:00,512880,512880.XSHG,"512880.XSHG:3.1470,512100.XSHG:1.8733,159949.XSHE:1.6333,510500.XSHG:1.4829,161226.XSHE:1.2970,159915.XSHE:1.2911,512070.XSHG:1.1696,512200.XSHG:1.1531,512710.XSHG:1.0666,510300.XSHG:0.9812",512880,False,False,8
2020-01-09,2020-01-09,13:10:00,512980,512980.SH,"512980.SH:4.9925,512100.SH:1.8799,159949.SZ:1.6529,510500.SH:1.4858,159915.SZ:1.4353,512710.SH:1.2057,512670.SH:0.9226,513100.SH:0.9073,510300.SH:0.9057,512660.SH:0.8966",512980,2020-01-09,13:10:00,512980,512980.XSHG,"512980.XSHG:4.9051,512100.XSHG:1.8458,159949.XSHE:1.6160,510500.XSHG:1.4693,159915.XSHE:1.3463,161226.XSHE:1.1935,512710.XSHG:1.1215,512200.XSHG:0.9380,510300.XSHG:0.9320,512070.XSHG:0.9306",512980,True,True,7
2020-01-10,2020-01-10,13:10:00,512980,512980.SH,"512980.SH:4.9548,512100.SH:1.9013,512880.SH:1.8502,159949.SZ:1.7313,159915.SZ:1.5225,510500.SH:1.4334,512710.SH:1.1279,513100.SH:1.1252,512660.SH:0.9243,512670.SH:0.9223",512980,2020-01-10,13:10:00,512100,512100.XSHG,"512100.XSHG:1.9056,159949.XSHE:1.6872,510500.XSHG:1.4652,159915.XSHE:1.4314,512710.XSHG:1.1326,513100.XSHG:1.0159,510300.XSHG:0.9127,512670.XSHG:0.9037,512660.XSHG:0.8635,512070.XSHG:0.8022",512100,False,False,8
2020-01-13,2020-01-13,13:10:00,512100,512100.SH,"512100.SH:2.0743,159949.SZ:1.9347,159915.SZ:1.8103,512880.SH:1.6012,510500.SH:1.5987,512710.SH:1.2372,512670.SH:1.0946,512660.SH:1.0594,512480.SH:1.0120,510300.SH:0.9370",512100,2020-01-13,13:10:00,512100,512100.XSHG,"512100.XSHG:1.9912,512880.XSHG:1.8006,159949.XSHE:1.7904,159915.XSHE:1.6129,510500.XSHG:1.5215,512710.XSHG:1.1745,513100.XSHG:1.1449,512670.XSHG:0.9868,512660.XSHG:0.9606,510300.XSHG:0.9156",512100,True,True,9
2020-01-14,2020-01-14,13:10:00,512100,512100.SH,"512100.SH:2.1040,159949.SZ:2.0241,159915.SZ:1.8903,510500.SH:1.6656,513100.SH:1.4249,512880.SH:1.3901,512480.SH:1.3073,512710.SH:1.1335,512670.SH:1.0636,512660.SH:1.0602",512100,2020-01-14,13:10:00,512100,512100.XSHG,"512100.XSHG:2.1147,159949.XSHE:2.0117,159915.XSHE:1.8197,512880.XSHG:1.7524,510500.XSHG:1.6614,513100.XSHG:1.2794,512710.XSHG:1.2121,512670.XSHG:1.0732,512660.XSHG:1.0693,512480.XSHG:1.0360",512100,True,True,10
2020-01-15,2020-01-15,13:10:00,512400,512400.SH,"512400.SH:4.8538,512980.SH:4.4367,512100.SH:1.9641,159949.SZ:1.8999,512480.SH:1.8443,159915.SZ:1.8397,513100.SH:1.5390,510500.SH:1.5376,159928.SZ:1.1178,512880.SH:0.9410",512400,2020-01-15,13:10:00,512980,512980.XSHG,"512980.XSHG:4.8152,512100.XSHG:2.0317,159949.XSHE:1.9116,159915.XSHE:1.8153,510500.XSHG:1.5952,513100.XSHG:1.4409,512880.XSHG:1.2892,512480.XSHG:1.2878,512710.XSHG:1.0468,159928.XSHE:0.9838",512980,False,False,9
2020-01-16,2020-01-16,13:10:00,512400,512400.SH,"512400.SH:4.0231,512980.SH:3.6383,512480.SH:2.6860,159949.SZ:1.9184,512100.SH:1.9152,159915.SZ:1.8957,513100.SH:1.7210,510500.SH:1.4715,159928.SZ:1.1810,515050.SH:1.0541",512400,2020-01-16,13:10:00,512400,512400.XSHG,"512400.XSHG:4.9848,512980.XSHG:4.3399,512480.XSHG:2.1257,512100.XSHG:2.0386,159949.XSHE:1.9907,159915.XSHE:1.9367,513100.XSHG:1.6151,510500.XSHG:1.5745,159928.XSHE:1.1275,512670.XSHG:1.0636",512400,True,True,9
2020-01-17,2020-01-17,13:10:00,512480,512480.SH,"512480.SH:3.2602,512980.SH:2.9062,512400.SH:2.8595,513100.SH:2.0221,159915.SZ:1.8316,159949.SZ:1.7994,512100.SH:1.6573,510500.SH:1.2471,159967.SZ:1.1832,515050.SH:1.1662",512480,2020-01-17,13:10:00,512400,512400.XSHG,"512400.XSHG:3.7397,512980.XSHG:3.6166,512480.XSHG:2.5846,159949.XSHE:1.9184,159915.XSHE:1.9126,512100.XSHG:1.8709,513100.XSHG:1.8420,510500.XSHG:1.4313,159928.XSHE:1.1321,159967.XSHE:1.0485",512400,False,False,9
2020-01-20,2020-01-20,13:10:00,512980,512980.SH,"512980.SH:2.4430,512400.SH:2.3866,159915.SZ:2.2653,159949.SZ:2.2446,513100.SH:1.9134,515050.SH:1.7913,159967.SZ:1.7884,512100.SH:1.6667,515880.SH:1.4510,510500.SH:1.3160",512980,2020-01-20,13:10:00,512480,512480.XSHG,"512480.XSHG:3.8960,512400.XSHG:3.0483,512980.XSHG:2.9811,159915.XSHE:2.0724,159949.XSHE:2.0545,513100.XSHG:1.9116,512100.XSHG:1.7267,515050.XSHG:1.3862,510500.XSHG:1.3520,159967.XSHE:1.3501",512480,False,False,9
2020-01-21,2020-01-21,13:10:00,159915,159915.SZ,"159915.SZ:2.3286,159967.SZ:2.2851,515050.SH:2.2778,159949.SZ:2.2584,513100.SH:1.6632,515880.SH:1.6380,512170.SH:1.6121,512100.SH:1.5213,512400.SH:1.3428,510500.SH:1.1418",159915,2020-01-21,13:10:00,159915,159915.XSHE,"159915.XSHE:2.2065,512980.XSHG:2.1913,159949.XSHE:2.1769,512400.XSHG:2.1048,515050.XSHG:1.7913,159967.XSHE:1.7828,513100.XSHG:1.7673,512100.XSHG:1.6528,515880.XSHG:1.4266,510500.XSHG:1.2515",159915,True,True,9
2020-01-22,2020-01-22,13:10:00,159949,159949.SZ,"159949.SZ:2.6275,159915.SZ:2.6154,515880.SH:2.0699,512170.SH:1.9701,513100.SH:1.8205,512100.SH:1.4238,512010.SH:1.2469,510500.SH:1.1294,512980.SH:1.1292,512670.SH:1.0677",159949,2020-01-22,13:10:00,515050,515050.XSHG,"515050.XSHG:2.4529,159915.XSHE:2.3468,159949.XSHE:2.3332,159967.XSHE:2.2624,513100.XSHG:1.8093,515880.XSHG:1.6740,512980.XSHG:1.5388,512170.XSHG:1.5284,512100.XSHG:1.4794,512400.XSHG:1.3428",515050,False,False,7
2020-01-23,2020-01-23,13:10:00,513100,513100.SH,"513100.SH:1.7917,512170.SH:1.7374,512010.SH:0.8465,512670.SH:0.8404,512660.SH:0.7004,512980.SH:0.6137,512710.SH:0.2520,513500.SH:0.1306",513100,2020-01-23,13:10:00,159949,159949.XSHE,"159949.XSHE:2.4231,159915.XSHE:2.3445,513100.XSHG:1.7854,512170.XSHG:1.7156,512100.XSHG:1.1784,512980.XSHG:1.0382,512670.XSHG:1.0274,512010.XSHG:0.9902,510500.XSHG:0.9139,512660.XSHG:0.8314",159949,False,False,6
2020-02-03,2020-02-03,13:10:00,518880,518880.SH,518880.SH:0.1763,518880,2020-02-03,13:10:00,518880,518880.XSHG,518880.XSHG:0.1493,518880,True,True,1
2020-02-04,2020-02-04,13:10:00,518880,518880.SH,518880.SH:0.1654,518880,2020-02-04,13:10:00,518880,518880.XSHG,518880.XSHG:0.1639,518880,True,True,1
2020-02-05,2020-02-05,13:10:00,513100,513100.SH,"513100.SH:1.5163,518880.SH:0.1152,513500.SH:0.0326",513100,2020-02-05,13:10:00,518880,518880.XSHG,"518880.XSHG:0.1338,513500.XSHG:0.0326",518880,False,False,2
2020-02-06,2020-02-06,13:10:00,513100,513100.SH,"513100.SH:2.1366,513500.SH:0.0937",513100,2020-02-06,13:10:00,513100,513100.XSHG,"513100.XSHG:1.7517,513500.XSHG:0.0603",513100,True,True,2
2020-02-07,2020-02-07,13:10:00,513100,513100.SH,"513100.SH:2.6859,513500.SH:0.1251,518880.SH:0.0843",513100,2020-02-07,13:10:00,513100,513100.XSHG,"513100.XSHG:2.2835,518880.XSHG:0.0951,513500.XSHG:0.0946",513100,True,True,3
2020-02-10,2020-02-10,13:10:00,513100,513100.SH,"513100.SH:2.9816,513500.SH:0.1721,518880.SH:0.0866",513100,2020-02-10,13:10:00,513100,513100.XSHG,"513100.XSHG:2.5917,513500.XSHG:0.1295,518880.XSHG:0.0924",513100,True,True,3
2020-02-11,2020-02-11,13:10:00,513100,513100.SH,"513100.SH:4.1047,513500.SH:0.3048,518880.SH:0.0667",513100,2020-02-11,13:10:00,513100,513100.XSHG,"513100.XSHG:3.2884,512170.XSHG:2.9601,159949.XSHE:1.5366,159915.XSHE:0.8700,159967.XSHE:0.8395,513500.XSHG:0.2090",513100,True,True,2
2020-02-12,2020-02-12,13:10:00,512170,512170.SH,"512170.SH:3.3087,159949.SZ:2.1056,159915.SZ:1.1301,159967.SZ:0.9951,513500.SH:0.4458",512170,2020-02-12,13:10:00,513100,513100.XSHG,"513100.XSHG:4.5136,512170.XSHG:3.2367,159949.XSHE:1.8252,159915.XSHE:0.9951,159967.XSHE:0.9441,513500.XSHG:0.3178",513100,False,False,5
2020-02-13,2020-02-13,13:10:00,512170,512170.SH,"512170.SH:3.1457,159949.SZ:2.0358,159915.SZ:1.0793,159967.SZ:0.9420,513500.SH:0.7647",512170,2020-02-13,13:10:00,512170,512170.XSHG,"512170.XSHG:3.1378,159949.XSHE:1.9429,159915.XSHE:1.0504,159967.XSHE:0.9533,513500.XSHG:0.5250",512170,True,True,5
2020-02-14,2020-02-14,13:10:00,512170,512170.SH,"512170.SH:3.1691,159949.SZ:2.3090,159915.SZ:1.2352,159967.SZ:1.1068",512170,2020-02-14,13:10:00,512170,512170.XSHG,"512170.XSHG:3.3260,159949.XSHE:2.2142,159915.XSHE:1.1883,159967.XSHE:1.0574,513500.XSHG:0.7377",512170,True,True,4
2020-02-17,2020-02-17,13:10:00,512170,512170.SH,"512170.SH:3.6225,159949.SZ:2.9588",512170,2020-02-17,13:10:00,512170,512170.XSHG,"512170.XSHG:3.4897,159949.XSHE:2.5506,159915.XSHE:1.4093,159967.XSHE:1.2930",512170,True,True,2
2020-02-18,2020-02-18,13:10:00,512170,512170.SH,"512170.SH:3.6899,159949.SZ:3.5152,159915.SZ:2.1133,159967.SZ:1.8012,513500.SH:0.8350,518880.SH:0.1648",512170,2020-02-18,13:10:00,512170,512170.XSHG,"512170.XSHG:3.6922,159949.XSHE:3.0510,159915.XSHE:1.7465,159967.XSHE:1.5390",512170,True,True,4
2020-02-19,2020-02-19,13:10:00,159949,159949.SZ,"159949.SZ:3.6205,512170.SH:3.2037,159915.SZ:2.4204,159967.SZ:2.1695,515050.SH:1.1817,513500.SH:0.7459,518880.SH:0.2996",159949,2020-02-19,13:10:00,512170,512170.XSHG,"512170.XSHG:3.5404,159949.XSHE:3.5152,159915.XSHE:2.1603,159967.XSHE:1.8987,513500.XSHG:0.8143,518880.XSHG:0.1968",512170,False,False,6
2020-02-20,2020-02-20,13:10:00,513100,513100.SH,"513100.SH:4.3536,159949.SZ:4.0599,512170.SH:3.0081,159915.SZ:2.8210,159967.SZ:2.4872,515050.SH:1.5208,513500.SH:0.6932,518880.SH:0.5483",513100,2020-02-20,13:10:00,159949,159949.XSHE,"159949.XSHE:3.7936,512170.XSHG:3.2554,159915.XSHE:2.5093,159967.XSHE:2.2125,515050.XSHG:1.1676,513500.XSHG:0.7727,518880.XSHG:0.3197",159949,False,False,7
2020-02-21,2020-02-21,13:10:00,159915,159915.SZ,"159915.SZ:3.8055,159967.SZ:3.3507,512170.SH:3.3320,515050.SH:2.8265,513100.SH:2.5254,512670.SH:1.6659,518880.SH:0.7035,513500.SH:0.5186",159915,2020-02-21,13:10:00,159949,159949.XSHE,"159949.XSHE:4.5784,513100.XSHG:3.7469,512170.XSHG:3.2658,159915.XSHE:3.1229,159967.XSHE:2.7382,515050.XSHG:1.9102,513500.XSHG:0.6313,518880.XSHG:0.5784",159949,False,False,7
2020-02-24,2020-02-24,13:10:00,159915,159915.SZ,"159915.SZ:4.6376,159967.SZ:4.1727,512670.SH:2.7504,512660.SH:2.0487,518880.SH:0.9862",159915,2020-02-24,13:10:00,159915,159915.XSHE,"159915.XSHE:3.8938,512170.XSHG:3.5645,159967.XSHE:3.4408,515050.XSHG:3.3398,512670.XSHG:1.8017,518880.XSHG:0.7602,513500.XSHG:0.3760",159915,True,True,4
2020-02-25,2020-02-25,13:10:00,512670,512670.SH,"512670.SH:3.5904,512660.SH:2.6601,161226.SZ:0.5375",512670,2020-02-25,13:10:00,159915,159915.XSHE,"159915.XSHE:4.5354,512170.XSHG:4.1380,159967.XSHE:4.0987,512670.XSHG:2.4418,512660.XSHG:1.7906,518880.XSHG:0.9629,161226.XSHE:0.3936",159915,False,False,3
2020-02-26,2020-02-26,13:10:00,512670,512670.SH,"512670.SH:4.7680,512660.SH:3.7984,512710.SH:1.4347,518880.SH:1.0943,161226.SZ:0.4000",512670,2020-02-26,13:10:00,159967,159967.XSHE,"159967.XSHE:4.8342,512670.XSHG:4.0841,512170.XSHG:4.0600,512660.XSHG:3.1470,518880.XSHG:1.0364,161226.XSHE:0.3928",159967,False,False,4
2020-02-27,2020-02-27,13:10:00,512670,512670.SH,"512670.SH:4.9108,512660.SH:3.6101,512710.SH:1.6586,518880.SH:1.1863,510500.SH:0.9727,161226.SZ:0.4803",512670,2020-02-27,13:10:00,512670,512670.XSHG,"512670.XSHG:4.5470,512660.XSHG:3.3899,512710.XSHG:1.3233,518880.XSHG:1.1269,161226.XSHE:0.4350",512670,True,True,5
2020-02-28,2020-02-28,13:10:00,512170,512170.SH,"512170.SH:2.2323,518880.SH:1.0589",512170,2020-02-28,13:10:00,518880,518880.XSHG,"518880.XSHG:1.1285,161226.XSHE:0.3419",518880,False,False,1
2020-03-02,2020-03-02,13:10:00,511880,511880.SH,,,2020-03-02,13:10:00,511880,511880.XSHG,,,True,True,0
2020-03-03,2020-03-03,13:10:00,159985,159985.SZ,159985.SZ:0.0152,159985,2020-03-03,13:10:00,159985,159985.XSHE,159985.XSHE:0.0019,159985,True,True,1
2020-03-04,2020-03-04,13:10:00,159985,159985.SZ,159985.SZ:0.0648,159985,2020-03-04,13:10:00,159985,159985.XSHE,159985.XSHE:0.0184,159985,True,True,1
2020-03-05,2020-03-05,13:10:00,159985,159985.SZ,159985.SZ:0.1005,159985,2020-03-05,13:10:00,159985,159985.XSHE,159985.XSHE:0.0545,159985,True,True,1
2020-03-06,2020-03-06,13:10:00,515050,515050.SH,"515050.SH:3.4816,512170.SH:3.1786,512100.SH:3.0947,512670.SH:3.0040,512660.SH:2.3558,512200.SH:2.2248,159967.SZ:1.7873,512710.SH:1.6600,510500.SH:1.2325,159915.SZ:1.2021",515050,2020-03-06,13:10:00,515050,515050.XSHG,"515050.XSHG:4.8364,512670.XSHG:3.5661,512170.XSHG:3.3372,512100.XSHG:3.2039,512660.XSHG:2.6446,159967.XSHE:2.2207,512710.XSHG:1.8920,512200.XSHG:1.7532,159915.XSHE:1.5292,159928.XSHE:1.4954",515050,True,True,9
2020-03-09,2020-03-09,13:10:00,515880,515880.SH,"515880.SH:3.3214,512170.SH:2.3307,518880.SH:0.4613,512890.SH:0.3416,510880.SH:0.2246",515880,2020-03-09,13:10:00,512170,512170.XSHG,"512170.XSHG:2.9253,512200.XSHG:1.8918,159928.XSHE:1.3907,510300.XSHG:0.5045,510880.XSHG:0.4383,518880.XSHG:0.4284",512170,False,False,3
2020-03-10,2020-03-10,13:10:00,518880,518880.SH,518880.SH:0.3300,518880,2020-03-10,13:10:00,511880,511880.XSHG,,,False,False,0
2020-03-11,2020-03-11,13:10:00,518880,518880.SH,518880.SH:0.3230,518880,2020-03-11,13:10:00,518880,518880.XSHG,518880.XSHG:0.3615,518880,True,True,1
2020-03-12,2020-03-12,13:10:00,511880,511880.SH,,,2020-03-12,13:10:00,511880,511880.XSHG,,,True,True,0
2020-03-13,2020-03-13,13:10:00,511880,511880.SH,,,2020-03-13,13:10:00,511880,511880.XSHG,,,True,True,0
2020-03-16,2020-03-16,13:10:00,511880,511880.SH,,,2020-03-16,13:10:00,159985,159985.XSHE,159985.XSHE:0.0180,159985,False,False,0
2020-03-17,2020-03-17,13:10:00,159985,159985.SZ,159985.SZ:0.0122,159985,2020-03-17,13:10:00,159985,159985.XSHE,159985.XSHE:0.0108,159985,True,True,1
2020-03-18,2020-03-18,13:10:00,159985,159985.SZ,159985.SZ:0.0165,159985,2020-03-18,13:10:00,159985,159985.XSHE,159985.XSHE:0.0201,159985,True,True,1
2020-03-19,2020-03-19,13:10:00,511880,511880.SH,,,2020-03-19,13:10:00,511880,511880.XSHG,,,True,True,0
2020-03-20,2020-03-20,13:10:00,159985,159985.SZ,159985.SZ:0.0474,159985,2020-03-20,13:10:00,159985,159985.XSHE,159985.XSHE:0.0198,159985,True,True,1
2020-03-23,2020-03-23,13:10:00,511880,511880.SH,,,2020-03-23,13:10:00,159985,159985.XSHE,159985.XSHE:0.0914,159985,False,False,0
2020-03-24,2020-03-24,13:10:00,511880,511880.SH,,,2020-03-24,13:10:00,159985,159985.XSHE,159985.XSHE:0.2407,159985,False,False,0
2020-03-25,2020-03-25,13:10:00,159985,159985.SZ,159985.SZ:0.6686,159985,2020-03-25,13:10:00,159985,159985.XSHE,159985.XSHE:0.4341,159985,True,True,1
2020-03-26,2020-03-26,13:10:00,159985,159985.SZ,159985.SZ:0.7037,159985,2020-03-26,13:10:00,159985,159985.XSHE,159985.XSHE:0.5934,159985,True,True,1
2020-03-27,2020-03-27,13:10:00,159985,159985.SZ,159985.SZ:0.8481,159985,2020-03-27,13:10:00,159985,159985.XSHE,159985.XSHE:0.6986,159985,True,True,1
