date,time,value,positions,symbol
2020-01-02,15:10:00,998546.42,512400.XSHG:1353800:996396.80,512400
2020-01-03,15:10:00,1014792.02,512400.XSHG:1353800:1012642.40,512400
2020-01-06,15:10:00,1029984.7,512880.XSHG:983500:1027757.50,512880
2020-01-07,15:10:00,1035942.65,512980.XSHG:1108000:1033764.00,512980
2020-01-08,15:10:00,1018349.2,512880.XSHG:995200:1016099.20,512880
2020-01-09,15:10:00,1032450.41,512980.XSHG:1119800:1030216.00,512980
2020-01-10,15:10:00,1024895.4,512100.XSHG:1363600:1022700.00,512100
2020-01-13,15:10:00,1038531.4,512100.XSHG:1363600:1036336.00,512100
2020-01-14,15:10:00,1035804.2,512100.XSHG:1363600:1033608.80,512100
2020-01-15,15:10:00,1039141.79,512980.XSHG:1124700:1036973.40,512980
2020-01-16,15:10:00,1027923.79,512400.XSHG:1358600:1025743.00,512400
2020-01-17,15:10:00,1025206.59,512400.XSHG:1358600:1023025.80,512400
2020-01-20,15:10:00,1039912.12,512480.XSHG:592300:1037709.60,512480
2020-01-21,15:10:00,1030376.04,159915.XSHE:543400:1028112.80,159915
2020-01-22,15:10:00,1054052.46,515050.XSHG:904400:1051817.20,515050
2020-01-23,15:10:00,1013670.73,159949.XSHE:1422700:1011539.70,159949
2020-02-03,15:10:00,930704.54,518880.XSHG:263800:928576.00,518880
2020-02-04,15:10:00,923318.14,518880.XSHG:263800:921189.60,518880
2020-02-05,15:10:00,917250.74,518880.XSHG:263800:915122.20,518880
2020-02-06,15:10:00,909682.81,513100.XSHG:246500:907613.00,513100
2020-02-07,15:10:00,916338.31,513100.XSHG:246500:914268.50,513100
2020-02-10,15:10:00,922007.81,513100.XSHG:246500:919938.00,513100
2020-02-11,15:10:00,956271.31,513100.XSHG:246500:954201.50,513100
2020-02-12,15:10:00,980921.31,513100.XSHG:246500:978851.50,513100
2020-02-13,15:10:00,1010454.2,512170.XSHG:693400:1008203.60,512170
2020-02-14,15:10:00,1006293.8,512170.XSHG:693400:1004043.20,512170
2020-02-17,15:10:00,1039577.0,512170.XSHG:693400:1037326.40,512170
2020-02-18,15:10:00,1044430.8,512170.XSHG:693400:1042180.20,512170
2020-02-19,15:10:00,1021548.6,512170.XSHG:693400:1019298.00,512170
2020-02-20,15:10:00,1041602.49,159949.XSHE:1278500:1039420.50,159949
2020-02-21,15:10:00,1060779.99,159949.XSHE:1278500:1058598.00,159949
2020-02-24,15:10:00,1080071.8,159915.XSHE:494800:1077674.40,159915
2020-02-25,15:10:00,1088483.4,159915.XSHE:494800:1086086.00,159915
2020-02-26,15:10:00,1040316.44,159967.XSHE:710000:1038020.00,159967
2020-02-27,15:10:00,1047088.1,512670.XSHG:838500:1044771.00,512670
2020-02-28,15:10:00,1013065.54,518880.XSHG:279000:1010817.00,518880
2020-03-02,15:10:00,988546.32,511880.XSHG:9800:985537.00,511880
2020-03-03,15:10:00,988251.17,159985.XSHE:1018700:986101.60,159985
2020-03-04,15:10:00,988251.17,159985.XSHE:1018700:986101.60,159985
2020-03-05,15:10:00,989269.87,159985.XSHE:1018700:987120.30,159985
2020-03-06,15:10:00,981373.09,515050.XSHG:794200:979248.60,515050
2020-03-09,15:10:00,941645.5,512170.XSHG:597700:939584.40,512170
2020-03-10,15:10:00,940197.61,511880.XSHG:9300:935449.80,511880
2020-03-11,15:10:00,942220.65,518880.XSHG:257700:940089.60,518880
2020-03-12,15:10:00,930641.2,511880.XSHG:9200:925713.20,511880
2020-03-13,15:10:00,930678.0,511880.XSHG:9200:925750.00,511880
2020-03-16,15:10:00,929589.76,159985.XSHE:967200:927544.80,159985
2020-03-17,15:10:00,930556.96,159985.XSHE:967200:928512.00,159985
2020-03-18,15:10:00,928622.56,159985.XSHE:967200:926577.60,159985
2020-03-19,15:10:00,919679.77,511880.XSHG:9100:916006.00,511880
2020-03-20,15:10:00,920527.6,159985.XSHE:940200:918575.40,159985
2020-03-23,15:10:00,969418.0,159985.XSHE:940200:967465.80,159985
2020-03-24,15:10:00,956255.2,159985.XSHE:940200:954303.00,159985
2020-03-25,15:10:00,972238.6,159985.XSHE:940200:970286.40,159985
2020-03-26,15:10:00,946853.2,159985.XSHE:940200:944901.00,159985
2020-03-27,15:10:00,958135.6,159985.XSHE:940200:956183.40,159985
2020-03-30,15:10:00,966597.4,159985.XSHE:940200:964645.20,159985
2020-03-31,15:10:00,963776.8,159985.XSHE:940200:961824.60,159985
2020-04-01,15:10:00,944747.62,511880.XSHG:9300:936677.40,511880
2020-04-02,15:10:00,944756.92,511880.XSHG:9300:936686.70,511880
2020-04-03,15:10:00,944708.47,159985.XSHE:965900:942718.40,159985
2020-04-07,15:10:00,946396.31,511880.XSHG:9300:936937.80,511880
2020-04-08,15:10:00,946470.71,511880.XSHG:9300:937012.20,511880
2020-04-09,15:10:00,946535.81,511880.XSHG:9300:937077.30,511880
2020-04-10,15:10:00,946721.81,511880.XSHG:9300:937263.30,511880
2020-04-13,15:10:00,946768.31,511880.XSHG:9300:937309.80,511880
2020-04-14,15:10:00,952943.13,512010.XSHG:454500:950814.00,512010
2020-04-15,15:10:00,947943.63,512010.XSHG:454500:945814.50,512010
2020-04-16,15:10:00,949761.63,512010.XSHG:454500:947632.50,512010
