date,time,value,weak,pool,target
2020-01-02,15:30:00,998496.87,False,34,512400
2020-01-03,15:30:00,1014738.87,False,34,512400
2020-01-06,15:30:00,1030808.5,False,34,512880
2020-01-07,15:30:00,1036671.64,False,34,512980
2020-01-08,15:30:00,1010957.5,False,34,512880
2020-01-09,15:30:00,1032728.35,False,34,512980
2020-01-10,15:30:00,1026188.78,False,34,512100
2020-01-13,15:30:00,1039823.51,False,34,512100
2020-01-14,15:30:00,1037093.51,False,34,512100
2020-01-15,15:30:00,1039205.21,False,34,512980
2020-01-16,15:30:00,1022466.26,False,34,512400
2020-01-17,15:30:00,1019768.29,False,34,512400
2020-01-20,15:30:00,1033514.98,False,34,512480
2020-01-21,15:30:00,1023941.78,False,34,159915
2020-01-22,15:30:00,1047012.62,False,35,515050
2020-01-23,15:30:00,998342.82,False,35,159949
2020-02-03,15:30:00,931863.36,True,9,518880
2020-02-04,15:30:00,924471.36,True,9,518880
2020-02-05,15:30:00,918399.36,True,9,518880
2020-02-06,15:30:00,910488.1,True,9,513100
2020-02-07,15:30:00,917149.0,True,9,513100
2020-02-10,15:30:00,922823.1,True,9,513100
2020-02-11,15:30:00,957114.4,False,34,513100
2020-02-12,15:30:00,981784.4,False,35,513100
2020-02-13,15:30:00,1016379.32,False,37,512170
2020-02-14,15:30:00,1012190.5,False,37,512170
2020-02-17,15:30:00,1045670.5,False,37,512170
2020-02-18,15:30:00,1050553.0,False,36,512170
2020-02-19,15:30:00,1027535.5,False,36,512170
2020-02-20,15:30:00,1047602.28,False,36,159949
2020-02-21,15:30:00,1066887.78,False,36,159949
2020-02-24,15:30:00,1086179.46,False,36,159915
2020-02-25,15:30:00,1094636.96,False,36,159915
2020-02-26,15:30:00,1046816.81,False,36,159967
2020-02-27,15:30:00,1052662.22,False,36,512670
2020-02-28,15:30:00,992124.62,False,36,518880
2020-03-02,15:30:00,968218.53,True,8,511880
2020-03-03,15:30:00,966885.13,True,8,159985
2020-03-04,15:30:00,982373.35,False,36,512670
2020-03-05,15:30:00,986302.85,False,38,512670
2020-03-06,15:30:00,974891.29,False,39,515050
2020-03-09,15:30:00,927380.32,False,40,512170
2020-03-10,15:30:00,925345.64,True,9,511880
2020-03-11,15:30:00,927288.41,True,9,518880
2020-03-12,15:30:00,915809.63,True,9,511880
2020-03-13,15:30:00,915845.23,True,9,511880
2020-03-16,15:30:00,904378.91,True,9,159985
2020-03-17,15:30:00,905316.47,True,9,159985
2020-03-18,15:30:00,903434.47,True,9,159985
2020-03-19,15:30:00,894743.67,True,9,511880
2020-03-20,15:30:00,895523.4,True,9,159985
2020-03-23,15:30:00,943077.4,True,9,159985
2020-03-24,15:30:00,930274.4,True,9,159985
2020-03-25,15:30:00,945820.9,True,9,159985
2020-03-26,15:30:00,921129.4,False,40,159985
2020-03-27,15:30:00,932103.4,False,40,159985
2020-03-30,15:30:00,940333.9,False,40,159985
2020-03-31,15:30:00,937590.4,True,9,159985
2020-04-01,15:30:00,919026.85,True,9,511880
2020-04-02,15:30:00,919035.85,True,9,511880
2020-04-03,15:30:00,915200.33,False,41,159985
2020-04-07,15:30:00,916835.2,False,41,511880
2020-04-08,15:30:00,916906.4,False,41,511880
2020-04-09,15:30:00,916968.7,False,41,511880
2020-04-10,15:30:00,917146.7,False,42,511880
2020-04-13,15:30:00,917191.2,False,42,511880
2020-04-14,15:30:00,922686.47,False,42,512010
2020-04-15,15:30:00,917839.56,False,42,512010
2020-04-16,15:30:00,919599.96,False,44,512010
2020-04-17,15:30:00,913438.56,False,44,512010
2020-04-20,15:30:00,918719.76,False,44,512010
2020-04-21,15:30:00,917517.7,False,44,512170
2020-04-22,15:30:00,924352.9,False,44,512170
2020-04-23,15:30:00,926061.7,False,44,512170
2020-04-24,15:30:00,904986.5,False,44,512170
2020-04-27,15:30:00,921163.88,True,9,513100
2020-04-28,15:30:00,944101.57,True,9,513100
2020-04-29,15:30:00,961109.77,True,9,513100
2020-04-30,15:30:00,986148.29,True,9,513500
2020-05-06,15:30:00,973286.67,False,44,512690
2020-05-07,15:30:00,982995.63,False,44,512690
2020-05-08,15:30:00,992713.23,False,44,512690
2020-05-11,15:30:00,995142.63,False,44,512690
2020-05-12,15:30:00,1002430.83,False,44,512690
2020-05-13,15:30:00,1033203.23,False,44,512690
2020-05-14,15:30:00,1031583.63,False,44,512690
2020-05-15,15:30:00,1007746.28,False,44,159995
2020-05-18,15:30:00,967376.21,False,44,512480
2020-05-19,15:30:00,996248.17,False,44,512690
2020-05-20,15:30:00,987081.37,False,44,512690
2020-05-21,15:30:00,993309.85,True,9,513100
2020-05-22,15:30:00,974500.43,True,9,161226
2020-05-25,15:30:00,983018.73,True,9,161226
2020-05-26,15:30:00,1007356.73,True,9,161226
2020-05-27,15:30:00,997621.53,True,9,161226
2020-05-28,15:30:00,1012224.33,True,9,161226
2020-05-29,15:30:00,1014658.13,True,9,161226
2020-06-01,15:30:00,1059678.03,True,9,161226
2020-06-02,15:30:00,1055636.42,False,44,512690
2020-06-03,15:30:00,1047702.01,False,44,513030
2020-06-04,15:30:00,1067296.99,False,44,161226
2020-06-05,15:30:00,1072442.33,False,44,161226
2020-06-08,15:30:00,1067293.36,False,44,513520
2020-06-09,15:30:00,1080882.92,False,44,513520
2020-06-10,15:30:00,1089626.42,False,44,513520
2020-06-11,15:30:00,1058538.42,False,44,513520
2020-06-12,15:30:00,1043965.92,False,44,513520
2020-06-15,15:30:00,1025327.39,False,44,512690
2020-06-16,15:30:00,1035788.07,False,44,513030
2020-06-17,15:30:00,1043805.93,False,44,513030
2020-06-18,15:30:00,1042802.73,False,44,513030
2020-06-19,15:30:00,1033242.4,False,44,515030
2020-06-22,15:30:00,1042771.95,False,44,515030
2020-06-23,15:30:00,1048058.38,False,44,159949
2020-06-24,15:30:00,1046913.53,False,44,159949
2020-06-29,15:30:00,1038567.0,False,44,512010
2020-06-30,15:30:00,1052123.25,False,44,159967
2020-07-01,15:30:00,1032517.95,False,44,159967
2020-07-02,15:30:00,1027148.62,False,44,159915
2020-07-03,15:30:00,1048010.91,False,44,515050
2020-07-06,15:30:00,1125555.56,False,44,512690
2020-07-07,15:30:00,1155424.29,False,44,159928
2020-07-08,15:30:00,1161909.37,False,44,515030
2020-07-09,15:30:00,1181466.34,False,44,512710
2020-07-10,15:30:00,1151898.39,False,44,512890
2020-07-13,15:30:00,1181360.25,False,44,512890
2020-07-14,15:30:00,1171903.82,False,44,510880
2020-07-15,15:30:00,1154891.82,False,44,510880
2020-07-16,15:30:00,1124270.22,False,44,510880
2020-07-17,15:30:00,1127381.86,True,9,161226
2020-07-20,15:30:00,1140370.86,True,9,161226
2020-07-21,15:30:00,1198821.36,True,9,161226
2020-07-22,15:30:00,1315714.05,True,9,161226
2020-07-23,15:30:00,1296786.79,False,44,513090
