date,time,value,positions,symbol
2020-01-02,15:30:00,998496.87,512400.SH:1353500:996176.00,512400
2020-01-03,15:30:00,1014738.87,512400.SH:1353500:1012418.00,512400
2020-01-06,15:30:00,1030808.5,512880.SH:983200:1027444.00,512880
2020-01-07,15:30:00,1036671.64,512980.SH:1108600:1034323.80,512980
2020-01-08,15:30:00,1010957.5,512880.SH:988800:1009564.80,512880
2020-01-09,15:30:00,1032728.35,512980.SH:1120000:1030400.00,512980
2020-01-10,15:30:00,1026188.78,512100.SH:1363300:1022475.00,512100
2020-01-13,15:30:00,1039823.51,512100.SH:1365000:1037400.00,512100
2020-01-14,15:30:00,1037093.51,512100.SH:1365000:1034670.00,512100
2020-01-15,15:30:00,1039205.21,512980.SH:1125800:1037987.60,512980
2020-01-16,15:30:00,1022466.26,512400.SH:1349300:1018721.50,512400
2020-01-17,15:30:00,1019768.29,512400.SH:1351200:1017453.60,512400
2020-01-20,15:30:00,1033514.98,512480.SH:588200:1030526.40,512480
2020-01-21,15:30:00,1023941.78,159915.SZ:539900:1021490.80,159915
2020-01-22,15:30:00,1047012.62,515050.SH:899000:1045537.00,515050
2020-01-23,15:30:00,998342.82,159949.SZ:1402900:997461.90,159949
2020-02-03,15:30:00,931863.36,518880.SH:264000:929280.00,518880
2020-02-04,15:30:00,924471.36,518880.SH:264000:921888.00,518880
2020-02-05,15:30:00,918399.36,518880.SH:264000:915816.00,518880
2020-02-06,15:30:00,910488.1,513100.SH:246700:908349.40,513100
2020-02-07,15:30:00,917149.0,513100.SH:246700:915010.30,513100
2020-02-10,15:30:00,922823.1,513100.SH:246700:920684.40,513100
2020-02-11,15:30:00,957114.4,513100.SH:246700:954975.70,513100
2020-02-12,15:30:00,981784.4,513100.SH:246700:979645.70,513100
2020-02-13,15:30:00,1016379.32,512170.SH:697800:1014601.20,512170
2020-02-14,15:30:00,1012190.5,512170.SH:697500:1009980.00,512170
2020-02-17,15:30:00,1045670.5,512170.SH:697500:1043460.00,512170
2020-02-18,15:30:00,1050553.0,512170.SH:697500:1048342.50,512170
2020-02-19,15:30:00,1027535.5,512170.SH:697500:1025325.00,512170
2020-02-20,15:30:00,1047602.28,159949.SZ:1285700:1045274.10,159949
