date,time,value,positions,symbol
2020-01-02,15:10:00,99854.73,512400.XSHG:135300:99580.80,512400
2020-01-03,15:10:00,101478.33,512400.XSHG:135300:101204.40,512400
2020-01-06,15:10:00,102996.57,512880.XSHG:98300:102723.50,512880
2020-01-07,15:10:00,103591.63,512980.XSHG:110700:103283.10,512980
2020-01-08,15:10:00,101833.65,512880.XSHG:99500:101589.50,512880
2020-01-09,15:10:00,103243.32,512980.XSHG:111900:102948.00,512980
2020-01-10,15:10:00,102488.43,512100.XSHG:136300:102225.00,512100
2020-01-13,15:10:00,103851.43,512100.XSHG:136300:103588.00,512100
2020-01-14,15:10:00,103578.83,512100.XSHG:136300:103315.40,512100
2020-01-15,15:10:00,103573.09,512980.XSHG:112000:103264.00,512980
2020-01-16,15:10:00,102456.07,512400.XSHG:135400:102227.00,512400
2020-01-17,15:10:00,102185.27,512400.XSHG:135400:101956.20,512400
2020-01-20,15:10:00,103650.38,512480.XSHG:59000:103368.00,512480
2020-01-21,15:10:00,102700.57,159915.XSHE:54100:102357.20,159915
2020-01-22,15:10:00,105059.0,515050.XSHG:90100:104786.30,515050
2020-01-23,15:10:00,102476.07,159949.XSHE:143800:102241.80,159949
2020-02-03,15:10:00,95698.38,518880.XSHG:27100:95392.00,518880
2020-02-04,15:10:00,94939.58,518880.XSHG:27100:94633.20,518880
2020-02-05,15:10:00,94316.28,518880.XSHG:27100:94009.90,518880
2020-02-06,15:10:00,93538.87,513100.XSHG:25200:92786.40,513100
2020-02-07,15:10:00,94219.27,513100.XSHG:25200:93466.80,513100
2020-02-10,15:10:00,94798.87,513100.XSHG:25200:94046.40,513100
2020-02-11,15:10:00,98301.67,513100.XSHG:25200:97549.20,513100
2020-02-12,15:10:00,100821.67,513100.XSHG:25200:100069.20,513100
2020-02-13,15:10:00,103841.44,512170.XSHG:71200:103524.80,512170
2020-02-14,15:10:00,103414.24,512170.XSHG:71200:103097.60,512170
2020-02-17,15:10:00,106831.84,512170.XSHG:71200:106515.20,512170
2020-02-18,15:10:00,107330.24,512170.XSHG:71200:107013.60,512170
2020-02-19,15:10:00,104980.64,512170.XSHG:71200:104664.00,512170
2020-02-20,15:10:00,107039.92,159949.XSHE:131300:106746.90,159949
2020-02-21,15:10:00,109009.42,159949.XSHE:131300:108716.40,159949
2020-02-24,15:10:00,110990.5,159915.XSHE:50800:110642.40,159915
2020-02-25,15:10:00,111854.1,159915.XSHE:50800:111506.00,159915
2020-02-26,15:10:00,106908.71,159967.XSHE:72900:106579.80,159967
2020-02-27,15:10:00,107603.86,512670.XSHG:86100:107280.60,512670
2020-02-28,15:10:00,102129.31,518880.XSHG:28100:101806.30,518880
2020-03-02,15:10:00,99667.42,511880.XSHG:900:90508.50,511880
2020-03-03,15:10:00,99639.43,159985.XSHE:102700:99413.60,159985
2020-03-04,15:10:00,99639.43,159985.XSHE:102700:99413.60,159985
2020-03-05,15:10:00,99742.13,159985.XSHE:102700:99516.30,159985
2020-03-06,15:10:00,98946.16,515050.XSHG:80000:98640.00,515050
2020-03-09,15:10:00,94944.48,512170.XSHG:60200:94634.40,512170
2020-03-10,15:10:00,94798.37,511880.XSHG:900:90527.40,511880
2020-03-11,15:10:00,95001.49,518880.XSHG:25900:94483.20,518880
2020-03-12,15:10:00,93835.4,511880.XSHG:900:90558.90,511880
2020-03-13,15:10:00,93839.0,511880.XSHG:900:90562.50,511880
2020-03-16,15:10:00,93826.88,159985.XSHE:97600:93598.40,159985
2020-03-17,15:10:00,93924.48,159985.XSHE:97600:93696.00,159985
2020-03-18,15:10:00,93729.28,159985.XSHE:97600:93500.80,159985
2020-03-19,15:10:00,92828.96,511880.XSHG:900:90594.00,511880
2020-03-20,15:10:00,92914.45,159985.XSHE:94800:92619.60,159985
2020-03-23,15:10:00,97844.05,159985.XSHE:94800:97549.20,159985
2020-03-24,15:10:00,96516.85,159985.XSHE:94800:96222.00,159985
2020-03-25,15:10:00,98128.45,159985.XSHE:94800:97833.60,159985
2020-03-26,15:10:00,95568.85,159985.XSHE:94800:95274.00,159985
2020-03-27,15:10:00,96706.45,159985.XSHE:94800:96411.60,159985
2020-03-30,15:10:00,97559.65,159985.XSHE:94800:97264.80,159985
2020-03-31,15:10:00,97275.25,159985.XSHE:94800:96980.40,159985
2020-04-01,15:10:00,95357.97,511880.XSHG:900:90646.20,511880
2020-04-02,15:10:00,95358.87,511880.XSHG:900:90647.10,511880
2020-04-03,15:10:00,95353.8,159985.XSHE:97400:95062.40,159985
2020-04-07,15:10:00,95527.31,511880.XSHG:900:90671.40,511880
2020-04-08,15:10:00,95534.51,511880.XSHG:900:90678.60,511880
2020-04-09,15:10:00,95540.81,511880.XSHG:900:90684.90,511880
2020-04-10,15:10:00,95558.81,511880.XSHG:900:90702.90,511880
2020-04-13,15:10:00,95563.31,511880.XSHG:900:90707.40,511880
2020-04-14,15:10:00,96185.92,512010.XSHG:45800:95813.60,512010
2020-04-15,15:10:00,95682.12,512010.XSHG:45800:95309.80,512010
2020-04-16,15:10:00,95865.32,512010.XSHG:45800:95493.00,512010
2020-04-17,15:10:00,95224.12,512010.XSHG:45800:94851.80,512010
2020-04-20,15:10:00,95773.72,512010.XSHG:45800:95401.40,512010
2020-04-21,15:10:00,95313.2,512170.XSHG:59100:94973.70,512170
2020-04-22,15:10:00,96022.4,512170.XSHG:59100:95682.90,512170
2020-04-23,15:10:00,96199.7,512170.XSHG:59100:95860.20,512170
2020-04-24,15:10:00,94013.0,512170.XSHG:59100:93673.50,512170
2020-04-27,15:10:00,95841.18,513100.XSHG:26800:95595.60,513100
2020-04-28,15:10:00,98226.38,513100.XSHG:26800:97980.80,513100
2020-04-29,15:10:00,99995.18,513100.XSHG:26800:99749.60,513100
2020-04-30,15:10:00,103681.55,512690.XSHG:87300:103363.20,512690
2020-05-06,15:10:00,104991.05,512690.XSHG:87300:104672.70,512690
2020-05-07,15:10:00,106038.65,512690.XSHG:87300:105720.30,512690
2020-05-08,15:10:00,107086.25,512690.XSHG:87300:106767.90,512690
2020-05-11,15:10:00,107348.15,512690.XSHG:87300:107029.80,512690
2020-05-12,15:10:00,108133.85,512690.XSHG:87300:107815.50,512690
2020-05-13,15:10:00,111451.25,512690.XSHG:87300:111132.90,512690
2020-05-14,15:10:00,111276.65,512690.XSHG:87300:110958.30,512690
2020-05-15,15:10:00,108536.34,159995.XSHE:94400:108276.80,159995
2020-05-18,15:10:00,103317.2,512480.XSHG:52900:103049.20,512480
2020-05-19,15:10:00,106606.83,513100.XSHG:28300:106068.40,513100
2020-05-20,15:10:00,105282.82,512690.XSHG:81500:105053.50,512690
2020-05-21,15:10:00,106838.62,513100.XSHG:28600:106392.00,513100
2020-05-22,15:10:00,104463.48,161226.XSHE:130400:104189.60,161226
2020-05-25,15:10:00,105376.28,161226.XSHE:130400:105102.40,161226
2020-05-26,15:10:00,107984.28,161226.XSHE:130400:107710.40,161226
2020-05-27,15:10:00,106941.08,161226.XSHE:130400:106667.20,161226
2020-05-28,15:10:00,108505.88,161226.XSHE:130400:108232.00,161226
2020-05-29,15:10:00,108766.68,161226.XSHE:130400:108492.80,161226
2020-06-01,15:10:00,113591.48,161226.XSHE:130400:113317.60,161226
2020-06-02,15:10:00,112749.15,512690.XSHG:83900:112426.00,512690
2020-06-03,15:10:00,111913.25,513030.XSHG:109300:111595.30,513030
2020-06-04,15:10:00,115228.32,161226.XSHE:138800:114926.40,161226
2020-06-05,15:10:00,115783.52,161226.XSHE:138800:115481.60,161226
2020-06-08,15:10:00,115239.21,513520.XSHG:104900:114970.40,513520
2020-06-09,15:10:00,116707.81,513520.XSHG:104900:116439.00,513520
2020-06-10,15:10:00,117651.91,513520.XSHG:104900:117383.10,513520
2020-06-11,15:10:00,114295.11,513520.XSHG:104900:114026.30,513520
2020-06-12,15:10:00,112721.61,513520.XSHG:104900:112452.80,513520
2020-06-15,15:10:00,111452.73,512690.XSHG:81700:111193.70,512690
2020-06-16,15:10:00,113227.55,513030.XSHG:109600:112888.00,513030
2020-06-17,15:10:00,114104.35,513030.XSHG:109600:113764.80,513030
2020-06-18,15:10:00,113994.75,513030.XSHG:109600:113655.20,513030
2020-06-19,15:10:00,113077.02,515030.XSHG:115700:112807.50,515030
2020-06-22,15:10:00,114118.32,515030.XSHG:115700:113848.80,515030
2020-06-23,15:10:00,114832.24,159949.XSHE:124200:114512.40,159949
2020-06-24,15:10:00,114708.04,159949.XSHE:124200:114388.20,159949
2020-06-29,15:10:00,113680.84,512010.XSHG:45200:113316.40,512010
2020-06-30,15:10:00,115129.66,159967.XSHE:65000:114855.00,159967
2020-07-01,15:10:00,112984.66,159967.XSHE:65000:112710.00,159967
2020-07-02,15:10:00,112360.59,159915.XSHE:47700:112095.00,159915
2020-07-03,15:10:00,114339.31,515050.XSHG:87900:114006.30,515050
2020-07-06,15:10:00,122722.47,512690.XSHG:74700:122358.60,512690
2020-07-07,15:10:00,125628.71,159928.XSHE:30400:125187.20,159928
2020-07-08,15:10:00,126376.36,515030.XSHG:112800:125997.60,515030
2020-07-09,15:10:00,128239.11,512710.XSHG:91900:127832.90,512710
2020-07-10,15:10:00,125130.27,512890.XSHG:97000:124742.00,512890
2020-07-13,15:10:00,128331.27,512890.XSHG:97000:127943.00,512890
2020-07-14,15:10:00,127474.48,510880.XSHG:46200:127050.00,510880
2020-07-15,15:10:00,125626.48,510880.XSHG:46200:125202.00,510880
2020-07-16,15:10:00,122300.08,510880.XSHG:46200:121875.60,510880
2020-07-17,15:10:00,122247.68,159980.XSHE:120400:121965.20,159980
2020-07-20,15:10:00,121964.01,161226.XSHE:138900:121676.40,161226
2020-07-21,15:10:00,128214.51,161226.XSHE:138900:127926.90,161226
2020-07-22,15:10:00,140715.51,161226.XSHE:138900:140427.90,161226
2020-07-23,15:10:00,138808.12,513090.XSHG:103700:138439.50,513090
2020-07-24,15:10:00,132840.09,161226.XSHE:134300:132554.10,161226
2020-07-27,15:10:00,140735.71,513030.XSHG:127500:140250.00,513030
2020-07-28,15:10:00,141628.21,513030.XSHG:127500:141142.50,513030
2020-07-29,15:10:00,140707.65,159980.XSHE:134300:140343.50,159980
2020-07-30,15:10:00,140296.83,512010.XSHG:47000:139402.00,512010
2020-07-31,15:10:00,142176.83,512010.XSHG:47000:141282.00,512010
2020-08-03,15:10:00,145748.83,512010.XSHG:47000:144854.00,512010
2020-08-04,15:10:00,144385.83,512010.XSHG:47000:143491.00,512010
2020-08-05,15:10:00,146641.83,512010.XSHG:47000:145747.00,512010
2020-08-06,15:10:00,143069.83,512010.XSHG:47000:142175.00,512010
2020-08-07,15:10:00,137592.78,518880.XSHG:31200:136593.60,518880
2020-08-10,15:10:00,136495.46,159992.XSHE:88900:136105.90,159992
2020-08-11,15:10:00,134539.66,159992.XSHE:88900:134150.10,159992
2020-08-12,15:10:00,128819.38,513500.XSHG:58700:128376.90,513500
2020-08-13,15:10:00,130286.88,513500.XSHG:58700:129844.40,513500
2020-08-14,15:10:00,130286.88,513500.XSHG:58700:129844.40,513500
2020-08-17,15:10:00,130286.88,513500.XSHG:58700:129844.40,513500
2020-08-18,15:10:00,130110.78,513500.XSHG:58700:129668.30,513500
2020-08-19,15:10:00,129833.82,512890.XSHG:93100:129502.10,512890
2020-08-20,15:10:00,129409.8,513100.XSHG:31400:128928.40,513100
2020-08-21,15:10:00,132675.4,513100.XSHG:31400:132194.00,513100
2020-08-24,15:10:00,138358.8,513100.XSHG:31400:137877.40,513100
2020-08-25,15:10:00,144638.8,513100.XSHG:31400:144157.40,513100
2020-08-26,15:10:00,141875.6,513100.XSHG:31400:141394.20,513100
2020-08-27,15:10:00,147967.2,513100.XSHG:31400:147485.80,513100
2020-08-28,15:10:00,153477.44,513500.XSHG:66400:153118.40,513500
2020-08-31,15:10:00,153850.35,512690.XSHG:76200:153390.60,512690
2020-09-01,15:10:00,150019.49,159928.XSHE:30700:149509.00,159928
2020-09-02,15:10:00,150541.94,512690.XSHG:76800:150067.20,512690
2020-09-03,15:10:00,152999.54,512690.XSHG:76800:152524.80,512690
2020-09-04,15:10:00,146962.46,159980.XSHE:136200:146551.20,159980
2020-09-07,15:10:00,147915.86,159980.XSHE:136200:147504.60,159980
2020-09-08,15:10:00,148324.46,159980.XSHE:136200:147913.20,159980
2020-09-09,15:10:00,146108.27,159985.XSHE:140100:145704.00,159985
2020-09-10,15:10:00,147088.97,159985.XSHE:140100:146684.70,159985
2020-09-11,15:10:00,150171.17,159985.XSHE:140100:149766.90,159985
2020-09-14,15:10:00,152692.97,159985.XSHE:140100:152288.70,159985
2020-09-15,15:10:00,153711.94,513100.XSHG:31800:152989.80,513100
2020-09-16,15:10:00,153425.74,513100.XSHG:31800:152703.60,513100
2020-09-17,15:10:00,147937.62,159985.XSHE:137700:147614.40,159985
2020-09-18,15:10:00,152344.02,159985.XSHE:137700:152020.80,159985
2020-09-21,15:10:00,150967.02,159985.XSHE:137700:150643.80,159985
2020-09-22,15:10:00,149176.92,159985.XSHE:137700:148853.70,159985
2020-09-23,15:10:00,148488.42,159985.XSHE:137700:148165.20,159985
2020-09-24,15:10:00,148626.12,159985.XSHE:137700:148302.90,159985
2020-09-25,15:10:00,148040.73,511880.XSHG:1400:142147.60,511880
2020-09-28,15:10:00,148677.35,513520.XSHG:133400:148340.80,513520
2020-09-29,15:10:00,149077.55,513520.XSHG:133400:148741.00,513520
2020-09-30,15:10:00,147476.75,513520.XSHG:133400:147140.20,513520
2020-10-09,15:10:00,147976.94,159985.XSHE:129500:147630.00,159985
2020-10-12,15:10:00,149142.44,159985.XSHE:129500:148795.50,159985
2020-10-13,15:10:00,146552.44,159985.XSHE:129500:146205.50,159985
2020-10-14,15:10:00,146293.44,159985.XSHE:129500:145946.50,159985
2020-10-15,15:10:00,145209.82,515030.XSHG:119400:144712.80,515030
2020-10-16,15:10:00,141627.82,515030.XSHG:119400:141130.80,515030
2020-10-19,15:10:00,140314.42,515030.XSHG:119400:139817.40,515030
2020-10-20,15:10:00,145329.22,515030.XSHG:119400:144832.20,515030
2020-10-21,15:10:00,142105.42,515030.XSHG:119400:141608.40,515030
2020-10-22,15:10:00,143538.22,515030.XSHG:119400:143041.20,515030
2020-10-23,15:10:00,143011.93,159985.XSHE:126100:142619.10,159985
2020-10-26,15:10:00,144020.73,159985.XSHE:126100:143627.90,159985
2020-10-27,15:10:00,143746.91,513520.XSHG:129600:143337.60,513520
2020-10-28,15:10:00,144923.01,159980.XSHE:134400:144614.40,159980
2020-10-29,15:10:00,143558.84,511880.XSHG:1400:142395.40,511880
2020-10-30,15:10:00,139732.88,515030.XSHG:112100:139340.30,515030
2020-11-02,15:10:00,143858.99,511880.XSHG:1400:142468.20,511880
2020-11-03,15:10:00,144067.41,159980.XSHE:133900:143674.70,159980
2020-11-04,15:10:00,145132.5,515030.XSHG:110200:144802.80,515030
2020-11-05,15:10:00,151310.31,512690.XSHG:71000:150804.00,512690
