date,ths_time,ths_value,ths_positions,ths_symbol,jq_time,jq_value,jq_positions,jq_symbol,symbol_match,value_diff,value_ratio
2020-04-01,15:30:00,920941.69,511880.SH:9000:906462.00,511880,15:10:00,95357.97,511880.XSHG:900:90646.20,511880,True,825583.72,9.657731702971445
2020-06-01,15:30:00,1054526.03,161226.SZ:1211000:1052359.00,161226,15:10:00,113591.48,161226.XSHE:130400:113317.60,161226,True,940934.55,9.28349582204581
2020-07-01,15:30:00,1040536.83,,,15:10:00,112984.66,159967.XSHE:65000:112710.00,159967,False,927552.1699999999,9.209540746504878
2020-07-17,15:30:00,1136745.61,161226.SZ:1309700:1134200.20,161226,15:10:00,122247.68,159980.XSHE:120400:121965.20,159980,False,1014497.9300000002,9.298709063435806
2020-09-01,15:30:00,1322212.85,159928.SZ:270800:1318796.00,159928,15:10:00,150019.49,159928.XSHE:30700:149509.00,159928,True,1172193.36,8.813607151977388
2020-12-01,15:30:00,1346077.72,513520.SH:1071900:1342018.80,513520,15:10:00,157150.79,513520.XSHG:125200:156750.40,513520,True,1188926.93,8.565516724414811
2020-12-14,15:30:00,1369326.08,501018.SH:2426800:1368715.20,501018,15:10:00,155749.7,159980.XSHE:132300:155320.20,159980,False,1213576.3800000001,8.791837672881552
2021-02-01,15:30:00,1460128.46,511880.SH:14400:1444521.60,511880,15:10:00,182905.28,511880.XSHG:1800:180565.20,511880,True,1277223.18,7.982975997193739
2021-03-01,15:30:00,1528403.02,159980.SZ:1170300:1526071.20,159980,15:10:00,190107.05,159980.XSHE:145400:189601.60,159980,True,1338295.97,8.039696686682582
2021-04-01,15:30:00,1599733.18,513030.SH:1237100:1494416.80,513030,15:10:00,200154.21,513030.XSHG:165300:199682.40,513030,True,1399578.97,7.992503280345689
2021-04-20,15:30:00,1592800.18,512480.SH:1669300:1589173.60,512480,15:10:00,196390.1,512690.XSHG:76900:195787.40,512690,False,1396410.0799999998,8.110389372987742
2021-05-26,15:30:00,1520517.61,512690.SH:1034800:1517016.80,512690,15:10:00,194050.43,512010.XSHG:58800:193393.20,512010,False,1326467.1800000002,7.8356827655573875
2021-05-27,15:30:00,1530865.61,512690.SH:1034800:1527364.80,512690,15:10:00,195592.08,512170.XSHG:214400:195104.00,512170,False,1335273.53,7.826828213085111
2021-05-28,15:30:00,1533970.01,512690.SH:1034800:1530469.20,512690,15:10:00,191083.77,159949.XSHE:135900:190667.70,159949,False,1342886.24,8.02773574124061
2021-05-31,15:30:00,1538109.21,512690.SH:1034800:1534608.40,512690,15:10:00,196741.68,515030.XSHG:103700:196200.40,515030,False,1341367.53,7.817912350855193
2021-06-01,15:30:00,1546493.9,515030.SH:823300:1543687.50,515030,15:10:00,194978.78,515030.XSHG:103700:194437.50,515030,True,1351515.1199999999,7.931601069613832
2021-06-03,15:30:00,1547858.0,512690.SH:1037100:1544241.90,512690,15:10:00,194779.36,512670.XSHG:111800:194308.40,512670,False,1353078.6400000001,7.9467249507340005
2021-07-01,15:30:00,1500809.55,515030.SH:716000:1497156.00,515030,15:10:00,201515.97,516160.XSHG:182600:201042.60,516160,False,1299293.58,7.447596088786413
2021-07-02,15:30:00,1495797.55,515030.SH:716000:1492144.00,515030,15:10:00,200055.17,516160.XSHG:182600:199581.80,516160,False,1295742.3800000001,7.476925240172498
2021-07-21,15:30:00,1439305.79,511880.SH:14000:1418340.00,511880,15:10:00,193076.62,159985.XSHE:146200:192545.40,159985,False,1246229.17,7.454583522334294
2021-08-31,15:30:00,1803241.2,512400.SH:1076700:1799165.70,512400,15:10:00,236523.55,516150.XSHG:138400:235972.00,516150,False,1566717.65,7.623939349802589
2021-09-01,15:30:00,1713341.22,510880.SH:548700:1709200.50,510880,15:10:00,226540.64,513100.XSHG:43400:225680.00,513100,False,1486800.58,7.563063386772456
2021-09-10,15:30:00,1816595.97,512890.SH:582200:1006623.80,512890,15:10:00,238390.98,516150.XSHG:138700:237870.50,516150,False,1578204.99,7.620237854636949
2021-11-01,15:30:00,2007935.37,513500.SH:575500:1606796.00,513500,15:10:00,277333.22,515790.XSHG:148400:276617.60,515790,False,1730602.1500000001,7.240154533236229
2021-11-30,15:30:00,1891291.82,516520.SH:1530400:1886983.20,516520,15:10:00,261177.97,516150.XSHG:157300:260488.80,516150,False,1630113.85,7.241391071383242
2021-12-01,15:30:00,1873078.13,562800.SH:1885900:1870812.80,562800,15:10:00,258503.87,516150.XSHG:157300:257814.70,516150,False,1614574.2599999998,7.245841735367443
2021-12-09,15:30:00,1794659.21,159985.SZ:1509700:1790504.20,159985,15:10:00,245845.62,516150.XSHG:151900:245318.50,516150,False,1548813.5899999999,7.299943802130785
2021-12-10,15:30:00,1812021.03,512690.SH:1297000:1806721.00,512690,15:10:00,247516.52,516150.XSHG:151900:246989.40,516150,False,1564504.51,7.320808445432249
2022-03-01,15:30:00,2013321.8,512400.SH:1437900:2008746.30,512400,15:10:00,304506.31,501018.XSHG:280000:303800.00,501018,False,1708815.49,6.611757240761284
2022-03-29,15:30:00,2240683.93,,,15:10:00,347379.43,513100.XSHG:354400:346603.20,513100,False,1893304.5000000002,6.450249313841065
2022-04-01,15:30:00,2199747.82,513100.SH:2255600:2194698.80,513100,15:10:00,345607.43,513100.XSHG:354400:344831.20,513100,True,1854140.39,6.364874215811853
2022-06-01,15:30:00,2101284.89,516520.SH:2337300:2098895.40,516520,15:10:00,342731.11,516520.XSHG:380800:341958.40,516520,True,1758553.7800000003,6.1310013263750704
2022-07-01,15:30:00,2266466.49,512690.SH:2442000:2261292.00,512690,15:10:00,378455.49,512690.XSHG:407800:377622.80,512690,True,1888011.0000000002,5.988726679589191
2022-08-01,15:30:00,2298122.31,513100.SH:2588200:2293145.20,513100,15:10:00,396068.4,513100.XSHG:446100:395244.60,513100,True,1902053.9100000001,5.802336944830741
2022-09-01,15:30:00,2251421.9,511880.SH:22000:2229084.00,511880,15:10:00,390803.54,511880.XSHG:3700:374891.40,511880,True,1860618.3599999999,5.761006924348741
2022-11-01,15:30:00,2284198.75,513030.SH:2347200:2279131.20,513030,15:10:00,398204.38,513030.XSHG:409200:397333.20,513030,True,1885994.37,5.736247175382651
2022-12-01,15:30:00,2351811.37,513030.SH:1960900:2113850.20|513520.SH:217300:237943.50,513030,15:10:00,408316.11,513090.XSHG:376500:407373.00,513090,False,1943495.2600000002,5.759780994190996
2023-02-01,15:30:00,2647790.82,159852.SZ:2804600:2644737.80,159852,15:10:00,449615.02,159852.XSHE:475800:448679.40,159852,True,2198175.8,5.88901772009307
2023-03-01,15:30:00,2764966.54,511880.SH:27300:2740019.10,511880,15:10:00,473970.38,511880.XSHG:4700:471724.90,511880,True,2290996.16,5.833627282785055
