date,time,value,weak,pool,target
2020-04-01,15:30:00,920941.69,True,9,511880
2020-06-01,15:30:00,1054526.03,True,9,161226
2020-07-01,15:30:00,1040536.83,False,44,159967
2020-07-17,15:30:00,1136745.61,True,9,161226
2020-09-01,15:30:00,1322212.85,False,44,159928
2020-12-01,15:30:00,1346077.72,True,9,513520
2020-12-14,15:30:00,1369326.08,True,9,501018
2021-02-01,15:30:00,1460128.46,True,9,511880
2021-03-01,15:30:00,1528403.02,True,9,159980
2021-04-01,15:30:00,1599733.18,False,58,513030
2021-04-20,15:30:00,1592800.18,False,60,512480
2021-05-26,15:30:00,1520517.61,False,60,512690
2021-05-27,15:30:00,1530865.61,False,61,512690
2021-05-28,15:30:00,1533970.01,False,62,512690
2021-05-31,15:30:00,1538109.21,False,62,512690
2021-06-01,15:30:00,1546493.9,False,62,515030
2021-06-03,15:30:00,1547858.0,False,62,512690
2021-07-01,15:30:00,1500809.55,False,64,515030
2021-07-02,15:30:00,1495797.55,False,64,515030
2021-07-21,15:30:00,1439305.79,True,9,511880
2021-08-31,15:30:00,1803241.2,False,67,512400
2021-09-01,15:30:00,1713341.22,False,67,510880
2021-09-10,15:30:00,1816595.97,False,67,512890
2021-11-01,15:30:00,2007935.37,True,9,513500
2021-11-30,15:30:00,1891291.82,False,70,516520
2021-12-01,15:30:00,1873078.13,False,70,562800
2021-12-09,15:30:00,1794659.21,True,9,159985
2021-12-10,15:30:00,1812021.03,False,70,512690
2022-03-01,15:30:00,2013321.8,False,72,512400
2022-03-29,15:30:00,2240683.93,True,9,513500
2022-04-01,15:30:00,2199747.82,True,9,513100
2022-06-01,15:30:00,2101284.89,False,73,516520
2022-07-01,15:30:00,2266466.49,False,72,512690
2022-08-01,15:30:00,2298122.31,True,9,513100
2022-09-01,15:30:00,2251421.9,True,10,511880
2022-11-01,15:30:00,2284198.75,True,10,513030
2022-12-01,15:30:00,2351811.37,True,9,513030
2023-02-01,15:30:00,2647790.82,False,79,159852
2023-03-01,15:30:00,2764966.54,True,11,511880
2023-06-01,15:30:00,3546787.44,True,11,513100
2023-08-01,15:30:00,4236196.8,False,83,501018
2023-09-01,15:30:00,4145766.96,False,83,159985
2023-11-01,15:30:00,3776451.43,False,89,561980
2023-12-01,15:30:00,3634651.6,True,13,513030
2024-02-01,15:30:00,4410881.32,True,14,501018
2024-03-01,15:30:00,4989411.77,False,99,159509
2024-04-01,15:30:00,5401072.16,True,16,159518
2024-07-01,15:30:00,6336465.41,True,16,159509
2024-08-01,15:30:00,6329779.17,False,100,159502
2024-11-01,15:30:00,7974508.09,False,102,512710
2024-11-25,15:30:00,9293303.73,True,17,159529
2025-04-01,15:30:00,10548672.82,True,17,518880
2025-07-01,15:30:00,11659394.34,False,107,513090
2025-07-22,15:30:00,13311661.17,False,109,515210
2025-08-01,15:30:00,13745527.51,True,17,159509
2025-09-01,15:30:00,16832453.26,False,111,513310
2025-09-04,15:30:00,16482934.45,False,111,515790
2025-09-09,15:30:00,17353570.81,False,111,562800
2025-11-14,15:30:00,20511853.96,False,112,159766
2025-12-01,15:30:00,21784285.63,False,112,161226
