date,time,value,positions,symbol
2020-04-01,15:30:00,920941.69,511880.SH:9000:906462.00,511880
2020-06-01,15:30:00,1054526.03,161226.SZ:1211000:1052359.00,161226
2020-07-01,15:30:00,1040536.83,,
2020-07-17,15:30:00,1136745.61,161226.SZ:1309700:1134200.20,161226
2020-09-01,15:30:00,1322212.85,159928.SZ:270800:1318796.00,159928
2020-12-01,15:30:00,1346077.72,513520.SH:1071900:1342018.80,513520
2020-12-14,15:30:00,1369326.08,501018.SH:2426800:1368715.20,501018
2021-02-01,15:30:00,1460128.46,511880.SH:14400:1444521.60,511880
2021-03-01,15:30:00,1528403.02,159980.SZ:1170300:1526071.20,159980
2021-04-01,15:30:00,1599733.18,513030.SH:1237100:1494416.80,513030
2021-04-20,15:30:00,1592800.18,512480.SH:1669300:1589173.60,512480
2021-05-26,15:30:00,1520517.61,512690.SH:1034800:1517016.80,512690
2021-05-27,15:30:00,1530865.61,512690.SH:1034800:1527364.80,512690
2021-05-28,15:30:00,1533970.01,512690.SH:1034800:1530469.20,512690
2021-05-31,15:30:00,1538109.21,512690.SH:1034800:1534608.40,512690
2021-06-01,15:30:00,1546493.9,515030.SH:823300:1543687.50,515030
2021-06-03,15:30:00,1547858.0,512690.SH:1037100:1544241.90,512690
2021-07-01,15:30:00,1500809.55,515030.SH:716000:1497156.00,515030
2021-07-02,15:30:00,1495797.55,515030.SH:716000:1492144.00,515030
2021-07-21,15:30:00,1439305.79,511880.SH:14000:1418340.00,511880
2021-08-31,15:30:00,1803241.2,512400.SH:1076700:1799165.70,512400
2021-09-01,15:30:00,1713341.22,510880.SH:548700:1709200.50,510880
2021-09-10,15:30:00,1816595.97,512890.SH:582200:1006623.80,512890
2021-11-01,15:30:00,2007935.37,513500.SH:575500:1606796.00,513500
2021-11-30,15:30:00,1891291.82,516520.SH:1530400:1886983.20,516520
2021-12-01,15:30:00,1873078.13,562800.SH:1885900:1870812.80,562800
2021-12-09,15:30:00,1794659.21,159985.SZ:1509700:1790504.20,159985
2021-12-10,15:30:00,1812021.03,512690.SH:1297000:1806721.00,512690
2022-03-01,15:30:00,2013321.8,512400.SH:1437900:2008746.30,512400
2022-03-29,15:30:00,2240683.93,,
2022-04-01,15:30:00,2199747.82,513100.SH:2255600:2194698.80,513100
2022-06-01,15:30:00,2101284.89,516520.SH:2337300:2098895.40,516520
2022-07-01,15:30:00,2266466.49,512690.SH:2442000:2261292.00,512690
2022-08-01,15:30:00,2298122.31,513100.SH:2588200:2293145.20,513100
2022-09-01,15:30:00,2251421.9,511880.SH:22000:2229084.00,511880
2022-11-01,15:30:00,2284198.75,513030.SH:2347200:2279131.20,513030
2022-12-01,15:30:00,2351811.37,513030.SH:1960900:2113850.20|513520.SH:217300:237943.50,513030
2023-02-01,15:30:00,2647790.82,159852.SZ:2804600:2644737.80,159852
2023-03-01,15:30:00,2764966.54,511880.SH:27300:2740019.10,511880
2023-06-01,15:30:00,3546787.44,513100.SH:3439400:3542582.00,513100
2023-08-01,15:30:00,4236196.8,501018.SH:1338900:1669608.30,501018
2023-09-01,15:30:00,4145766.96,159985.SZ:1763200:4138230.40,159985
2023-11-01,15:30:00,3776451.43,561980.SH:3379100:3561571.40,561980
2023-12-01,15:30:00,3634651.6,513030.SH:1597100:1980404.00,513030
2024-02-01,15:30:00,4410881.32,501018.SH:3007600:3678294.80,501018
2024-03-01,15:30:00,4989411.77,159509.SZ:3634900:4983447.90,159509
2024-04-01,15:30:00,5401072.16,159518.SZ:4903900:5384482.20,159518
2024-07-01,15:30:00,6336465.41,159509.SZ:3680100:6318731.70,159509
2024-08-01,15:30:00,6329779.17,159502.SZ:5773200:6315880.80,159502
2024-11-01,15:30:00,7974508.09,512710.SH:12413200:7956861.20,512710
2024-11-25,15:30:00,9293303.73,159529.SZ:1966800:2558806.80,159529
2025-04-01,15:30:00,10548672.82,518880.SH:1491900:10526846.40,518880
2025-07-01,15:30:00,11659394.34,513090.SH:6343200:11633428.80,513090
2025-07-22,15:30:00,13311661.17,515210.SH:9380200:13282363.20,515210
2025-08-01,15:30:00,13745527.51,159509.SZ:4792800:8497634.40|560860.SH:5295500:5247840.50,159509
2025-09-01,15:30:00,16832453.26,513310.SH:8644000:16803936.00,513310
2025-09-04,15:30:00,16482934.45,515790.SH:19440700:16446832.20,515790
2025-09-09,15:30:00,17353570.81,562800.SH:22994900:17338154.60,562800
2025-11-14,15:30:00,20511853.96,159766.SZ:25776000:20491920.00,159766
2025-12-01,15:30:00,21784285.63,161226.SZ:13442700:21736845.90,161226
