date,time,value,positions,symbol
2020-01-02,15:10:00,998546.42,512400.XSHG:1353800:996396.80,512400
2020-01-03,15:10:00,1014792.02,512400.XSHG:1353800:1012642.40,512400
2020-01-06,15:10:00,1029984.7,512880.XSHG:983500:1027757.50,512880
2020-01-07,15:10:00,1035942.65,512980.XSHG:1108000:1033764.00,512980
2020-01-08,15:10:00,1018349.2,512880.XSHG:995200:1016099.20,512880
2020-01-09,15:10:00,1032450.41,512980.XSHG:1119800:1030216.00,512980
2020-01-10,15:10:00,1024895.4,512100.XSHG:1363600:1022700.00,512100
2020-01-13,15:10:00,1038531.4,512100.XSHG:1363600:1036336.00,512100
2020-01-14,15:10:00,1035804.2,512100.XSHG:1363600:1033608.80,512100
2020-01-15,15:10:00,1035749.19,512980.XSHG:1121000:1033562.00,512980
2020-01-16,15:10:00,1024568.07,512400.XSHG:1354100:1022345.50,512400
2020-01-17,15:10:00,1021859.87,512400.XSHG:1354100:1019637.30,512400
2020-01-20,15:10:00,1036516.08,512480.XSHG:590300:1034205.60,512480
2020-01-21,15:10:00,1027012.1,159915.XSHE:541600:1024707.20,159915
2020-01-22,15:10:00,1050610.0,515050.XSHG:901400:1048328.20,515050
2020-01-23,15:10:00,1024765.53,159949.XSHE:1438300:1022631.30,159949
2020-02-03,15:10:00,941156.3,518880.XSHG:266800:939136.00,518880
2020-02-04,15:10:00,933685.9,518880.XSHG:266800:931665.60,518880
2020-02-05,15:10:00,927549.5,518880.XSHG:266800:925529.20,518880
2020-02-06,15:10:00,919895.5,513100.XSHG:249300:917922.60,513100
2020-02-07,15:10:00,926626.6,513100.XSHG:249300:924653.70,513100
2020-02-10,15:10:00,932360.5,513100.XSHG:249300:930387.60,513100
2020-02-11,15:10:00,967013.2,513100.XSHG:249300:965040.30,513100
2020-02-12,15:10:00,991943.2,513100.XSHG:249300:989970.30,513100
2020-02-13,15:10:00,1021811.42,512170.XSHG:701200:1019544.80,512170
2020-02-14,15:10:00,1017604.22,512170.XSHG:701200:1015337.60,512170
2020-02-17,15:10:00,1051261.82,512170.XSHG:701200:1048995.20,512170
2020-02-18,15:10:00,1056170.22,512170.XSHG:701200:1053903.60,512170
2020-02-19,15:10:00,1033030.62,512170.XSHG:701200:1030764.00,512170
2020-02-20,15:10:00,1053309.68,159949.XSHE:1292800:1051046.40,159949
2020-02-21,15:10:00,1072701.68,159949.XSHE:1292800:1070438.40,159949
2020-02-24,15:10:00,1092208.9,159915.XSHE:500300:1089653.40,159915
2020-02-25,15:10:00,1067981.77,159915.XSHE:485500:1065672.50,159915
2020-02-26,15:10:00,1020721.91,159967.XSHE:696600:1018429.20,159967
2020-02-27,15:10:00,1027365.19,512670.XSHG:822700:1025084.20,512670
2020-02-28,15:10:00,1002213.59,518880.XSHG:276000:999948.00,518880
2020-03-02,15:10:00,978025.85,511880.XSHG:9700:975480.50,511880
2020-03-03,15:10:00,977733.75,159985.XSHE:1007900:975647.20,159985
2020-03-04,15:10:00,977733.75,159985.XSHE:1007900:975647.20,159985
2020-03-05,15:10:00,978741.65,159985.XSHE:1007900:976655.10,159985
2020-03-06,15:10:00,970928.76,515050.XSHG:785700:968768.10,515050
2020-03-09,15:10:00,934742.57,512170.XSHG:593300:932667.60,512170
2020-03-10,15:10:00,911943.62,511880.XSHG:9000:905274.00,511880
2020-03-11,15:10:00,913905.32,518880.XSHG:249900:911635.20,518880
2020-03-12,15:10:00,902649.99,511880.XSHG:8900:895526.90,511880
2020-03-13,15:10:00,902685.59,511880.XSHG:8900:895562.50,511880
2020-03-16,15:10:00,902568.27,159985.XSHE:939100:900596.90,159985
2020-03-17,15:10:00,903507.37,159985.XSHE:939100:901536.00,159985
2020-03-18,15:10:00,901629.17,159985.XSHE:939100:899657.80,159985
2020-03-19,15:10:00,892964.36,511880.XSHG:8800:885808.00,511880
2020-03-20,15:10:00,893787.58,159985.XSHE:912900:891903.30,159985
2020-03-23,15:10:00,941258.38,159985.XSHE:912900:939374.10,159985
2020-03-24,15:10:00,928477.78,159985.XSHE:912900:926593.50,159985
2020-03-25,15:10:00,943997.08,159985.XSHE:912900:942112.80,159985
2020-03-26,15:10:00,919348.78,159985.XSHE:912900:917464.50,159985
2020-03-27,15:10:00,930303.58,159985.XSHE:912900:928419.30,159985
2020-03-30,15:10:00,938519.68,159985.XSHE:912900:936635.40,159985
2020-03-31,15:10:00,935780.98,159985.XSHE:912900:933896.70,159985
2020-04-01,15:10:00,917313.76,511880.XSHG:9000:906462.00,511880
2020-04-02,15:10:00,917322.76,511880.XSHG:9000:906471.00,511880
2020-04-03,15:10:00,917275.57,159985.XSHE:937800:915292.80,159985
2020-04-07,15:10:00,918940.47,511880.XSHG:9100:916788.60,511880
2020-04-08,15:10:00,919013.27,511880.XSHG:9100:916861.40,511880
2020-04-09,15:10:00,919076.97,511880.XSHG:9100:916925.10,511880
2020-04-10,15:10:00,919258.97,511880.XSHG:9100:917107.10,511880
2020-04-13,15:10:00,919304.47,511880.XSHG:9100:917152.60,511880
2020-04-14,15:10:00,925299.26,512010.XSHG:441300:923199.60,512010
2020-04-15,15:10:00,920444.96,512010.XSHG:441300:918345.30,512010
2020-04-16,15:10:00,922210.16,512010.XSHG:441300:920110.50,512010
