date,ths_time,ths_value,ths_positions,ths_symbol,jq_time,jq_value,jq_positions,jq_symbol,symbol_match,value_diff,value_ratio
2020-04-01,15:30:00,907964.55,511880.SH:8800:886318.40,511880,15:10:00,917313.76,511880.XSHG:9000:906462.00,511880,True,-9349.209999999963,0.9898080565149269
2020-06-01,15:30:00,1078136.88,161226.SZ:1238100:1075908.90,161226,15:10:00,1090855.43,161226.XSHE:1252800:1088683.20,161226,True,-12718.550000000047,0.9883407556581535
2020-07-01,15:30:00,1063828.61,,,15:10:00,1078910.93,,,True,-15082.319999999832,0.9860207922817134
2020-07-17,15:30:00,1162175.37,161226.SZ:1338900:1159487.40,161226,15:10:00,1178175.69,159980.XSHE:1160600:1175687.80,159980,False,-16000.319999999832,0.9864194108435561
2020-09-01,15:30:00,1355444.67,159928.SZ:277600:1351912.00,159928,15:10:00,1505021.91,159928.XSHE:308300:1501421.00,159928,True,-149577.24,0.9006145764349703
2020-12-01,15:30:00,1411326.43,513520.SH:1108100:1387341.20,513520,15:10:00,1566897.14,513520.XSHG:1248900:1563622.80,513520,True,-155570.70999999996,0.9007141528128643
2020-12-14,15:30:00,1433915.84,501018.SH:2541300:1433293.20,501018,15:10:00,1545547.39,159980.XSHE:1313700:1542283.80,159980,False,-111631.54999999981,0.9277721597394695
2021-02-01,15:30:00,1636980.99,511880.SH:16100:1615055.40,511880,15:10:00,1847176.38,511880.XSHG:18300:1835746.20,511880,True,-210195.3899999999,0.8862071904579032
2021-03-01,15:30:00,1707976.49,159980.SZ:1307800:1705371.20,159980,15:10:00,1926484.4,159980.XSHE:1474200:1922356.80,159980,True,-218507.90999999992,0.886576859900864
2021-04-01,15:30:00,1793804.9,513030.SH:1237100:1494416.80,513030,15:10:00,2029817.41,513030.XSHG:1676800:2025574.40,513030,True,-236012.51,0.8837272215533909
2021-04-20,15:30:00,1783113.61,512480.SH:1868800:1779097.60,512480,15:10:00,1991611.09,512690.XSHG:780500:1987153.00,512690,False,-208497.47999999998,0.8953121515305481
2021-05-26,15:30:00,1702192.03,512690.SH:1158500:1698361.00,512690,15:10:00,1946445.09,512010.XSHG:590500:1942154.50,512010,False,-244253.06000000006,0.8745132543143048
2021-05-27,15:30:00,1713777.03,512690.SH:1158500:1709946.00,512690,15:10:00,1961916.99,512170.XSHG:2151400:1957774.00,512170,False,-248139.95999999996,0.8735216824846397
2021-05-28,15:30:00,1717252.53,512690.SH:1158500:1713421.50,512690,15:10:00,1916690.63,159949.XSHE:1363200:1912569.60,159949,False,-199438.09999999986,0.8959466400688776
2021-05-31,15:30:00,1721886.53,512690.SH:1158500:1718055.50,512690,15:10:00,1973452.24,515030.XSHG:1040800:1969193.60,515030,False,-251565.70999999996,0.872525057915767
