date,time,value,positions,symbol
2020-04-01,15:30:00,907964.55,511880.SH:8800:886318.40,511880
2020-06-01,15:30:00,1078136.88,161226.SZ:1238100:1075908.90,161226
2020-07-01,15:30:00,1063828.61,,
2020-07-17,15:30:00,1162175.37,161226.SZ:1338900:1159487.40,161226
2020-09-01,15:30:00,1355444.67,159928.SZ:277600:1351912.00,159928
2020-12-01,15:30:00,1411326.43,513520.SH:1108100:1387341.20,513520
2020-12-14,15:30:00,1433915.84,501018.SH:2541300:1433293.20,501018
2021-02-01,15:30:00,1636980.99,511880.SH:16100:1615055.40,511880
2021-03-01,15:30:00,1707976.49,159980.SZ:1307800:1705371.20,159980
2021-04-01,15:30:00,1793804.9,513030.SH:1237100:1494416.80,513030
2021-04-20,15:30:00,1783113.61,512480.SH:1868800:1779097.60,512480
2021-05-26,15:30:00,1702192.03,512690.SH:1158500:1698361.00,512690
2021-05-27,15:30:00,1713777.03,512690.SH:1158500:1709946.00,512690
2021-05-28,15:30:00,1717252.53,512690.SH:1158500:1713421.50,512690
2021-05-31,15:30:00,1721886.53,512690.SH:1158500:1718055.50,512690
2021-06-01,15:30:00,1731273.33,515030.SH:921700:1728187.50,515030
2021-06-03,15:30:00,1732800.32,512690.SH:1161100:1728877.90,512690
2021-07-01,15:30:00,1782024.35,515030.SH:850200:1777768.20,515030
2021-07-02,15:30:00,1776072.95,515030.SH:850200:1771816.80,515030
2021-07-21,15:30:00,1713641.52,511880.SH:16700:1691877.00,511880
2021-08-31,15:30:00,2079689.99,512400.SH:1241800:2075047.80,512400
2021-09-01,15:30:00,1979549.31,513100.SH:379800:1974960.00,513100
2021-09-10,15:30:00,2058133.77,512890.SH:582200:1006623.80,512890
2021-11-01,15:30:00,2271792.63,515790.SH:1215300:2265319.20,515790
2021-11-30,15:30:00,2093779.44,516520.SH:1694300:2089071.90,516520
2021-12-01,15:30:00,2073614.81,562800.SH:2087700:2070998.40,562800
2021-12-09,15:30:00,2000445.9,562800.SH:2066100:1995852.60,562800
2021-12-10,15:30:00,2036418.13,512690.SH:1457500:2030297.50,512690
2022-03-01,15:30:00,2464280.46,501018.SH:2266200:2458827.00,501018
2022-03-29,15:30:00,2804435.99,,
2022-04-01,15:30:00,2753200.52,513100.SH:2823100:2746876.30,513100
2022-06-01,15:30:00,2609793.07,516520.SH:2902900:2606804.20,516520
2022-07-01,15:30:00,2819758.04,512690.SH:3038200:2813373.20,512690
2022-08-01,15:30:00,2953691.6,513100.SH:3326500:2947279.00,513100
2022-09-01,15:30:00,2893681.52,511880.SH:28400:2877544.80,511880
2022-11-01,15:30:00,2899742.88,513030.SH:2764900:2684717.90,513030
2022-12-01,15:30:00,2925987.3,513090.SH:2484300:2688012.60|513520.SH:217300:237943.50,513090
2023-02-01,15:30:00,3200549.06,159852.SZ:3390100:3196864.30,159852
2023-03-01,15:30:00,3359136.04,511880.SH:33300:3342221.10,511880
2023-06-01,15:30:00,4149065.59,513100.SH:4023500:4144205.00,513100
2023-08-01,15:30:00,5077415.26,501018.SH:1338900:1669608.30,501018
2023-09-01,15:30:00,4978839.31,159985.SZ:2117500:4969772.50,159985
2023-11-01,15:30:00,4552295.86,561980.SH:3379100:3561571.40,561980
2023-12-01,15:30:00,4434576.33,513030.SH:1597100:1980404.00,513030
2024-02-01,15:30:00,5483661.6,501018.SH:3007600:3678294.80,501018
2024-03-01,15:30:00,6224949.48,159509.SZ:4535000:6217485.00,159509
2024-04-01,15:30:00,6974680.77,159518.SZ:6144900:6747100.20,159518
2024-07-01,15:30:00,8185170.22,159509.SZ:4753800:8162274.60,159509
2024-08-01,15:30:00,8176525.1,159502.SZ:7457500:8158505.00,159502
2024-11-01,15:30:00,10267958.71,518880.SH:1693300:10246158.30,518880
2024-11-25,15:30:00,11527268.6,159529.SZ:1966800:2558806.80,159529
2025-04-01,15:30:00,12878817.1,518880.SH:1821500:12852504.00,518880
