date,time,value,positions,symbol
2020-01-02,15:10:00,998546.42,512400.XSHG:1353800:996396.80,512400
2020-01-03,15:10:00,1014792.02,512400.XSHG:1353800:1012642.40,512400
2020-01-06,15:10:00,1029984.7,512880.XSHG:983500:1027757.50,512880
2020-01-07,15:10:00,1035942.65,512980.XSHG:1108000:1033764.00,512980
2020-01-08,15:10:00,1018349.2,512880.XSHG:995200:1016099.20,512880
2020-01-09,15:10:00,1032450.41,512980.XSHG:1119800:1030216.00,512980
2020-01-10,15:10:00,1024895.4,512100.XSHG:1363600:1022700.00,512100
2020-01-13,15:10:00,1038531.4,512100.XSHG:1363600:1036336.00,512100
2020-01-14,15:10:00,1035804.2,512100.XSHG:1363600:1033608.80,512100
2020-01-15,15:10:00,1035749.19,512980.XSHG:1121000:1033562.00,512980
2020-01-16,15:10:00,1024568.07,512400.XSHG:1354100:1022345.50,512400
2020-01-17,15:10:00,1021859.87,512400.XSHG:1354100:1019637.30,512400
2020-01-20,15:10:00,1036516.08,512480.XSHG:590300:1034205.60,512480
2020-01-21,15:10:00,1027012.1,159915.XSHE:541600:1024707.20,159915
2020-01-22,15:10:00,1050610.0,515050.XSHG:901400:1048328.20,515050
2020-01-23,15:10:00,1024765.53,159949.XSHE:1438300:1022631.30,159949
2020-02-03,15:10:00,955536.45,518880.XSHG:270800:953216.00,518880
2020-02-04,15:10:00,947954.05,518880.XSHG:270800:945633.60,518880
2020-02-05,15:10:00,941725.65,518880.XSHG:270800:939405.20,518880
2020-02-06,15:10:00,933956.88,513100.XSHG:253100:931914.20,513100
2020-02-07,15:10:00,940790.58,513100.XSHG:253100:938747.90,513100
2020-02-10,15:10:00,946611.88,513100.XSHG:253100:944569.20,513100
2020-02-11,15:10:00,981792.78,513100.XSHG:253100:979750.10,513100
2020-02-12,15:10:00,1007102.78,513100.XSHG:253100:1005060.10,513100
2020-02-13,15:10:00,1037426.29,512170.XSHG:711900:1035102.60,512170
2020-02-14,15:10:00,1033154.89,512170.XSHG:711900:1030831.20,512170
2020-02-17,15:10:00,1067326.09,512170.XSHG:711900:1065002.40,512170
2020-02-18,15:10:00,1072309.39,512170.XSHG:711900:1069985.70,512170
2020-02-19,15:10:00,1048816.69,512170.XSHG:711900:1046493.00,512170
2020-02-20,15:10:00,1069405.56,159949.XSHE:1312600:1067143.80,159949
2020-02-21,15:10:00,1089094.56,159949.XSHE:1312600:1086832.80,159949
2020-02-24,15:10:00,1108900.95,159915.XSHE:508000:1106424.00,159915
2020-02-25,15:10:00,1117536.95,159915.XSHE:508000:1115060.00,159915
2020-02-26,15:10:00,1068086.34,159967.XSHE:728900:1065651.80,159967
2020-02-27,15:10:00,1075036.43,512670.XSHG:860900:1072681.40,512670
2020-02-28,15:10:00,1016873.16,518880.XSHG:280000:1014440.00,518880
2020-03-02,15:10:00,992335.2,511880.XSHG:9800:985537.00,511880
2020-03-03,15:10:00,992039.67,159985.XSHE:1022600:989876.80,159985
2020-03-04,15:10:00,992039.67,159985.XSHE:1022600:989876.80,159985
2020-03-05,15:10:00,993062.27,159985.XSHE:1022600:990899.40,159985
2020-03-06,15:10:00,985135.33,515050.XSHG:797200:982947.60,515050
2020-03-09,15:10:00,946838.21,512170.XSHG:601000:944772.00,512170
2020-03-10,15:10:00,945373.9,511880.XSHG:9300:935449.80,511880
2020-03-11,15:10:00,947407.63,518880.XSHG:259100:945196.80,518880
2020-03-12,15:10:00,935738.47,511880.XSHG:9200:925713.20,511880
2020-03-13,15:10:00,935775.27,511880.XSHG:9200:925750.00,511880
2020-03-16,15:10:00,935653.73,159985.XSHE:973500:933586.50,159985
2020-03-17,15:10:00,936627.23,159985.XSHE:973500:934560.00,159985
2020-03-18,15:10:00,934680.23,159985.XSHE:973500:932613.00,159985
2020-03-19,15:10:00,925698.34,511880.XSHG:9100:916006.00,511880
2020-03-20,15:10:00,926551.67,159985.XSHE:946300:924535.10,159985
2020-03-23,15:10:00,975759.27,159985.XSHE:946300:973742.70,159985
2020-03-24,15:10:00,962511.07,159985.XSHE:946300:960494.50,159985
2020-03-25,15:10:00,978598.17,159985.XSHE:946300:976581.60,159985
2020-03-26,15:10:00,953048.07,159985.XSHE:946300:951031.50,159985
2020-03-27,15:10:00,964403.67,159985.XSHE:946300:962387.10,159985
2020-03-30,15:10:00,972920.37,159985.XSHE:946300:970903.80,159985
2020-03-31,15:10:00,970081.47,159985.XSHE:946300:968064.90,159985
2020-04-01,15:10:00,950937.68,511880.XSHG:9400:946749.20,511880
2020-04-02,15:10:00,950947.08,511880.XSHG:9400:946758.60,511880
2020-04-03,15:10:00,950898.5,159985.XSHE:972200:948867.20,159985
2020-04-07,15:10:00,952624.92,511880.XSHG:9400:947012.40,511880
2020-04-08,15:10:00,952700.12,511880.XSHG:9400:947087.60,511880
2020-04-09,15:10:00,952765.92,511880.XSHG:9400:947153.40,511880
2020-04-10,15:10:00,952953.92,511880.XSHG:9400:947341.40,511880
2020-04-13,15:10:00,953000.92,511880.XSHG:9400:947388.40,511880
2020-04-14,15:10:00,959216.11,512010.XSHG:457500:957090.00,512010
2020-04-15,15:10:00,954183.61,512010.XSHG:457500:952057.50,512010
2020-04-16,15:10:00,956013.61,512010.XSHG:457500:953887.50,512010
