date,ths_time,ths_target,ths_top10,jq_time,jq_target,jq_top10,signal_target_match,top1_match,top10_overlap
2020-01-02,13:10:00,512400,"['512400', '512880', '512980', '159949', '512480', '512200', '512100', '510900', '512070', '510500']",13:10:00,512400,"['512400', '512880', '512980', '159949', '512480', '512200', '512100', '510900', '512070', '510500']",True,True,10
2020-01-03,13:10:00,512400,"['512400', '512880', '512980', '159949', '512100', '512200', '510900', '512070', '512480', '510500']",13:10:00,512400,"['512400', '512880', '512980', '159949', '512100', '512200', '510900', '512070', '512480', '510500']",True,True,10
2020-01-06,13:10:00,512880,"['512880', '512980', '159949', '512100', '512200', '512070', '510900', '510500', '501018', '512480']",13:10:00,512880,"['512880', '512980', '159949', '512100', '512200', '512070', '510900', '510500', '501018', '512480']",True,True,10
2020-01-07,13:10:00,512980,"['512980', '512880', '512100', '159949', '510500', '512070', '512200', '159915', '510900', '161226']",13:10:00,512980,"['512980', '512880', '512100', '159949', '510500', '512070', '512200', '159915', '510900', '161226']",True,True,10
2020-01-08,13:10:00,512880,"['512880', '512100', '159949', '510500', '161226', '159915', '512070', '512200', '512710', '510300']",13:10:00,512880,"['512880', '512100', '159949', '510500', '161226', '159915', '512070', '512200', '512710', '510300']",True,True,10
2020-01-09,13:10:00,512980,"['512980', '512100', '159949', '510500', '159915', '161226', '512710', '512200', '510300', '512070']",13:10:00,512980,"['512980', '512100', '159949', '510500', '159915', '161226', '512710', '512200', '510300', '512070']",True,True,10
2020-01-10,13:10:00,512100,"['512100', '159949', '510500', '159915', '512710', '513100', '510300', '512670', '512660', '512070']",13:10:00,512100,"['512100', '159949', '510500', '159915', '512710', '513100', '510300', '512670', '512660', '512070']",True,True,10
2020-01-13,13:10:00,512100,"['512100', '512880', '159949', '159915', '510500', '512710', '513100', '512670', '512660', '510300']",13:10:00,512100,"['512100', '512880', '159949', '159915', '510500', '512710', '513100', '512670', '512660', '510300']",True,True,10
2020-01-14,13:10:00,512100,"['512100', '159949', '159915', '512880', '510500', '513100', '512710', '512670', '512660', '512480']",13:10:00,512100,"['512100', '159949', '159915', '512880', '510500', '513100', '512710', '512670', '512660', '512480']",True,True,10
2020-01-15,13:10:00,512980,"['512980', '512100', '159949', '159915', '510500', '513100', '512880', '512480', '512710', '159928']",13:10:00,512980,"['512980', '512100', '159949', '159915', '510500', '513100', '512880', '512480', '512710', '159928']",True,True,10
2020-01-16,13:10:00,512400,"['512400', '512980', '512480', '512100', '159949', '159915', '513100', '510500', '159928', '512670']",13:10:00,512400,"['512400', '512980', '512480', '512100', '159949', '159915', '513100', '510500', '159928', '512670']",True,True,10
2020-01-17,13:10:00,512400,"['512400', '512980', '512480', '159949', '159915', '512100', '513100', '510500', '159928', '159967']",13:10:00,512400,"['512400', '512980', '512480', '159949', '159915', '512100', '513100', '510500', '159928', '159967']",True,True,10
2020-01-20,13:10:00,512480,"['512480', '512400', '512980', '159915', '159949', '513100', '512100', '515050', '510500', '159967']",13:10:00,512480,"['512480', '512400', '512980', '159915', '159949', '513100', '512100', '515050', '510500', '159967']",True,True,10
2020-01-21,13:10:00,159915,"['159915', '512980', '159949', '512400', '515050', '159967', '513100', '512100', '515880', '510500']",13:10:00,159915,"['159915', '512980', '159949', '512400', '515050', '159967', '513100', '512100', '515880', '510500']",True,True,10
2020-01-22,13:10:00,515050,"['515050', '159915', '159949', '159967', '513100', '515880', '512980', '512170', '512100', '512400']",13:10:00,515050,"['515050', '159915', '159949', '159967', '513100', '515880', '512980', '512170', '512100', '512400']",True,True,10
2020-01-23,13:10:00,159949,"['159949', '159915', '513100', '512170', '512100', '512980', '512670', '512010', '510500', '512660']",13:10:00,159949,"['159949', '159915', '513100', '512170', '512100', '512980', '512670', '512010', '510500', '512660']",True,True,10
2020-02-03,13:10:00,518880,['518880'],13:10:00,518880,['518880'],True,True,1
2020-02-04,13:10:00,518880,['518880'],13:10:00,518880,['518880'],True,True,1
2020-02-05,13:10:00,518880,"['518880', '513500']",13:10:00,518880,"['518880', '513500']",True,True,2
2020-02-06,13:10:00,513100,"['513100', '513500']",13:10:00,513100,"['513100', '513500']",True,True,2
2020-02-07,13:10:00,513100,"['513100', '518880', '513500']",13:10:00,513100,"['513100', '518880', '513500']",True,True,3
2020-02-10,13:10:00,513100,"['513100', '513500', '518880']",13:10:00,513100,"['513100', '513500', '518880']",True,True,3
2020-02-11,13:10:00,513100,"['513100', '512170', '159949', '159915', '159967', '513500']",13:10:00,513100,"['513100', '512170', '159949', '159915', '159967', '513500']",True,True,6
2020-02-12,13:10:00,513100,"['513100', '512170', '159949', '159915', '159967', '513500']",13:10:00,513100,"['513100', '512170', '159949', '159915', '159967', '513500']",True,True,6
2020-02-13,13:10:00,512170,"['512170', '159949', '159915', '159967', '513500']",13:10:00,512170,"['512170', '159949', '159915', '159967', '513500']",True,True,5
2020-02-14,13:10:00,512170,"['512170', '159949', '159915', '159967', '513500']",13:10:00,512170,"['512170', '159949', '159915', '159967', '513500']",True,True,5
2020-02-17,13:10:00,512170,"['512170', '159949', '159915', '159967']",13:10:00,512170,"['512170', '159949', '159915', '159967']",True,True,4
2020-02-18,13:10:00,512170,"['512170', '159949', '159915', '159967']",13:10:00,512170,"['512170', '159949', '159915', '159967']",True,True,4
2020-02-19,13:10:00,512170,"['512170', '159949', '159915', '159967', '513500', '518880']",13:10:00,512170,"['512170', '159949', '159915', '159967', '513500', '518880']",True,True,6
2020-02-20,13:10:00,159949,"['159949', '512170', '159915', '159967', '515050', '513500', '518880']",13:10:00,159949,"['159949', '512170', '159915', '159967', '515050', '513500', '518880']",True,True,7
2020-02-21,13:10:00,159949,"['159949', '513100', '512170', '159915', '159967', '515050', '513500', '518880']",13:10:00,159949,"['159949', '513100', '512170', '159915', '159967', '515050', '513500', '518880']",True,True,8
