date,time,value,weak,pool,target
2020-04-01,15:30:00,945792.9,True,9,511880
2020-06-01,15:30:00,1124040.4,True,9,161226
2020-07-01,15:30:00,1102638.26,False,44,159967
2020-07-17,15:30:00,1220078.55,True,9,161226
2020-09-01,15:30:00,1370898.9,False,44,159928
2020-12-01,15:30:00,1421888.49,True,9,513520
2020-12-14,15:30:00,1446911.42,True,9,501018
2021-02-01,15:30:00,1679020.43,True,9,511880
2021-03-01,15:30:00,1745848.08,True,9,159980
2021-04-01,15:30:00,1832731.73,False,58,513030
2021-04-20,15:30:00,1821288.18,False,60,512480
2021-05-26,15:30:00,1755439.55,False,60,512690
2021-05-27,15:30:00,1767386.55,False,61,512690
2021-05-28,15:30:00,1770970.65,False,62,512690
2021-05-31,15:30:00,1775749.45,False,62,512690
2021-06-01,15:30:00,1785429.55,False,62,515030
2021-06-03,15:30:00,1787004.19,False,62,512690
2021-07-01,15:30:00,1810811.86,False,64,515030
2021-07-02,15:30:00,1804763.86,False,64,515030
2021-07-21,15:30:00,1741526.56,True,9,511880
2021-08-31,15:30:00,2118003.57,False,67,512400
2021-09-01,15:30:00,2004624.1,True,9,513100
2021-09-10,15:30:00,2084206.82,False,67,512890
2021-11-01,15:30:00,2313183.05,False,69,515790
2021-11-30,15:30:00,2147032.3,False,70,516520
2021-12-01,15:30:00,2126354.7,False,70,562800
2021-12-09,15:30:00,2035115.93,False,70,562800
2021-12-10,15:30:00,2071713.18,False,70,512690
2022-03-01,15:30:00,2496450.13,True,9,501018
2022-03-29,15:30:00,2843046.63,True,9,513500
2022-04-01,15:30:00,2791105.18,True,9,513100
2022-06-01,15:30:00,2678158.03,False,73,516520
2022-07-01,15:30:00,2979968.85,False,72,512690
2022-08-01,15:30:00,3121509.09,True,9,513100
2022-09-01,15:30:00,3058081.02,True,10,511880
2022-11-01,15:30:00,3060951.97,True,10,513030
2022-12-01,15:30:00,3078628.17,False,78,513090
2023-02-01,15:30:00,3361646.24,False,79,159852
2023-03-01,15:30:00,3519948.07,True,11,511880
2023-06-01,15:30:00,4306192.9,True,11,513100
2023-08-01,15:30:00,5136729.88,False,83,501018
2023-09-01,15:30:00,5132228.22,False,83,159985
2023-11-01,15:30:00,4675558.46,False,89,561980
2023-12-01,15:30:00,4554947.74,True,13,513030
2024-02-01,15:30:00,5657556.32,True,14,501018
2024-03-01,15:30:00,6425226.06,False,99,159509
2024-04-01,15:30:00,7247146.32,True,16,159518
2024-07-01,15:30:00,8482364.14,True,16,159509
2024-08-01,15:30:00,8734342.9,False,100,159502
2024-11-01,15:30:00,10666176.33,True,17,518880
2024-11-25,15:30:00,11973509.24,True,17,159529
