date,time,value,positions,symbol
2020-04-01,15:30:00,945792.9,511880.SH:9200:926605.60,511880
2020-06-01,15:30:00,1124040.4,161226.SZ:1290800:1121705.20,161226
2020-07-01,15:30:00,1102638.26,,
2020-07-17,15:30:00,1220078.55,161226.SZ:1405600:1217249.60,161226
2020-09-01,15:30:00,1370898.9,159928.SZ:280800:1367496.00,159928
2020-12-01,15:30:00,1421888.49,513520.SH:1108100:1387341.20,513520
2020-12-14,15:30:00,1446911.42,501018.SH:2564300:1446265.20,501018
2021-02-01,15:30:00,1679020.43,511880.SH:16600:1665212.40,511880
2021-03-01,15:30:00,1745848.08,159980.SZ:1336700:1743056.80,159980
2021-04-01,15:30:00,1832731.73,513030.SH:1237100:1494416.80,513030
2021-04-20,15:30:00,1821288.18,512480.SH:1908800:1817177.60,512480
2021-05-26,15:30:00,1755439.55,512690.SH:1194700:1751430.20,512690
2021-05-27,15:30:00,1767386.55,512690.SH:1194700:1763377.20,512690
2021-05-28,15:30:00,1770970.65,512690.SH:1194700:1766961.30,512690
2021-05-31,15:30:00,1775749.45,512690.SH:1194700:1771740.10,512690
2021-06-01,15:30:00,1785429.55,515030.SH:950500:1782187.50,515030
2021-06-03,15:30:00,1787004.19,512690.SH:1197400:1782928.60,512690
2021-07-01,15:30:00,1810811.86,515030.SH:864000:1806624.00,515030
2021-07-02,15:30:00,1804763.86,515030.SH:864000:1800576.00,515030
2021-07-21,15:30:00,1741526.56,511880.SH:17000:1722270.00,511880
2021-08-31,15:30:00,2118003.57,512400.SH:1264700:2113313.70,512400
2021-09-01,15:30:00,2004624.1,513100.SH:384600:1999920.00,513100
2021-09-10,15:30:00,2084206.82,512890.SH:582200:1006623.80,512890
2021-11-01,15:30:00,2313183.05,515790.SH:1237500:2306700.00,515790
2021-11-30,15:30:00,2147032.3,516520.SH:1737400:2142214.20,516520
2021-12-01,15:30:00,2126354.7,562800.SH:2140800:2123673.60,562800
2021-12-09,15:30:00,2035115.93,562800.SH:2102000:2030532.00,562800
2021-12-10,15:30:00,2071713.18,512690.SH:1482800:2065540.40,512690
2022-03-01,15:30:00,2496450.13,501018.SH:2295800:2490943.00,501018
2022-03-29,15:30:00,2843046.63,,
2022-04-01,15:30:00,2791105.18,513100.SH:2862000:2784726.00,513100
2022-06-01,15:30:00,2678158.03,516520.SH:2978900:2675052.20,516520
2022-07-01,15:30:00,2979968.85,512690.SH:3210900:2973293.40,512690
2022-08-01,15:30:00,3121509.09,513100.SH:3515500:3114733.00,513100
2022-09-01,15:30:00,3058081.02,511880.SH:30000:3039660.00,511880
2022-11-01,15:30:00,3060951.97,513030.SH:2764900:2684717.90,513030
2022-12-01,15:30:00,3078628.17,513090.SH:2625400:2840682.80|513520.SH:217300:237943.50,513090
2023-02-01,15:30:00,3361646.24,159852.SZ:3560800:3357834.40,159852
2023-03-01,15:30:00,3519948.07,511880.SH:34800:3492771.60,511880
2023-06-01,15:30:00,4306192.9,513100.SH:4175900:4301177.00,513100
2023-08-01,15:30:00,5136729.88,501018.SH:1338900:1669608.30,501018
2023-09-01,15:30:00,5132228.22,159985.SZ:2182700:5122796.90,159985
2023-11-01,15:30:00,4675558.46,561980.SH:3379100:3561571.40,561980
2023-12-01,15:30:00,4554947.74,513030.SH:1597100:1980404.00,513030
2024-02-01,15:30:00,5657556.32,501018.SH:3007600:3678294.80,501018
2024-03-01,15:30:00,6425226.06,159509.SZ:4680900:6417513.90,159509
2024-04-01,15:30:00,7247146.32,159518.SZ:6144900:6747100.20,159518
2024-07-01,15:30:00,8482364.14,159509.SZ:4926400:8458628.80,159509
2024-08-01,15:30:00,8734342.9,159502.SZ:7966400:8715241.60,159502
2024-11-01,15:30:00,10666176.33,518880.SH:1759000:10643709.00,518880
2024-11-25,15:30:00,11973509.24,159529.SZ:1966800:2558806.80,159529
