date,value_ths,weak_ths,pool_ths,target_ths,pending_ths,position_ths,positions_raw_ths,value_jq,weak_jq,pool_jq,target_jq,pending_jq,position_jq,positions_raw_jq,_merge,weak_match,target_match,position_match,value_diff,value_diff_pct
2020-01-02,997688.97,False,34.0,512400,,512400,512400.SH:1351500:994704.00,998009.23,False,0,512400,,512400,512400.XSHG:1351600:994777.60,both,True,True,True,-320.2600000000093,-0.00032089883577530575
2020-01-03,1013906.97,False,34.0,512400,,512400,512400.SH:1351500:1010922.00,1014228.43,False,0,512400,,512400,512400.XSHG:1351600:1010996.80,both,True,True,True,-321.46000000007916,-0.00031695029491539607
2020-01-06,1029944.48,False,34.0,512880,,512880,512880.SH:982300:1026503.50,1029380.34,False,0,512880,,512880,512880.XSHG:982900:1027130.50,both,True,True,True,564.140000000014,0.000548038444177022
2020-01-07,1035335.47,False,34.0,512980,,512980,512980.SH:1105100:1031058.30,1034426.27,False,0,512980,,512980,512980.XSHG:1104600:1030591.80,both,True,True,True,909.1999999999534,0.0008789413285104925
2020-01-08,1017769.7,False,34.0,512880,,512880,512880.SH:994200:1015078.20,1017675.39,False,0,512880,,512880,512880.XSHG:994500:1015384.50,both,True,True,True,94.30999999993946,9.267198649653841e-05
2020-01-09,1031978.76,False,34.0,512980,,512980,512980.SH:1118700:1029204.00,1031990.59,False,0,512980,,512980,512980.XSHG:1118800:1029296.00,both,True,True,True,-11.82999999995809,-1.1463282819233934e-05
2020-01-10,1025451.27,False,34.0,512100,,512100,512100.SH:1364100:1023075.00,1024443.52,False,0,512100,,512100,512100.XSHG:1363000:1022250.00,both,True,True,True,1007.75,0.0009837047922368624
2020-01-13,1039092.27,False,34.0,512100,,512100,512100.SH:1364100:1036716.00,1038073.52,False,0,512100,,512100,512100.XSHG:1363000:1035880.00,both,True,True,True,1018.75,0.0009813852105581115
2020-01-14,1036364.07,False,34.0,512100,,512100,512100.SH:1364100:1033987.80,1035347.52,False,0,512100,,512100,512100.XSHG:1363000:1033154.00,both,True,True,True,1016.5499999999302,0.000981844241052444
2020-01-15,1034627.58,False,34.0,512980,,512980,512980.SH:1118700:1031441.40,1033938.91,False,0,512980,,512980,512980.XSHG:1117800:1030611.60,both,True,True,True,688.6699999999255,0.0006660644969826365
2020-01-16,1023912.15,False,34.0,512400,,512400,512400.SH:1354000:1022270.00,1023606.12,False,0,512400,,512400,512400.XSHG:1353300:1021741.50,both,True,True,True,306.03000000002794,0.0002989724211496781
2020-01-17,1021204.15,False,34.0,512400,,512400,512400.SH:1354000:1019562.00,1020899.52,False,0,512400,,512400,512400.XSHG:1353300:1019034.90,both,True,True,True,304.63000000000466,0.0002983937145939736
2020-01-20,1034367.2,False,34.0,512480,,512480,512480.SH:587600:1029475.20,1035290.92,False,0,512480,,512480,512480.XSHG:588300:1030701.60,both,True,True,True,-923.7200000000885,-0.0008922323012357612
2020-01-21,1024585.34,False,34.0,159915,,159915,159915.SZ:540200:1022058.40,1025491.6,False,0,159915,,159915,159915.XSHE:540800:1023193.60,both,True,True,True,-906.2600000000093,-0.0008837322509516502
2020-01-22,1045609.63,False,35.0,515050,,515050,515050.SH:894700:1040536.10,1046094.28,False,0,515050,,515050,515050.XSHG:895200:1041117.60,both,True,True,True,-484.6500000000233,-0.00046329476153910646
2020-01-23,1015519.7,False,35.0,159949,,159949,159949.SZ:1418900:1008837.90,1016091.98,False,0,159949,,159949,159949.XSHE:1419700:1009406.70,both,True,True,True,-572.2800000000279,-0.0005632167276824958
2020-02-03,945604.19,True,9.0,518880,,518880,518880.SH:267800:942656.00,947650.47,True,0,518880,,518880,518880.XSHG:268400:944768.00,both,True,True,True,-2046.280000000028,-0.002159319353263264
2020-02-04,938105.79,True,9.0,518880,,518880,518880.SH:267800:935157.60,940135.27,True,0,518880,,518880,518880.XSHG:268400:937252.80,both,True,True,True,-2029.4799999999814,-0.002158710628950216
2020-02-05,931946.39,True,9.0,518880,,518880,518880.SH:267800:928998.20,933962.07,True,0,518880,,518880,518880.XSHG:268400:931079.60,both,True,True,True,-2015.6799999999348,-0.0021582032769274398
2020-02-06,924121.81,True,9.0,513100,,513100,513100.SH:250300:921604.60,926211.79,True,0,513100,,513100,513100.XSHG:251000:924182.00,both,True,True,True,-2089.9799999999814,-0.002256481749168817
2020-02-07,930879.91,True,9.0,513100,,513100,513100.SH:250300:928362.70,932988.79,True,0,513100,,513100,513100.XSHG:251000:930959.00,both,True,True,True,-2108.8800000000047,-0.002260348701510127
2020-02-10,936636.81,True,9.0,513100,,513100,513100.SH:250300:934119.60,938761.79,True,0,513100,,513100,513100.XSHG:251000:936732.00,both,True,True,True,-2124.9799999999814,-0.0022635987346694003
2020-02-11,971428.51,False,34.0,513100,,513100,513100.SH:250300:968911.30,973650.79,False,0,513100,,513100,513100.XSHG:251000:971621.00,both,True,True,True,-2222.280000000028,-0.002282419962910961
2020-02-12,996458.51,False,35.0,513100,,513100,513100.SH:250300:993941.30,998750.79,False,0,513100,,513100,513100.XSHG:251000:996721.00,both,True,True,True,-2292.280000000028,-0.002295147120734721
2020-02-13,1026596.76,False,37.0,512170,,512170,512170.SH:704800:1024779.20,1028682.96,False,0,512170,,512170,512170.XSHG:706300:1026960.20,both,True,True,True,-2086.1999999999534,-0.002028030093936769
2020-02-14,1022367.96,False,37.0,512170,,512170,512170.SH:704800:1020550.40,1024445.16,False,0,512170,,512170,512170.XSHG:706300:1022722.40,both,True,True,True,-2077.20000000007,-0.0020276341585723045
2020-02-17,1056198.36,False,37.0,512170,,512170,512170.SH:704800:1054380.80,1058347.56,False,0,512170,,512170,512170.XSHG:706300:1056624.80,both,True,True,True,-2149.1999999999534,-0.002030712859582681
2020-02-18,1061131.96,False,36.0,512170,,512170,512170.SH:704800:1059314.40,1063291.66,False,0,512170,,512170,512170.XSHG:706300:1061568.90,both,True,True,True,-2159.6999999999534,-0.0020311454337937286
2020-02-19,1037873.56,False,36.0,512170,,512170,512170.SH:704800:1036056.00,1039983.76,False,0,512170,,512170,512170.XSHG:706300:1038261.00,both,True,True,True,-2110.1999999999534,-0.002029070146249162
2020-02-20,1058407.01,False,36.0,159949,,159949,159949.SZ:1298400:1055599.20,1060407.39,False,0,159949,,159949,159949.XSHE:1301200:1057875.60,both,True,True,True,-2000.3799999998882,-0.0018864259329613767
2020-02-21,1077883.01,False,36.0,159949,,159949,159949.SZ:1298400:1075075.20,1079925.39,False,0,159949,,159949,159949.XSHE:1301200:1077393.60,both,True,True,True,-2042.3799999998882,-0.0018912232445983037
2020-02-24,1096251.63,False,36.0,159915,,159915,159915.SZ:501200:1091613.60,1098343.27,False,0,159915,,159915,159915.XSHE:502200:1093791.60,both,True,True,True,-2091.6400000001304,-0.001904359098954674
2020-02-25,1104772.03,False,36.0,159915,,159915,159915.SZ:501200:1100134.00,1106880.67,False,0,159915,,159915,159915.XSHE:502200:1102329.00,both,True,True,True,-2108.6399999998976,-0.0019050292024703059
2020-02-26,1056555.91,False,36.0,159967,,159967,159967.SZ:720400:1053224.80,1057948.93,False,0,159967,,159967,159967.XSHE:722000:1055564.00,both,True,True,True,-1393.0200000000186,-0.0013167176226550168
