date,value,weak,pool,target,pending,position,positions_raw
2020-01-02,998009.23,False,0,512400,,512400,512400.XSHG:1351600:994777.60
2020-01-03,1014228.43,False,0,512400,,512400,512400.XSHG:1351600:1010996.80
2020-01-06,1029380.34,False,0,512880,,512880,512880.XSHG:982900:1027130.50
2020-01-07,1034426.27,False,0,512980,,512980,512980.XSHG:1104600:1030591.80
2020-01-08,1017675.39,False,0,512880,,512880,512880.XSHG:994500:1015384.50
2020-01-09,1031990.59,False,0,512980,,512980,512980.XSHG:1118800:1029296.00
2020-01-10,1024443.52,False,0,512100,,512100,512100.XSHG:1363000:1022250.00
2020-01-13,1038073.52,False,0,512100,,512100,512100.XSHG:1363000:1035880.00
2020-01-14,1035347.52,False,0,512100,,512100,512100.XSHG:1363000:1033154.00
2020-01-15,1033938.91,False,0,512980,,512980,512980.XSHG:1117800:1030611.60
2020-01-16,1023606.12,False,0,512400,,512400,512400.XSHG:1353300:1021741.50
2020-01-17,1020899.52,False,0,512400,,512400,512400.XSHG:1353300:1019034.90
2020-01-20,1035290.92,False,0,512480,,512480,512480.XSHG:588300:1030701.60
2020-01-21,1025491.6,False,0,159915,,159915,159915.XSHE:540800:1023193.60
2020-01-22,1046094.28,False,0,515050,,515050,515050.XSHG:895200:1041117.60
2020-01-23,1016091.98,False,0,159949,,159949,159949.XSHE:1419700:1009406.70
2020-02-03,947650.47,True,0,518880,,518880,518880.XSHG:268400:944768.00
2020-02-04,940135.27,True,0,518880,,518880,518880.XSHG:268400:937252.80
2020-02-05,933962.07,True,0,518880,,518880,518880.XSHG:268400:931079.60
2020-02-06,926211.79,True,0,513100,,513100,513100.XSHG:251000:924182.00
2020-02-07,932988.79,True,0,513100,,513100,513100.XSHG:251000:930959.00
2020-02-10,938761.79,True,0,513100,,513100,513100.XSHG:251000:936732.00
2020-02-11,973650.79,False,0,513100,,513100,513100.XSHG:251000:971621.00
2020-02-12,998750.79,False,0,513100,,513100,513100.XSHG:251000:996721.00
2020-02-13,1028682.96,False,0,512170,,512170,512170.XSHG:706300:1026960.20
2020-02-14,1024445.16,False,0,512170,,512170,512170.XSHG:706300:1022722.40
2020-02-17,1058347.56,False,0,512170,,512170,512170.XSHG:706300:1056624.80
2020-02-18,1063291.66,False,0,512170,,512170,512170.XSHG:706300:1061568.90
2020-02-19,1039983.76,False,0,512170,,512170,512170.XSHG:706300:1038261.00
2020-02-20,1060407.39,False,0,159949,,159949,159949.XSHE:1301200:1057875.60
2020-02-21,1079925.39,False,0,159949,,159949,159949.XSHE:1301200:1077393.60
2020-02-24,1098343.27,False,0,159915,,159915,159915.XSHE:502200:1093791.60
2020-02-25,1106880.67,False,0,159915,,159915,159915.XSHE:502200:1102329.00
2020-02-26,1057948.93,False,0,159967,,159967,159967.XSHE:722000:1055564.00
2020-02-27,1065153.79,False,0,512670,,512670,512670.XSHG:853800:1063834.80
2020-02-28,1007470.6,False,0,518880,,518880,518880.XSHG:277400:1005020.20
2020-03-02,983160.56,True,0,511880,,511880,511880.XSHG:9700:975480.50
2020-03-03,982867.95,True,0,159985,,159985,159985.XSHE:1013200:980777.60
2020-03-04,982867.95,True,0,159985,,159985,159985.XSHE:1013200:980777.60
2020-03-05,983881.15,True,0,159985,,159985,159985.XSHE:1013200:981790.80
2020-03-06,973669.97,False,0,515050,,515050,515050.XSHG:788400:972097.20
2020-03-09,938219.58,False,0,512170,,512170,512170.XSHG:595500:936126.00
2020-03-10,936768.94,True,0,511880,,511880,511880.XSHG:9200:925391.20
2020-03-11,938784.52,True,0,518880,,518880,518880.XSHG:256800:936806.40
2020-03-12,927219.29,True,0,511880,,511880,511880.XSHG:9100:915651.10
2020-03-13,927255.69,True,0,511880,,511880,511880.XSHG:9100:915687.50
2020-03-16,927715.08,True,0,159985,,159985,159985.XSHE:965500:925914.50
2020-03-17,928680.58,True,0,159985,,159985,159985.XSHE:965500:926880.00
2020-03-18,926749.58,True,0,159985,,159985,159985.XSHE:965500:924949.00
2020-03-19,917841.86,True,0,511880,,511880,511880.XSHG:9000:905940.00
2020-03-20,918687.98,True,0,159985,,159985,159985.XSHE:938300:916719.10
2020-03-23,967479.58,True,0,159985,,159985,159985.XSHE:938300:965510.70
2020-03-24,954343.38,True,0,159985,,159985,159985.XSHE:938300:952374.50
2020-03-25,970294.48,True,0,159985,,159985,159985.XSHE:938300:968325.60
2020-03-26,944960.38,False,0,159985,,159985,159985.XSHE:938300:942991.50
2020-03-27,956219.98,False,0,159985,,159985,159985.XSHE:938300:954251.10
2020-03-30,964664.68,False,0,159985,,159985,159985.XSHE:938300:962695.80
2020-03-31,961849.78,True,0,159985,,159985,159985.XSHE:938300:959880.90
2020-04-01,942868.1,True,0,511880,,511880,511880.XSHG:9300:936677.40
2020-04-02,942877.4,True,0,511880,,511880,511880.XSHG:9300:936686.70
