date,dt_ths,code,mode_ths,shares_ths,minute_volume_ths,cap_shares_ths,participation_ths,splits_ths,target_value_ths,dt_jq,mode_jq,shares_jq,minute_volume_jq,cap_shares_jq,participation_jq,splits_jq,target_value_jq,_merge
2020-01-02,2020-01-02 13:40:00,512400,trend,1353800.0,452000.0,113000.0,0.25,5.0,997750.6,2020-01-02 13:40:00,trend,1353800.0,452000.0,113000.0,0.25,5.0,997750.6,both
2020-01-07,2020-01-07 13:11:00,512980,trend,1107900.0,363600.0,90900.0,0.25,5.0,1022591.7,2020-01-07 13:11:00,trend,1107300.0,363600.0,90900.0,0.25,5.0,1022037.9,both
2020-01-08,2020-01-08 14:40:00,512880,force,993600.0,3560700.0,890100.0,0.25,5.0,1017446.4,2020-01-08 14:40:00,force,993800.0,3560700.0,890100.0,0.25,5.0,1017651.2,both
2020-01-09,2020-01-09 13:40:00,512980,trend,1119100.0,129400.0,32300.0,0.25,5.0,1026214.7,2020-01-09 13:40:00,trend,1119100.0,129400.0,32300.0,0.25,5.0,1026214.7,both
2020-01-15,2020-01-15 14:10:00,512980,trend,1121500.0,66500.0,16600.0,0.25,5.0,1028415.5,2020-01-15 14:10:00,trend,1120500.0,66500.0,16600.0,0.25,5.0,1027498.5,both
2020-01-16,2020-01-16 14:40:00,512400,force,1352600.0,100600.0,25100.0,0.25,5.0,1019860.4,2020-01-16 14:40:00,force,1351800.0,100600.0,25100.0,0.25,5.0,1019257.2,both
2020-01-20,2020-01-20 13:11:00,512480,trend,589200.0,296000.0,74000.0,0.25,5.0,1022851.2,2020-01-20 13:11:00,trend,589800.0,296000.0,74000.0,0.25,5.0,1023892.8,both
2020-01-21,2020-01-21 13:11:00,159915,trend,540500.0,1396200.0,349000.0,0.25,5.0,1024247.5,2020-01-21 13:11:00,trend,541000.0,1396200.0,349000.0,0.25,5.0,1025195.0,both
2020-01-22,2020-01-22 13:11:00,515050,trend,899700.0,2713000.0,678200.0,0.25,5.0,1027457.4,2020-01-22 13:11:00,trend,900100.0,2713000.0,678200.0,0.25,5.0,1027914.2,both
2020-01-23,2020-01-23 14:40:00,159949,force,1431500.0,3332000.0,833000.0,0.25,5.0,1002050.0,2020-01-23 14:40:00,force,1432200.0,3332000.0,833000.0,0.25,5.0,1002540.0,both
2020-02-03,2020-02-03 14:40:00,518880,force,268100.0,976600.0,244100.0,0.25,5.0,943712.0,2020-02-03 14:40:00,force,268600.0,976600.0,244100.0,0.25,5.0,945472.0,both
2020-02-06,2020-02-06 13:11:00,513100,trend,250400.0,45100.0,11200.0,0.25,5.0,921972.8,2020-02-06 13:11:00,trend,251000.0,45100.0,11200.0,0.25,5.0,924182.0,both
2020-02-13,2020-02-13 13:40:00,512170,trend,704600.0,163500.0,40800.0,0.25,5.0,1023079.2,2020-02-13 13:40:00,trend,706000.0,163500.0,40800.0,0.25,5.0,1025112.0,both
2020-02-20,2020-02-20 13:11:00,159949,trend,1298800.0,3333000.0,833200.0,0.25,5.0,1049430.4,2020-02-20 13:11:00,trend,1301500.0,3333000.0,833200.0,0.25,5.0,1051612.0,both
2020-02-24,2020-02-24 13:11:00,159915,trend,502800.0,1239400.0,309800.0,0.25,5.0,1089567.6,2020-02-24 13:11:00,trend,503700.0,1239400.0,309800.0,0.25,5.0,1091517.9,both
2020-02-27,2020-02-27 13:11:00,512670,trend,851500.0,50100.0,12500.0,0.25,5.0,1080553.5,2020-02-27 13:11:00,trend,852700.0,50100.0,12500.0,0.25,5.0,1082076.3,both
2020-03-06,2020-03-06 13:11:00,515050,trend,787900.0,2538400.0,634600.0,0.25,5.0,973056.5,2020-03-06 13:11:00,trend,789900.0,2538400.0,634600.0,0.25,5.0,975526.5,both
2020-03-09,2020-03-09 14:10:00,512170,trend,593800.0,18300.0,4500.0,0.25,5.0,941173.0,2020-03-09 14:10:00,trend,596000.0,18300.0,4500.0,0.25,5.0,944660.0,both
2020-03-16,2020-03-16 14:40:00,159985,force,960500.0,34000.0,8500.0,0.25,5.0,921119.5,2020-03-16 14:40:00,force,964700.0,34000.0,8500.0,0.25,5.0,925147.3,both
2020-04-03,2020-04-03 14:40:00,159985,force,960000.0,45000.0,11200.0,0.25,5.0,936960.0,2020-04-03 14:40:00,force,963900.0,45000.0,11200.0,0.25,5.0,940766.4,both
2020-04-14,2020-04-14 13:11:00,512010,trend,451800.0,139100.0,34700.0,0.25,5.0,938840.4,2020-04-14 13:11:00,trend,453700.0,139100.0,34700.0,0.25,5.0,942788.6,both
2020-04-21,2020-04-21 13:40:00,512170,trend,581700.0,47500.0,11800.0,0.25,5.0,926066.4,2020-04-21 13:40:00,trend,584100.0,47500.0,11800.0,0.25,5.0,929887.2,both
2020-04-27,2020-04-27 13:11:00,513100,trend,263100.0,114500.0,28600.0,0.25,5.0,934268.1,2020-04-27 13:11:00,trend,264600.0,114500.0,28600.0,0.25,5.0,939594.6,both
2020-04-30,2020-04-30 13:40:00,512690,trend,856100.0,6400.0,1600.0,0.25,5.0,1005917.5,2020-04-30 13:40:00,trend,861400.0,6400.0,1600.0,0.25,5.0,1012145.0,both
2020-05-18,2020-05-18 13:40:00,512480,trend,518600.0,140500.0,35100.0,0.25,5.0,1040830.2,2020-05-18 13:40:00,trend,521600.0,140500.0,35100.0,0.25,5.0,1046851.2,both
2020-05-19,2020-05-19 14:10:00,513100,trend,278200.0,47200.0,11800.0,0.25,5.0,1034069.4,2020-05-19 14:10:00,trend,280000.0,47200.0,11800.0,0.25,5.0,1040760.0,both
2020-05-20,2020-05-20 13:40:00,512690,trend,798700.0,218300.0,54500.0,0.25,5.0,1035913.9,2020-05-20 13:40:00,trend,803900.0,218300.0,54500.0,0.25,5.0,1042658.3,both
2020-05-21,2020-05-21 14:40:00,513100,force,280400.0,35100.0,8700.0,0.25,5.0,1042807.6,2020-05-21 14:40:00,force,282400.0,35100.0,8700.0,0.25,5.0,1050245.6,both
2020-05-22,2020-05-22 13:40:00,161226,trend,1277400.0,599500.0,149800.0,0.25,5.0,1016810.4,2020-05-22 13:40:00,trend,1286600.0,599500.0,149800.0,0.25,5.0,1024133.6,both
2020-06-02,2020-06-02 13:40:00,512690,trend,821400.0,65900.0,16400.0,0.25,5.0,1102318.8,2020-06-02 13:40:00,trend,827800.0,65900.0,16400.0,0.25,5.0,1110907.6,both
2020-06-03,2020-06-03 13:11:00,513030,trend,1070100.0,105900.0,26400.0,0.25,5.0,1091502.0,2020-06-03 13:11:00,trend,1079200.0,105900.0,26400.0,0.25,5.0,1100784.0,both
2020-06-04,2020-06-04 14:40:00,161226,force,1357800.0,162300.0,40500.0,0.25,5.0,1121542.8,2020-06-04 14:40:00,force,1371000.0,162300.0,40500.0,0.25,5.0,1132446.0,both
2020-06-08,2020-06-08 14:40:00,513520,force,1024500.0,900.0,200.0,0.25,5.0,1123876.5,2020-06-08 14:40:00,force,1034300.0,900.0,200.0,0.25,5.0,1134627.1,both
2020-06-15,2020-06-15 14:30:00,512690,trend,798400.0,450700.0,112600.0,0.25,5.0,1089816.0,2020-06-15 14:30:00,trend,806100.0,450700.0,112600.0,0.25,5.0,1100326.5,both
2020-06-16,2020-06-16 14:40:00,513030,force,1073500.0,410700.0,102600.0,0.25,5.0,1105705.0,2020-06-16 14:40:00,force,1084600.0,410700.0,102600.0,0.25,5.0,1117138.0,both
2020-06-19,2020-06-19 13:11:00,515030,trend,1131300.0,875100.0,218700.0,0.25,5.0,1106411.4,2020-06-19 13:11:00,trend,1143400.0,875100.0,218700.0,0.25,5.0,1118245.2,both
