date,value,weak,pool,target,pending,position,positions_raw
2020-01-02,997688.97,False,34,512400,,512400,512400.SH:1351500:994704.00
2020-01-03,1013906.97,False,34,512400,,512400,512400.SH:1351500:1010922.00
2020-01-06,1029944.48,False,34,512880,,512880,512880.SH:982300:1026503.50
2020-01-07,1035335.47,False,34,512980,,512980,512980.SH:1105100:1031058.30
2020-01-08,1017769.7,False,34,512880,,512880,512880.SH:994200:1015078.20
2020-01-09,1031978.76,False,34,512980,,512980,512980.SH:1118700:1029204.00
2020-01-10,1025451.27,False,34,512100,,512100,512100.SH:1364100:1023075.00
2020-01-13,1039092.27,False,34,512100,,512100,512100.SH:1364100:1036716.00
2020-01-14,1036364.07,False,34,512100,,512100,512100.SH:1364100:1033987.80
2020-01-15,1034627.58,False,34,512980,,512980,512980.SH:1118700:1031441.40
2020-01-16,1023912.15,False,34,512400,,512400,512400.SH:1354000:1022270.00
2020-01-17,1021204.15,False,34,512400,,512400,512400.SH:1354000:1019562.00
2020-01-20,1034367.2,False,34,512480,,512480,512480.SH:587600:1029475.20
2020-01-21,1024585.34,False,34,159915,,159915,159915.SZ:540200:1022058.40
2020-01-22,1045609.63,False,35,515050,,515050,515050.SH:894700:1040536.10
2020-01-23,1015519.7,False,35,159949,,159949,159949.SZ:1418900:1008837.90
2020-02-03,945604.19,True,9,518880,,518880,518880.SH:267800:942656.00
2020-02-04,938105.79,True,9,518880,,518880,518880.SH:267800:935157.60
2020-02-05,931946.39,True,9,518880,,518880,518880.SH:267800:928998.20
2020-02-06,924121.81,True,9,513100,,513100,513100.SH:250300:921604.60
2020-02-07,930879.91,True,9,513100,,513100,513100.SH:250300:928362.70
2020-02-10,936636.81,True,9,513100,,513100,513100.SH:250300:934119.60
2020-02-11,971428.51,False,34,513100,,513100,513100.SH:250300:968911.30
2020-02-12,996458.51,False,35,513100,,513100,513100.SH:250300:993941.30
2020-02-13,1026596.76,False,37,512170,,512170,512170.SH:704800:1024779.20
2020-02-14,1022367.96,False,37,512170,,512170,512170.SH:704800:1020550.40
2020-02-17,1056198.36,False,37,512170,,512170,512170.SH:704800:1054380.80
2020-02-18,1061131.96,False,36,512170,,512170,512170.SH:704800:1059314.40
2020-02-19,1037873.56,False,36,512170,,512170,512170.SH:704800:1036056.00
2020-02-20,1058407.01,False,36,159949,,159949,159949.SZ:1298400:1055599.20
2020-02-21,1077883.01,False,36,159949,,159949,159949.SZ:1298400:1075075.20
2020-02-24,1096251.63,False,36,159915,,159915,159915.SZ:501200:1091613.60
2020-02-25,1104772.03,False,36,159915,,159915,159915.SZ:501200:1100134.00
2020-02-26,1056555.91,False,36,159967,,159967,159967.SZ:720400:1053224.80
2020-02-27,1063793.63,False,36,512670,,512670,512670.SH:852500:1062215.00
