date,time,value,weak,pool,target,target_raw,top10_raw
2020-01-02,15:30:00,998493.42,False,34,512400,512400.SH,"512400.SH:4.3342,512880.SH:3.8647,159949.SZ:1.6601,512200.SH:1.5801,512100.SH:1.4596,510900.SH:1.4158,512480.SH:1.3490,512070.SH:1.3463,510500.SH:1.1413,159915.SZ:1.0155"
2020-01-03,15:30:00,1017004.85,False,34,512880,512880.SH,"512880.SH:3.6075,159949.SZ:1.5099,512100.SH:1.4775,510900.SH:1.4363,512200.SH:1.4035,512070.SH:1.3123,510500.SH:1.1692,510300.SH:1.0107,159915.SZ:0.9639,161226.SZ:0.9597"
2020-01-06,15:30:00,1024501.42,False,34,512980,512980.SH,"512980.SH:4.2216,512880.SH:3.7720,512100.SH:1.6987,159949.SZ:1.6734,510500.SH:1.3815,512070.SH:1.3681,512200.SH:1.2843,161226.SZ:1.2427,159915.SZ:1.1723,510900.SH:1.1666"
2020-01-07,15:30:00,1057619.93,False,34,512880,512880.SH,"512880.SH:3.2986,512100.SH:1.8396,159949.SZ:1.6333,510500.SH:1.4622,159915.SZ:1.2948,512070.SH:1.2300,512200.SH:1.1855,161226.SZ:1.1150,512710.SH:1.0576,510900.SH:0.9925"
2020-01-08,15:30:00,1026899.93,False,34,512100,512100.SH,"512100.SH:1.8576,159949.SZ:1.4866,510500.SH:1.4653,159915.SZ:1.2648,512710.SH:1.1792,512070.SH:0.9493,512670.SH:0.9181,510300.SH:0.9046,512200.SH:0.8917,512660.SH:0.8627"
2020-01-09,15:30:00,1046276.23,False,34,512980,512980.SH,"512980.SH:4.9925,512100.SH:1.8799,159949.SZ:1.6529,510500.SH:1.4858,159915.SZ:1.4353,512710.SH:1.2057,512670.SH:0.9226,513100.SH:0.9073,510300.SH:0.9057,512660.SH:0.8966"
2020-01-10,15:30:00,1041727.43,False,34,512980,512980.SH,"512980.SH:4.9548,512100.SH:1.9013,512880.SH:1.8502,159949.SZ:1.7313,159915.SZ:1.5225,510500.SH:1.4334,512710.SH:1.1279,513100.SH:1.1252,512660.SH:0.9243,512670.SH:0.9223"
2020-01-13,15:30:00,1052639.26,False,34,512100,512100.SH,"512100.SH:2.0743,159949.SZ:1.9347,159915.SZ:1.8103,512880.SH:1.6012,510500.SH:1.5987,512710.SH:1.2372,512670.SH:1.0946,512660.SH:1.0594,512480.SH:1.0120,510300.SH:0.9370"
2020-01-14,15:30:00,1049869.26,False,34,512100,512100.SH,"512100.SH:2.1040,159949.SZ:2.0241,159915.SZ:1.8903,510500.SH:1.6656,513100.SH:1.4249,512880.SH:1.3901,512480.SH:1.3073,512710.SH:1.1335,512670.SH:1.0636,512660.SH:1.0602"
2020-01-15,15:30:00,1049547.22,False,34,512400,512400.SH,"512400.SH:4.8538,512980.SH:4.4367,512100.SH:1.9641,159949.SZ:1.8999,512480.SH:1.8443,159915.SZ:1.8397,513100.SH:1.5390,510500.SH:1.5376,159928.SZ:1.1178,512880.SH:0.9410"
2020-01-16,15:30:00,1044016.02,False,34,512400,512400.SH,"512400.SH:4.0231,512980.SH:3.6383,512480.SH:2.6860,159949.SZ:1.9184,512100.SH:1.9152,159915.SZ:1.8957,513100.SH:1.7210,510500.SH:1.4715,159928.SZ:1.1810,515050.SH:1.0541"
2020-01-17,15:30:00,1033666.45,False,34,512480,512480.SH,"512480.SH:3.2602,512980.SH:2.9062,512400.SH:2.8595,513100.SH:2.0221,159915.SZ:1.8316,159949.SZ:1.7994,512100.SH:1.6573,510500.SH:1.2471,159967.SZ:1.1832,515050.SH:1.1662"
2020-01-20,15:30:00,1085142.73,False,34,512980,512980.SH,"512980.SH:2.4430,512400.SH:2.3866,159915.SZ:2.2653,159949.SZ:2.2446,513100.SH:1.9134,515050.SH:1.7913,159967.SZ:1.7884,512100.SH:1.6667,515880.SH:1.4510,510500.SH:1.3160"
2020-01-21,15:30:00,1062999.7,False,34,159915,159915.SZ,"159915.SZ:2.3286,159967.SZ:2.2851,515050.SH:2.2778,159949.SZ:2.2584,513100.SH:1.6632,515880.SH:1.6380,512170.SH:1.6121,512100.SH:1.5213,512400.SH:1.3428,510500.SH:1.1418"
2020-01-22,15:30:00,1078596.98,False,35,159949,159949.SZ,"159949.SZ:2.6275,159915.SZ:2.6154,515880.SH:2.0699,512170.SH:1.9701,513100.SH:1.8205,512100.SH:1.4238,512010.SH:1.2469,510500.SH:1.1294,512980.SH:1.1292,512670.SH:1.0677"
2020-01-23,15:30:00,1069564.67,False,35,513100,513100.SH,"513100.SH:1.7917,512170.SH:1.7374,512010.SH:0.8465,512670.SH:0.8404,512660.SH:0.7004,512980.SH:0.6137,512710.SH:0.2520,513500.SH:0.1306"
2020-02-03,15:30:00,1025608.1,True,9,518880,518880.SH,518880.SH:0.1763
2020-02-04,15:30:00,1017451.7,True,9,518880,518880.SH,518880.SH:0.1654
2020-02-05,15:30:00,1014983.64,True,9,513100,513100.SH,"513100.SH:1.5163,518880.SH:0.1152,513500.SH:0.0326"
2020-02-06,15:30:00,1046825.24,True,9,513100,513100.SH,"513100.SH:2.1366,513500.SH:0.0937"
2020-02-07,15:30:00,1054501.34,True,9,513100,513100.SH,"513100.SH:2.6859,513500.SH:0.1251,518880.SH:0.0843"
2020-02-10,15:30:00,1061040.24,True,9,513100,513100.SH,"513100.SH:2.9816,513500.SH:0.1721,518880.SH:0.0866"
2020-02-11,15:30:00,1100557.94,True,8,513100,513100.SH,"513100.SH:4.1047,513500.SH:0.3048,518880.SH:0.0667"
2020-02-12,15:30:00,1120407.08,False,35,512170,512170.SH,"512170.SH:3.3087,159949.SZ:2.1056,159915.SZ:1.1301,159967.SZ:0.9951,513500.SH:0.4458"
2020-02-13,15:30:00,1116567.58,False,37,512170,512170.SH,"512170.SH:3.1457,159949.SZ:2.0358,159915.SZ:1.0793,159967.SZ:0.9420,513500.SH:0.7647"
2020-02-14,15:30:00,1111960.18,False,37,512170,512170.SH,"512170.SH:3.1691,159949.SZ:2.3090,159915.SZ:1.2352,159967.SZ:1.1068"
2020-02-17,15:30:00,1148819.38,False,37,512170,512170.SH,"512170.SH:3.6225,159949.SZ:2.9588"
2020-02-18,15:30:00,1154194.68,False,36,512170,512170.SH,"512170.SH:3.6899,159949.SZ:3.5152,159915.SZ:2.1133,159967.SZ:1.8012,513500.SH:0.8350,518880.SH:0.1648"
2020-02-19,15:30:00,1123707.69,False,36,159949,159949.SZ,"159949.SZ:3.6205,512170.SH:3.2037,159915.SZ:2.4204,159967.SZ:2.1695,515050.SH:1.1817,513500.SH:0.7459,518880.SH:0.2996"
2020-02-20,15:30:00,1144729.96,False,36,513100,513100.SH,"513100.SH:4.3536,159949.SZ:4.0599,512170.SH:3.0081,159915.SZ:2.8210,159967.SZ:2.4872,515050.SH:1.5208,513500.SH:0.6932,518880.SH:0.5483"
2020-02-21,15:30:00,1114630.81,False,36,159915,159915.SZ,"159915.SZ:3.8055,159967.SZ:3.3507,512170.SH:3.3320,515050.SH:2.8265,513100.SH:2.5254,512670.SH:1.6659,518880.SH:0.7035,513500.SH:0.5186"
2020-02-24,15:30:00,1131777.61,False,36,159915,159915.SZ,"159915.SZ:4.6376,159967.SZ:4.1727,512670.SH:2.7504,512660.SH:2.0487,518880.SH:0.9862"
2020-02-25,15:30:00,1147712.4,False,36,512670,512670.SH,"512670.SH:3.5904,512660.SH:2.6601,161226.SZ:0.5375"
2020-02-26,15:30:00,1118124.6,False,36,512670,512670.SH,"512670.SH:4.7680,512660.SH:3.7984,512710.SH:1.4347,518880.SH:1.0943,161226.SZ:0.4000"
2020-02-27,15:30:00,1117228.0,False,36,512670,512670.SH,"512670.SH:4.9108,512660.SH:3.6101,512710.SH:1.6586,518880.SH:1.1863,510500.SH:0.9727,161226.SZ:0.4803"
2020-02-28,15:30:00,1055479.25,False,36,512170,512170.SH,"512170.SH:2.2323,518880.SH:1.0589"
2020-03-02,15:30:00,1086386.19,True,8,511880,511880.SH,
2020-03-03,15:30:00,1084885.69,True,8,159985,159985.SZ,159985.SZ:0.0152
2020-03-04,15:30:00,1084885.69,True,8,159985,159985.SZ,159985.SZ:0.0648
2020-03-05,15:30:00,1086006.39,True,8,159985,159985.SZ,159985.SZ:0.1005
2020-03-06,15:30:00,1077211.27,False,39,515050,515050.SH,"515050.SH:3.4816,512170.SH:3.1786,512100.SH:3.0947,512670.SH:3.0040,512660.SH:2.3558,512200.SH:2.2248,159967.SZ:1.7873,512710.SH:1.6600,510500.SH:1.2325,159915.SZ:1.2021"
2020-03-09,15:30:00,1022830.16,False,40,515880,515880.SH,"515880.SH:3.3214,512170.SH:2.3307,518880.SH:0.4613,512890.SH:0.3416,510880.SH:0.2246"
2020-03-10,15:30:00,1071687.31,True,9,518880,518880.SH,518880.SH:0.3300
2020-03-11,15:30:00,1082368.51,True,9,518880,518880.SH,518880.SH:0.3230
2020-03-12,15:30:00,1068929.72,True,9,511880,511880.SH,
2020-03-13,15:30:00,1068972.12,True,9,511880,511880.SH,
2020-03-16,15:30:00,1069162.92,True,9,511880,511880.SH,
2020-03-17,15:30:00,1067677.49,True,9,159985,159985.SZ,159985.SZ:0.0122
2020-03-18,15:30:00,1065453.29,True,9,159985,159985.SZ,159985.SZ:0.0165
2020-03-19,15:30:00,1055181.06,True,9,511880,511880.SH,
2020-03-20,15:30:00,1056102.67,True,9,159985,159985.SZ,159985.SZ:0.0474
2020-03-23,15:30:00,1096913.99,True,9,511880,511880.SH,
2020-03-24,15:30:00,1096795.19,True,9,511880,511880.SH,
2020-03-25,15:30:00,1092277.2,True,9,159985,159985.SZ,159985.SZ:0.6686
2020-03-26,15:30:00,1063700.4,False,40,159985,159985.SZ,159985.SZ:0.7037
2020-03-27,15:30:00,1076401.2,False,40,159985,159985.SZ,159985.SZ:0.8481
2020-03-30,15:30:00,1085926.8,False,40,159985,159985.SZ,159985.SZ:1.0947
2020-03-31,15:30:00,1082751.6,False,41,159985,159985.SZ,159985.SZ:1.1094
2020-04-01,15:30:00,1061265.74,False,41,511880,511880.SH,
2020-04-02,15:30:00,1058869.75,False,41,159985,159985.SZ,159985.SZ:0.5160
2020-04-03,15:30:00,1048982.22,False,41,511880,511880.SH,
2020-04-07,15:30:00,1048992.62,False,41,511880,511880.SH,
2020-04-08,15:30:00,1049075.82,False,41,511880,511880.SH,
2020-04-09,15:30:00,1049148.62,False,41,511880,511880.SH,
2020-04-10,15:30:00,1049356.62,False,42,511880,511880.SH,
2020-04-13,15:30:00,1049408.62,False,42,511880,511880.SH,
2020-04-14,15:30:00,1055705.83,False,42,512010,512010.SH,"512010.SH:1.4441,159928.SZ:0.8784,518880.SH:0.6166"
2020-04-15,15:30:00,1050155.23,False,42,512010,512010.SH,"512010.SH:2.3143,159928.SZ:1.4176,512170.SH:1.1060,513520.SH:0.9439,518880.SH:0.8814"
2020-04-16,15:30:00,1052173.63,False,44,512010,512010.SH,"512010.SH:3.0593,512170.SH:2.2207,159928.SZ:1.7795,513520.SH:1.6764,518880.SH:1.2540,512690.SH:1.0357,159967.SZ:0.7964,510900.SH:0.6658,501018.SH:0.5093"
2020-04-17,15:30:00,1045109.23,False,44,512010,512010.SH,"512010.SH:3.3719,512170.SH:3.0189,513520.SH:2.9709,159928.SZ:2.3700,513030.SH:2.0875,512690.SH:1.8833,159967.SZ:1.5478,518880.SH:1.3963,513500.SH:1.2657,510900.SH:1.0681"
2020-04-20,15:30:00,1054088.79,False,44,512170,512170.SH,"512170.SH:4.3331,513520.SH:3.4372,513030.SH:3.4121,512010.SH:3.3819,159928.SZ:2.5534,512690.SH:2.3527,159967.SZ:2.2380,513500.SH:1.8617,518880.SH:1.2122,161226.SZ:1.1835"
2020-04-21,15:30:00,1044985.99,False,44,512170,512170.SH,"512170.SH:4.0715,513030.SH:3.1024,513520.SH:2.6432,512010.SH:2.6331,159967.SZ:2.0627,159928.SZ:1.9812,512690.SH:1.9745,513500.SH:1.7838,161226.SZ:1.6761,159949.SZ:1.1503"
2020-04-22,15:30:00,1052788.39,False,44,512170,512170.SH,"512170.SH:4.2864,512010.SH:2.6918,513030.SH:2.5644,159928.SZ:2.3305,159967.SZ:2.2790,513520.SH:1.9381,513500.SH:1.5391,159949.SZ:1.4468,159915.SZ:1.2084,513100.SH:0.9527"
