symbol,name,amount,float_market_value,snapshot_time
159827,农业ETF银华,6055504.1,71080259,2026-07-06 15:34:33+08:00
159027,畜牧养殖ETF大成,14155635.878,112674110,2026-07-06 15:34:27+08:00
159020,养殖ETF易方达,21029633.81,115710374,2026-07-06 15:34:27+08:00
515220,煤炭ETF国泰,1430209465.0,13719939628,2026-07-06 16:11:34+08:00
159172,养殖ETF汇添富,23305987.8,316659169,2026-07-06 15:34:42+08:00
159023,养殖ETF万家,21487679.025,76562396,2026-07-06 15:34:39+08:00
512450,畜牧养殖ETF广发,13287339.0,103310428,2026-07-06 16:11:57+08:00
159865,养殖ETF国泰,401846296.156,5976644176,2026-07-06 15:34:39+08:00
159867,养殖ETF鹏华,57203977.6,944474049,2026-07-06 15:34:42+08:00
159930,能源ETF汇添富,88295424.6,797808253,2026-07-06 15:34:21+08:00
516760,养殖ETF平安,13749372.0,183867900,2026-07-06 16:11:48+08:00
562900,农业ETF易方达,26764013.0,148764927,2026-07-06 16:11:42+08:00
159945,能源ETF广发,20424805.5,83881132,2026-07-06 15:34:15+08:00
159165,养殖ETF永赢,14254849.241,92828425,2026-07-06 15:34:36+08:00
159007,养殖ETF华泰柏瑞,23575977.874,173056039,2026-07-06 15:34:21+08:00
159011,养殖ETF华安,23950377.981,67343395,2026-07-06 15:34:24+08:00
516670,畜牧养殖ETF招商,70783596.0,1839270315,2026-07-06 16:11:56+08:00
159275,农牧渔ETF华宝,16270656.6,204104991,2026-07-06 15:34:57+08:00
159041,农业ETF鹏华,8735352.283,154228057,2026-07-06 15:34:48+08:00
560210,农牧渔ETF景顺,10201747.0,429176682,2026-07-06 16:11:57+08:00
159173,农牧ETF南方,10478330.6,47026169,2026-07-06 15:34:45+08:00
516810,农业ETF华夏,106879818.0,384856073,2026-07-06 16:11:51+08:00
159985,豆粕ETF华夏,363335142.807,3214538636,2026-07-06 15:34:33+08:00
159217,港股通创新药ETF工银,1579652337.7,5802756595,2026-07-06 15:34:36+08:00
159825,农业ETF富国,111476908.404,1626112037,2026-07-06 15:34:24+08:00
159132,恒生生物科技ETF富国,92749494.722,105150239,2026-07-06 15:34:12+08:00
159316,港股通创新药ETF易方达,3423041184.38,4824963238,2026-07-06 15:34:36+08:00
512620,农业ETF天弘,9408480.0,1055716422,2026-07-06 16:11:33+08:00
