trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2026-02-06,,,0,1000000.0,0.0,1000000.0
2026-02-09,159518,159518,996700,2003.9710360660683,996700.0,998703.9710360661
2026-02-10,501018,501018,730800,1975.401584294741,1019466.0,1021441.4015842947
2026-02-11,513310,513310,288100,2163.726905540796,985878.2000000001,988041.9269055409
2026-02-12,513310,513310,288100,2163.726905540796,1019585.9,1021749.6269055408
2026-02-13,513310,513310,288100,2163.726905540796,1038024.3,1040188.0269055408
2026-02-24,513310,513310,288100,2163.726905540796,1109473.1,1111636.826905541
2026-02-25,513310,513310,288100,2163.726905540796,1135402.0999999999,1137565.8269055407
2026-02-26,513310,513310,288100,2163.726905540796,1244880.0999999999,1247043.8269055407
2026-02-27,513350,513350,1102300,2429.3555328708608,1263235.7999999998,1265665.1555328707
2026-03-02,513350,513350,1102300,2429.3555328708608,1390000.2999999998,1392429.6555328707
2026-03-03,513520,513520,759600,2999.780281758867,1517680.8,1520680.580281759
2026-03-04,518880,518880,134500,3156.686284390511,1476810.0,1479966.6862843905
2026-03-05,518880,518880,134500,3156.686284390511,1474658.0,1477814.6862843905
2026-03-06,159985,159985,689900,2839.555013640551,1466727.4,1469566.9550136405
2026-03-09,159985,159985,689900,2839.555013640551,1539856.8,1542696.3550136406
2026-03-10,511880,511880,15300,10264.319078976521,1533763.7999999998,1544028.1190789763
2026-03-11,159985,159985,690400,3007.4446733286604,1549257.6,1552265.0446733288
2026-03-12,159667,159667,2459200,3030.8834113844205,1587792.8695652175,1590823.752976602
2026-03-13,159611,159611,1304700,3028.0255871957634,1538241.3,1541269.3255871958
2026-03-16,515220,515220,1171900,2915.2799196797423,1509407.2,1512322.4799196797
2026-03-17,515220,515220,1171900,2915.2799196797423,1476594.0,1479509.2799196797
2026-03-18,159985,159985,646600,2847.18024519342,1455496.5999999999,1458343.7802451933
2026-03-19,159985,159985,646600,2847.18024519342,1450970.4000000001,1453817.5802451936
2026-03-20,159985,159985,646600,2847.18024519342,1425753.0,1428600.1802451934
2026-03-23,511880,511880,14700,3549.7121331673115,1474101.3,1477651.0121331674
2026-03-24,511880,511880,14700,3549.7121331673115,1474160.1,1477709.8121331674
2026-03-25,511880,511880,14700,3549.7121331673115,1474189.5,1477739.2121331673
2026-03-26,511880,511880,14700,3549.7121331673115,1474380.6,1477930.3121331674
2026-03-27,511880,511880,14700,3549.7121331673115,1474351.2000000002,1477900.9121331675
2026-03-30,511880,511880,14700,3549.7121331673115,1474351.2000000002,1477900.9121331675
2026-03-31,511880,511880,14700,3549.7121331673115,1474586.4,1478136.1121331672
2026-04-01,520830,520830,1571100,2862.6839186204597,1479976.2,1482838.8839186204
2026-04-02,512800,512800,1816500,2789.2903093004134,1462282.5,1465071.7903093004
2026-04-03,520830,520830,1561000,2769.097168360371,1447047.0,1449816.0971683604
2026-04-07,520830,520830,1561000,2769.097168360371,1440803.0,1443572.0971683604
2026-04-08,520830,520830,1561000,2769.097168360371,1459535.0,1462304.0971683604
2026-04-09,513120,513120,1130300,2898.179269650718,1442262.8,1445160.9792696508
2026-04-10,513120,513120,1130300,2898.179269650718,1449044.6,1451942.7792696508
2026-04-13,513120,513120,1130300,2898.179269650718,1437741.6,1440639.7792696508
2026-04-14,515880,515880,1160900,2789.192652202677,689572.3943635214,692361.587015724
2026-04-15,515880,515880,1160900,2789.192652202677,678997.837872071,681787.0305242736
2026-04-16,515880,515880,1160900,2789.192652202677,703486.2844838506,706275.4771360533
2026-04-17,515880,515880,1160900,2789.192652202677,737992.7319822673,740781.92463447
2026-04-20,159967,159967,1976800,3036.3856773707084,1559695.2,1562731.5856773707
2026-04-21,159363,159363,1201600,2944.1945723788813,1535644.8,1538588.994572379
2026-04-22,562800,562800,1392400,3085.3896448991727,1583158.8,1586244.1896448992
2026-04-23,159819,159819,868700,3048.2960199073423,1530649.4,1533697.6960199072
2026-04-24,588200,588200,529200,3021.7975589393172,1484935.2,1487956.9975589393
2026-04-27,159949,159949,885300,3021.230759675149,1547504.4,1550525.630759675
2026-04-28,159995,159995,775900,2973.9311326611787,1536282.0,1539255.9311326612
2026-04-29,513100,513100,775500,2997.7539330609143,1521531.0,1524528.753933061
2026-04-30,588080,588080,953800,3053.627647764981,1528941.4,1531995.027647765
2026-05-06,588220,588220,966600,3243.4317093768623,1648053.0,1651296.4317093769
2026-05-07,588790,588790,1758200,3275.270552437287,1693146.5999999999,1696421.8705524371
2026-05-08,159949,159949,913800,3217.725382185541,1664029.8,1667247.5253821856
2026-05-11,513100,513100,810000,3379.56336118537,1707480.0,1710859.5633611854
