rank,grid_id,initial_entry_label,initial_entry_minute,stop_loss_profile,stop_loss_windows,trend_check_label,trend_check_minutes,force_buy_minute,total_return,annualized_return,max_drawdown,trade_count,buy_count,sell_count,stop_loss_count,win_rate,final_equity,daily_volatility,score_return_drawdown,entry_mode_breakdown,execution_mode_breakdown
1,16,none,,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1440,0.7260257127344176,2.777548777710768,-0.5714251630649989,113,57,50,6,0.42857142857142855,1726025.7127344175,0.17806426327725391,1.2705525756691836,"{""trend_real"": 28, ""force_real"": 19, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 42, ""daily_close"": 8, ""stop_real"": 5, ""stop_proxy"": 1}"
2,10,none,,afternoon,"[[1301, 1456]]",1340_1410,"[1340, 1410]",1440,0.7237332110439743,2.7653432247950325,-0.571972567884991,113,57,50,6,0.44642857142857145,1723733.2110439742,0.17807889521495116,1.2653285344088363,"{""trend_real"": 25, ""force_real"": 22, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 42, ""daily_close"": 8, ""stop_real"": 5, ""stop_proxy"": 1}"
3,17,none,,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1450,0.6862219304924657,2.5689246230330283,-0.5713565768307933,115,58,50,7,0.42105263157894735,1686221.9304924656,0.1781983080692286,1.201039698009269,"{""trend_real"": 28, ""force_real"": 20, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 42, ""daily_close"": 8, ""stop_real"": 6, ""stop_proxy"": 1}"
4,11,none,,afternoon,"[[1301, 1456]]",1340_1410,"[1340, 1410]",1450,0.6762208215112706,2.5176007689962554,-0.5713565768307933,115,58,50,7,0.42105263157894735,1676220.8215112707,0.17820638999289024,1.1835355519352544,"{""trend_real"": 25, ""force_real"": 23, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 42, ""daily_close"": 8, ""stop_real"": 6, ""stop_proxy"": 1}"
5,18,none,,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1455,0.6733963619211787,2.5031854453707374,-0.5717514190141959,115,58,50,7,0.42105263157894735,1673396.3619211786,0.1780499482299377,1.1777782083728576,"{""trend_real"": 28, ""force_real"": 20, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 42, ""daily_close"": 8, ""stop_real"": 6, ""stop_proxy"": 1}"
6,13,none,,afternoon,"[[1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1440,0.6840042583284569,2.5575061239337447,-0.5816083755846859,115,58,51,6,0.42105263157894735,1684004.258328457,0.17937944273007028,1.1760564101932565,"{""trend_real"": 32, ""force_real"": 16, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 43, ""daily_close"": 8, ""stop_real"": 5, ""stop_proxy"": 1}"
7,25,none,,post_entry,"[[1312, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1440,0.6655410026854927,2.463276974005905,-0.5740702090319676,113,57,54,2,0.42857142857142855,1665541.0026854926,0.17815822701462813,1.159337293965783,"{""trend_real"": 28, ""force_real"": 19, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 8, ""stop_proxy"": 1, ""stop_real"": 1}"
8,19,none,,post_entry,"[[1312, 1456]]",1340_1410,"[1340, 1410]",1440,0.663343478616153,2.45216085335614,-0.5746031961258299,113,57,54,2,0.44642857142857145,1663343.478616153,0.17817876582297099,1.1544375024166942,"{""trend_real"": 25, ""force_real"": 22, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 8, ""stop_proxy"": 1, ""stop_real"": 1}"
9,64,1320,1320.0,afternoon,"[[1301, 1456]]",1340_1410,"[1340, 1410]",1440,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
10,65,1320,1320.0,afternoon,"[[1301, 1456]]",1340_1410,"[1340, 1410]",1450,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
11,66,1320,1320.0,afternoon,"[[1301, 1456]]",1340_1410,"[1340, 1410]",1455,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
12,67,1320,1320.0,afternoon,"[[1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1440,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
13,68,1320,1320.0,afternoon,"[[1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1450,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
14,69,1320,1320.0,afternoon,"[[1301, 1456]]",1320_1340_1410,"[1320, 1340, 1410]",1455,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
15,70,1320,1320.0,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1440,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
16,71,1320,1320.0,afternoon,"[[1301, 1456]]",1340_1410_1430,"[1340, 1410, 1430]",1450,0.6699232060713849,2.485507144756654,-0.583082214183076,117,59,49,9,0.43103448275862066,1669923.206071385,0.17999892510132817,1.1489343865684136,"{""initial_real"": 49, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 41, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
