symbol,rows,first_date,last_date
159363,375,2024-12-16,2026-07-06
159381,312,2025-03-24,2026-07-06
159516,711,2023-07-27,2026-07-06
159567,598,2024-01-11,2026-07-06
159583,482,2024-07-08,2026-07-06
159633,948,2022-08-04,2026-07-06
159636,959,2022-07-20,2026-07-06
159667,895,2022-10-26,2026-07-06
159806,1525,2020-03-20,2026-07-06
159813,1483,2020-05-25,2026-07-06
159814,1446,2020-07-17,2026-07-06
159845,1275,2021-03-31,2026-07-06
159851,1283,2021-03-19,2026-07-06
159885,1266,2021-04-14,2026-07-06
159922,1636,2019-10-08,2026-07-06
159928,1636,2019-10-08,2026-07-06
159939,1636,2019-10-08,2026-07-06
159941,1636,2019-10-08,2026-07-06
159966,1636,2019-10-08,2026-07-06
159967,1636,2019-10-08,2026-07-06
159991,1501,2020-04-24,2026-07-06
510100,1634,2019-10-09,2026-07-06
510170,1634,2019-10-08,2026-07-06
510210,1635,2019-10-08,2026-07-06
510310,1636,2019-10-08,2026-07-06
512000,1636,2019-10-08,2026-07-06
512010,1635,2019-10-08,2026-07-06
512040,1636,2019-10-08,2026-07-06
512070,1635,2019-10-08,2026-07-06
512100,1635,2019-10-08,2026-07-06
512170,1635,2019-10-08,2026-07-06
512200,1636,2019-10-08,2026-07-06
512480,1635,2019-10-08,2026-07-06
512670,1635,2019-10-08,2026-07-06
512690,1635,2019-10-08,2026-07-06
512710,1635,2019-10-08,2026-07-06
512760,1635,2019-10-08,2026-07-06
512800,1636,2019-10-08,2026-07-06
512890,1635,2019-10-08,2026-07-06
513100,1635,2019-10-08,2026-07-06
513500,1635,2019-10-08,2026-07-06
513770,1061,2022-02-18,2026-07-06
515000,1636,2019-10-08,2026-07-06
515050,1630,2019-10-16,2026-07-06
515070,1581,2019-12-24,2026-07-06
515220,1539,2020-03-02,2026-07-06
515880,1636,2019-10-08,2026-07-06
515980,1554,2020-02-10,2026-07-06
516160,1309,2021-02-04,2026-07-06
516780,1292,2021-03-08,2026-07-06
516800,1303,2021-02-19,2026-07-06
520880,242,2025-07-07,2026-07-06
560010,947,2022-08-04,2026-07-06
560780,619,2023-12-12,2026-07-06
561330,891,2022-11-01,2026-07-06
561980,685,2023-09-01,2026-07-06
562590,658,2023-10-18,2026-07-06
588170,302,2025-04-08,2026-07-06
588760,348,2025-01-23,2026-07-06
588790,358,2025-01-09,2026-07-06
