date,symbol,exchange,name,trade_date,target_symbol,is_weak,match
2020-01-02,512000,XSHG,券商ETF,2020-01-02,512400,False,False
2020-01-03,512000,XSHG,券商ETF,2020-01-03,512400,False,False
2020-01-06,512000,XSHG,券商ETF,2020-01-06,512980,False,False
2020-01-07,512980,XSHG,传媒ETF,2020-01-07,512980,False,True
2020-01-08,512000,XSHG,券商ETF,2020-01-08,512980,False,False
2020-01-09,512980,XSHG,传媒ETF,2020-01-09,513050,False,False
2020-01-10,510410,XSHG,资源ETF,2020-01-10,513050,False,False
2020-01-13,510410,XSHG,资源ETF,2020-01-13,513050,False,False
2020-01-14,512580,XSHG,环保ETF,2020-01-14,513050,False,False
2020-01-15,512980,XSHG,传媒ETF,2020-01-15,512980,False,True
2020-01-16,512400,XSHG,有色ETF,2020-01-16,512400,False,True
2020-01-17,512400,XSHG,有色ETF,2020-01-17,512400,False,True
2020-01-20,512480,XSHG,半导体,2020-01-20,512400,False,False
2020-01-21,159966,XSHE,创业板价值ETF华夏,2020-01-21,512220,False,False
2020-01-22,159966,XSHE,创业板价值ETF华夏,2020-01-22,512720,False,False
2020-01-23,159966,XSHE,创业板价值ETF华夏,2020-01-23,518880,True,False
2020-02-03,518880,XSHG,黄金ETF,2020-02-03,518880,True,True
2020-02-04,518880,XSHG,黄金ETF,2020-02-04,518880,True,True
2020-02-05,518880,XSHG,黄金ETF,2020-02-05,518880,True,True
2020-02-06,513100,XSHG,纳指ETF,2020-02-06,518880,True,False
2020-02-07,513100,XSHG,纳指ETF,2020-02-07,518880,True,False
2020-02-10,513100,XSHG,纳指ETF,2020-02-10,159949,False,False
2020-02-11,513100,XSHG,纳指ETF,2020-02-11,159949,False,False
2020-02-12,513100,XSHG,纳指ETF,2020-02-12,512290,False,False
2020-02-13,512170,XSHG,医疗ETF,2020-02-13,512290,False,False
2020-02-14,512170,XSHG,医疗ETF,2020-02-14,512290,False,False
2020-02-17,512170,XSHG,医疗ETF,2020-02-17,512290,False,False
2020-02-18,512170,XSHG,医疗ETF,2020-02-18,159949,False,False
2020-02-19,512170,XSHG,医疗ETF,2020-02-19,159949,False,False
2020-02-20,515070,XSHG,AI智能,2020-02-20,515070,False,True
2020-02-21,159949,XSHE,创业板50ETF华安,2020-02-21,159949,False,True
2020-02-24,159915,XSHE,创业板ETF易方达,2020-02-24,159915,False,True
