symbol,entry_date,exit_date,entry_price,exit_price,return_pct
512400,2020-01-03,2020-01-07,0.748,0.765,0.022727272727272707
512980,2020-01-07,2020-01-10,0.933,0.916,-0.018220793140407254
513050,2020-01-10,2020-01-16,1.528,1.511,-0.011125654450261813
512980,2020-01-16,2020-01-17,0.912,0.912,0.0
512400,2020-01-17,2020-01-22,0.753,0.744,-0.01195219123505975
512220,2020-01-22,2020-01-23,1.6,1.544,-0.03500000000000003
512720,2020-01-23,2020-02-03,1.249,1.124,-0.10008006405124104
518880,2020-02-03,2020-02-11,3.52,3.472,-0.013636363636363669
159949,2020-02-11,2020-02-13,0.753,0.77,0.02257636122177953
512290,2020-02-13,2020-02-19,1.341,1.347,0.004474272930648837
159949,2020-02-19,2020-02-21,0.789,0.828,0.049429657794676674
515070,2020-02-21,2020-02-24,0.654876547987616,0.6796636996904024,0.03785011355034085
159949,2020-02-24,2020-02-25,0.842,0.854,0.014251781472684133
159915,2020-02-25,2020-02-27,2.195,2.111,-0.038268792710705934
512660,2020-02-27,2020-03-02,0.871,0.853,-0.02066590126291623
518880,2020-03-02,2020-03-03,3.542,3.536,-0.0016939582156972888
511880,2020-03-03,2020-03-04,100.569,100.571,1.9886843858341052e-05
159985,2020-03-04,2020-03-06,0.968,0.964,-0.004132231404958664
512720,2020-03-06,2020-03-09,1.414,1.328,-0.0608203677510607
515050,2020-03-09,2020-03-10,0.4075507507507507,0.43323963963963963,0.06303236797274292
518880,2020-03-10,2020-03-11,3.612,3.648,0.009966777408637828
159985,2020-03-11,2020-03-12,0.95,0.946,-0.004210526315789442
518880,2020-03-12,2020-03-13,3.608,3.502,-0.029379157427937952
511880,2020-03-13,2020-03-18,100.625,100.656,0.00030807453416148434
159985,2020-03-18,2020-03-20,0.958,0.977,0.019832985386221358
511880,2020-03-20,2020-03-23,100.679,100.692,0.00012912325311131845
159985,2020-03-23,2020-03-24,1.029,1.015,-0.013605442176870763
511880,2020-03-24,2020-03-26,100.681,100.684,2.9797081872340314e-05
159985,2020-03-26,2020-04-02,1.005,0.989,-0.015920398009950154
511880,2020-04-02,2020-04-03,100.719,100.745,0.00025814394503531624
159985,2020-04-03,2020-04-08,0.976,0.981,0.0051229508196721785
511880,2020-04-08,2020-04-15,100.754,100.787,0.0003275304206284968
512290,2020-04-15,2020-04-21,1.496,1.537,0.027406417112299408
513520,2020-04-21,2020-04-23,0.938,0.938,0.0
513030,2020-04-23,2020-04-27,0.857,0.858,0.001166861143523823
159980,2020-04-27,2020-04-28,0.886,0.881,-0.0056433408577878375
513520,2020-04-28,2020-04-29,0.959,0.98,0.021897810218978186
159949,2020-04-29,2020-04-30,0.764,0.782,0.023560209424083878
512290,2020-04-30,2020-05-08,1.5,1.552,0.03466666666666662
159949,2020-05-08,2020-05-15,0.799,0.802,0.003754693366708306
159995,2020-05-15,2020-05-19,1.147,1.157,0.008718395815169977
513520,2020-05-19,2020-05-20,1.001,0.998,-0.0029970029970028955
159949,2020-05-20,2020-05-21,0.796,0.792,-0.005025125628140725
513520,2020-05-21,2020-05-22,0.998,0.99,-0.008016032064128265
161226,2020-05-22,2020-06-02,0.799,0.866,0.0838548185231538
513520,2020-06-02,2020-06-03,1.085,1.089,0.0036866359447005337
513030,2020-06-03,2020-06-05,1.021,1.068,0.04603330068560241
161226,2020-06-05,2020-06-09,0.832,0.825,-0.008413461538461564
513520,2020-06-09,2020-06-16,1.11,1.095,-0.013513513513513598
515030,2020-06-16,2020-06-17,0.949,0.935,-0.01475237091675441
