trade_date,jq_weak,local_weak,below_count,above_count,weak_days_count,match,000300_close,000300_ma10,000300_relation,399101_close,399101_ma10,399101_relation,399006_close,399006_ma10,399006_relation,000510_close,000510_ma10,000510_relation
2020-01-23,False,True,4,0,0,False,4003.901,4146.366,below,10006.169,10256.1904,below,1927.742,1941.9376999999997,below,4478.956,4616.4981,below
2020-02-10,True,False,1,3,0,False,3916.005,3945.4142999999995,below,9993.521,9880.338,above,2042.177,1955.9153999999999,above,4445.847,4434.9985,above
2020-02-28,False,True,4,0,0,False,3940.049,4083.5024999999996,below,10286.545,10701.384600000001,below,2071.566,2187.0204,below,4464.306,4645.359799999999,below
2020-03-05,True,False,0,4,0,False,4206.725,4098.6928,above,10942.23,10799.849100000001,above,2209.588,2191.4696,above,4747.114,4657.708500000001,above
2020-03-09,False,True,4,0,0,False,3997.133,4084.0239,below,10460.722,10747.134,below,2093.063,2171.0084,below,4505.872,4632.3099,below
2020-03-25,True,False,0,4,0,False,3722.518,3704.0259000000005,above,9713.964,9710.9239,above,1937.855,1924.3823,above,4214.953,4196.9749,above
2020-03-30,False,True,3,1,0,False,3674.111,3654.8414,above,9362.605,9545.2364,below,1860.484,1894.8190000000002,below,4129.109,4138.385799999999,below
2020-04-02,True,False,0,4,0,False,3734.531,3670.9144,above,9621.553,9510.8926,above,1916.951,1890.2171000000003,above,4213.284,4146.0377,above
2020-04-24,False,True,4,0,0,False,3796.972,3814.5796,below,9842.426,9901.017600000001,below,2003.748,2005.9002,below,4301.286,4320.5172,below
2020-04-28,True,False,1,3,0,False,3849.147,3823.8756000000003,above,9819.23,9916.2489,below,2030.724,2019.9885,above,4340.128,4331.8058,above
2020-05-18,False,True,3,1,0,False,3922.912,3938.6964999999996,below,10131.799,10177.388200000001,below,2114.858,2113.6256000000003,above,4464.684,4476.371700000001,below
2020-05-19,True,False,0,4,0,False,3956.25,3943.0638,above,10275.4,10204.4385,above,2144.121,2121.0945,above,4514.586,4485.7309000000005,above
2020-05-20,False,True,4,0,0,False,3935.222,3942.9606,below,10176.44,10206.096000000001,below,2118.119,2121.8797,below,4487.414,4487.6883,below
2020-06-01,True,False,0,4,0,False,3971.34,3887.2035000000005,above,10386.143,10076.1083,above,2158.223,2094.4869,above,4527.804,4427.6232,above
2020-07-16,False,True,4,0,0,False,4516.253,4707.6098,below,12060.148,12439.275300000001,below,2646.26,2697.8812,below,5137.606,5336.9205999999995,below
2020-07-22,True,False,1,3,0,False,4714.445,4714.4771,below,12696.653,12636.447600000001,above,2769.028,2760.8772999999997,above,5389.178,5372.685199999999,above
2020-07-24,False,True,4,0,0,False,4505.591,4676.8894,below,12030.146,12565.6837,below,2627.843,2750.018,below,5143.914,5337.8546,below
2020-07-29,True,False,0,4,0,False,4679.008,4614.049000000001,above,12611.957,12373.7036,above,2767.402,2700.4705000000004,above,5347.068,5266.6211,above
2020-08-11,False,True,4,0,0,False,4681.784,4723.1771,below,12767.505,12888.353400000002,below,2688.7,2785.6687,below,5347.465,5406.412399999999,below
2020-08-17,True,False,1,3,0,False,4815.226,4723.3468,above,13047.469,12903.821899999999,above,2696.392,2730.4615,below,5465.047,5395.841399999999,above
2020-08-19,False,True,3,1,0,False,4740.678,4723.3991000000005,above,12883.961,12891.0966,below,2612.835,2692.5425,below,5373.739,5386.3824,below
2020-08-24,True,False,0,4,0,False,4755.849,4719.2277,above,13020.118,12857.1812,above,2684.629,2653.0784000000003,above,5408.402,5367.696900000001,above
2020-08-26,False,True,4,0,0,False,4706.13,4733.0929,below,12710.623,12880.406700000001,below,2644.144,2655.233,below,5337.067,5377.5592,below
2020-08-28,True,False,0,4,0,False,4844.265,4756.6197,above,13021.167,12912.028699999999,above,2757.839,2670.7987000000003,above,5488.529,5399.5105,above
2020-09-04,False,True,3,1,0,False,4770.219,4788.9078,below,12816.48,12916.149599999999,below,2732.155,2720.7081,above,5421.34,5437.4016,below
2020-09-18,True,False,0,4,0,False,4737.089,4652.430200000001,above,12430.744,12271.8207,above,2596.082,2571.0833999999995,above,5367.503,5277.181,above
