trade_date,jq_symbol,local_target,target_match,jq_in_dynamic_pool,jq_dynamic_rank,jq_industry_key,jq_avg_amount,jq_in_candidates,jq_candidate_rank,jq_candidate_score,reason
2020-01-02,512000,512400,False,True,7.0,券商,383330645.07791454,True,2.0,3.67862650306057,in_candidates_not_top
2020-01-03,512000,512400,False,True,7.0,券商,294644362.9009959,False,,,in_dynamic_pool_not_candidate
2020-01-06,512000,512980,False,True,7.0,券商,316921791.56180435,True,2.0,3.7343156899410763,in_candidates_not_top
2020-01-07,512980,512980,True,True,11.0,传媒,137505668.66666666,True,1.0,4.526429972586227,matched_target
2020-01-08,512000,512980,False,True,7.0,券商,372379870.27768016,False,,,in_dynamic_pool_not_candidate
2020-01-09,512980,510410,False,True,12.0,传媒,150612782.0,False,,,in_dynamic_pool_not_candidate
2020-01-10,510410,510410,True,True,34.0,资源,10202923.333333334,True,1.0,2.9977632167014026,matched_target
2020-01-13,510410,512580,False,True,35.0,资源,7897632.333333333,True,2.0,2.7398658207162825,in_candidates_not_top
2020-01-14,512580,510410,False,True,30.0,环保,17693690.666666668,False,,,in_dynamic_pool_not_candidate
2020-01-15,512980,512980,True,True,20.0,传媒,57166584.0,True,1.0,4.987458313767517,matched_target
2020-01-16,512400,512400,True,True,20.0,有色,65117135.0,True,1.0,4.85376598264491,matched_target
2020-01-17,512400,512400,True,True,26.0,有色,39497970.333333336,True,1.0,3.8538087016592635,matched_target
2020-01-20,512480,512480,True,True,12.0,半导,131359733.66666667,True,1.0,4.012495698273893,matched_target
2020-01-21,159966,515000,False,True,17.0,创业组_价值,83863002.6213292,False,,,in_dynamic_pool_not_candidate
2020-01-22,159966,515000,False,True,21.0,创业组_价值,66277936.476730205,False,,,in_dynamic_pool_not_candidate
2020-01-23,159966,512930,False,True,25.0,创业组_价值,45767824.8517946,False,,,in_dynamic_pool_not_candidate
2020-02-03,518880,518880,True,True,6.0,金,1113594495.3333333,True,1.0,0.14873657252804295,matched_target
2020-02-04,518880,518880,True,True,6.0,金,1095972641.3333333,True,1.0,0.15470068780760116,matched_target
2020-02-05,518880,518880,True,True,5.0,金,1255941055.0,True,1.0,0.13643068571507022,matched_target
2020-02-06,513100,513100,True,False,,,,True,1.0,1.747452982275956,matched_target
2020-02-07,513100,513100,True,False,,,,True,1.0,2.1848653219976435,matched_target
2020-02-10,513100,513100,True,False,,,,True,1.0,2.6116826339981447,matched_target
2020-02-11,513100,513100,True,False,,,,True,1.0,3.3926960890671296,matched_target
2020-02-12,513100,513100,True,False,,,,True,1.0,4.594190874617958,matched_target
2020-02-13,512170,512170,True,True,23.0,医疗,63807005.666666664,True,1.0,3.24963548882866,matched_target
2020-02-14,512170,512170,True,True,24.0,医疗,54483749.0,True,1.0,3.1998005689997155,matched_target
2020-02-17,512170,512170,True,True,24.0,医疗,50606182.333333336,True,1.0,3.5168808188733607,matched_target
2020-02-18,512170,512170,True,True,25.0,医疗,48689210.333333336,True,1.0,3.7215914553603606,matched_target
2020-02-19,512170,512170,True,True,27.0,医疗,50904623.0,True,1.0,3.3610759713909464,matched_target
2020-02-20,515070,512930,False,True,20.0,U人,89142736.30185758,True,2.0,4.001306182338541,in_candidates_not_top
2020-02-21,159949,159949,True,False,,,,True,1.0,4.42558418896183,matched_target
2020-02-24,159915,159966,False,False,,,,True,2.0,3.9734742991257845,in_candidates_not_top
2020-02-25,159915,159915,True,False,,,,True,1.0,4.87663960052715,matched_target
2020-02-26,512670,512670,True,True,42.0,国防,9825504.333333334,True,1.0,3.6461984165982977,matched_target
2020-02-27,512670,512670,True,True,40.0,国防,9911923.666666666,True,1.0,4.241626637119701,matched_target
2020-02-28,518880,518880,True,True,5.0,金,2299493057.6666665,True,1.0,1.0640936773282057,matched_target
