symbol,start_date,end_date,reason
159001,2019-07-22,2026-07-06,interior_gaps
159003,2019-07-22,2026-07-06,interior_gaps
159005,2019-07-22,2026-07-06,interior_gaps
159203,2025-06-30,2026-07-06,interior_gaps
159216,2025-04-11,2026-07-06,interior_gaps
159229,2025-05-15,2026-07-06,interior_gaps
159240,2025-06-17,2026-07-06,interior_gaps
159303,2024-06-27,2026-07-06,interior_gaps
159305,2024-09-27,2026-07-06,interior_gaps
159306,2024-05-14,2026-07-06,interior_gaps
159318,2024-06-21,2026-07-06,interior_gaps
159320,2024-12-24,2026-07-06,interior_gaps
159321,2024-05-27,2026-07-06,interior_gaps
159322,2024-06-14,2026-07-06,interior_gaps
159329,2024-07-16,2026-07-06,interior_gaps
159367,2025-02-14,2026-07-06,interior_gaps
159377,2025-04-15,2026-07-06,interior_gaps
159391,2025-04-21,2026-07-06,interior_gaps
159505,2023-12-04,2026-07-06,interior_gaps
159507,2023-06-21,2026-07-06,interior_gaps
159508,2023-07-14,2026-07-06,interior_gaps
159517,2023-09-05,2026-07-06,interior_gaps
159518,2023-11-15,2026-07-06,interior_gaps
159521,2023-09-07,2026-07-06,interior_gaps
159527,2024-02-01,2026-07-06,interior_gaps
159528,2024-05-20,2026-07-06,interior_gaps
159529,2024-02-02,2026-07-06,interior_gaps
159533,2024-06-07,2026-07-06,interior_gaps
159537,2023-10-10,2026-07-06,interior_gaps
159538,2023-09-22,2026-07-06,interior_gaps
159539,2023-09-28,2026-07-06,interior_gaps
159542,2024-06-07,2026-07-06,interior_gaps
159547,2024-02-06,2026-07-06,interior_gaps
159552,2024-06-28,2026-07-06,interior_gaps
159553,2024-04-15,2026-07-06,interior_gaps
159555,2023-12-12,2026-07-06,interior_gaps
159556,2024-01-10,2026-07-06,interior_gaps
159561,2024-04-30,2026-07-06,interior_gaps
159563,2024-02-23,2026-07-06,interior_gaps
159571,2024-01-02,2026-07-06,interior_gaps
159575,2024-01-02,2026-07-06,interior_gaps
159578,2024-06-07,2026-07-06,interior_gaps
159583,2024-07-08,2026-07-06,interior_gaps
159586,2024-03-15,2026-07-06,interior_gaps
159587,2024-08-21,2026-07-06,interior_gaps
159589,2024-03-26,2026-07-06,interior_gaps
159612,2022-05-20,2026-07-06,interior_gaps
159617,2022-06-30,2026-07-06,interior_gaps
159620,2022-08-05,2026-07-06,interior_gaps
159621,2022-09-09,2026-07-06,interior_gaps
159627,2022-11-30,2026-07-06,interior_gaps
159630,2022-11-01,2026-07-06,interior_gaps
159645,2022-09-26,2026-07-06,interior_gaps
159653,2023-03-24,2026-07-06,interior_gaps
159661,2023-12-01,2026-07-06,interior_gaps
159662,2022-12-01,2026-07-06,interior_gaps
159677,2022-12-05,2026-07-06,interior_gaps
159685,2023-04-03,2026-07-06,interior_gaps
159686,2023-07-19,2026-07-06,interior_gaps
159687,2022-12-30,2026-07-06,interior_gaps
159689,2023-03-13,2026-07-06,interior_gaps
159690,2023-07-06,2026-07-06,interior_gaps
159701,2021-12-23,2026-07-06,interior_gaps
159711,2021-12-28,2026-07-06,interior_gaps
159716,2021-06-28,2026-07-06,interior_gaps
159717,2021-09-29,2026-07-06,interior_gaps
159719,2021-12-28,2026-07-06,interior_gaps
159721,2021-06-25,2026-07-06,interior_gaps
159723,2021-10-15,2026-07-06,interior_gaps
159728,2022-01-11,2026-07-06,interior_gaps
159730,2021-12-24,2026-07-06,interior_gaps
159731,2021-12-10,2026-07-06,interior_gaps
159750,2022-02-14,2026-07-06,interior_gaps
159777,2021-10-18,2026-07-06,interior_gaps
159791,2022-03-08,2026-07-06,interior_gaps
159793,2021-11-24,2026-07-06,interior_gaps
159810,2020-07-10,2026-07-06,interior_gaps
159821,2020-10-29,2026-07-06,interior_gaps
159862,2021-11-08,2026-07-06,interior_gaps
159876,2021-03-24,2026-07-06,interior_gaps
159877,2021-11-03,2026-07-06,interior_gaps
159889,2021-09-09,2026-07-06,interior_gaps
159895,2021-10-21,2026-07-06,interior_gaps
159896,2021-11-24,2026-07-06,interior_gaps
159901,2019-07-22,2026-07-06,interior_gaps
159907,2019-07-22,2026-07-06,interior_gaps
159913,2019-07-22,2026-07-06,interior_gaps
159915,2019-07-22,2026-07-06,interior_gaps
159916,2019-07-22,2026-07-06,interior_gaps
159918,2019-07-22,2026-07-06,interior_gaps
159923,2019-07-22,2026-07-06,interior_gaps
159925,2019-07-22,2026-07-06,interior_gaps
159933,2019-07-22,2026-07-06,interior_gaps
159935,2019-07-22,2026-07-06,interior_gaps
159944,2019-07-22,2026-07-06,interior_gaps
159948,2019-07-22,2026-07-06,interior_gaps
159952,2019-07-22,2026-07-06,interior_gaps
159956,2019-07-22,2026-07-06,interior_gaps
159960,2019-07-22,2026-07-06,interior_gaps
159961,2019-07-22,2026-07-06,interior_gaps
159970,2020-01-10,2026-07-06,interior_gaps
159971,2019-07-22,2026-07-06,interior_gaps
159973,2019-08-09,2026-07-06,interior_gaps
159974,2019-12-18,2026-07-06,interior_gaps
159976,2020-01-17,2026-07-06,interior_gaps
161226,2019-07-20,2019-07-21,missing_prefix
501018,2019-07-20,2019-07-21,missing_prefix
510010,2019-07-22,2026-07-06,interior_gaps
510020,2019-07-22,2026-07-06,interior_gaps
510030,2019-07-22,2026-07-06,interior_gaps
510090,2019-07-22,2026-07-06,interior_gaps
510100,2019-10-09,2026-07-06,interior_gaps
510130,2019-07-22,2026-07-06,interior_gaps
510150,2019-07-22,2026-07-06,interior_gaps
510170,2019-07-22,2026-07-06,interior_gaps
510190,2019-07-22,2026-07-06,interior_gaps
510210,2019-07-22,2026-07-06,interior_gaps
510230,2019-07-22,2026-07-06,interior_gaps
510270,2019-07-22,2026-07-06,interior_gaps
510290,2019-07-22,2026-07-06,interior_gaps
510380,2019-07-22,2026-07-06,interior_gaps
510560,2019-07-22,2026-07-06,interior_gaps
510570,2020-08-12,2026-07-06,interior_gaps
510580,2019-07-22,2026-07-06,interior_gaps
510630,2019-07-22,2026-07-06,interior_gaps
510650,2019-07-22,2026-07-06,interior_gaps
510680,2019-07-22,2026-07-06,interior_gaps
510770,2021-09-28,2026-07-06,interior_gaps
510810,2019-07-22,2026-07-06,interior_gaps
511380,2019-07-20,2020-04-06,missing_prefix
511600,2019-07-22,2026-07-06,interior_gaps
511650,2021-04-07,2026-07-06,interior_gaps
511670,2021-04-07,2026-07-06,interior_gaps
511770,2019-07-22,2026-07-06,interior_gaps
511820,2019-07-22,2026-07-06,interior_gaps
511830,2019-07-22,2026-07-06,interior_gaps
511860,2019-07-22,2026-07-06,interior_gaps
511910,2019-07-22,2026-07-06,interior_gaps
511920,2019-07-22,2026-07-06,interior_gaps
511930,2019-07-22,2026-07-06,interior_gaps
511950,2019-07-25,2026-07-06,interior_gaps
511960,2019-07-22,2026-07-06,interior_gaps
511970,2019-07-24,2026-07-06,interior_gaps
511980,2019-07-22,2026-07-06,interior_gaps
512010,2019-07-22,2026-07-06,interior_gaps
512070,2019-07-22,2026-07-06,interior_gaps
512100,2019-07-22,2026-07-06,interior_gaps
512120,2019-07-22,2026-07-06,interior_gaps
512170,2019-07-22,2026-07-06,interior_gaps
512180,2019-07-22,2026-07-06,interior_gaps
512190,2019-09-09,2026-07-06,interior_gaps
512360,2019-07-22,2026-07-06,interior_gaps
512390,2019-07-22,2026-07-06,interior_gaps
512480,2019-07-22,2026-07-06,interior_gaps
512560,2019-07-22,2026-07-06,interior_gaps
512600,2019-07-22,2026-07-06,interior_gaps
512640,2019-07-22,2026-07-06,interior_gaps
512650,2019-10-25,2026-07-06,interior_gaps
512670,2019-08-01,2026-07-06,interior_gaps
512690,2019-07-22,2026-07-06,interior_gaps
512710,2019-08-26,2026-07-06,interior_gaps
512760,2019-07-22,2026-07-06,interior_gaps
512820,2019-07-22,2026-07-06,interior_gaps
512870,2019-07-22,2026-07-06,interior_gaps
512890,2019-07-22,2026-07-06,interior_gaps
512970,2019-11-11,2026-07-06,interior_gaps
513030,2019-07-22,2026-07-06,interior_gaps
513080,2020-06-12,2026-07-06,interior_gaps
513100,2019-07-22,2026-07-06,interior_gaps
513350,2023-11-28,2026-07-06,interior_gaps
513360,2021-06-17,2026-07-06,interior_gaps
513500,2019-07-22,2026-07-06,interior_gaps
513660,2019-07-22,2026-07-06,interior_gaps
513900,2019-07-22,2026-07-06,interior_gaps
515090,2020-02-20,2026-07-06,interior_gaps
515190,2020-05-27,2026-07-06,interior_gaps
515360,2019-11-01,2026-07-06,interior_gaps
515550,2019-12-25,2026-07-06,interior_gaps
515580,2019-10-28,2026-07-06,interior_gaps
515590,2020-01-20,2026-07-06,interior_gaps
515600,2019-12-18,2026-07-06,interior_gaps
515680,2019-12-18,2026-07-06,interior_gaps
515990,2020-01-15,2026-07-06,interior_gaps
516070,2021-04-23,2026-07-06,interior_gaps
516090,2021-03-19,2026-07-06,interior_gaps
516330,2021-04-09,2026-07-06,interior_gaps
516720,2021-08-13,2026-07-06,interior_gaps
516900,2021-04-28,2026-07-06,interior_gaps
516980,2021-06-24,2026-07-06,interior_gaps
517010,2021-08-12,2026-07-06,interior_gaps
517030,2021-09-27,2026-07-06,interior_gaps
517160,2022-01-05,2026-07-06,interior_gaps
517170,2021-04-20,2026-07-06,interior_gaps
517330,2022-01-05,2026-07-06,interior_gaps
517880,2021-12-01,2026-07-06,interior_gaps
518860,2020-09-07,2026-07-06,interior_gaps
520830,2024-07-16,2026-07-06,interior_gaps
560000,2026-05-01,2026-07-06,missing_suffix
560010,2022-08-04,2026-07-06,interior_gaps
560030,2023-07-10,2026-07-06,interior_gaps
560520,2024-04-18,2026-07-06,interior_gaps
560590,2023-09-25,2026-07-06,interior_gaps
560650,2026-07-02,2026-07-06,missing_suffix
560820,2025-04-18,2026-07-06,interior_gaps
561180,2022-11-21,2026-07-06,interior_gaps
561200,2024-01-05,2026-07-06,interior_gaps
561570,2024-10-17,2026-07-06,interior_gaps
562340,2024-05-08,2026-07-06,interior_gaps
563280,2024-04-12,2026-07-06,interior_gaps
588320,2023-01-06,2026-07-06,interior_gaps
