date,symbol,name,amount,price
2020-01-02,512000,券商ETF,993000,1.007
2020-01-07,512980,传媒ETF,1066000,0.922
2020-01-08,512000,券商ETF,996600,0.985
2020-01-09,512980,传媒ETF,1075100,0.911
2020-01-10,510410,资源ETF,1514500,0.648
2020-01-14,512580,环保ETF,1173000,0.852
2020-01-15,512980,传媒ETF,1076600,0.915
2020-01-16,512400,有色ETF,1291900,0.759
2020-01-20,512480,半导体,563200,1.736
2020-01-21,159966,创业板价值ETF华夏,731300,1.339
2020-02-03,518880,黄金ETF,257900,3.521
2020-02-06,513100,纳指ETF,240700,3.685
2020-02-13,512170,医疗ETF,680800,1.443
2020-02-20,515070,AI智能,805500,1.26
2020-02-21,159949,创业板50ETF华安,1279300,0.836
2020-02-24,159915,创业板ETF易方达,495400,2.166
2020-02-26,512670,国防ETF,831500,1.279
2020-02-28,518880,黄金ETF,267700,3.651
2020-03-02,511880,银华日利,9400,100.551
2020-03-03,159985,豆粕ETF华夏,977500,0.968
2020-03-06,515050,5GETF,761400,1.236
2020-03-09,512170,医疗ETF,570800,1.587
2020-03-10,511880,银华日利,8900,100.583
2020-03-11,518880,黄金ETF,246000,3.639
2020-03-12,511880,银华日利,8800,100.627
2020-03-18,159985,豆粕ETF华夏,916400,0.968
2020-03-19,511880,银华日利,8600,100.654
2020-03-20,159985,豆粕ETF华夏,890800,0.976
2020-03-23,511880,银华日利,8900,100.686
2020-03-25,159985,豆粕ETF华夏,871400,1.035
2020-04-01,511880,银华日利,8600,100.717
2020-04-03,159985,豆粕ETF华夏,892500,0.98
2020-04-07,511880,银华日利,8600,100.742
2020-04-14,512290,生物医药,595400,1.466
2020-04-20,512010,医药ETF,440200,2.092
2020-04-21,512170,医疗ETF,569900,1.586
2020-04-27,513100,纳指ETF,257900,3.555
2020-04-30,512290,生物医药,662800,1.49
2020-05-06,512690,酒ETF,840200,1.191
2020-05-07,159967,创业板成长ETF华夏,685400,1.478
2020-05-11,512690,酒ETF,827200,1.227
2020-05-15,513100,纳指ETF,285500,3.635
2020-05-20,512690,酒ETF,822400,1.293
2020-05-21,513100,纳指ETF,287000,3.752
2020-05-22,161226,国投白银LOF,1313500,0.793
2020-06-01,513520,日经ETF,1068900,1.064
2020-06-02,512690,酒ETF,865600,1.337
2020-06-03,513030,德国ETF,1128800,1.019
2020-06-04,161226,国投白银LOF,1421200,0.833
2020-06-09,513000,225ETF,1054200,1.112
2020-06-12,513520,日经ETF,1061800,1.078
2020-06-16,513030,德国ETF,1116900,1.036
2020-06-19,512290,生物医药,621000,1.854
2020-06-23,159806,新能源车ETF国泰,975300,1.207
2020-06-29,513050,中概互联,640200,1.823
2020-06-30,159967,创业板成长ETF华夏,668700,1.767
2020-07-01,515000,科技ETF,704900,1.656
2020-07-03,159991,创业板大盘ETF招商,937700,1.256
2020-07-06,512690,酒ETF,758400,1.607
2020-07-07,512220,TMTETF,671600,1.916
2020-07-08,512290,生物医药,657200,1.943
2020-07-09,159804,创中盘88ETF国寿,1039400,1.286
2020-07-10,515570,山证红利,1185200,1.131
2020-07-13,512890,红利低波,1041900,1.317
2020-07-14,515110,国企方达,1339500,1.018
2020-07-16,515690,股息ETF,1166300,1.154
2020-07-17,161226,国投白银LOF,1524200,0.863
2020-07-21,159980,有色ETF大成,1354400,1.025
2020-07-22,161226,国投白银LOF,1408300,1.0
2020-07-23,512580,环保ETF,1452000,0.96
2020-07-24,161226,国投白银LOF,1381000,0.985
2020-07-27,513030,德国ETF,1312900,1.1
2020-07-29,159980,有色ETF大成,1381900,1.043
2020-07-30,512010,医药ETF,485700,2.995
2020-08-07,518880,黄金ETF,323400,4.387
2020-08-10,159992,创新药ETF银华,918100,1.528
2020-08-11,512290,生物医药,599200,2.353
2020-08-12,513030,德国ETF,1180400,1.106
2020-08-13,511880,银华日利,13000,101.303
2020-08-14,513500,标普500,598500,2.212
2020-08-18,159996,家电ETF国泰,1044000,1.269
2020-08-20,513100,纳指ETF,315800,4.091
2020-08-24,513500,标普500,624900,2.219
2020-08-25,513100,纳指ETF,313000,4.526
2020-08-26,512040,国信价值,934100,1.513
2020-08-27,513100,纳指ETF,300800,4.675
2020-08-28,513500,标普500,630700,2.318
2020-09-02,512690,酒ETF,747100,1.954
2020-09-04,159980,有色ETF大成,1325100,1.075
2020-09-09,159985,豆粕ETF华夏,1364300,1.041
2020-09-14,513030,德国ETF,1318100,1.129
2020-09-15,513100,纳指ETF,311100,4.774
2020-09-17,159985,豆粕ETF华夏,1353100,1.071
2020-09-25,511880,银华日利,14200,101.526
2020-09-28,513520,日经ETF,1313400,1.105
2020-10-12,159985,豆粕ETF华夏,1267300,1.146
2020-10-13,511880,银华日利,14000,101.621
2020-10-14,159806,新能源车ETF国泰,929400,1.536
2020-10-23,159985,豆粕ETF华夏,1242300,1.14
2020-10-27,511880,银华日利,13800,101.692
2020-10-28,159980,有色ETF大成,1319600,1.068
2020-10-29,511880,银华日利,13800,101.698
2020-10-30,159806,新能源车ETF国泰,866000,1.624
2020-11-02,511880,银华日利,13800,101.753
2020-11-03,159980,有色ETF大成,1316900,1.07
2020-11-04,515700,新能车,868500,1.619
2020-11-05,512690,酒ETF,698000,2.136
2020-11-09,159996,家电ETF国泰,1041200,1.423
2020-11-16,513520,日经ETF,1216800,1.196
2020-11-23,512690,酒ETF,641000,2.268
2020-11-24,510410,资源ETF,1969600,0.737
2020-11-25,515220,煤炭ETF,1114300,1.306
2020-11-26,513520,日经ETF,1171300,1.225
2020-12-02,515220,煤炭ETF,1107900,1.315
2020-12-04,510410,资源ETF,1925100,0.729
2020-12-08,159981,能源化工ETF建信,1439000,0.967
2020-12-09,512670,国防ETF,797300,1.772
2020-12-10,513520,日经ETF,1126300,1.24
2020-12-11,513030,德国ETF,1263100,1.101
2020-12-14,159980,有色ETF大成,1173700,1.175
2020-12-18,159981,能源化工ETF建信,1370000,1.033
2020-12-22,512690,酒ETF,542700,2.612
2020-12-23,159967,创业板成长ETF华夏,2275100,0.623
